"Abutilon_bedfordianum"	"Aechmea_nudicaulis"	"Aechmea_vanhoutteana"	"Billbergia_distachya"	"Billbergia_vitata"	"Bomarea_edulis"	"Fuchsia_regia"	"Hippeastrum_aulicum"	"Justicia_sebastianopolitanae"	"Manettia_mirtis"	"Mendoncia_sp1_M_PL_066"	"Nematanthus_crassifolius"	"Nematanthus_fornix"	"Nematanthus_lanceolatus"	"Nidularium_itatiaiae"	"Odontonema_barlerioides"	"Pitcaimia_flammea"	"Psittacanthus_flavo_viridis"	"Pyrostegia_venusta"	"Quesnelia_augusto-coburgii"	"Salvia_sellowiana"	"Sinningia_cooperi"	"Sinningia_gigantifolia"	"Siphocampylus_longepedunculatus"	"Staurogyne_itatiaiae"	"Tillandsia_gardneri"	"Velloziela_dracocephaloides"	"Vriesea_carinata"	"Vriesea_longicaulis"	"Vriesea_sp1_M_PL_066"	"Stromanthe_thalia"	"Phaethornis_eurynome"	"Thalurania_glaucopis"	"Phaethornis_squalidus"	"Clytolaema_rubricauda"	"Leucochloris_albicollis"
"Pyrostegia_venusta"	0.00531174875348228	0.00642796763399769	0.00731638439237183	0.0118156700483125	0.00924765566896451	0.0115226043827619	0.0108286250237194	0.0104908022537066	0.0129326600954172	0.0111357678042013	0.0221987373975904	0.0129326600954172	0.00754888756122306	0.0123015218827205	0.0129326600954172	0.0122867584157568	0.0105609166703152	0.00381585656561136	1.01454375853268	0.0129326600954172	0.0128237795265601	0.0110465381658048	0.0126687631234417	0.0129326600954172	0.0122738403821636	0.00859528910140184	0.0129326600954172	0.012157457565137	0.00905664744401638	0.00108220167848876	0.00867919278639872	0.399515735667627	0.0676280065828041	0.150989008552885	0.00486774314984243	0.0436661727135083
"Quesnelia_augusto-coburgii"	0.00298416887880118	0.00486707260471281	0.00570267286915688	0.012905395253359	0.0134471172218897	0.00837940952370786	0.00546219539736967	0.0108281560606481	0.0199617528427226	0.00454784094898159	0.00316121406875372	0.0199617528427226	0.00615235105482499	0.00763860000126486	0.0199617528427226	0.00735033911608456	0.0135262761998965	0.00135312411088234	0.0129326600954172	1.01996175284272	0.0178358288145179	0.0133056252383771	0.0148090895201248	0.0199617528427226	0.0070981108415518	0.0017291645531089	0.0199617528427226	0.0181168657171767	0.0107373172149932	0.00103312940593804	0.00765909156545838	0.616658468817386	0.0197491562401419	0.0244581662082895	0.0046470160679093	0.00115385933293996
"Salvia_sellowiana"	0.00283540316683848	0.00477294723280494	0.00559483412138951	0.0130540146710827	0.0122519560261218	0.0103185825060864	0.00815981231276612	0.0108661050674222	0.0178358288145179	0.00789416744122834	0.00295256300329325	0.0178358288145179	0.00597277176816405	0.0105185831729664	0.0178358288145179	0.0103474195322284	0.0124148724760989	0.0013748672692659	0.0128237795265601	0.0178358288145179	1.01657349696407	0.0126731138701232	0.0147762787363253	0.0178358288145179	0.0101976513465826	0.00434351510626634	0.0178358288145179	0.0162071388274804	0.00969237887933027	0.00102622121178002	0.0086758862099456	0.550984423738086	0.0202197184368383	0.0897402091461993	0.00461594301058651	0.00110637233495592
"Sinningia_cooperi"	0.010229390786307	0.0101836015293636	0.0113539697530035	0.011593541627292	0.00942383367330858	0.0102783629950093	0.00968959238814029	0.0116001530550897	0.0133056252383771	0.00923609181271012	0.00765760326968555	0.0133056252383771	0.0115943635314695	0.00963920340883729	0.0133056252383771	0.00955343915551472	0.0124378019207834	0.00799539895385689	0.0110465381658048	0.0133056252383771	0.0126731138701232	1.01211741256633	0.0117725892102362	0.0133056252383771	0.00947839543385747	0.00962580894544563	0.0133056252383771	0.0131056885630569	0.0123059418617759	0.00136373737010615	0.00754400805596692	0.411037374863947	0.147591898265471	0.0998890584486683	0.00613409069073748	0.00201424439784324
"Sinningia_gigantifolia"	0.00262360113624751	0.00463893822873273	0.00544130098897495	0.0132656084183503	0.0105503705948589	0.0130794389555744	0.0120004872431611	0.0109201341618124	0.0148090895201248	0.0126584288878169	0.00265550046941734	0.0148090895201248	0.00571709956342644	0.0146188981970839	0.0148090895201248	0.0146144492772467	0.0108325349710312	0.00140582363035437	0.0126687631234417	0.0148090895201248	0.0147762787363253	0.0117725892102362	1.01472956507803	0.0148090895201248	0.0146105564723891	0.00806564131754134	0.0148090895201248	0.0134882056285907	0.00820467006245424	0.00101638581670758	0.0101235260427748	0.457482393455694	0.0208896713948467	0.182684134684918	0.00457170340355067	0.0010387637276566
"Siphocampylus_longepedunculatus"	0.00298416887880118	0.00486707260471281	0.00570267286915688	0.012905395253359	0.0134471172218897	0.00837940952370786	0.00546219539736967	0.0108281560606481	0.0199617528427226	0.00454784094898159	0.00316121406875372	0.0199617528427226	0.00615235105482499	0.00763860000126486	0.0199617528427226	0.00735033911608456	0.0135262761998965	0.00135312411088234	0.0129326600954172	0.0199617528427226	0.0178358288145179	0.0133056252383771	0.0148090895201248	1.01996175284272	0.0070981108415518	0.0017291645531089	0.0199617528427226	0.0181168657171767	0.0107373172149932	0.00103312940593804	0.00765909156545838	0.616658468817386	0.0197491562401419	0.0244581662082895	0.0046470160679093	0.00115385933293996
"Staurogyne_itatiaiae"	0.00208401024878958	0.0042975343374059	0.005050157056395	0.0138046686792465	0.00621537913902252	0.0201130494340321	0.0217850638515482	0.0110577797118066	0.0070981108415518	0.0247959520969831	0.00189869829978109	0.0070981108415518	0.00506574418469015	0.0250649388537642	0.0070981108415518	0.0254852155324124	0.00680134180335852	0.00148468864550831	0.0122738403821636	0.0070981108415518	0.0101976513465826	0.00947839543385747	0.0146105564723891	0.0070981108415518	1.02585295762623	0.0175482009510276	0.0070981108415518	0.00656139962189546	0.00441455474327007	0.000991328976880168	0.0138115608549827	0.219274840117218	0.0225964563116777	0.419469849747846	0.004458997738007	0.000866522751917875
"Tillandsia_gardneri"	0.018692883711345	0.0164193598002084	0.0179692961984118	0.0102655277800377	0.00257740979353735	0.0158199022816344	0.0193055905906911	0.0125923436204513	0.0017291645531089	0.020496153243131	0.0127146249889829	0.0017291645531089	0.017837472693826	0.0168835355561571	0.0017291645531089	0.0172380237667547	0.00926161742148366	0.0160202135554713	0.00859528910140184	0.0017291645531089	0.00434351510626634	0.00962580894544563	0.00806564131754134	0.0017291645531089	0.0175482009510276	1.02351471648471	0.0017291645531089	0.00387072362319464	0.0124369599035376	0.00174973513836571	0.00911380044106236	0.0534173513746402	0.302131635085275	0.300278168238764	0.00787030865236898	0.00296920331561791
"Velloziela_dracocephaloides"	0.00298416887880118	0.00486707260471281	0.00570267286915688	0.012905395253359	0.0134471172218897	0.00837940952370786	0.00546219539736967	0.0108281560606481	0.0199617528427226	0.00454784094898159	0.00316121406875372	0.0199617528427226	0.00615235105482499	0.00763860000126486	0.0199617528427226	0.00735033911608456	0.0135262761998965	0.00135312411088234	0.0129326600954172	0.0199617528427226	0.0178358288145179	0.0133056252383771	0.0148090895201248	0.0199617528427226	0.0070981108415518	0.0017291645531089	1.01996175284272	0.0181168657171767	0.0107373172149932	0.00103312940593804	0.00765909156545838	0.616658468817386	0.0197491562401419	0.0244581662082895	0.0046470160679093	0.00115385933293996
"Vriesea_carinata"	0.00625198448256647	0.00725729730814062	0.00824738630430224	0.0122514730996068	0.0122860242072091	0.00822414114107409	0.00594475840603696	0.0111488333973765	0.0181168657171767	0.0049016334991278	0.00524871918963044	0.0181168657171767	0.00864156121877854	0.00704692340741148	0.0181168657171767	0.0067879773884696	0.0136152120067543	0.00426811559439032	0.012157457565137	0.0181168657171767	0.0162071388274804	0.0131056885630569	0.0134882056285907	0.0181168657171767	0.00656139962189546	0.00387072362319464	0.0181168657171767	1.01688604991677	0.0119627867151283	0.00118230495425241	0.0070883429638951	0.559666215735023	0.0758268704865446	0.0242984014127659	0.00531800768422733	0.00155717134810609
"Vriesea_longicaulis"	0.0193232468976276	0.0168181961218519	0.0184262400448837	0.00963578448459828	0.00764165214848638	0.00760306761053901	0.00787501044070611	0.0124315427442899	0.0107373172149932	0.00631680369971261	0.0135987396731374	0.0107373172149932	0.0185984018745927	0.00468021703199793	0.0107373172149932	0.00453853047800974	0.0139709552341853	0.0159280815284223	0.00905664744401638	0.0107373172149932	0.00969237887933027	0.0123059418617759	0.00820467006245424	0.0107373172149932	0.00441455474327007	0.0124369599035376	0.0107373172149932	0.0119627867151283	1.01686466471567	0.00177900714750988	0.00480534855764198	0.33169720340557	0.300137727472155	0.0236593422306715	0.00800197414949944	0.00317041940877063
"Vriesea_sp1_M_PL_066"	0.0184591318425139	0.0191255501740183	0.00439623910612407	0.00118243902748283	0.0410574318126768	0.00118169717440535	0.00129635409159377	0.00145344425220916	0.00103312940593804	0.00121269422856832	0.00147939528895765	0.00103312940593804	0.00205427714970558	0.000993085297428818	0.00103312940593804	0.000992148593136205	0.00147772884996673	0.0453035638114138	0.00108220167848876	0.00103312940593804	0.00102622121178002	0.00136373737010615	0.00101638581670758	0.00103312940593804	0.000991328976880168	0.00174973513836571	0.00103312940593804	0.00118230495425241	0.00177900714750988	1.13098938615735	0.0442890677460669	0.0319154336082379	0.0329598473420728	0.0122524874935321	0.589190258935743	0.000348639287080529
"Stromanthe_thalia"	0.00771750966365327	0.00934952064507697	0.00496330582431666	0.00942105986490488	0.0192685665722258	0.0114549832023396	0.0116877366224363	0.00781347041196143	0.00765909156545838	0.0128806838870006	0.00201234803543473	0.00765909156545838	0.00428091361002961	0.0135530537419775	0.00765909156545838	0.0136909242022469	0.00637769094911058	0.0160499804611739	0.00867919278639872	0.00765909156545838	0.00867588620994559	0.00754400805596692	0.0101235260427748	0.00765909156545838	0.0138115608549827	0.00911380044106236	0.00765909156545838	0.0070883429638951	0.00480534855764198	0.0442890677460669	1.02272630258796	0.23660465664014	0.025476258847423	0.204621813317665	0.199212226721809	0.000751711139629057
"Phaethornis_eurynome"	0.00596833775760235	0.00973414520942562	0.0114053457383138	0.025810790506718	0.0268942344437795	0.0167588190474157	0.0109243907947393	0.0216563121212963	0.0399235056854452	0.00909568189796319	0.00632242813750743	0.0399235056854452	0.01230470210965	0.0152772000025297	0.0399235056854452	0.0147006782321691	0.027052552399793	0.00270624822176467	0.0258653201908343	0.0399235056854452	0.0356716576290358	0.0266112504767543	0.0296181790402495	0.0399235056854452	0.0141962216831036	0.00345832910621781	0.0399235056854452	0.0362337314343534	0.0214746344299864	0.00206625881187608	0.0153181831309168	1.23331693763477	0.0394983124802839	0.048916332416579	0.0092940321358186	0.00230771866587991
"Thalurania_glaucopis"	0.0713246498329082	0.0575386392779819	0.0622996144412209	0.0127323474316752	0.00367237415016605	0.0136534513947403	0.0205756509680851	0.0280698588558633	0.00302576317452764	0.0161715329008873	0.048072530555042	0.00302576317452764	0.0620889053887209	0.003443668125462	0.00302576317452764	0.00345344367986982	0.0288312685369483	0.0610060778919244	0.0103612695852312	0.00302576317452764	0.00309785788828533	0.0226125169703494	0.00320050120956745	0.00302576317452764	0.00346199728997667	0.0462895105079325	0.00302576317452764	0.0116174154261597	0.0459840244326881	0.00504976977816345	0.00390321109965115	0.093471875987508	1.16105259740834	0.0457210365061071	0.0227138644621792	0.0103739589692026
"Phaethornis_squalidus"	0.00344688501247183	0.00813879992285164	0.00957757035242614	0.0283297636884756	0.00663726502398334	0.0496261577317972	0.0566467113946792	0.0222995156259418	0.00389089503790797	0.0658130800716368	0.00278596940088943	0.00389089503790797	0.00926098538658321	0.0640904740991664	0.00389089503790797	0.0654986513871491	0.00821520114898631	0.00307477632996069	0.0240198868203762	0.00389089503790797	0.01427620253678	0.0158907188114331	0.0290620640605979	0.00389089503790797	0.0667308065141339	0.0477693554309202	0.00389089503790797	0.00386547906661882	0.00376381518146222	0.00194917077529941	0.0325519906645983	0.120197529511053	0.047473942932765	1.15539163644895	0.00876737014729674	0.00150285429326904
"Clytolaema_rubricauda"	0.0369182636850277	0.0382511003480366	0.00879247821224813	0.00236487805496566	0.0821148636253536	0.00236339434881069	0.00259270818318755	0.00290688850441831	0.00206625881187608	0.00242538845713663	0.00295879057791529	0.00206625881187608	0.00410855429941117	0.00198617059485764	0.00206625881187608	0.00198429718627241	0.00295545769993345	0.0906071276228276	0.00216440335697751	0.00206625881187608	0.00205244242356003	0.00272747474021231	0.00203277163341515	0.00206625881187608	0.00198265795376034	0.00349947027673143	0.00206625881187608	0.00236460990850481	0.00355801429501976	0.261978772314692	0.0885781354921339	0.0638308672164758	0.0659196946841456	0.0245049749870642	1.17838051787149	0.000697278574161057
"Leucochloris_albicollis"	0.00863300403927504	0.00725841503396471	0.00790898821163962	0.00302776325605987	0.00181007954417814	0.00290359555744002	0.00349395132416456	0.00455071832885692	0.00234524254662593	0.00298261962647725	0.469662827354157	0.00234524254662593	0.00792532449063834	0.00178576365346959	0.00234524254662593	0.00177267642789868	0.00476356457138839	0.00726791097322538	0.0887523835640412	0.00234524254662593	0.00224872425804048	0.00409399267854317	0.00211130838954594	0.00234524254662593	0.00176122510552414	0.00603496608865429	0.00234524254662593	0.00316498241484978	0.00644394188774519	0.000708616437155546	0.00152786816997776	0.0724492327503682	0.137623638601596	0.0192011018038398	0.00318735673432565	1.1008720034432
