"Dillenia_ferruginea"	"Erythroxylum_sechellarum"	"Campnosperma_seychellarum"	"Craterispermum_microdon"	"Soulamea_terminaloides"	"Excoecaria_benthiamiana"	"Memecylon_eleagni"	"Colea_seychellarum"	"Cinnamomum_verum"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp1_M_PL_100"	"Lygistorrhina_sp1_M_PL_100"	"Scaptodrosophila_sp1_M_PL_100"	"Eristalinus_vicarians"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Phelsuma_sp1_M_PL_100"	"Rhiparida_seychellensis"	"Cratopus_aurostriatus"	"Unidentified_sp2_M_PL_100"	"Unidentified_sp3_M_PL_100"
"Dillenia_ferruginea"	1.16671251703918	0.104991164661346	0	0.0361447206530893	0	0	0.0191136982347888	0	0.00637123274492959	0.267591775287043	0.274097464952594	0	0	0.00903618016327233	0	0	0	0.0729195323149487	0	0.0364597661574744	0.00328097389566706	0.00328097389566706
"Erythroxylum_sechellarum"	0.104991164661346	1.16815272505923	0	0.0180656093514507	0	0	0.0315928756959833	0	0.0105309585653278	0.442300259743767	0.136997537581834	0	0	0.00451640233786268	0	0	0	0.00656194779133411	0	0.00328097389566705	0.0365047726581008	0.0365047726581008
"Campnosperma_seychellarum"	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.166666666666667	0	0	0
"Craterispermum_microdon"	0.0963859217415715	0.0481749582705352	0	1.18530920309802	0	0	0.00259743766740309	0	0.000865812555801029	0.0363641273436432	0.321928123493337	0	0	0.296327300774506	0	0	0	0.00602412010884822	0	0.00301206005442411	0.00150546744595422	0.00150546744595422
"Soulamea_terminaloides"	0	0	0	0	1.25925925925926	0.0740740740740741	0	0	0	0	0	0	0.246913580246914	0	0.209876543209877	0	0.209876543209877	0	0	0	0	0
"Excoecaria_benthiamiana"	0	0	0	0	0.148148148148148	1.18518518518519	0	0	0	0	0	0	0.617283950617284	0	0.0246913580246914	0	0.0246913580246914	0	0	0	0	0
"Memecylon_eleagni"	0.101939723918874	0.168495337045245	0	0.00519487533480617	0	0	1.04327754777581	0	0.0144258492586023	0.605885668861296	0.0393944712889468	0	0	0.00129871883370154	0	0	0	0.00637123274492959	0	0.0031856163724648	0.00526547928266389	0.00526547928266389
"Colea_seychellarum"	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0
"Cinnamomum_verum"	0.101939723918874	0.168495337045245	0	0.00519487533480617	0	0	0.0432775477758069	0	1.0144258492586	0.605885668861296	0.0393944712889468	0	0	0.00129871883370154	0	0	0	0.00637123274492959	0	0.0031856163724648	0.00526547928266389	0.00526547928266389
"Lasioglossum_mahense"	0.203879447837747	0.336990674090489	0	0.0103897506696123	0	0	0.0865550955516137	0	0.0288516985172046	1.21177133772259	0.0787889425778936	0	0	0.00259743766740309	0	0	0	0.0127424654898592	0	0.00637123274492959	0.0105309585653278	0.0105309585653278
"Apis_mellifera"	0.3373507260955	0.168612353946873	0	0.148582210843079	0	0	0.0090910318359108	0	0.0030303439453036	0.127274445702751	1.12674843222668	0	0	0.0371455527107697	0	0	0	0.0210844203809688	0	0.0105422101904844	0.00526913606083979	0.00526913606083979
"Unidentified_sp1_M_PL_100"	0	0	0.666666666666667	0	0	0	0	0	0	0	0	1.25	0	0	0	0	0	0	0.0833333333333333	0	0	0
