"Phoenicophorium_borsigianum"	"Erythroxylum_sechellarum"	"Canthium_bibracteatum"	"Cinnamomum_verum"	"Roscheria_melanochaetes"	"Colea_seychellarum"	"Lasioglossum_mahense"	"Rhiparida_seychellensis"	"Apis_mellifera"	"Unidentified_sp3_M_PL_094"	"Unidentified_sp4_M_PL_094"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Unidentified_sp1_M_PL_094"	"Leptotes_pirithous"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Unidentified_sp2_M_PL_094"
"Phoenicophorium_borsigianum"	1.27430755329959	0.0419820831859532	0.00519990347002349	0.0055353401436081	0.0063084532341564	0	0.283736494101969	0.264955035834569	0.0225799542561745	0.063084532341564	0.0220795863195474	0.000649987933752936	0.000716030997799044	0.00220958332557649	0.00018451133812027	0	0.000162496983438234	0.0063084532341564
"Erythroxylum_sechellarum"	0.223167915883225	1.10718057576521	0.000910652704831192	0.000969397317276473	0.00110479166278824	0	0.541718875837333	0.0464012498371062	0.00395439964162585	0.0110479166278824	0.00386677081975885	0.000113831588103899	0.000125397628753622	0.0582726618823796	3.23132439092158e-05	0	2.84578970259748e-05	0.00110479166278824
"Canthium_bibracteatum"	0.0328243906545233	0.00108140008698704	1.18459004378134	0.114675001827046	0.000162496983438234	0	0.0073086575538474	0.00682487330440582	0.4127193803019	0.00162496983438234	0.000568739442033819	0.148073755472667	0.0484859390508715	5.69157940519495e-05	0.00382250006090154	0	0.0370184388681668	0.000162496983438234
"Cinnamomum_verum"	0.0372712903002945	0.0012279032685502	0.122320001948849	1.17232962647752	0.00018451133812027	0	0.00829880134750801	0.00774947620105134	0.468632730998467	0.0018451133812027	0.000645789683420945	0.0152900002436062	0.121055462708653	6.46264878184316e-05	0.0390776542159173	0	0.00382250006090154	0.00018451133812027
"Roscheria_melanochaetes"	0.159288444162449	0.00524776039824415	0.000649987933752936	0.000691917517951012	1.16745522332094	0	0.0354670617627461	0.0331193794793211	0.00282249428202181	0.00788556654269549	0.586093281623277	8.1248491719117e-05	8.95038747248805e-05	0.000276197915697061	2.30639172650338e-05	0	2.03121229297792e-05	0.00078855665426955
"Colea_seychellarum"	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0
"Lasioglossum_mahense"	0.485718405157608	0.174451841371344	0.00198200882816201	0.00210986474936644	0.00240454656018618	0	1.17903520035184	0.100990955527819	0.00860663451412685	0.0240454656018618	0.00841591296065161	0.000247751103520251	0.000272924250816707	0.00918167586164971	7.03288249788814e-05	0	6.19377758800627e-05	0.00240454656018618
"Rhiparida_seychellensis"	0.637153776649796	0.0209910415929766	0.00259995173501174	0.00276767007180405	0.0031542266170782	0	0.141868247050984	1.13247751791728	0.0112899771280872	0.031542266170782	0.0110397931597737	0.000324993966876468	0.000358015498899522	0.00110479166278824	9.2255669060135e-05	0	8.1248491719117e-05	0.0031542266170782
"Apis_mellifera"	0.095023974161401	0.0031305663829538	0.2751462535346	0.292895456874042	0.000470415713670302	0	0.0211579765138952	0.0197574599741527	1.19478945222439	0.00470415713670302	0.00164645499784606	0.034393281691825	0.0378878661103604	0.00016476665173441	0.00976318189580139	0	0.00859832042295625	0.000470415713670302
"Unidentified_sp3_M_PL_094"	0.637153776649796	0.0209910415929766	0.00259995173501174	0.00276767007180405	0.0031542266170782	0	0.141868247050984	0.132477517917284	0.0112899771280873	1.03154226617078	0.0110397931597737	0.000324993966876468	0.000358015498899522	0.00110479166278824	9.2255669060135e-05	0	8.1248491719117e-05	0.0031542266170782
