"Guarea_guidonia"	"Clusia_rosea"	"Ocotea_coriacea"	"Roystonea_borinquena"	"Cupania_americana"	"Cecropia_schreberiana"	"Clusia_gundlachi"	"Hyeronima_clusioides"	"Ficus_sp1_M_SD_005"	"Margravia_rectiflora"	"Persea_americana"	"Phoradendron_sp1_M_SD_005"	"Alchornea_latifolia"	"Anthurium_scandens"	"Ardisia_obovata"	"Bursera_simaruba"	"Chrysophyllum_argenteum"	"Comocladia_glabra"	"Dendropemon_bicolor"	"Guapira_fragrans"	"Petitia_dominguensis"	"Syzigium_malaccensis"	"Unidentified_sp1_M_SD_005"	"Unidentified_sp2_M_SD_005"	"Zanthoxylum_martinicensis"	"Loxigilla_portoricensis"	"Margarops_fuscatus"	"Columba_squamosa"	"Turdus_plumbeus"	"Vireo_altiloquous"	"Spindalis_portoricensis"	"Euphonia_musica"	"Tyrannus_caudifasciatus"	"Tyrannus_dominicensis"	"Molothrus_bonariensis"	"Myarchus_antillarum"	"Coereba_flaveola"	"Vireo_latimeri"
"Guarea_guidonia"	1.14439206390308	0.0401702578881997	0.033553801706746	0.00791582606259876	0.0362465996523128	0.00718814648264622	0.0117417184116157	0.00035069960325062	0.0078370018091913	0.00603729506963171	0.00374079576800662	0	0.00421310590893488	0	0.000116899867750207	0.00421310590893488	0.00362389590025641	0.00421310590893488	0	0.00362389590025641	0.000280820702168014	0.00362389590025641	0.00421310590893488	0.0024133991693753	0.00362389590025641	0.244360142718223	0.210185962214872	0.0101095452780485	0.0820555717587603	0.0231058978524294	0.00116899867750207	0	0.0673171802295926	0.00525747008480913	0.00251064111801248	0.0180846156164044	0.00125532055900624	0.00125532055900624
"Clusia_rosea"	0.0853617980124244	1.17396813923388	0.0163546885410135	0.0019261224359815	0.0161679566249842	0.00293327189883998	0.00717998650772932	0.000227053681856994	0.00471880222442879	0.00267698662456586	0.00242190593980793	0	0.00237258084523985	0	7.56845606189979e-05	0.00237258084523985	0.00234622137918894	0.00237258084523985	0	0.00234622137918894	0.000114962904111605	0.00234622137918894	0.00237258084523985	0.000330765245376921	0.00234622137918894	0.137609689023911	0.136080839992958	0.0041386645480178	0.0112460183428153	0.1846878423143	0.000756845606189979	0	0.00502128223602496	0.00243764228814958	0.0733730087021174	0.0379418249100649	0.0366865043510587	0.0366865043510587
"Ocotea_coriacea"	0.0760552838686243	0.0174450011104144	1.07486633021952	0.051222779601961	0.0415037724066824	0.0129536534664924	0.012779573901461	0.000408977286288316	0.00477900572403937	0.00907790588752688	0.00436242438707537	0	0.000552907099060105	0	0.000136325762096105	0.000552907099060105	0.00422609862497926	0.000552907099060105	0	0.00422609862497926	0.00377446955244234	0.00422609862497926	0.000552907099060105	0.00485180726254762	0.00422609862497926	0.0320686117454861	0.245113720248797	0.135880903887924	0.164961446926619	0.00384424148039378	0.00136325762096105	0	0.00447384022756613	0.0751164030485252	0.0010903125694009	0.00166361634159198	0.00054515628470045	0.00054515628470045
"Roystonea_borinquena"	0.0207029297021814	0.00237061222890031	0.0591032072330319	1.16380917491738	0.0154888289863482	0.0320510337768214	0.0152947945937092	3.51597874961649e-05	0.000615540641287466	0.00353025644719858	0.000375037733292426	0	0.000252222837160429	0	1.17199291653883e-05	0.000252222837160429	0.000363317804127038	0.000252222837160429	0	0.000363317804127038	0.0143159361482947	0.000363317804127038	0.000252222837160429	0.00316693864307154	0.000363317804127038	0.0146289245553049	0.0210724326393682	0.515373701338609	0.107675913864432	0.000674863009327164	0.000117199291653883	0	0.00121781939424596	0.00523094956439781	0.000148163264306269	0.000378536480714626	7.40816321531347e-05	7.40816321531347e-05
"Cupania_americana"	0.102698699014886	0.0215572754999789	0.051879715508353	0.0167795647352105	1.07849123263314	0.0120655141607523	0.00693961678330791	5.87447944336486e-05	0.00587707037300491	0.00649146913706549	0.000626611140625585	0	0.00527004083052388	0	1.95815981445495e-05	0.00527004083052388	0.000607029542481035	0.00527004083052388	0	0.000607029542481035	0.000455516867821965	0.000607029542481035	0.00527004083052388	0.00588443959458446	0.000607029542481035	0.305662368170385	0.0352077134639	0.0163986072415907	0.200070946215872	0.00487859928238474	0.000195815981445495	0	0.00604109994205213	0.0933329170866522	0.00134732971874868	0.00218393984488737	0.000673664859374341	0.000673664859374341
"Cecropia_schreberiana"	0.0610992451024928	0.0117330875953599	0.0485762004993465	0.104165859774669	0.0361965424822568	1.02457258295574	0.0122818431470685	4.4836429093415e-05	0.0031817399255337	0.00504387565633451	0.000478255243663093	0	0.00271843015823507	0	1.49454763644717e-05	0.00271843015823507	0.000463309767298621	0.00271843015823507	0	0.000463309767298621	0.00863679345423615	0.000463309767298621	0.00271843015823507	0.00458056588903589	0.000463309767298621	0.157668949177634	0.02687196650332	0.310924564352502	0.15573924022722	0.00273181324710577	0.000149454763644717	0	0.00359407324132311	0.00625479190681117	0.000733317974709995	0.00126517729768578	0.000366658987354998	0.000366658987354998
"Clusia_gundlachi"	0.0998046064987336	0.0287199460309173	0.0479234021304786	0.0497080824295549	0.0208188503499237	0.0122818431470685	1.01748229935806	0.000496931012055561	0.00795077004608754	0.00580782964200209	0.00530059746192598	0	0.00281581625484674	0	0.000165643670685187	0.00281581625484674	0.00513495379124079	0.00281581625484674	0	0.00513495379124079	0.00439657552073021	0.00513495379124079	0.00281581625484674	0.000672875850761304	0.00513495379124079	0.163317342781111	0.297827319891966	0.158276718746288	0.0228777789258843	0.00595520636878279	0.00165643670685187	0	0.00587085920580786	0.00492979767119222	0.00179499662693233	0.00236521311491813	0.000897498313466166	0.000897498313466166
"Hyeronima_clusioides"	0.00397459550350703	0.00121095296990397	0.00204488643144158	0.000152359079150048	0.000234979177734594	5.97819054578866e-05	0.000662574682740747	1.19357899131832	0.000336001044215356	0.000335608074601948	0.0648425740620414	0	1.97574216128064e-05	0	0.0645263304394388	1.97574216128064e-05	0.00031624362260255	1.97574216128064e-05	0	0.00031624362260255	1.03300159228411e-05	0.00031624362260255	1.97574216128064e-05	1.9364451999398e-05	0.00031624362260255	0.00114593045354277	0.0183421301109479	0.000371880573222279	0.000658391367979533	0.000247661335422598	0.645263304394388	0	0.000233799735500414	0.000155907360240655	7.56845606189979e-05	9.62922141846024e-05	3.7842280309499e-05	3.7842280309499e-05
"Ficus_sp1_M_SD_005"	0.133229030756252	0.0377504177954303	0.0358425429302953	0.00400101416836853	0.0352624222380295	0.00636347985106739	0.0159015400921751	0.000504001566323035	1.0104440716947	0.00583653610276952	0.0053760167074457	0	0.00523605550936216	0	0.000168000522107678	0.00523605550936216	0.00520801618533802	0.00523605550936216	0	0.00520801618533802	0.000249452212136867	0.00520801618533802	0.00523605550936216	0.000628519917431496	0.00520801618533802	0.303691219543005	0.302064938749605	0.00898027963692722	0.0213696771926709	0.0078577532328338	0.00168000522107678	0	0.00783700180919129	0.00532803804852214	0.00235940111221439	0.00313895100840502	0.0011797005561072	0.0011797005561072
"Margravia_rectiflora"	0.102634016183739	0.0214158929965268	0.0680842941564516	0.0229466669067908	0.0389488148223929	0.010087751312669	0.0116156592840042	0.000503412111902922	0.00583653610276952	1.01350066947275	0.00536972919363117	0	0.000634610946439325	0	0.000167804037300974	0.000634610946439325	0.00520192515633019	0.000634610946439325	0	0.00520192515633019	0.000577198024904479	0.00520192515633019	0.000634610946439325	0.00829874431642074	0.00520192515633019	0.0368074348934809	0.301711659067151	0.0207791288965613	0.282157306758305	0.00485555704811525	0.00167804037300974	0	0.00603729506963171	0.00778468751229619	0.00133849331228293	0.00217857042354939	0.000669246656141464	0.000669246656141464
"Persea_americana"	0.0635935280561125	0.0193752475184635	0.0327181829030653	0.00243774526640077	0.00375966684375351	0.000956510487326185	0.010601194923852	0.097263861093062	0.0053760167074457	0.00536972919363116	1.03748118499266	0	0.000316118745804902	0	0.0324212870310207	0.000316118745804902	0.0050598979616408	0.000316118745804902	0	0.0050598979616408	0.000165280254765457	0.0050598979616408	0.000316118745804902	0.000309831231990369	0.0050598979616408	0.0183348872566843	0.293474081775166	0.00595008917155647	0.0105342618876725	0.00396258136676157	0.324212870310207	0	0.00374079576800662	0.00249451776385048	0.00121095296990397	0.00154067542695364	0.000605476484951983	0.000605476484951983
"Phoradendron_sp1_M_SD_005"	0	0	0	0	0	0	0	0	0	0	0	1.16666666666667	0	0.0833333333333333	0	0	0	0	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0
"Alchornea_latifolia"	0.143245600903786	0.0379612935238376	0.00829360648590158	0.00327889688308558	0.0632404899662865	0.0108737206329403	0.011263265019387	5.92722648384192e-05	0.0104721110187243	0.00126922189287865	0.000632237491609805	0	1.00985963094873	0	1.97574216128064e-05	0.00985963094872732	0.000612480069996998	0.00985963094872732	0	0.000612480069996998	0.000178673930665661	0.000612480069996998	0.00985963094872732	0.000656741822881653	0.000612480069996998	0.571858595026185	0.0355238440598259	0.00643226150396379	0.0223292219779762	0.00803800506756707	0.000197574216128064	0	0.00842621181786977	0.00582294792958399	0.00237258084523985	0.00329284337708737	0.00118629042261992	0.00118629042261992
"Anthurium_scandens"	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	1.08333333333333	0	0	0	0	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0
"Ardisia_obovata"	0.00397459550350703	0.00121095296990397	0.00204488643144158	0.000152359079150048	0.000234979177734594	5.97819054578866e-05	0.000662574682740747	0.193578991318316	0.000336001044215356	0.000335608074601948	0.0648425740620414	0	1.97574216128064e-05	0	1.06452633043944	1.97574216128064e-05	0.00031624362260255	1.97574216128064e-05	0	0.00031624362260255	1.03300159228411e-05	0.00031624362260255	1.97574216128064e-05	1.9364451999398e-05	0.00031624362260255	0.00114593045354277	0.0183421301109479	0.000371880573222279	0.000658391367979533	0.000247661335422598	0.645263304394388	0	0.000233799735500414	0.000155907360240655	7.56845606189979e-05	9.62922141846024e-05	3.7842280309499e-05	3.7842280309499e-05
