"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Tococa_bullifera"	"Tachigalia_spp."	"Duroia_saccifera"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Crematogaster_laevis"	"Pseudomyrmex_concolor"	"Allomerus_septemarticulatus"	"Crematogaster_brasiliensis"	"Solenopsis_sp2"	"Pseudomyrmex_nigriceps"
"Cordia_nodosa"	1.33333333333333	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0
"Hirtella_myrmecophila"	0	1.31481481481481	0	0	0.0185185185185185	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0
"Maieta_guianensis"	0	0	1.30718954248366	0	0	0.0261437908496732	0	0	0	0	0.392156862745098	0	0.209150326797386	0	0	0	0.065359477124183	0
"Myrcia_madida"	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0
"Hirtella_physophora"	0	0.314814814814815	0	0	1.01851851851852	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0
"Tococa_bullifera"	0	0	0.261437908496732	0	0	1.0718954248366	0	0	0	0	0.0784313725490196	0	0.575163398692811	0	0	0	0.0130718954248366	0
"Tachigalia_spp."	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0.571428571428571	0	0.0476190476190476	0	0.0476190476190476
"Duroia_saccifera"	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0.666666666666667	0	0	0
"Azteca_r.am.1"	0.666666666666667	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0
"Allomerus_octoarticulatus"	0	0.62962962962963	0	0	0.037037037037037	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0
"Pheidole_minutula"	0	0	0.65359477124183	0	0	0.0130718954248366	0	0	0	0	1.19607843137255	0	0.104575163398693	0	0	0	0.0326797385620915	0
"Myrcidris_sp."	0	0	0	0.666666666666667	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0
"Crematogaster_laevis"	0	0	0.522875816993464	0	0	0.143790849673203	0	0	0	0	0.156862745098039	0	1.15032679738562	0	0	0	0.0261437908496732	0
"Pseudomyrmex_concolor"	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	1.28571428571429	0	0.0238095238095238	0	0.0238095238095238
"Allomerus_septemarticulatus"	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	1.33333333333333	0	0	0
"Crematogaster_brasiliensis"	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0.285714285714286	0	1.02380952380952	0	0.0238095238095238
"Solenopsis_sp2"	0	0	0.65359477124183	0	0	0.0130718954248366	0	0	0	0	0.196078431372549	0	0.104575163398693	0	0	0	1.03267973856209	0
"Pseudomyrmex_nigriceps"	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0.285714285714286	0	0.0238095238095238	0	1.02380952380952
