"Dracaena_reflexa"	"Stillingia_lineata"	"Myonima_violacea"	"Psiadia_terebinthina"	"Bertiera_zaluzania"	"Erythroxylum_macrocarpum"	"Homalanthus_populifolius"	"Croton_fothergillifolius"	"Molinaea_alternifolia"	"Olea_lancea"	"Psidium_cattleianum"	"Faujasiopsis_flexuosa"	"Claoxylon_linostachys"	"Aphloia_theiformis"	"Flagellaria_indica"	"Chassalia_coriacea"	"Antirhea_borbonica"	"Chaetocnema_sp1_M_PL_075"	"Stomorhina_lunata"	"Apis_mellifera"	"Technomyrmex_albipes"	"Dysauxes_florida"	"Allograpta_nasuta"	"Ophyra_capensis"	"Dioxyna_sororcula"	"Pachycerina_crinicornis"	"Ischiodon_aegyptius"	"Nacoleia_sp1_M_PL_075"	"Brachymyrmex_sp1_M_PL_075"	"Lygistorrhina_sp1_M_PL_075"	"Musca_domestica"	"Polistes_hebraeus"	"Melanostoma_bituberculatum"	"Panara_naso"	"Paragus_borbonicus"	"Chrysomya_megacephala"	"Fannia_pusio"	"Melanostoma_annulipes"	"Cerambycidae_sp1_M_PL_075"	"Episyrphus_sp1_M_PL_075"	"Eristalinus_flaveolus"	"Ornidia_obesa"	"Stomoxys_calcitrans"	"Agathidinae_sp1_M_PL_075"	"Cerambycidae_sp2_M_PL_075"	"Eumolpinae_sp1_M_PL_075"	"Eumolpinae_sp2_M_PL_075"	"Gelechioidea_sp1_M_PL_075"	"Henotesia_narcissus"	"Leptotes_pirithous"	"Mauritiborium_undulatus"	"Nacoleia_sp2_M_PL_075"	"Phorinia_sp1_M_PL_075"	"Stomoxys_niger"	"Syritta_sp1_M_PL_075"	"Villa_unifasciata"
"Dracaena_reflexa"	1.13284549552401	0.0163857348678485	0.0279720256519998	0.0147023286352485	0.0504690402523098	0.0188668020714756	0.00969762154479561	0.0129386188201081	0.0179849743864773	0.00623288835257033	0.00324227573109605	0.00593791537978664	0.000293718743152719	0.00213641531357515	0.00069067060954061	0.0046770718773954	0.00825973557194654	0.0189451108260154	0.0571714493697389	0.196079080739634	0.0146566278312871	0.0408753187335364	0.0732685086360301	0.00405396130401774	0.00295578266707992	0.0260687118385528	0.0693979106784738	0.0483092852453486	0.00170561132024389	0.000406393095860493	0.00126670074787106	0.00134821715546367	0.000528852131002146	0.00149455766023636	6.52708318117153e-05	0.0339853648657202	0.000535125378778033	0.0117014403992707	0.000384349594599203	0.0116537446461276	0.0226569099104801	0.000535322957105347	0.000682244528097556	0.000359699487729547	0.000258772376402162	0.000258772376402162	0.00032528969088751	0.00032528969088751	0.0113284549552401	0.000341122264048778	0.00032528969088751	0.000258772376402162	0.00032528969088751	0.0113284549552401	0.000174316328381367	0.00032528969088751
"Stillingia_lineata"	0.0174316328381367	1.09277854364762	0.0155128794804756	0.0164433159923006	0.0171123549950472	0.0213496378642344	0.0317645112980626	0.0215054219644542	0.0328261499710063	0.0226726154568019	0.0125849606649511	0.00541904748286303	0.000276250671347633	0.00842886662491187	0.00946561970220173	0.00475936050200583	0.00300216417691357	0.235915279847273	0.040403534878743	0.010327621782359	0.0530670323561059	0.00548731599250558	0.0641508207513152	0.120794236456558	0.00435983862739554	0.038807100741135	0.00232217045360302	0.00245813144517771	0.000945907285394852	0.000250570495156222	0.0141600616276684	0.00262866271873827	0.013505543152399	0.00155793733005722	6.13890380772517e-05	0.0005229489851441	0.0238614632981527	0.00139602830138377	0.0118602081700015	0.000542413532937133	0.000348632656762733	0.000603001718731488	0.000378362914157941	0.000656522999420125	0.000430108439289084	0.000430108439289084	0.000368097204555766	0.000368097204555766	0.000174316328381367	0.00018918145707897	0.000368097204555766	0.000430108439289084	0.000368097204555766	0.000174316328381367	0.0116253036558257	0.000368097204555766
"Myonima_violacea"	0.0341122264048778	0.0177830569654232	1.14696712724968	0.0276453806000339	0.0597964285589958	0.00683534913131132	0.00226566966869665	0.00868774929299632	0.0116180257668279	0.00261042045452314	0.00265625482104868	0.00114614326543545	0.00719582140242034	0.00202449678336251	0.000428296071578941	0.00113258089504894	0.000428306001073527	0.0110617352027628	0.010636572105734	0.0902305008963921	0.193551404132735	0.172807717818813	0.0197363830165672	0.00343058457590637	0.00485086576789122	0.00347490525375824	0.00327630419023544	0.00184049082823702	0.0699370199542487	0.0155864754136098	0.000741043628855802	0.0147074092188305	0.000508987859814969	0.000400996070853809	0.00159907142276008	0.00102336679214633	0.0004219334847098	0.000428263405152495	0.000584115465650884	0.000458973111140352	0.000682244528097555	0.000512784855663487	0.0279748079816995	0.000232360515336557	0.000173754985859927	0.000173754985859927	0.000117850847091574	0.000117850847091574	0.000341122264048778	0.0139874039908497	0.000117850847091574	0.000173754985859927	0.000117850847091574	0.000341122264048778	0.00018918145707897	0.000117850847091574
"Psiadia_terebinthina"	0.0210033266217836	0.0220810243325179	0.0323845887028969	1.10193605540225	0.00869119142859332	0.0253362488532487	0.019075173871889	0.0260656597160032	0.0151659009271436	0.0104129277116115	0.0117192726666771	0.0201186801167321	0.00685154356588748	0.00656518771405045	0.00325694598805698	0.00125815052776569	0.00141145518622934	0.0934651158046026	0.192130328139111	0.00856416698992957	0.00843213104487011	0.116648870151497	0.00603794256558881	0.00463789523258949	0.159697837478437	0.0199882961603635	0.00212816113128582	0.00230619600938028	0.00197467004285957	0.0019174992454358	0.00157520108479566	0.0019588150530109	0.00140542747247271	0.000751369508721573	0.00152256523686388	0.000630099798653509	0.000836639295118541	0.000943693799752029	0.0159768481627793	0.000646865142997987	0.000420066532435673	0.0161787755253837	0.000789868017143826	0.000303318018542872	0.000521313194320065	0.000521313194320065	0.00043683187678015	0.00043683187678015	0.000210033266217836	0.000394934008571913	0.00043683187678015	0.000521313194320065	0.00043683187678015	0.000210033266217836	0.000234904514175722	0.00043683187678015
"Bertiera_zaluzania"	0.0742191768416321	0.0236553142578593	0.0721074579682008	0.00894681470590489	1.09839235413157	0.00813640407542185	0.0039808864569206	0.00879906202715852	0.0188919105551302	0.00568701169781039	0.00197637511855406	0.00276734209465452	0.000515413681470624	0.00124859296443302	0.000497714362737073	0.00277470154333948	0.000736800850533506	0.0133320352815553	0.0264020737047613	0.27600029714378	0.20682604358144	0.0301426605046739	0.0404661283547848	0.00487273727175013	0.00181761743311924	0.019671969179192	0.0211241003877161	0.00354176980991168	0.00439679621757322	0.000993895617174783	0.00116043971911801	0.00180656984073815	0.000465573728739152	0.000833958214721452	0.000114536373660139	0.00222657530524896	0.000579860067464793	0.00089530278599019	0.000379463917994713	0.000882474597302905	0.00148438353683264	0.000268094467542368	0.00175871848702929	0.000377838211102605	0.000175981240543171	0.000175981240543171	0.000140282828886584	0.000140282828886584	0.000742191768416321	0.000879359243514643	0.000140282828886584	0.00017598124054317	0.000140282828886584	0.000742191768416321	0.000251652279338929	0.000140282828886584
"Erythroxylum_macrocarpum"	0.032528969088751	0.034601137228242	0.0096637694615091	0.0305782313746105	0.00953923236428768	1.08383187644606	0.0241623107480788	0.0192651139307123	0.015165817231019	0.0208777931772676	0.0121077247156543	0.0145241481853641	0.00031415562217279	0.00473284603898202	0.00695396318646231	0.0117503748389244	0.00273586969523549	0.205094191454634	0.13129311883055	0.00949777919563261	0.00537646240028716	0.0246602439731726	0.0640311862572498	0.00583893054463579	0.00612552476704807	0.0240038090313375	0.0210820938092813	0.00289252422934918	0.000589254235457872	0.000187663207574417	0.0019040495379534	0.00156703249750712	0.00154092972344336	0.0216243502001804	6.98123604828422e-05	0.00097586907266253	0.00120085423118997	0.00125460933504439	0.000804929081335916	0.0190120461813368	0.000650579381775021	0.0191235883672295	0.000235701694183149	0.000303316344620379	0.000385302278614246	0.000385302278614245	0.0186867564904493	0.0186867564904493	0.00032528969088751	0.000117850847091574	0.0186867564904493	0.000385302278614245	0.0186867564904493	0.00032528969088751	0.000368097204555766	0.0186867564904493
"Homalanthus_populifolius"	0.01864927220153	0.0574204627311131	0.00357278678525241	0.0256781186736967	0.00520577459751156	0.0269502696805494	1.06252078732656	0.0287920467987516	0.0193448655000074	0.0344517556900934	0.0188499227571836	0.0081090501789937	0.00110929017209227	0.00272070237322785	0.0126673073410817	0.00259685322975175	0.00469406729593744	0.377021050873621	0.0591675582455586	0.0064939416253348	0.00489124571459737	0.00476719314687828	0.0287087341625119	0.00862427960881491	0.0261001172835922	0.0260664592448518	0.00204706897295732	0.0033058729487925	0.000217852852759293	0.000290079497683475	0.0422508347344461	0.00179711452257013	0.00190433542132531	0.00111387312951638	0.000246508927131616	0.000559478166045901	0.0216548040369747	0.0410526768499599	0.0009776862532683	0.000651152544093738	0.0003729854440306	0.000831490088845534	8.71411411037174e-05	0.000386897310000148	0.000575840935975033	0.000575840935975033	0.000464659822078438	0.000464659822078438	0.0001864927220153	4.35705705518587e-05	0.000464659822078438	0.000575840935975033	0.000464659822078438	0.0001864927220153	0.000610855986501203	0.000464659822078438
"Croton_fothergillifolius"	0.0258772376402161	0.0404301932931738	0.014247908840514	0.0364919236024045	0.0119667243569356	0.0223475321596262	0.0299437286707017	1.06974529620969	0.00933104355382476	0.0235023737724235	0.0138641769250851	0.00757086781266544	0.00214001701794826	0.00249348739218455	0.00865142849011159	0.00406681669954628	0.0106625768962775	0.257102102147575	0.0603505452177134	0.00900317893398137	0.0276725502551238	0.0284667587631173	0.00802122290682878	0.0055989158616487	0.0492753486004391	0.0893848328085285	0.00230053864864688	0.0470236744228797	0.000868774929299633	0.000649314323181762	0.00195503205339214	0.00130277700885703	0.00140428010175199	0.00140200645350082	0.000475559337321835	0.000776317129206484	0.0014360578145532	0.00141045424835223	0.000951421633609148	0.000644074655016407	0.000517544752804323	0.00090661547293431	0.000347509971719853	0.000186620871076495	0.0213949059241939	0.0213949059241939	0.000385302278614245	0.000385302278614245	0.000258772376402161	0.000173754985859926	0.000385302278614245	0.0213949059241939	0.000385302278614245	0.000258772376402161	0.000430108439289084	0.000385302278614245
"Molinaea_alternifolia"	0.0359699487729547	0.0617131619454917	0.0190535622575977	0.0212322612980011	0.0256929983549771	0.017592347987982	0.0201186601200077	0.00933104355382476	1.06754406906692	0.00974326766975709	0.0100570500420372	0.0155375727178531	0.000292372169653591	0.0136621323109006	0.00283969121646934	0.00176220274230394	0.001190991106599	0.0754785791539037	0.14820398144975	0.0772714516827956	0.031718339482702	0.00685842620382691	0.0300457225758047	0.135646384875868	0.0042286058876475	0.00495367157081678	0.0241902328634387	0.00216933702505088	0.00116180257668279	0.000297332108592911	0.0441320803820973	0.0443290336234008	0.00281109127358231	0.000743867030196365	6.49715932563536e-05	0.00107909846318864	0.0016999433088404	0.00113349410772984	0.000959841017962998	0.000663015832349926	0.000719398975459093	0.000606634363163252	0.000464721030673115	0.0213508813813384	0.000186620871076495	0.000186620871076495	0.000303316344620379	0.000303316344620379	0.000359699487729547	0.000232360515336557	0.000303316344620379	0.000186620871076495	0.000303316344620379	0.000359699487729547	0.000656522999420125	0.000303316344620379
"Olea_lancea"	0.0164023377699219	0.0560848908668256	0.00563301255976046	0.0191817089424422	0.0101767577750291	0.0318661053758295	0.0471445077864436	0.0309241760163467	0.0128200890391541	1.04506644661133	0.0233174093053924	0.00732512184077257	0.000278968190847458	0.00230792283727857	0.0165432732048519	0.00221628878850857	0.0060443164225963	0.493819736369781	0.0451959005427368	0.0336333355973503	0.00595041340926088	0.00455214166159922	0.0359893533635084	0.00766974006772263	0.00587089327891064	0.00665633827032369	0.00193961585948045	0.00370635547822964	0.00034347637559515	0.000130688206418465	0.00292270163622376	0.00171790918897739	0.0021080134094225	0.00110348780705524	6.19929312994351e-05	0.000492070133097657	0.00209992070009729	0.00197727367717782	0.000870672188642456	0.000713438987627315	0.000328046755398438	0.000823440023391556	0.00013739055023806	0.000256401780783081	0.000618483520326934	0.000618483520326934	0.000549415609928096	0.000549415609928096	0.000164023377699219	6.86952751190299e-05	0.000549415609928095	0.000618483520326934	0.000549415609928096	0.000164023377699219	0.000596647775178996	0.000549415609928096
"Psidium_cattleianum"	0.0135094822129002	0.0492910959377252	0.00907553730524966	0.034181211944475	0.00559972950256983	0.0292603347294978	0.0408414993072312	0.0288837019272607	0.0209521875875776	0.0369192314002046	1.02537554778018	0.00877994999286682	0.00212474757930433	0.00727012737870776	0.0134722021643602	0.00288291923076184	0.00491382735246232	0.39908184290867	0.0645544876196279	0.00626117696379788	0.00552120348846702	0.00631604460299607	0.0506017601551787	0.00827729093367044	0.0496658144927796	0.00625480311987412	0.00181645017761758	0.00316987557134514	0.000553386421051809	0.000582843412944657	0.0029332877609747	0.0441920407579857	0.00252526314116647	0.00122521833750939	0.000472166128734295	0.000405284466387006	0.00183416017029524	0.00170592171856097	0.00101267638881784	0.00063958335194793	0.000270189644258004	0.000992791557597142	0.000221354568420724	0.000419043751751551	0.000577674038545215	0.000577674038545214	0.000504488529818928	0.000504488529818928	0.000135094822129002	0.000110677284210362	0.000504488529818928	0.000577674038545214	0.000504488529818928	0.000135094822129002	0.00052437336103963	0.000504488529818928
