"Nephrosperma_vanhoutteanum"	"Premna_serratifolia"	"Psidium_cattleianum"	"Deckenia_nobilis"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Ochna_kirkii"	"Alstonia_macrophylla"	"Apis_mellifera"	"Lasioglossum_mahense"	"Ornidia_obesa"	"Unidentified_sp1_M_PL_112"	"Rhynchium_brunneum"	"Xylocopa_caffra"	"Megachile_seychellensis"	"Lygistorrhina_sp1_M_PL_112"	"Hemipyrellia_germana"	"Phelsuma_sp1_M_PL_112"	"Neophyllomyza_approximatonervis"	"Hemipyrellia_sp1_M_PL_112"	"Chalcidoma_disjunctum"	"Unidentified_sp2_M_PL_112"	"Eagris_sabadius"	"Eristalinus_vicarians"	"Rhiparida_seychellensis"	"Simosyrphus_aegyptius"
"Nephrosperma_vanhoutteanum"	1.17283389521645	0.0326448039035769	0.0402061621262226	0.0435783255846293	0.0269617659414511	0.0134706794683379	0.00250646460606058	0.00113123648660783	0.144547783254451	0.165997043890666	0.0520368783839601	0.138722288681515	0.00620251274167962	0.00341176668236117	0.028160266657052	0.0643394793805847	0.0170744566980811	0.00949421654603954	0.0320592358770971	0.00130579215614308	0.000962191390595564	0.00128389361625958	0.000326448039035769	0.000326448039035769	0.000326448039035769	8.95165930735921e-05
"Premna_serratifolia"	0.0607193352606531	1.21671950501363	0.00853605874759688	0.0176468222992614	0.022713504671913	0.00497273276324292	0.0019296882694819	9.5686307557278e-05	0.0267549480774782	0.188520473533604	0.00440157014763479	0.00718185685878693	0.231176705952589	0.00132329174367478	0.110810547607369	0.00434607585092498	0.00200999916336091	0.00161767893898173	0.00184744534516984	0.0486687802005451	0.000355195197374494	0.00108159546056728	0.0121671950501363	0.0121671950501363	0.0121671950501363	6.8917438195782e-05
"Psidium_cattleianum"	0.0869575134357838	0.00992564970650799	1.10307005380937	0.0683391720978024	0.0109431501557532	0.0234005006458497	0.0277147972838999	0.00298249619837	0.30054922536301	0.051865380982494	0.13719482512502	0.0102852972881035	0.00188587344423652	0.0760097501371661	0.00276336252596817	0.00519623751932532	0.0684006250499411	0.00546794073976408	0.00317097210325614	0.00039702598826032	0.00167146433184641	0.000521102388369199	9.92564970650799e-05	9.92564970650799e-05	9.92564970650799e-05	0.000989814188710711
"Deckenia_nobilis"	0.0988483970578177	0.0215205149990993	0.0716727902489147	1.0941171556954	0.0212682174673725	0.0210719994181693	0.00310308026951208	0.00173117817704301	0.249838877967385	0.146200658406122	0.0796341961439782	0.0116917458885591	0.00408889784982886	0.005496914232967	0.00406261832965695	0.00632720220969611	0.058601477249267	0.0805887958506958	0.0160001071172994	0.000860820599963972	0.00150514281558352	0.00101277226035107	0.000215205149990993	0.000215205149990993	0.000215205149990993	0.000110824295339717
"Erythroxylum_sechellarum"	0.119402106312141	0.0540797730283642	0.0224074026998755	0.041523662674394	1.07870472478527	0.0126783659328281	0.0043256260268438	0.00021167187361829	0.082206419735029	0.413726294004662	0.00973690618644135	0.0141228297788554	0.0102751568753892	0.0031565956967132	0.00743496680507194	0.0577863597377392	0.00461219410788472	0.00368026358918301	0.00371612017082448	0.00216319092113457	0.000905597566630577	0.0513668916564414	0.000540797730283642	0.000540797730283642	0.000540797730283642	0.00015448664381585
"Memecylon_eleagni"	0.0894837993253875	0.0177597598687247	0.0718729662693956	0.0617108554389245	0.0190175488992421	1.07041250817724	0.00273550307825735	0.000340392276159897	0.422105712876903	0.105343888962056	0.0156580447033553	0.0105841052965512	0.00337435437505769	0.00535101929172632	0.00352276116937635	0.0057165545196084	0.00815113785137864	0.00499652414204836	0.00315804988428068	0.000710390394748988	0.0764580362983744	0.000905597566630577	0.000177597598687247	0.000177597598687247	0.000177597598687247	9.76965385091912e-05
"Ochna_kirkii"	0.0166500863116881	0.00689174381957819	0.0851240202291211	0.00908759221785679	0.0064884390402657	0.00273550307825735	1.20611245677909	0.000243491857479579	0.025614958067678	0.0515889104301359	0.0112006254440606	0.00196936504761903	0.00130943132571986	0.521854409563162	0.000978323316056406	0.00120413921836762	0.0055714013110596	0.000754462365111894	0.000558407260707678	0.000275669752783128	0.000195393077018382	0.0003089732876317	6.8917438195782e-05	6.8917438195782e-05	6.8917438195782e-05	0.0430754448849674
"Alstonia_macrophylla"	0.105204993254528	0.0047843153778639	0.12824733652991	0.0709783052587632	0.00444510934598409	0.00476549186623857	0.0034088860047141	1.01149889569533	0.0578738585301998	0.0265014990009914	0.52894920198525	0.0124436013526861	0.000909019921794141	0.00891719164080247	0.00269306135722341	0.00586785430665743	0.0120498333366188	0.00575915277443293	0.00369368030504108	0.000191372615114556	0.000340392276159897	0.00021167187361829	4.7843153778639e-05	4.7843153778639e-05	4.7843153778639e-05	0.000121745928739789
"Apis_mellifera"	0.194825273082086	0.0193876435344045	0.187298792617528	0.148454985458881	0.025019345136748	0.0856446373953137	0.00519723786880424	0.000838751572901446	1.12657672882792	0.0626937631899744	0.0385825723534665	0.0230438495043327	0.00368365227153685	0.0131168523451245	0.00593467873706599	0.0116658744348882	0.0202260667043007	0.0119100076163678	0.00704766517564956	0.00077550574137618	0.00611747409966526	0.00119139738746419	0.000193876435344045	0.000193876435344045	0.000193876435344045	0.00018561563817158
"Lasioglossum_mahense"	0.233904925482302	0.142818540555761	0.0337910815492007	0.0908216211310757	0.131640184456029	0.0223456734161936	0.0109431022124531	0.000401537863651384	0.0655434796986096	1.10867368503788	0.0184707417279637	0.0276661739817777	0.0271355227055946	0.00665449871268259	0.0178838821012508	0.0188441138402726	0.00891002747210826	0.00790303783581362	0.00739534755954132	0.00571274162223044	0.00159611952972812	0.00626858021219185	0.00142818540555761	0.00142818540555761	0.00142818540555761	0.000390825079016181
"Ornidia_obesa"	0.210409986509056	0.0095686307557278	0.25649467305982	0.141956610517526	0.00889021869196818	0.00953098373247713	0.00681777200942821	0.0229977913906631	0.1157477170604	0.0530029980019827	1.0578984039705	0.0248872027053722	0.00181803984358828	0.0178343832816049	0.00538612271444682	0.0117357086133149	0.0240996666732377	0.0115183055488659	0.00738736061008215	0.000382745230229112	0.000680784552319795	0.00042334374723658	9.5686307557278e-05	9.5686307557278e-05	9.5686307557278e-05	0.000243491857479579
"Unidentified_sp1_M_PL_112"	0.586416947608223	0.0163224019517885	0.0201030810631113	0.0217891627923147	0.0134808829707256	0.00673533973416895	0.00125323230303029	0.000565618243303914	0.0722738916272254	0.0829985219453331	0.0260184391919801	1.06936114434076	0.00310125637083981	0.00170588334118058	0.014080133328526	0.0321697396902923	0.00853722834904055	0.00474710827301977	0.0160296179385485	0.000652896078071539	0.000481095695297782	0.000641946808129789	0.000163224019517885	0.000163224019517885	0.000163224019517885	4.47582965367961e-05
"Rhynchium_brunneum"	0.0303596676303266	0.608359752506813	0.00426802937379844	0.00882341114963071	0.0113567523359565	0.00248636638162146	0.000964844134740948	4.7843153778639e-05	0.0133774740387391	0.0942602367668023	0.00220078507381739	0.00359092842939346	1.11558835297629	0.000661645871837392	0.0554052738036848	0.00217303792546249	0.00100499958168045	0.000808839469490863	0.00092372267258492	0.0243343901002726	0.000177597598687247	0.000540797730283642	0.00608359752506814	0.00608359752506813	0.00608359752506813	3.4458719097891e-05
"Xylocopa_caffra"	0.0186643706740934	0.00389203454021995	0.192259956229303	0.0132572637383322	0.00389932409593983	0.00440672176965697	0.429762454934369	0.000524540684753086	0.0532389889302114	0.0258351126492383	0.024128871498642	0.00220761373564546	0.000739486562641791	1.19536181368952	0.000751667424191698	0.00118914288873641	0.0120252923818359	0.00107038976706362	0.000663404342493318	0.000155681381608798	0.000314765840689783	0.000185682099806659	3.89203454021995e-05	3.89203454021995e-05	3.89203454021995e-05	0.0153486591047989
"Megachile_seychellensis"	0.201454215315833	0.426194413874498	0.0091403529705101	0.0128128731935335	0.0120103309928085	0.00379374279778992	0.00105357895575305	0.000207158565940262	0.0314994486813503	0.0907950937448118	0.00952929403325206	0.0238279179405824	0.0809769386361547	0.000982949708558374	1.04268984596517	0.0114027923146409	0.00332260843317587	0.0020206144859613	0.00557169044672757	0.0170477765549799	0.000270981628413566	0.000571920523467072	0.00426194413874498	0.00426194413874498	0.00426194413874498	3.76278198483233e-05
"Lygistorrhina_sp1_M_PL_112"	0.498630965199531	0.0181086493788541	0.0186198511109157	0.0216179408831284	0.101126129541044	0.0066693136062098	0.00140482908809556	0.00048898785888812	0.0670787780006069	0.1036426261215	0.0224934415088535	0.0589778560988693	0.00344064338198228	0.00168461909237659	0.0123530250075277	1.03162364638672	0.00749870646652419	0.00426261219328172	0.0136676916296925	0.000724345975154163	0.0004763795433007	0.00481552997814494	0.000181086493788541	0.000181086493788541	0.000181086493788541	5.01724674319842e-05
