"Microtus_arvalis"	"Apodemus_agrarius"	"Clethrionomys_glareolus"	"Apodemus_uralensis"	"Cricetulus_migratorius"	"Sorex_araneus"	"Apodemus_flavicollis"	"Arvicola_terrestris"	"Micromys_minutus"	"Ctenophthalmus_assimilis"	"Leptopsylla_taschenbergi"	"Ctenophthalmus_wagneri"	"Amphipsylla_rossica"	"Ctenophthalmus_agyrtes"	"Nosopsyllus_consimilis"	"Leptopsylla_segnis"	"Ctenophthalmus_orientalis"	"Hystrichopsylla_talpae"	"Peromyscopsylla_bidentata"	"Megabothris_turbidus"	"Nosopsyllus_mokrzeckyi"	"Palaeopsylla_soricis"	"Megabothris_walkeri"	"Doratopsylla_dasycnema"
"Microtus_arvalis"	1.21273655027391	0.0540539086582811	0.0247836395814395	0.0239483941052856	0.0100350516453147	0.00418457492420668	0.00113758602878361	0.00225757935293493	0.000196048763175893	0.0720745049661161	0.0235258515811071	0.113366513980336	0.123835774499801	0.0161338606087782	0.0626712330788017	0.0838166672571837	0.0789092797172284	0.0209186556250046	0.015137121967169	0.00668004952104642	0.0301439822029958	0.00586691407530873	0.0133247216530275	0.000261535932762917
"Apodemus_agrarius"	0.0717350937334197	1.1857401184878	0.0425313187139837	0.0190388098459226	0.00258658639368809	0.00554737216075838	0.00217975443548208	0.00150146565192562	0.00247281391035443	0.15676444070422	0.296737669242532	0.0404688580490249	0.00732506238827173	0.0265502271739612	0.0176330892999953	0.0118618145703858	0.0220843456523391	0.0476948502671796	0.00388755245473754	0.0193299346616164	0.0073089601826905	0.00202783374979306	0.00664531750987283	0.000346710760047399
"Clethrionomys_glareolus"	0.0703855364112881	0.0910170220479252	1.11541789459453	0.0343578224957208	0.00145525411056081	0.0105772682628197	0.0079130642463233	0.00199628723340329	0.000213183930763557	0.228936247495829	0.0255820716916268	0.0101803779138657	0.00718725547861745	0.175937321390319	0.00876485356081066	0.00750135864765288	0.0175745032638602	0.0501953193640099	0.0583602356834483	0.0578870469368866	0.0021601679578406	0.0139089263744646	0.00182990164100926	0.000661079266426234
"Apodemus_uralensis"	0.117264550446571	0.070246643224611	0.0592376249926221	1.0514064111408	0.0167823389513182	0.0118643195903488	0.00441688706720212	0.00150076754300942	0.000613790376854981	0.0274232942027291	0.0736548452225977	0.0489604125533544	0.0119741970526428	0.121676212594997	0.139211508504091	0.0639805972300155	0.0281859954442751	0.0429025546112586	0.0411975047515701	0.022487247366594	0.00321857876867107	0.0387437130329763	0.00230848535649644	0.0007415199743968
"Cricetulus_migratorius"	0.178122166704336	0.0345955930155782	0.00909533819100507	0.0608359786985285	1.04701689237853	0.00135700922637802	0.00045565860168453	0.0017454584376685	0.000109238079621564	0.015309108122031	0.0131085695545877	0.0193747211901842	0.0181885311071329	0.00963374351708608	0.408450410694181	0.0810998944148643	0.0783528233898213	0.0062636620047277	0.00451894453861016	0.00261583877065633	0.00455199674443068	0.00298556263195425	0.00212804690975064	8.48130766486259e-05
"Sorex_araneus"	0.0742762049046685	0.0741961026501433	0.0661079266426234	0.0430081585150144	0.00135700922637801	1.06910151761973	0.00364435323360389	0.000906142993707075	0.000735917547468295	0.092889261687272	0.0883101056961954	0.0103632387609138	0.0075845420501246	0.0839621422508765	0.00979290692668207	0.00785180223080862	0.00723519138734637	0.00794718682592939	0.0723918889304464	0.00534858451943308	0.00217746228938782	0.136043344850449	0.0679501634095691	0.0668188448512329
"Apodemus_flavicollis"	0.0538457386957576	0.0777445748655275	0.131884404105388	0.0426965749829538	0.00121508960449208	0.00971827528961037	1.01423536643179	0.00180544719383238	0.000187862163979536	0.207255988476965	0.0225434596775444	0.00858158958261176	0.00549833247245412	0.364354467926544	0.00880004805427885	0.00670139659606836	0.0066335702899602	0.0104124017864481	0.00924270111432924	0.00860984293900808	0.00169047610616123	0.00419552181278649	0.00153947762590613	0.000607392205600648
"Arvicola_terrestris"	0.16028813405838	0.0803284123780205	0.0499071808350822	0.0217611293736365	0.00698183375067401	0.0036245719748283	0.00270817079074857	1.0075466589923	0.000187241179666659	0.279707981126413	0.022468941559999	0.0176768480434702	0.0163674503087783	0.0131213767005311	0.0133323965797706	0.264547473354171	0.0125958346306717	0.00800718166169416	0.00516546307638679	0.00456104500468441	0.00432613028061754	0.0022669219149428	0.00229508667610937	0.000226535748426769
"Micromys_minutus"	0.0278389243709768	0.264591088407924	0.0106591965381779	0.0177999209287944	0.000873904636972513	0.00588734037974636	0.000563586491938609	0.000374482359333317	1.00474488921947	0.0360996799646499	0.569386706336319	0.0105808660292049	0.00284270706605045	0.00790134117771284	0.00622311142885486	0.00416779540027478	0.00594176592773473	0.0113235114061516	0.00180878212226186	0.00464710026245597	0.00192257762629284	0.001554324271293	0.0018984388736752	0.000367958773734148
"Ctenophthalmus_assimilis"	0.165073866212717	0.27054508315083	0.184626006045023	0.0128270247077281	0.00197536878993948	0.0119857111854544	0.0100285155714661	0.00902283810085204	0.000582252902655644	1.08076258436731	0.0698703483186772	0.0231400835624983	0.0168561342259465	0.0380679600672572	0.0123735093074132	0.0153505403783634	0.0164459924300269	0.0202661703539274	0.012166456471534	0.0138263899900052	0.00533295141505671	0.00436803116324151	0.00375707433298258	0.000749106949090903
