"Ficus_gul"	"Homalanthus_sp1_M_SD_002"	"Gastonia_sp1_M_SD_002"	"Ficus_odoardi"	"Chisocheton_sp1_M_SD_002"	"Ficus_275"	"Schefflera_sp1_M_SD_002"	"Dysoxylum_sp1_M_SD_002"	"Cissus_hypoglauca"	"Endospermum_sp1_M_SD_002"	"Elmerrillia_sp1_M_SD_002"	"Ficus_371"	"Sloanea_sogerensis"	"Ficus_181"	"Pandanus_sp1_M_SD_002"	"Syzygium_sp1_M_SD_002"	"Ficus_217"	"Myristica_sp1_M_SD_002"	"Ficus_246"	"Aglaia_sp1_M_SD_002"	"Ficus_202"	"Zingiberaceae_sp1_M_SD_002"	"Cissus_aristata"	"Ficus_drupacea"	"Sloanea_aberrans"	"Uvaria_sp1_M_SD_002"	"Aporusa_sp1_M_SD_002"	"Canthium_sp1_M_SD_002"	"Glochidion_sp1_M_SD_002"	"Piper_sp1_M_SD_002"	"Sterculia_sp1_M_SD_002"	"Manucodia_keraudrenii"	"Diphyllodes_magnificus"	"Paradisaea_raggiana"	"Parotia_lawesii"	"Lophorina_superba"	"Manucodia_chalybatus"	"Paradisaea_rudolphi"	"Ptiloris_magnificus"	"Epimachus_albertisii"
"Ficus_gul"	1.1136505917002	0.0346531081068543	0.0240617672088412	0.0475772495319502	0.0127936404932511	0.0307966900785949	0.00773967326758437	0.00617348039536736	0.00947804674936105	0.00362237426871017	0.00688745379253402	0.00597930877220976	0.00209381406410395	0.00423229479527572	0.00110526935429688	0.004840077034551	0.00498022305491771	0.00244423550082243	0.00290446185447622	0.000946842690725304	0.00171959016752703	0.000757023760594283	0.00061287393310087	0.00110671623442616	0.000156310905046068	0.00110671623442616	5.74335614161971e-05	7.8155452523034e-05	7.8155452523034e-05	0.000553358117213079	0.000146396799906896	0.385137249580303	0.0407971462170237	0.121134144810519	0.0377703743759792	0.00746636298410562	0.0630967807081846	0.00752335874662315	0.00299383120472799	0.000747418039200294
"Homalanthus_sp1_M_SD_002"	0.0355158410887677	1.10634929025394	0.0475207610742095	0.0183133579717202	0.0293312639897451	0.0135030191813604	0.0132728441890059	0.0134614853550679	0.00743391697372474	0.0121056880549037	0.00852049938554849	0.00726632557764116	0.00357978003195551	0.0011926887939713	0.00460303296483235	0.00102202718380594	0.000509871311139465	0.00154059629663053	0.00128450672454452	0.00141208079517761	0.000663714962924205	0.00155967554503263	0.000550410227115435	0.00011330473580877	0.0010149740516231	0.00011330473580877	0.000360273494531102	0.00050748702581155	0.00050748702581155	5.6652367904385e-05	0.000147171963267483	0.039430048061452	0.264908227473629	0.191422869895733	0.0379703665230105	0.0468355542890432	0.0050649377538584	0.0572027253000431	0.0226103459928253	0.00122159137707217
"Gastonia_sp1_M_SD_002"	0.045368370233464	0.0874236902204924	1.05138154347351	0.0219573488744691	0.0253062668809709	0.0136112011928738	0.0223897087052799	0.0113523285614301	0.00725998714542926	0.00997851166147485	0.00891508932135363	0.00499299676316471	0.00356932150168254	0.00201030037072854	0.00342958258299018	0.00184494457197045	0.00130844856045667	0.00244175123386737	0.00165146496731014	0.00123215399964232	0.000850459646775951	0.00124906687576261	0.000559693300007803	0.000290766346768149	0.00102047794753207	0.000290766346768149	7.44891487133831e-05	0.000510238973766036	0.000510238973766036	0.000145383173384074	0.000406741777525625	0.101186688675316	0.266344744305871	0.124912382946993	0.104939378601611	0.0096835893327398	0.00583561049652844	0.0204213446267201	0.032271483590898	0.00107144408998974
"Ficus_odoardi"	0.105870095805331	0.0397614348755367	0.02591362795095	1.0483186486386	0.0156995962726037	0.029324245609753	0.00835827832896993	0.00656687326277672	0.00847269822105764	0.00428748400570713	0.00695509793242548	0.00570418891087827	0.00213111900953362	0.00353743800311296	0.00134481632471445	0.00404726810453655	0.00407646874737807	0.00221922046442803	0.00288111297853292	0.000954743990356883	0.00185505081203643	0.00111972329349476	0.000949168868174635	0.000905881943861794	0.000240360445269404	0.000905881943861794	8.12686737940043e-05	0.000120180222634702	0.000120180222634702	0.000452940971930897	0.000158238498455629	0.315246916463904	0.0627340762153146	0.120537831107723	0.0408255326015523	0.0105649275932206	0.0978206601737121	0.0057426591061386	0.0123876500602183	0.000806413344882877
"Chisocheton_sp1_M_SD_002"	0.0347255956245386	0.0776795013354789	0.0364299006748043	0.0191500569918573	1.06673900865815	0.0121992806241932	0.0177028470276295	0.00683658913469652	0.00891734607622399	0.0143563657710016	0.00859161105450941	0.010372998451541	0.00406967508728281	0.00151833807307595	0.00395539091967677	0.0013300524829459	0.000915598761238379	0.00161789023802819	0.000929758011363388	0.000968642429232792	0.000509706209398268	0.000749112608845413	0.000306239818011961	0.000203466391386306	0.000433170821157628	0.000203466391386306	0.00109686048734797	0.000216585410578814	0.000216585410578814	0.000101733195693153	0.00028995916148462	0.0708063042024346	0.113057584322141	0.10270740118589	0.0748094636630319	0.142591863355236	0.0105792200771114	0.0257967613490287	0.0965105269903851	0.0298075415214075
"Ficus_275"	0.104202499307027	0.044578460585039	0.0244255802228283	0.0445889214066107	0.0152073224219395	1.02968476486825	0.00687224197038014	0.00646880233991026	0.00945001986462899	0.00482758366400943	0.00694318275543708	0.00733559130203318	0.00218049458951754	0.00387709212954513	0.00172188885729212	0.00425891132412429	0.00440714214060823	0.00208371239111102	0.00275890875167316	0.000869149007302175	0.0016615363876621	0.00109428789702615	0.000682171467526937	0.000979364920135164	0.000236014887751789	0.000979364920135164	0.000155022644285397	0.000118007443875895	0.000118007443875895	0.000489682460067582	7.76029617243692e-05	0.340818992207037	0.061599885703217	0.119787301564108	0.0200215641248872	0.0201529437571016	0.0665713547908231	0.0335284243610579	0.00334586177448966	0.000840338383945195
"Schefflera_sp1_M_SD_002"	0.0318616549515556	0.0533125908258402	0.0488841973398611	0.0154628149085944	0.0268493179919047	0.00836122773062917	1.08892145772006	0.00378262167750396	0.00749084168084031	0.00559027015805445	0.00522298798636839	0.0135547331720505	0.0040481522906961	0.00455109189175915	0.00156039496391422	0.00209092001182628	0.000377737167312188	0.00538042740697296	0.000392568801403326	0.00186099604576126	0.000213730708565566	0.00107751705622918	0.000129789115829524	8.39415927360417e-05	0.000189793000203437	8.39415927360417e-05	6.36193091142674e-05	9.48965001017185e-05	9.48965001017185e-05	4.19707963680209e-05	0.00170223243844254	0.0292116742721425	0.0495359730530971	0.0240262259075673	0.439175969118174	0.00827051018485476	0.00411732865588104	0.0972227841939649	0.0138897997052563	0.00121640157572864
"Dysoxylum_sp1_M_SD_002"	0.0491886986340561	0.104652192599076	0.0479727432757205	0.0235136429731683	0.0200686971373349	0.0152329861552725	0.00732120324678186	1.01742999680076	0.00692510823843839	0.00936020640891585	0.00802253814777797	0.00389459161123334	0.00307304353042912	0.000838808189019909	0.00390610560114459	0.00141002411118127	0.000679214057376071	0.00173375110756833	0.00127919551523978	0.00218058385214913	0.000665441913729807	0.00104960219463046	0.000514505456535125	0.000150936457194682	0.000925634288630584	0.000150936457194682	7.27173580207453e-05	0.000462817144315292	0.000462817144315292	7.54682285973412e-05	0.000119125497529239	0.0525258871037495	0.241590549332582	0.311967364332477	0.0307343783625438	0.00945325654269688	0.00609922084194022	0.00823987369092479	0.00517122455336249	0.000884911906389375
"Cissus_hypoglauca"	0.078035918236406	0.0597191330222554	0.0317019438683744	0.0313489834179132	0.0270492830978794	0.0229950483372639	0.0149816833616806	0.00715594517971967	1.01061383604896	0.00630046283183186	0.00788127848818727	0.00940661772432857	0.00257681563546318	0.00362101120926109	0.00235798809577691	0.00355755959634276	0.00349836807437098	0.00219687319808615	0.00201118152200311	0.000951634062742179	0.00104297816815689	0.000964346334625077	0.000265563040518899	0.000777415127637996	0.000381576452416446	0.000777415127637996	0.000196158459943218	0.000190788226208223	0.000190788226208223	0.000388707563818998	0.000196031597315076	0.270540464418023	0.0995914540806924	0.114347839767968	0.0505761521072897	0.0255005997926183	0.00882342808865976	0.0579114377403669	0.0214669809533217	0.0179083097177271
"Endospermum_sp1_M_SD_002"	0.0298242148123804	0.0972490273743927	0.0435728342551069	0.0158636908211164	0.043547642838705	0.0117471202490896	0.0111805403161089	0.00967221328921304	0.00630046283183186	1.02091039202488	0.010976709748807	0.0075354755422357	0.00555387903775805	0.00109849528739014	0.00578476005480017	0.0010619260925799	0.000810583104335398	0.00157489922999529	0.00154780561201637	0.000635155896303556	0.000793446385548533	0.00126652077978817	0.000613316806807333	0.0001801295787412	0.00114845929545328	0.0001801295787412	0.00127044468611215	0.000574229647726642	0.000574229647726642	9.00647893705998e-05	0.000194533718270875	0.0626850934019374	0.299747876113307	0.066680822942279	0.0501896993138857	0.16515780919458	0.0046122847715215	0.00900307307897761	0.00694771065678133	0.00164229719339668
