"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Deckenia_nobilis"	"Canthium_bibracteatum"	"Euphorbia_pyrifolia"	"Chrysobalanus_icaco"	"Memecylon_eleagni"	"Lasioglossum_mahense"	"Rhiparida_seychellensis"	"Apis_mellifera"	"Ceratina_tabescens"	"Unidentified_sp1_M_PL_113"	"Hemipyrellia_germana"	"Megachile_seychellensis"	"Cratopus_aurostriatus"	"Ornidia_obesa"	"Neophyllomyza_approximatonervis"	"Phelsuma_sp1_M_PL_113"	"Pachycerina_seychellensis"	"Simosyrphus_aegyptius"
"Nephrosperma_vanhoutteanum"	1.14715129064709	0.0875186772564199	0.0313119045070024	0.019977509062101	0.0226023010422952	0.0213086471013106	0.00346300371711495	0.145088886885027	0.244403391828386	0.110995529387668	0.0143158994257527	0.118356879193747	0.00268387752917164	0.0112730072776639	0.0035721909084253	0.00178925168611442	0.00223340837574126	0.00999900116565316	0.000894625843057212	0.00106071716025868
"Phoenicophorium_borsigianum"	0.112524013615397	1.14598772722439	0.0231505470829598	0.0129611330563091	0.0218346006274559	0.0149921268725835	0.00188318485423959	0.143496864723234	0.360551962690422	0.0676665627539945	0.00427421287223044	0.0116096204523822	0.00198433260711084	0.00220913522694725	0.0467750092744648	0.00132288840474056	0.0237182267384176	0.00155449192947661	0.00066144420237028	0.000841914790875948
"Deckenia_nobilis"	0.0563614281126044	0.0324107659161437	1.17550727621681	0.00655708820036498	0.014133638986523	0.0473878644680396	0.000975271432850012	0.0726201045584814	0.0203264510510556	0.309787846568209	0.0021578576694499	0.00581506797987188	0.100757766532869	0.00111876696672143	0.00132288840474056	0.0671718443552461	0.0174544052911818	0.0340332350991517	0.0335859221776231	0.000514510012065224
"Canthium_bibracteatum"	0.0547210030831462	0.0276128486851803	0.00997817769620758	1.17950905042618	0.0347502809898429	0.0103122689485633	0.0164497035042168	0.232737090734549	0.0185941973070302	0.0128014754729644	0.308132306829918	0.00564581777841985	0.00085527237396065	0.0814712228399809	0.00112705504837471	0.000570181582640433	0.000706072919847461	0.000719384466583282	0.000285090791320216	0.0030214985210783
"Euphorbia_pyrifolia"	0.0791080536480332	0.0594386350414079	0.027482075807128	0.0444031368203548	1.08262077085352	0.0265451596563954	0.013735501506491	0.509131881491195	0.0326571845336474	0.055601121161877	0.0122112686922336	0.00816194204305105	0.00235560649775383	0.00695757382139563	0.00242606673638399	0.00157040433183589	0.00160563445115097	0.00141304386153726	0.000785202165917944	0.031789736878687
"Chrysobalanus_icaco"	0.0789673392577981	0.0432126009856818	0.0975632503753756	0.0139518932833503	0.0281066396361833	1.06949809814136	0.00203351165358463	0.157733905812676	0.027828800286364	0.441431444410417	0.00426634924953147	0.00814742389167758	0.00836256431788933	0.00204500891183735	0.00176377963206864	0.00557504287859289	0.00227565053568254	0.00341424635404087	0.00278752143929644	0.00103492894659206
"Memecylon_eleagni"	0.0545423085445606	0.023069014464435	0.00853362503743761	0.0945857951492468	0.0618097567792094	0.00864242452773468	1.08215040883071	0.18855335234326	0.0172155562479634	0.0123641929937062	0.0251074307209646	0.0056273810403118	0.000731453574637509	0.277139116486398	0.000941592427119796	0.000487635716425006	0.00059270514266615	0.000676693322851873	0.000243817858212503	0.13698573879215
"Lasioglossum_mahense"	0.166192724977395	0.127842661298881	0.0462127938099427	0.0973264197617203	0.166624979397118	0.0487541163421	0.0137129710795098	1.13060436632493	0.0694867487474038	0.052900825111758	0.0267084906881783	0.0171468684500486	0.00396109661228081	0.0110946078525017	0.00521806780811759	0.00264073107485387	0.00326921667277226	0.00263935541819991	0.00132036553742694	0.00634259303485868
"Rhiparida_seychellensis"	0.290517239343176	0.333340493808126	0.0134231280525839	0.0080691799634282	0.0110911192755784	0.00892621895977712	0.00129928726399724	0.07210889020957	1.15397819171607	0.0436436134449988	0.00441069584445989	0.0299740008846134	0.00115055383307862	0.0031567650589189	0.013605734441148	0.000767035888719079	0.00699462619275377	0.00268921032009903	0.000383517944359539	0.000470497554543498
"Apis_mellifera"	0.155393741142735	0.0736813683321274	0.240946102886384	0.00654297635284845	0.0222404484647508	0.166762990110602	0.00109903937721833	0.064656564025482	0.051402478057443	1.13823583150055	0.00294014705625822	0.0160326875782187	0.0206525231045472	0.00193475935326637	0.00300740278906642	0.0137683487363648	0.00494578857862442	0.00811745802804539	0.00688417436818241	0.000755170157284258
"Ceratina_tabescens"	0.0693770510632632	0.0161104946722532	0.00580961680236513	0.545157158237547	0.0169079104969389	0.00557907209554115	0.00772536329875835	0.112997460603831	0.0179820676735672	0.0101774321178169	1.14276552236095	0.00715794971287637	0.00049796715448844	0.038035680052209	0.000657571211112376	0.000331978102992293	0.000411780131304262	0.000716600567871251	0.000165989051496147	0.00143533459281532
"Unidentified_sp1_M_PL_113"	0.573575645323545	0.04375933862821	0.0156559522535012	0.00998875453105051	0.0113011505211476	0.0106543235506553	0.00173150185855748	0.0725444434425135	0.122201695914193	0.055497764693834	0.00715794971287637	1.05917843959687	0.00134193876458582	0.00563650363883194	0.00178609545421265	0.000894625843057212	0.00111670418787063	0.00499950058282658	0.000447312921528606	0.00053035858012934
"Hemipyrellia_germana"	0.0281807140563022	0.0162053829580719	0.587753638108404	0.00327854410018249	0.0070668194932615	0.0236939322340198	0.000487635716425006	0.0363100522792407	0.0101632255255278	0.154893923284104	0.00107892883472495	0.00290753398993594	1.05037888326643	0.000559383483360717	0.00066144420237028	0.0335859221776231	0.00872720264559091	0.0170166175495758	0.0167929610888115	0.000257255006032612
"Megachile_seychellensis"	0.118366576415471	0.0180412710200692	0.00652614063920836	0.312306354219927	0.0208727214641869	0.00579419191687248	0.184759410990932	0.101700571981266	0.0278847580204503	0.0145106951494978	0.0824106401131196	0.0122124245508025	0.000559383483360717	1.06749707573087	0.000736378408982418	0.000372922322240478	0.000461419785051328	0.0011258784342589	0.000186461161120239	0.0236747241923161
"Cratopus_aurostriatus"	0.0562620068076986	0.572993863612194	0.0115752735414799	0.00648056652815456	0.010917300313728	0.00749606343629173	0.000941592427119796	0.0717484323616169	0.180275981345211	0.0338332813769973	0.00213710643611522	0.00580481022619112	0.00099216630355542	0.00110456761347363	1.02338750463723	0.00066144420237028	0.0118591133692088	0.000777245964738303	0.00033072210118514	0.000420957395437974
"Ornidia_obesa"	0.0281807140563022	0.0162053829580719	0.587753638108404	0.00327854410018249	0.0070668194932615	0.0236939322340198	0.000487635716425006	0.0363100522792407	0.0101632255255278	0.154893923284104	0.00107892883472495	0.00290753398993594	0.0503788832664346	0.000559383483360717	0.00066144420237028	1.03358592217762	0.00872720264559091	0.0170166175495758	0.0167929610888115	0.000257255006032612
"Neophyllomyza_approximatonervis"	0.0469015758905664	0.387397703394153	0.203634728397121	0.00541322571883054	0.00963380670690582	0.0128953530355344	0.000790273523554867	0.0599356390008248	0.123571729405317	0.0741868286793663	0.00178438056898513	0.00483905148077273	0.0174544052911818	0.000922839570102657	0.015812151158945	0.0116362701941212	1.010815143128	0.00619036982635082	0.00581813509706061	0.000366389932302853
"Phelsuma_sp1_M_PL_113"	0.209979024478716	0.0253900348481179	0.397054409490103	0.00551528091047183	0.00847826316922353	0.0193473960062316	0.000902257763802497	0.0483881826669983	0.0475093823217496	0.121761870420681	0.00310526912744209	0.0216645025255818	0.0340332350991517	0.00225175686851779	0.0010363279529844	0.0226888233994345	0.00619036982635082	1.01301091189399	0.0113444116997172	0.000348289530731521
"Pachycerina_seychellensis"	0.0281807140563022	0.0162053829580719	0.587753638108404	0.00327854410018249	0.0070668194932615	0.0236939322340198	0.000487635716425006	0.0363100522792407	0.0101632255255278	0.154893923284104	0.00107892883472495	0.00290753398993594	0.0503788832664346	0.000559383483360717	0.00066144420237028	0.0335859221776231	0.00872720264559091	0.0170166175495758	1.01679296108881	0.000257255006032612
"Simosyrphus_aegyptius"	0.0334125905481484	0.0206269123764607	0.00900392521114141	0.0347472329924004	0.286107631908183	0.00879689604603252	0.2739714775843	0.174421308458614	0.0124681851954027	0.0169913285388958	0.00932967485329956	0.00344733077084071	0.000771765018097836	0.0710241725769484	0.000841914790875947	0.000514510012065224	0.00054958489845428	0.000522434296097282	0.000257255006032612	1.04219386891771
