"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Alstonia_macrophylla"	"Gastonia_crassa"	"Erythroxylum_sechellarum"	"Chrysobalanus_icaco"	"Paragenipa_wrightii"	"Roscheria_melanochaetes"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_germana"	"Unidentified_sp3_M_PL_130"	"Phelsuma_sp1_M_PL_130"	"Unidentified_sp2_M_PL_130"	"Unidentified_sp1_M_PL_130"	"Unidentified_sp5_M_PL_130"	"Nectarinia_dussumieri"	"Neophyllomyza_approximatonervis"	"Rhynchium_brunneum"	"Unidentified_sp6_M_PL_130"	"Unidentified_sp7_M_PL_130"	"Hemipyrellia_sp1_M_PL_130"	"Mabuya_sechellensis"	"Unidentified_sp4_M_PL_130"	"Ornidia_obesa"	"Simosyrphus_aegyptius"	"Forcipomyia_sp1_M_PL_130"	"Lygistorrhina_sp1_M_PL_130"	"Rhiparida_seychellensis"	"Scaptodrosophila_sp1_M_PL_130"	"Ceratina_tabescens"	"Cratopus_aurostriatus"	"Megachile_seychellensis"	"Polistes_olivaceus"
"Nephrosperma_vanhoutteanum"	1.12721681292461	0.0336976224864343	0.0472289769049222	0.0273203161705332	0.0508119767721314	0.0203866846621972	0.0239223015414094	0.00274864187109228	0	0.185998658797432	0.220750128356402	0.0334586772012944	0.00382927528254935	0.00321415484359214	0.0764214788423467	0.0126241518401958	0.00268049269778455	0.00281807682961459	0.0205683458667089	0.00351538950024421	0.00142364677187403	0.000549728374218456	0.011752111495276	0.00200884677724509	0.00133202537617096	0.0111466117913668	0.0113691839670211	0.0194882972388416	0.0110924417271761	0.000274864187109228	0.02865805456588	0.0007035971041591	0.000382927528254935	0	0.000605499703909258
"Phoenicophorium_borsigianum"	0.0451854483340823	1.17825877624535	0.0287899534807783	0.0112937052052479	0.0278219854378502	0.00707729920246096	0.00968429439336689	0.0252218710341956	0	0.0613233041583591	0.101998004617966	0.0303080868420864	0.133893042755153	0.0013286712006174	0.00306342022603948	0.05478323509813	0.0937251299286075	0.00140253953571327	0.028754294609716	0.00169708083664527	0.0426900999299656	0.00504437420683911	0.0148795377068771	0.000830419500385875	0.0418493708954924	0.0145104357391749	0.00149023343136179	0.0141551593320252	0.00122601799606858	0.00252218710341956	0.00114878258476481	0.000284832188040203	0.0133893042755154	0	0.000369101967702286
"Alstonia_macrophylla"	0.0714489650612925	0.0324809731578012	1.10728859570635	0.0382026706372865	0.0294746695829009	0.0334593705990676	0.0186987620580087	0.00227932653062442	0	0.222507617626502	0.102821103609316	0.0882925528506579	0.00369101967702286	0.00449443183968076	0.00484399763127407	0.00297507938026085	0.002583713773916	0.0306392311943622	0.0162211885315048	0.0453763037950384	0.0013352385561693	0.000455865306124884	0.0435626245833943	0.00280901989980047	0.00125926100514849	0.0293666169461334	0.043193522615692	0.0015801013755208	0.00149867150945171	0.000227932653062442	0.00181649911172778	0.000549963589941432	0.000369101967702286	0	0.0141960076372609
"Gastonia_crassa"	0.047408783942984	0.0146153832067914	0.0438207104368874	1.15498864762228	0.0304169774739058	0.0226448181872361	0.0189859448459144	0.000452067617334758	0	0.218026917691585	0.111540979327704	0.0218934269171778	0.00166083900077175	0.135881017367327	0.00321415484359214	0.00198783154587607	0.00116258730054023	0.0690641166435837	0.0017125794115903	0.00357248012214995	0.000543458461965001	9.04135234669515e-05	0.00225326519540648	0.0849256358545794	0.000528389541387176	0.00169146121544638	0.0020871812953293	0.000969622610975209	0.00132349594556737	4.52067617334758e-05	0.00120530806634705	0.000558410142526894	0.000166083900077175	0	0.000561803979960095
"Erythroxylum_sechellarum"	0.0908456554410835	0.0370959805838003	0.0348337004161556	0.0313387040640242	1.08550302741328	0.0200487960819003	0.0326724350578432	0.000995034275249809	0	0.171518314003568	0.376095955796236	0.00629310448732433	0.00421545233906821	0.00368690636047343	0.00615902748753108	0.0353500905053043	0.00295081663734775	0.00273662498577917	0.00286260105164263	0.0030104907151387	0.00136413912924545	0.000199006855049962	0.00253118137816188	0.00230431647529589	0.00133097132007045	0.00208459547539066	0.00210963614425506	0.00196130210578959	0.033663909569677	9.9503427524981e-05	0.00230963530782416	0.000960953972289505	0.000421545233906822	0	0.000446585902771226
"Chrysobalanus_icaco"	0.0668230219483131	0.0173000647171268	0.0724953029646465	0.0427735454647792	0.0367561261501506	1.06708049017385	0.0295237391448654	0.000581042769597789	0	0.45503012051671	0.0685807521596216	0.00829765817147654	0.00196591644512804	0.00503218181938579	0.00453037436937716	0.00246648537877338	0.00137614151158963	0.00437494483186332	0.00247457193477504	0.0917116550644101	0.000647879210498192	0.000116208553919558	0.00355116932394058	0.00314511363711612	0.000628511118178266	0.00262174236285537	0.00335457767942778	0.00132918523685709	0.00168011880072216	5.81042769597789e-05	0.00169889038851644	0.00086834526896663	0.000196591644512804	0	0.000929426961085212
"Paragenipa_wrightii"	0.0830244582907738	0.0250652325475378	0.0428971600154317	0.0379718896918288	0.0634229621711073	0.0312604296827987	1.0489555103136	0.000735690620253227	0	0.292061615261809	0.28918424381107	0.00653864737073319	0.00284832188040203	0.00446728114021515	0.0056287768332728	0.00376483380089892	0.00199382531628142	0.00333356774999044	0.00255134519501515	0.00425492657672418	0.000928065626145931	0.000147138124050645	0.0026383200620236	0.00279205071263447	0.000903542605470823	0.00208835647208217	0.0023534878739834	0.0016920263963584	0.00262550504873811	7.35690620253227e-05	0.0021107913124773	0.0308516326562824	0.000284832188040203	0	0.000549963589941432
"Roscheria_melanochaetes"	0.010811324692963	0.0739841550336404	0.00592624897962349	0.00102468659929212	0.00218907540554958	0.000697251323517347	0.000833782702953657	1.23786680859579	0	0.00587427565557521	0.00824411072928948	0.00242725648275831	0.00840729034473185	0.000120551364622602	0.000732971165624609	0.00352087315194581	0.0058851032413123	0.000212230784352929	0.0432029053645665	0.000286036930022221	0.126308867962999	0.247573361719159	0.0011602830832387	7.53446028891263e-05	0.0850466410098058	0.00108430553221789	0.000319554048765518	0.00102397182587934	0.000157957014053063	0.123786680859579	0.000274864187109228	2.45230206751076e-05	0.000840729034473186	0	7.5977551020814e-05
"Excoecaria_benthiamiana"	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0
"Apis_mellifera"	0.15032768313765	0.0369619915475041	0.11887393270457	0.101546783582382	0.0775356761933939	0.112199207798641	0.0680143487595993	0.00120704294292641	0	1.1269171554681	0.0868766665354476	0.0152994192339699	0.00420022631221638	0.0119466804214567	0.0101917073313661	0.00530361988656167	0.00294015841855147	0.00902138976725579	0.00495223163831273	0.0139220083180112	0.00138077218795755	0.000241408588585283	0.00626606038243354	0.00746667526341046	0.00134053742319334	0.00474203560416983	0.00584603775121191	0.00296794946406317	0.00362352936167513	0.000120704294292641	0.00382189024926229	0.00200042202234116	0.000420022631221638	0	0.00152402477826371
"Lasioglossum_mahense"	0.197337235954965	0.0679986697453105	0.0607579248600506	0.0574605045021508	0.188047977898118	0.0187038414980786	0.0744868506786091	0.00187366152938397	0	0.0960908584407223	1.12408235442341	0.0120811666309753	0.00772712156196711	0.00676005935319421	0.0133787956579637	0.0104616216547026	0.00540898509337698	0.00493792518582917	0.00573152636581319	0.00389549672202132	0.00250550262152853	0.000374732305876795	0.00478190487729028	0.00422503709574638	0.00244304723721573	0.00400295712267424	0.00400919272109357	0.00411741107068765	0.00737077302991571	0.000187366152938397	0.00501704837173641	0.00219078972584144	0.000772712156196711	0	0.000778947754616033
