"Philodendron_apendiculatum"	"Cecropia_glaziovi"	"Cecropia_pachystachia"	"Cucurbitaceae"	"Vismia_sp."	"Ficus_luschnatiana"	"Ficus_sp."	"Piper_aduncun"	"Piper_dilatatum"	"Piper_sp."	"Rubus_brasiliensis"	"Aureliana_sp."	"Solanum_cinnamomeum"	"Solanum_megalochiton"	"Solanum_cf._paranaense"	"Solanum_rufescens"	"Solanum_santaecatharinae"	"Solanum_scuticum"	"Solanum_subsylvestris"	"Solanum_swartzianum"	"Solanum_variabile"	"Solanum_sp."	"Vassobia_breviflora"	"Unknown_family"	"Artibeus_fimbriatus"	"Artibeus_lituratus"	"Artibeus_jamaicensis"	"Carollia_perspicillata"	"Sturnira_lilium"	"Sturnira_tildae"
"Philodendron_apendiculatum"	1.00556637431535	0.00844784684548584	0.00140630709435397	0.0115199098617163	0.00556637431535022	0.00101914586333811	0.00697268140970419	0.00088674022887769	0.00221685057219423	0.0235393987212944	0.00645311454422791	0.00556637431535022	0.00556637431535022	0.000443370114438845	0.012912909661795	0.00556637431535022	0.0166991229460507	0.00670461851887348	0.0166991229460507	0.0166991229460507	0.0171424930604895	0.0870064084823586	0.0616172786998683	0.00711501923941366	0.0162607717026661	0.00342752761828947	0.000422392342274292	0.014187843662043	0.623433923319225	0.00893420802216864
"Cecropia_glaziovi"	0.000844784684548584	1.10632932397157	0.0363337298765885	0.00948329022960546	0.000844784684548584	0.0285400090160802	0.0371785145611371	0.00023857230095164	0.000596430752379101	0.0114114318996543	0.00108335698550022	0.000844784684548584	0.000844784684548584	0.00011928615047582	0.0023526357411669	0.000844784684548584	0.00253435405364575	0.0142218460507303	0.00253435405364575	0.00253435405364575	0.00265364020412157	0.0218582594925672	0.0170863523905427	0.0320196681265817	0.327336276141348	0.181335942130891	0.0553164661985785	0.00381715681522624	0.0946158846694414	0.00424494071118095
"Cecropia_pachystachia"	0.000351576773588492	0.0908343246914713	1.04401028872483	0.01165789764065	0.000351576773588492	0.0330555446313563	0.0443618654984178	0.000200372217586212	0.000500930543965531	0.0125614234054132	0.000551948991174704	0.000351576773588492	0.000351576773588492	0.000100186108793106	0.00124336118088237	0.000351576773588492	0.00105473032076548	0.011837468634118	0.00105473032076548	0.00105473032076548	0.00115491642955858	0.017348088054451	0.0148220886029464	0.0441705531474804	0.460099251925865	0.156044790221745	0.00454171623457357	0.0032059554813794	0.0393765986419111	0.00339835416119173
"Cucurbitaceae"	0.00383996995390543	0.0316109674320182	0.0155438635208666	1.01259265672538	0.00383996995390543	0.0106311467032947	0.0193838334747721	0.000671587394721272	0.00167896848680318	0.0209441840279149	0.00451155734862671	0.00383996995390543	0.00383996995390543	0.000335793697360636	0.00901652688753051	0.00383996995390543	0.0115199098617163	0.00531068260705474	0.0115199098617163	0.0115199098617163	0.0118557035590769	0.0648430585785092	0.0471523863105317	0.023490837224193	0.20633410633802	0.0112799829541132	0.00158054837160091	0.0107453983155404	0.430076634837409	0.00664999584998369
"Vismia_sp."	0.00556637431535022	0.00844784684548584	0.00140630709435397	0.0115199098617163	1.00556637431535	0.00101914586333811	0.00697268140970419	0.00088674022887769	0.00221685057219423	0.0235393987212944	0.00645311454422791	0.00556637431535022	0.00556637431535022	0.000443370114438845	0.012912909661795	0.00556637431535022	0.0166991229460507	0.00670461851887348	0.0166991229460507	0.0166991229460507	0.0171424930604895	0.0870064084823586	0.0616172786998683	0.00711501923941366	0.0162607717026661	0.00342752761828947	0.000422392342274292	0.014187843662043	0.623433923319225	0.00893420802216864
"Ficus_luschnatiana"	0.00033971528777937	0.0951333633869341	0.0440740595084751	0.0106311467032947	0.00033971528777937	1.03412234338074	0.0444137747962545	0.000186735714645471	0.000466839286613677	0.0114973129934989	0.000526451002424841	0.00033971528777937	0.00033971528777937	9.33678573227355e-05	0.00124989446150931	0.00033971528777937	0.00101914586333811	0.0149423545843516	0.00101914586333811	0.00101914586333811	0.00111251372066084	0.0162919978156646	0.0136885842933091	0.0401465797987233	0.417972077364912	0.19906475575374	0.00475666816934671	0.00298777143432754	0.0380481122312894	0.00383728171305105
"Ficus_sp."	0.00139453628194084	0.0743570291222742	0.0354894923987343	0.0116303000848632	0.00139453628194084	0.0266482648777527	1.03688402868068	0.000337645819844508	0.00084411454961127	0.0147570184685894	0.00173218210178535	0.00139453628194084	0.00139453628194084	0.000168822909922254	0.0035772708770649	0.00139453628194084	0.00418360884582251	0.0108108986110691	0.00418360884582251	0.00418360884582251	0.00435243175574477	0.0312797521400325	0.0241811266223308	0.0367594463658671	0.371331555881226	0.125521337701054	0.00371785145611371	0.00540233311751213	0.156188063577374	0.00450552493338712
"Piper_aduncun"	0.000443370114438845	0.0011928615047582	0.000400744435172425	0.00100738109208191	0.000443370114438845	0.000280103571968206	0.00084411454961127	1.03782236111473	0.0945559027868141	0.0397164824356852	0.0382657312291645	0.000443370114438845	0.000443370114438845	0.0189111805573628	0.0393272384282287	0.000443370114438845	0.00133011034331653	0.001100329044624	0.00133011034331653	0.00133011034331653	0.0202412909006794	0.0275367843910259	0.00499771212203151	0.000925933567255718	0.00506691625457717	0.000543505837836777	5.964307523791e-05	0.60515777783561	0.0496574528171506	0.00618137084625381
"Piper_dilatatum"	0.000443370114438845	0.0011928615047582	0.000400744435172425	0.00100738109208191	0.000443370114438845	0.000280103571968206	0.00084411454961127	0.0378223611147256	1.09455590278681	0.0397164824356852	0.0382657312291645	0.000443370114438845	0.000443370114438845	0.0189111805573628	0.0393272384282287	0.000443370114438845	0.00133011034331653	0.001100329044624	0.00133011034331653	0.00133011034331653	0.0202412909006794	0.0275367843910259	0.00499771212203151	0.000925933567255718	0.00506691625457717	0.000543505837836777	5.964307523791e-05	0.60515777783561	0.0496574528171506	0.00618137084625381
"Piper_sp."	0.0033627712458992	0.0163020455709347	0.00717795623166467	0.00897607886910639	0.0033627712458992	0.00492741985435669	0.0105407274775639	0.0113475664101958	0.0283689160254895	1.0270491877711	0.014710337656095	0.0033627712458992	0.0033627712458992	0.00567378320509789	0.0187899824060913	0.0033627712458992	0.0100883137376976	0.00450599184973702	0.0100883137376976	0.0100883137376976	0.0157620969427955	0.0605165087831852	0.0392410200821992	0.0123649167551311	0.094522527846935	0.00596885939637029	0.000815102278546733	0.181561062563133	0.376630379540711	0.00716873504097085
"Rubus_brasiliensis"	0.0021510381814093	0.00361118995166741	0.000735931988232939	0.00451155734862671	0.0021510381814093	0.000526451002424841	0.00288697016964224	0.0255104874861097	0.0637762187152741	0.034324121197555	1.02766152566752	0.0021510381814093	0.0021510381814093	0.0127552437430548	0.0305224621727508	0.0021510381814093	0.00645311454422791	0.00296842553604049	0.00645311454422791	0.00645311454422791	0.0192083582872827	0.0473599924214701	0.0238709009813104	0.0029889621246417	0.00879820140394014	0.00150484643132101	0.000180559497583371	0.408167799777754	0.240916276317842	0.00709898323822542
"Aureliana_sp."	0.00556637431535022	0.00844784684548584	0.00140630709435397	0.0115199098617163	0.00556637431535022	0.00101914586333811	0.00697268140970419	0.00088674022887769	0.00221685057219423	0.0235393987212944	0.00645311454422791	1.00556637431535	0.00556637431535022	0.000443370114438845	0.012912909661795	0.00556637431535022	0.0166991229460507	0.00670461851887348	0.0166991229460507	0.0166991229460507	0.0171424930604895	0.0870064084823586	0.0616172786998683	0.00711501923941366	0.0162607717026661	0.00342752761828947	0.000422392342274292	0.014187843662043	0.623433923319225	0.00893420802216864
