"Nephrosperma_vanhoutteanum"	"Chrysobalanus_icaco"	"Mimusops_sechellarum"	"Memecylon_eleagni"	"Dillenia_suffruticosa"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp1_M_PL_125"	"Lygistorrhina_sp1_M_PL_125"	"Ornidia_obesa"	"Xylocopa_caffra"	"Nectarinia_dussumieri"	"Rhynchium_brunneum"	"Unidentified_sp2_M_PL_125"	"Unidentified_sp3_M_PL_125"	"Unidentified_sp4_M_PL_125"
"Nephrosperma_vanhoutteanum"	1.25043393780137	0.0684911537299866	0.00774125552893313	0.0066669862730474	0	0	0.257790135891166	0.317260426046904	0.068830158570135	0.0024191423527916	0.00214034855406208	0	0.00048382847055832	0.00107017427703104	0.0083362262520091	0.00833622625200911	0
"Chrysobalanus_icaco"	0.160526141554656	1.15310258379525	0.00619159053991513	0.0135130174435076	0	0	0.52250334114896	0.0410535969359243	0.04459584995985	0.00193487204372348	0.0360344557436017	0	0.000386974408744696	0.0180172278718009	0.00107017427703104	0.00107017427703104	0
"Mimusops_sechellarum"	0.072574270583748	0.0247663621596605	1.23335698471344	0.0026357158764831	0	0	0.101914347224013	0.0954702934258063	0.00464457658195595	0.385424057722951	0.000773948817489391	0	0.0770848115445901	0.000386974408744696	0.00048382847055832	0.00048382847055832	0
"Memecylon_eleagni"	0.166674656826185	0.144138852730747	0.00702857567062159	1.01549124810578	0	0	0.598994926756801	0.0426635323753807	0.0133936541785657	0.00219642989706925	0.00450433914783586	0	0.00043928597941385	0.00225216957391793	0.00111116437884123	0.00111116437884123	0
"Dillenia_suffruticosa"	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0
"Excoecaria_benthiamiana"	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0.666666666666667
"Apis_mellifera"	0.33334931365237	0.288277705461495	0.0140571513412432	0.0309824962115587	0	0	1.1979898535136	0.0853270647507614	0.0267873083571314	0.0043928597941385	0.00900867829567172	0	0.000878571958827699	0.00450433914783586	0.00222232875768247	0.00222232875768247	0
"Lasioglossum_mahense"	0.610116203936355	0.0336850026140917	0.0195836499334987	0.00328181018272159	0	0	0.126896660398568	1.15578674978472	0.0335921872082959	0.00611989060421835	0.00105265633169037	0	0.00122397812084367	0.000526328165845183	0.0040674413595757	0.0040674413595757	0
"Unidentified_sp1_M_PL_125"	0.516226189276012	0.14270671987152	0.00371566126556476	0.00401809625356972	0	0	0.155366388471362	0.131009530112354	1.03199164842404	0.00116114414548899	0.004459584995985	0	0.000232228829097798	0.0022297924979925	0.00344150792850675	0.00344150792850675	0
"Lygistorrhina_sp1_M_PL_125"	0.036287135291874	0.0123831810798303	0.616678492356721	0.00131785793824155	0	0	0.0509571736120065	0.0477351467129031	0.00232228829097798	1.19271202886148	0.000386974408744696	0	0.038542405772295	0.000193487204372348	0.00024191423527916	0.00024191423527916	0
"Ornidia_obesa"	0.0802630707773281	0.576551291897627	0.00309579526995756	0.00675650872175379	0	0	0.26125167057448	0.0205267984679621	0.022297924979925	0.000967436021861739	1.0180172278718	0	0.000193487204372348	0.00900861393590043	0.000535087138515521	0.000535087138515521	0
"Xylocopa_caffra"	0	0	0	0	0.666666666666667	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0
"Nectarinia_dussumieri"	0.036287135291874	0.0123831810798303	0.616678492356721	0.00131785793824155	0	0	0.0509571736120066	0.0477351467129031	0.00232228829097798	0.192712028861475	0.000386974408744696	0	1.0385424057723	0.000193487204372348	0.00024191423527916	0.00024191423527916	0
"Rhynchium_brunneum"	0.0802630707773281	0.576551291897627	0.00309579526995756	0.00675650872175379	0	0	0.26125167057448	0.0205267984679621	0.022297924979925	0.000967436021861739	0.0180172278718009	0	0.000193487204372348	1.0090086139359	0.000535087138515521	0.000535087138515521	0
"Unidentified_sp2_M_PL_125"	0.625216968900683	0.0342455768649933	0.00387062776446656	0.0033334931365237	0	0	0.128895067945583	0.158630213023452	0.0344150792850675	0.0012095711763958	0.00107017427703104	0	0.00024191423527916	0.000535087138515521	1.004168113126	0.00416811312600455	0
"Unidentified_sp3_M_PL_125"	0.625216968900683	0.0342455768649933	0.00387062776446656	0.0033334931365237	0	0	0.128895067945583	0.158630213023452	0.0344150792850675	0.0012095711763958	0.00107017427703104	0	0.00024191423527916	0.000535087138515521	0.00416811312600455	1.004168113126	0
"Unidentified_sp4_M_PL_125"	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	1.33333333333333
