"Fuchsia_regia"	"Gaylussacia_brasiliensis"	"Aechmea_cylindrata"	"Nematanthus_australis"	"Vriesea_altodaserrae"	"Aegiphila_obducta"	"Nidularium_inocentii"	"Thalurania_glaucopis"	"Clytolaema_rubricauda"	"Stephanoxis_lalandi"	"Amazilia_versicolor"
"Fuchsia_regia"	1.26001278055845	0.0055464747097232	0.0193733157397107	0.0419653178528799	0.00345323618651749	0.00264410890240535	0.000338099383649451	0.329308799674565	0.319055807556912	0.0166394241291696	0.00166263530601995
"Gaylussacia_brasiliensis"	0.0225200238214062	1.20847588154662	0.0852081229343975	0.0168595907129058	0.000177265965835447	6.57636449960908e-05	2.66847071676106e-05	0.0259909047812527	0.00793547982952829	0.625427644639874	0.00731263741601173
"Aechmea_cylindrata"	0.0974448866310824	0.105556331396343	1.09712215799329	0.0312780184166036	0.0013315601299501	0.000385461623160951	0.000214917142901892	0.209329297186443	0.0465123691947548	0.31666899418903	0.0941560060964392
"Nematanthus_australis"	0.215913162082756	0.0213640615140638	0.0319943089146937	1.05963132456601	0.00311681943949772	0.00079649184047379	0.000517164975836371	0.503718686464626	0.0961100154171707	0.0640921845421914	0.00274578024267894
"Vriesea_altodaserrae"	0.258609021079198	0.00326957225874269	0.0198254508237014	0.0453670385082445	1.00347710350143	0.00241122284045624	0.000373924321558755	0.364202289198227	0.290954222748386	0.00980871677622806	0.00170143794382512
"Aegiphila_obducta"	0.297021566703534	0.00181946084489185	0.00860864291726125	0.0173900718503444	0.00361683426068436	1.00479237296671	8.43837899091352e-05	0.0821898113714977	0.578279671316101	0.00545838253467554	0.000738801444391823
"Nidularium_inocentii"	0.22787898457973	0.00442966138982336	0.0287988971488536	0.0677486118345646	0.00336531889402879	0.000506302739454812	1.00060555674688	0.589812271459611	0.0610938638942139	0.0132889841694701	0.00247154714337176
"Thalurania_glaucopis"	0.455757969159459	0.00885932277964672	0.0575977942977071	0.135497223669129	0.00673063778805759	0.00101260547890962	0.0012111134937569	1.17962454291922	0.122187727788428	0.0265779683389402	0.00494309428674352
"Clytolaema_rubricauda"	0.594043133407068	0.00363892168978369	0.0172172858345225	0.0347801437006888	0.00723366852136872	0.00958474593341605	0.00016876757981827	0.164379622742995	1.1565593426322	0.0109167650693511	0.00147760288878365
"Stephanoxis_lalandi"	0.0450400476428124	0.416951763093249	0.170416245868795	0.0337191814258116	0.000354531931670894	0.000131527289992182	5.33694143352212e-05	0.0519818095625054	0.0158709596590566	1.25085528927975	0.0146252748320235
"Amazilia_versicolor"	0.0487224433155412	0.0527781656981716	0.548561078996646	0.0156390092083018	0.000665780064975048	0.000192730811580476	0.000107458571450946	0.104664648593222	0.0232561845973774	0.158334497094515	1.04707800304822
