"Prunus_mahaleb"	"Crataegus_monogyna"	"Juniperus_phoenicea"	"Berberis_vulgaris"	"Hedera_helix"	"Rosa_canina"	"Lonicera_arborea"	"Juniperus_sabina"	"Taxus_baccata"	"Juniperus_communis"	"Daphne_laureola"	"Rhamnus_myrtifolius"	"Rubus_ulmifolius"	"Sorbus_aria"	"Amelanchier_ovalis"	"Arum_italicum"	"Prunus_prostrata"	"Rhamnus_saxatilis"	"Rubia_peregrina"	"Cotoneaster_granatensis"	"Juniperus_oxycedrus"	"Lonicera_splendida"	"Lonicera_etrusca"	"Paeonia_officinalis"	"Polygonatum_odoratum"	"Turdus_viscivorus"	"Phoenicurus_ochruros"	"Turdus_merula"	"Fringilla_coelebs"	"Turdus_torquatus"	"Parus_ater"	"Turdus_iliacus"	"Erithacus_rubecula"	"Sylvia_communis"	"Sylvia_atricapilla"	"Garrulus_glandarius"	"Phoenicurus_phoenicurus"	"Turdus_pilaris"	"Coccothraustes_coccothraustes"	"Parus_major"	"Columba_palumbus"	"Parus_caeruleus"	"Parus_cristatus"	"Corvus_corone"	"Sylvia_melanocephala"	"Sitta_europaea"	"Sylvia_cantillans"	"Dendrocopos_major"	"Serinus_serinus"	"Pica_pica"	"Sylvia_borin"	"Turdus_philomelos"	"Loxia_curvirostra"	"Serinus_citinella"	"Sylvia_conspicillata"	"Corvus_corax"	"Ficedula_hypoleuca"	"Emberiza_cia"
"Daphne_laureola"	0.192652620893385	0.0256616410070345	0.0025523982888726	0.0130129543718008	0.0771486541122574	0.00174980723826991	0.0048490496488665	0.000615976455474046	0.00099631576977562	0.000414633110326854	1.00957556917173	0.000202322282230269	0.00285759077621619	6.46952675254314e-05	0.000238152763910412	0.000140251360614576	0.000120947980238277	0.000102084157100699	0.000102543050011064	0.000101644599861979	1.88371877651489e-05	0.000105556459419612	1.04806198912586e-05	1.93033803762984e-05	1.93033803762984e-05	0.0214178824889742	0.0210673451270842	0.0372941308870084	0.166572870853676	0.0102571405967593	0.00861506955061454	0.00413866207463063	0.0340892648670717	0.00396823108455373	0.312172933375809	0.00301904745909563	0.00239991204576406	0.00131372261050893	0.000928241566866673	0.0311070721979418	0.00136793442007287	0.00147156171992846	0.000816584253747435	0.000589001089371365	0.000738698699744573	0.000708378745384036	0.000675381668337896	0.000443219219846744	0.000379902188440066	0.000255463814122835	0.000168845417084474	0.00018655818318684	5.81704919954763e-05	0.000126634062813355	0.000152118691817895	2.37827998211627e-05	0.000131013014682336	1.18913999105813e-05
"Rhamnus_myrtifolius"	0.27082267312501	0.0178570287054408	0.00343537850668287	0.00804811395950489	0.0154909432414248	0.00568392598382933	0.00159540059356952	0.000848422699131602	0.00393099236850193	0.00132208186336716	0.000229298586527638	1.00214830975625	0.000460648426785997	5.04395683466409e-05	0.000279909173076306	0.000312096777105591	0.000212748996903186	0.000185277512273157	4.08771598515404e-05	0.00011340121670078	2.41671821316712e-05	2.81367426033063e-05	1.43656279084694e-05	9.93477802024058e-05	9.93477802024058e-05	0.0274780860837101	0.329560979931195	0.191939911351048	0.0241269929453542	0.0079969642905947	0.0118085461407619	0.0025382255020108	0.0058181227103268	0.00542436868173776	0.00482370139091944	0.00413339591052599	0.0367294460403333	0.001167654702001	0.000818730223289246	0.00157978476226955	0.0019469693628488	0.00193014811949975	0.00112259379487254	0.000702979654249269	0.00103843049511123	0.000987366414451767	0.000949422166958844	0.000623058297066742	0.00053404996891435	0.000169960942387208	0.000237355541739711	8.45900939696477e-05	6.75472553674688e-05	0.000178016656304783	7.70561326190046e-05	1.65496095509183e-05	4.73866899015407e-05	8.27480477545913e-06
"Rubus_ulmifolius"	0.19664372392084	0.0453467189826413	0.00731939777262672	0.0113603621082764	0.0330209065396597	0.00576411898315841	0.00248579336200737	0.00184768044478542	0.00244728346081913	0.000929609702983998	0.00373684947659041	0.000531517415522304	1.02040744099613	9.4849341622201e-05	0.000325600180181411	0.000147236554087557	0.000133436537703824	0.000253806794566793	0.000268005119132337	0.000119636521320091	8.94898479330314e-05	2.16472744783247e-05	1.06219634977425e-05	1.3800016383733e-05	1.3800016383733e-05	0.101749957099857	0.0998888247512578	0.0266616316533722	0.01931634483798	0.015037931980829	0.00873125399514435	0.0441942549393042	0.0438163130436521	0.0432119180044426	0.126189323013062	0.00322503431270006	0.00245301317239306	0.00223818847554238	0.0016703122438493	0.00174973892171971	0.00159748851633405	0.0015492757665165	0.000860127762421832	0.000717894168919352	0.000754002008898925	0.000731929487966643	0.000689373265279018	0.000452401205339356	0.000387772461719448	0.000361237828464304	0.000172343316319754	0.0393899869144204	0.000118987287034008	0.000129257487239816	0.0392895258673927	4.20266162953116e-05	0.0392679829528527	2.10133081476558e-05
"Sorbus_aria"	0.0256784654240978	0.135655420641615	0.0615764308412231	0.0333617031674706	0.00271225087933941	0.0206819353569197	0.0216788476245547	0.0206250418974508	0.00408389779392491	0.00321800265522678	9.99835952665758e-05	6.87812295636012e-05	0.000112094676462601	1.00358098990302	2.80257921010401e-05	3.13211038062985e-05	2.23728337311671e-05	3.83444728564268e-05	1.66184075317979e-05	1.34245636560356e-05	2.14631680604629e-05	7.25102961981536e-06	2.76973568526379e-06	8.94827007513148e-06	8.94827007513148e-06	0.0244036220847463	0.00488503374702166	0.017288057785154	0.00785122697333434	0.567749671896804	0.00227672273328684	0.0141988515784389	0.0018531855424943	0.00051907501080375	0.00203251609774028	0.00156350342980465	0.000443861676515276	0.00735144581862923	0.00527197722471304	0.00244687919380316	0.00144350928389143	0.00087025170429222	0.000292671602734465	0.00132891758340733	9.8460373558657e-05	0.000155695707203267	9.00209129679151e-05	5.90762241351943e-05	5.06367635444522e-05	0.00107581918317776	2.25052282419787e-05	0.000444153709325332	0.000376791625589628	1.68789211814841e-05	9.93764077059473e-06	0.000125723281410209	7.12448724034739e-06	6.28616407051045e-05
"Amelanchier_ovalis"	0.297534185315663	0.00904823587536804	0.00229536950307219	0.00682254906949255	0.00244603994268505	0.00110618123227123	0.00388734462595828	0.000385912935249105	0.00242095200503543	0.000341930255839739	0.000449844109608556	0.000466515288460509	0.000470311371373149	3.42537459012712e-05	1.00315034287633	0.000317915038601553	0.00030678217293574	0.000331565410119608	0.000313348075295171	0.000295649307269927	2.50396605700094e-05	0.0004378925227265	0.000422907262175487	1.11328656658132e-05	1.11328656658132e-05	0.0284700940681007	0.0872941759368995	0.0215086964663511	0.0262541764853738	0.00543077571380154	0.347629769508251	0.00143851189790875	0.117789806824103	0.00600274365342712	0.00283960470987259	0.00446859926075846	0.0036601249288044	0.000559952130375905	0.000459793579731926	0.00158910069810886	0.00196370014325035	0.00207058008831156	0.00121862211801051	0.000702479753220334	0.00114085193756006	0.00107985327865801	0.00104306462862634	0.000684511162536034	0.000586723853602315	0.000107395422315226	0.000260766157156584	4.65982455618005e-05	2.34756502288432e-05	0.000195574617867438	8.32804381881133e-05	8.38576077420578e-06	5.06846685435403e-05	4.19288038710289e-06
"Arum_italicum"	0.222868373073319	0.0328924396452845	0.00507672285126504	0.0126080624184868	0.0314996850252056	0.0114968548122104	0.00227881503060578	0.00151921055826442	0.00414179525244883	0.00255079750566361	0.000596068282611946	0.00117036291414597	0.000478518800784559	8.61330354673211e-05	0.000715308836853495	1.00094313511083	0.000733801949225793	0.00033727077312542	0.000338539954860288	0.000524468787619973	2.22514704628459e-05	2.39414160357399e-05	1.21095053430246e-05	0.00020933316160582	0.00020933316160582	0.0252999219162558	0.0246373000064107	0.404431668222444	0.0207295075336371	0.0136560012595462	0.00995401339196625	0.00440907664358992	0.13046614916986	0.00451852245021385	0.00747916142554554	0.00352451287531265	0.00279804591667874	0.0021435030394731	0.00136329094865723	0.00163758763738118	0.00179187409036783	0.00169380173164331	0.000949114736620858	0.000705728588187631	0.00085455664521978	0.000820966931289109	0.000781308932772371	0.000512733987131868	0.000439486274684458	0.000295884144751588	0.000195327233193093	0.00014469608944295	0.000130646285423197	0.000146495424894819	6.72363775592178e-05	3.04841887352035e-05	4.28204734100812e-05	1.52420943676017e-05
"Prunus_prostrata"	0.228634001695609	0.0304043150247767	0.00479129635585036	0.0136031411496989	0.0282859015627664	0.0103591460239501	0.00209966503600107	0.00140580701741729	0.00442752379513877	0.00230672329919933	0.000685371888016904	0.00106374498451593	0.00057822499671657	8.2033723680946e-05	0.000920346518807221	0.000978402598967724	1.00079106118386	0.00043850296908083	0.000440245007316863	0.000603719768750974	2.24383780067978e-05	2.45587960134921e-05	1.24787289753516e-05	0.000187341415108375	0.000187341415108375	0.0255124357937291	0.0253077009631244	0.36194361398938	0.0211642774508221	0.0130060740090518	0.010257515217739	0.00425204435127995	0.172380638408036	0.00465426699887806	0.00700989738778149	0.00359309688214533	0.00286846114742516	0.00201242171873401	0.00127551020625641	0.00164946583835068	0.00181662996909267	0.00173197484541424	0.000969026561076067	0.0007074485255142	0.000876664116931014	0.000840658141784622	0.000801521478336928	0.000525998470158609	0.000450855831564522	0.000288609230832456	0.000200380369584232	0.000138165478036354	0.000119139172174115	0.000150285277188174	7.23345153466953e-05	2.81782344993297e-05	4.72869691486663e-05	1.40891172496648e-05
"Rhamnus_saxatilis"	0.201516369740463	0.0712508337716288	0.00484075810389773	0.0253333247663055	0.00527044738007497	0.00540508884949462	0.00170734403780431	0.00442483586150543	0.00632356752128808	0.000791194404024881	0.000578476890237296	0.000926387561365783	0.00109982944312277	0.000140596400473565	0.000994696230358825	0.000449694364167226	0.00043850296908083	1.00089764223873	0.000438281887096453	0.000427311573994434	2.18597612629661e-05	2.27403747926623e-05	1.11664119881079e-05	1.11913950863961e-05	1.11913950863961e-05	0.0248545485559925	0.189960227222064	0.0216217753069174	0.0202775828335793	0.0222909202205361	0.00917879065422471	0.174501225963016	0.172273754067928	0.00413331254095106	0.00319611725780669	0.00343839415559452	0.00257958753276887	0.00340124031276631	0.00250691086393895	0.00221537145388407	0.00191749497060283	0.00177418222685062	0.000915890127470338	0.000921487110596795	0.000772685466796253	0.000761549080026948	0.000706455283928003	0.000463611280077752	0.000397381097209502	0.000625604252720036	0.000176613820982001	0.000256782600404649	0.000164826388144141	0.000132460365736501	8.6454587673299e-05	6.603413695239e-05	6.43778600505489e-05	3.3017068476195e-05
"Rubia_peregrina"	0.276247533644233	0.018210383041103	0.0112512826448686	0.00940034502721333	0.00304437646553762	0.00295510809759945	0.000797620441850613	0.001147392606153	0.00303811691189495	0.001323452331448	0.00058107728339603	0.000204385799257702	0.00116135551624013	6.09341609499257e-05	0.000940044225885511	0.000451386606480384	0.000440245007316863	0.000438281887096453	1.00097253384498	0.000429103408153341	0.00017228849517568	2.89261877599293e-05	1.48765004127554e-05	1.11415991635212e-05	1.11415991635212e-05	0.195892019014749	0.0295745948043828	0.0215255695839229	0.0246150522322486	0.00966083424515187	0.012228483339285	0.00246722965013703	0.173036188921786	0.172381426132119	0.00291631848271351	0.00426227962285254	0.00340252484334016	0.00114715153400984	0.000876572478740997	0.00163568490190328	0.00197934865856896	0.0019780296241997	0.00114507448491574	0.000759559885561911	0.0010592313406604	0.00100714238183806	0.000968440082889511	0.000635538804396241	0.00054474754662535	0.000182571994341071	0.000242110020722378	0.000104253671027917	5.16639314790563e-05	0.000181582515541783	0.000105195025035984	1.68770927164995e-05	7.49312724456867e-05	8.43854635824977e-06
"Cotoneaster_granatensis"	0.240165258940189	0.0254280657837611	0.00422044336502101	0.0155932986121232	0.0218583346378879	0.0080837284474296	0.00174136504679164	0.00117899993572304	0.00499898088051865	0.00181857488627077	0.000863979098826821	0.000850509125255848	0.00077763738858059	7.38351001081958e-05	0.00133042188271467	0.00104893757523995	0.000905579653126462	0.000640967360991651	0.000643655112230013	1.00076222173101	2.28121930947016e-05	2.57935559689966e-05	1.32171762400056e-05	0.000143357922113485	0.000143357922113485	0.0259374635486757	0.0266485028765519	0.276967505523253	0.0220338172851922	0.011706219508063	0.0108645188692846	0.00393797976666002	0.25620961688439	0.00492575609620647	0.00607136931225338	0.0037302648958107	0.00300929160891798	0.00175025907725583	0.00109994872145476	0.00167322224028968	0.00186614172654236	0.00180832107295609	0.00100885020998648	0.000710888400167337	0.000920879060353483	0.000880040562775647	0.000841946569466043	0.000552527436212091	0.000473594945324649	0.000274059402994192	0.000210486642366511	0.000125104255223162	9.61249456759496e-05	0.000157864981774883	8.25307909216503e-05	2.35663260275821e-05	5.62199606258365e-05	1.17831630137911e-05
