"Nephrosperma_vanhoutteanum"	"Memecylon_eleagni"	"Cinnamomum_verum"	"Canthium_bibracteatum"	"Paragenipa_wrightii"	"Erythroxylum_sechellarum"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp2_M_PL_086"	"Phelsuma_sp1_M_PL_086"	"Megachile_seychellensis"	"Hemipyrellia_sp1_M_PL_086"	"Plagiostenopterina_cyanosoma"	"Unidentified_sp1_M_PL_086"	"Lygistorrhina_sp1_M_PL_086"	"Unidentified_sp4_M_PL_086"	"Musca_domestica"	"Nectarinia_dussumieri"	"Physiphoa_azurea"	"Unidentified_sp3_M_PL_086"
"Nephrosperma_vanhoutteanum"	1.23927638997365	0.0374070088861814	0.0201437114922484	0.0202238555029317	0.00578309550369639	0.0104992719746228	0.269877790172498	0.178513407839432	0.110029212193922	0.0463280893448094	0.0306078357679911	0.0029360953990075	0.000963849250616065	0.0123952181815541	0.00174987866243714	0.000642566167077376	0.000719418267580299	0.000321283083538688	0.00579101116810118	0.00579101116810118
"Memecylon_eleagni"	0.174023910905279	1.07945250997564	0.0272432385984264	0.0385921921096871	0.0123169720704708	0.00170450967383471	0.574792029955305	0.0277409212002717	0.0154507210616836	0.00650556676281416	0.00569233678072022	0.00440323350240178	0.0020528286784118	0.0250927506032174	0.000284084945639118	0.00136855245227454	0.000972972807086655	0.000684276226137268	0.000813195845351769	0.000813195845351769
"Cinnamomum_verum"	0.153955509262184	0.0447567491259862	1.08332816323793	0.0372650166957883	0.00725805505673644	0.00676983995471144	0.338709235981034	0.139345882648722	0.0136689470840257	0.0057553461406424	0.00559451454037572	0.11750414450555	0.00120967584278941	0.00241180934224725	0.00112830665911857	0.000806450561859605	0.0386902915442117	0.000403225280929803	0.000719418267580299	0.000719418267580299
"Canthium_bibracteatum"	0.166457887601053	0.0682784937325233	0.0401315564416182	1.04260641160589	0.0110899354396763	0.00476904851256805	0.517530320518228	0.0288272896348849	0.0147789713290655	0.00622272477013284	0.0443868702909404	0.0444000562189715	0.00184832257327939	0.00303999627367502	0.000794841418761341	0.00123221504885292	0.00143326987291493	0.000616107524426462	0.000777840596266605	0.000777840596266605
"Paragenipa_wrightii"	0.0687545798772793	0.0314767064023143	0.0112903078660345	0.016018795635088	1.2051145471642	0.000678396388417119	0.238678867662672	0.0110177674460543	0.00610437858723508	0.00257026466830951	0.002279055974488	0.00182578336721587	0.200852424527367	0.00132684239321464	0.000113066064736186	0.133901616351578	0.000403225280929802	0.0669508081757889	0.000321283083538688	0.000321283083538688
"Erythroxylum_sechellarum"	0.187237016880774	0.00653395374969971	0.01579629322766	0.0103329384438974	0.00101759458262568	1.11241553644868	0.0474877471891983	0.306044524037404	0.0166238472931528	0.00699951464974856	0.0974734120695299	0.00208988069805853	0.00016959909710428	0.0018919211352567	0.185402589408113	0.000113066064736186	0.000564153329559287	5.65330323680932e-05	0.00087493933121857	0.00087493933121857
"Apis_mellifera"	0.343772899386396	0.157383532011572	0.0564515393301723	0.0800939781754401	0.0255727358210006	0.00339198194208559	1.19339433831336	0.0550888372302717	0.0305218929361754	0.0128513233415475	0.01139527987244	0.00912891683607934	0.00426212263683344	0.00663421196607322	0.000565330323680932	0.00284141509122229	0.00201612640464901	0.00142070754561115	0.00160641541769344	0.00160641541769344
"Lasioglossum_mahense"	0.530581517744979	0.0177233663223958	0.054190065474503	0.0104098545903751	0.00275444186151358	0.0510074206729007	0.128540620203967	1.09293852021169	0.0471077048465168	0.0198348230932702	0.017047761845409	0.00620645746640348	0.000459073643585597	0.00534399634554355	0.00850123677881678	0.000306049095723731	0.00193535948123225	0.000153024547861866	0.00247935288665878	0.00247935288665878
"Unidentified_sp2_M_PL_086"	0.619638194986826	0.0187035044430907	0.0100718557461242	0.0101119277514659	0.00289154775184819	0.00524963598731142	0.134938895086249	0.089256703919716	1.05501460609696	0.0231640446724047	0.0153039178839955	0.00146804769950375	0.000481924625308032	0.00619760909077706	0.00087493933121857	0.000321283083538688	0.00035970913379015	0.000160641541769344	0.00289550558405059	0.00289550558405059
"Phelsuma_sp1_M_PL_086"	0.619638194986826	0.0187035044430907	0.0100718557461242	0.0101119277514659	0.00289154775184819	0.00524963598731142	0.134938895086249	0.089256703919716	0.0550146060969612	1.0231640446724	0.0153039178839955	0.00146804769950375	0.000481924625308032	0.00619760909077706	0.00087493933121857	0.000321283083538688	0.00035970913379015	0.000160641541769344	0.00289550558405059	0.00289550558405059
