"Apodemus_uralensis"	"Cricetulus_migratorius"	"Clethrionomys_centralis"	"Sicista_tianshanica"	"Spermophilus_relictus"	"Alticola_argentatus"	"Sciurus_vulgaris"	"Ellobius_tancrei"	"Microtus_oeconomus"	"Pectinoctenus_nemorosa"	"Frontopsylla_ornata"	"Neopsylla_teratura"	"Neopsylla_mana"	"Amalaraeus_penicilliger"	"Amphipsylla_anceps"	"Callopsylla_caspia"	"Megabothris_rectangulatus"	"Frontopsylla_elata"	"Amphipsylla_dumalis"	"Paraneopsylla_tiflovi"	"Amphipsylla_primaris"	"Neopsylla_pleskei"	"Neopsylla_setosa"	"Amphipsylla_kuznetzovi"	"Leptopsylla_nana"	"Frontopsylla_elatoides"	"Rhadinopsylla_li"	"Tarsopsylla_octodecimdentata"	"Amphipsylla_rossica"	"Amphipsylla_asiatica"	"Ctenophthalmus_breviatus"	"Oropsylla_silantiewi"	"Frontopsylla_protera"	"Amphipsylla_schelkovnikovi"	"Ctenophthalmus_arvalis"	"Hystrichopsylla_talpae"	"Palaeopsylla_soricis"	"Pectinoctenus_pectiniceps"
"Apodemus_uralensis"	1.00719676962116	0.000288596715646069	0.000744890957959431	0.00139033872886008	0.00031011042799105	0.000166864540491464	0	3.42022957264588e-06	1.88793266988009e-08	0.0525388377906139	0.0334334712666824	0.000591658223692009	0.00626843565089464	0.00104785150519046	0.000236026286506586	0.00194185244500704	0.000928193144955212	1.0599238927486e-05	2.92629563831414e-06	6.23736532532423e-06	0.000459182283202855	4.05169403405393e-06	3.27252210442817e-06	0.00113885189949179	1.81257826353232e-06	1.87001263110181e-06	0.000229037874581959	0	0.000229124727094648	0.000454920329822875	0.0006820745618202	0.000341504784067876	2.10852887725315e-06	3.05932914112441e-07	0.0002273581872734	5.88846607082554e-07	5.88846607082554e-07	0.0002273581872734
"Cricetulus_migratorius"	0.000903521873012075	1.00620629137123	0.00090279565658367	0.000216612169207975	0.00136361440216402	0.000378822617514086	0	6.73557827694045e-05	6.19962285260641e-05	0.00325947342915303	0.000770327150005023	0.0295626419526031	0.00147290960673074	0.00572073830343512	0.030221947689041	0.00783675400515344	0.00428196380978255	1.28461042043526e-05	0.00960941542153994	0.000723862417338985	0.00072353982285095	1.78160675659621e-05	1.4389900726354e-05	3.51762997566559e-06	0.00426731278781085	8.22280041505941e-06	5.71426130732364e-06	0	2.34497264346706e-06	0.000711507763111325	6.11865828224881e-07	2.36163301787729e-06	0.00071139658155809	0.00106664977883876	2.0395527607496e-07	7.13672455797367e-07	7.13672455797367e-07	2.0395527607496e-07
"Clethrionomys_centralis"	0.00260859046937571	0.00100984652495328	1.0049278114203	0.000648774088731573	0.000408137392241035	0.000491744697938048	0	6.04135869472493e-06	6.41487804260859e-08	0.0112666236541445	0.0104712383246655	0.00123886037876228	0.00559409235620641	0.028611960252698	3.09199259784707e-05	0.00399704412302322	0.0151033772646561	0.0142993680676406	9.94306096604332e-06	0.00120750498358443	0.000806923338430344	5.33244834083764e-06	4.30697750606117e-06	0.00278337691285441	0.000798691371825927	2.46113000346353e-06	0.000796433842866912	0	0.00238381685788051	1.89136566996248e-06	1.76653982124766e-06	1.49855241148971e-06	1.60240408419678e-06	1.07050868369605e-06	5.88846607082554e-07	0.000794409337091142	0.000794409337091142	5.88846607082554e-07
"Sicista_tianshanica"	0.00562484070214626	0.000279914355643183	0.00074949700661684	1.00323252525829	0.00013742382251499	7.67378252596119e-05	0	5.38725983985527e-08	1.72579381546497e-08	0.00717413447867573	0.0844841484708205	0.00184970187265355	0.00141804888309658	2.94961725288643e-05	9.67703737004478e-06	1.78257962775727e-05	0.00459849348119457	1.0664779540793e-05	2.67498041397071e-06	3.45500235791104e-06	4.9429791329269e-06	1.79548712833655e-06	1.45020114211798e-06	8.42228580352594e-06	1.77940374792642e-06	8.28686366924562e-07	2.34560386709106e-06	0	3.04717899091762e-06	2.73725080084761e-06	3.80914720235638e-06	2.11174519290933e-06	0.00137448894982342	2.96728998915035e-07	1.26971573411879e-06	5.92487752266277e-07	5.92487752266277e-07	1.26971573411879e-06
"Spermophilus_relictus"	0.00138069265929684	0.00193921043121818	0.000518888242396893	0.000151235261963733	1.00597851549026	0.000132190616620423	0	1.57907994210101e-07	1.19491261030304e-07	8.52674778263662e-05	6.57217076140893e-05	0.0369612745154649	0.0273132789699442	0.00154482593729043	5.85565050451877e-05	2.30392261670357e-05	1.79536258191989e-05	7.38339001039057e-06	1.85211454596972e-05	6.0657065398086e-06	5.18625897927258e-06	0.0131434378908275	0.010615853681053	2.99400302793857e-06	8.63298874896999e-06	0.00606620210345885	0.00353933975079009	0	1.54223377358206e-06	1.99380427954384e-06	9.35006315550905e-07	0.00151701802902249	1.57763832757437e-06	2.05570010376485e-06	3.11668771850302e-07	4.10188333910587e-07	4.10188333910587e-07	3.11668771850302e-07
"Alticola_argentatus"	0.00182520966512885	0.00132354075008008	0.00153594331578181	0.00020747634236858	0.000324764601326718	1.00472753238705	0	0.000156411031711362	1.32007567265145e-07	0.00259861210488881	0.00505612865079181	5.39613584744073e-05	0.00747322341612812	0.00873636772784613	4.01650019378768e-05	0.0248279492462888	3.12771166769663e-05	2.18553199083577e-05	2.04611729260975e-05	0.0310128656654383	0.021097668259453	4.24315559522346e-06	3.42716413460356e-06	6.3097015931864e-06	6.82637136548781e-06	1.95837950548775e-06	2.76858369531109e-06	0	4.05456452914965e-06	1.75938690986917e-06	1.2360336332701e-06	1.10761169300699e-06	1.21957865531729e-06	1.40304673153365e-06	4.12011211090035e-07	1.21418443935321e-06	1.21418443935321e-06	4.12011211090035e-07
"Sciurus_vulgaris"	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0
"Ellobius_tancrei"	0.000757580850341062	0.00476542163093537	0.000382115937441352	2.94952476232076e-06	7.85592271195254e-06	0.00316732339215507	0	1.00069445627089	0.000323306571768328	6.67284075834509e-05	4.8236771033442e-05	0.000140937449194473	3.72317404762501e-05	6.5970084061166e-05	0.000143302049863617	0.000118215133620909	2.66435396549388e-05	5.43722282525244e-06	0.0501125186240909	0.000101577785860176	0.0501052093820525	1.02640196236566e-07	8.29016969603032e-08	1.91229516473833e-06	2.05088027655576e-05	4.73723982630304e-08	5.00713312355308e-07	0	1.07721528284103e-06	3.70981209573481e-06	5.13034435896882e-07	2.68360317514199e-07	3.37182958335012e-06	5.05168370770534e-06	1.71011478632294e-07	3.02067934736246e-07	3.02067934736246e-07	1.71011478632294e-07
"Microtus_oeconomus"	8.36354172756881e-06	0.00877246633643808	8.11482072389987e-06	1.88974422793414e-06	1.18893804725153e-05	5.34630647423837e-06	0	0.000646613143536657	1.00064632682741	2.84503677864102e-05	6.74477294777357e-06	0.000257738285222296	1.28608853656174e-05	4.9900540465097e-05	0.000263485859168443	6.83759807638427e-05	3.73358004982049e-05	1.15467804766955e-07	0.100180658248428	6.37425462875176e-06	3.8652677204997e-05	1.55338639339396e-07	1.2546582408182e-07	3.18917364985305e-08	3.72041519936811e-05	7.16947566181827e-08	5.01247520730952e-08	0	2.11325667977059e-08	6.20339871794617e-06	5.66379800964027e-09	2.07555881593658e-08	6.20221154332961e-06	9.29943427890963e-06	1.88793266988009e-09	6.41487804260859e-09	6.41487804260859e-09	1.88793266988009e-09
"Pectinoctenus_nemorosa"	0.0902120354311704	0.00178765693885719	0.00552413911724527	0.00304483614501935	3.28841629601684e-05	0.000407921667627894	0	5.17274477391092e-07	1.10272743358179e-07	1.00479274283408	0.0032991794238395	0.00011665725161458	0.000601187058764803	0.000262527927373659	7.40567668719449e-05	0.00021889673188392	0.000185910354092829	7.86043510754268e-05	1.70922752205177e-05	2.04038993106511e-05	5.49452340944433e-05	4.29642330132853e-07	3.47018805107304e-07	0.000117103632458363	1.19470791585514e-05	1.98296460061317e-07	2.4846471944632e-05	0	3.34646157957548e-05	4.19911430272794e-05	6.10916718495511e-05	3.05954100397909e-05	5.43437021208008e-06	1.89504269136804e-06	2.0363890616517e-05	4.36690839307926e-06	4.36690839307926e-06	2.0363890616517e-05
