"Sideroxylon_cinereum"	"Homalanthus_populifolius"	"Croton_fothergillifolius"	"Toddalia_asiatica"	"Aphloia_theiformis"	"Erythroxylum_macrocarpum"	"Psiadia_terebinthina"	"Antirhea_borbonica"	"Doratoxylon_apetalum"	"Dodonaea_viscosa"	"Trochetia_blackburniana"	"Chaetocnema_sp1_M_PL_073"	"Fannia_pusio"	"Apis_mellifera"	"Stomorhina_lunata"	"Melanostoma_annulipes"	"Musca_domestica"	"Stomoxys_calcitrans"	"Dysauxes_florida"	"Nacoleia_sp2_M_PL_073"	"Pachycerina_crinicornis"	"Episyrphus_sp1_M_PL_073"	"Gelechioidea_sp1_M_PL_073"	"Mauritiborium_undulatus"	"Technomyrmex_albipes"	"Allograpta_nasuta"	"Chrysomya_megacephala"	"Nacoleia_sp1_M_PL_073"	"Stomoxys_niger"	"Cotesia_sp1_M_PL_073"	"Orthellia_albigena"	"Cheloninae_sp1_M_PL_073"	"Henotesia_narcissus"	"Hydrotaea_fuliginosa"	"Lygistorrhina_sp1_M_PL_073"	"Melanostoma_bituberculatum"	"Panara_naso"	"Sapromyza_sp1_M_PL_073"	"Scopariinae_sp1_M_PL_073"	"Zosterops_mauritianus"	"Brachymyrmex_sp1_M_PL_073"	"Cixiidae_sp1_M_PL_073"	"Lecithoceridae_sp1_M_PL_073"	"Melanagromyza_sojae"	"Polistes_hebraeus"	"Psyllidae_sp1_M_PL_073"	"Scirtidae_sp1_M_PL_073"	"Thelairodrino_sp1_M_PL_073"
"Sideroxylon_cinereum"	1.00511520661982	0.0011306089890614	0.000745116695308635	0.000555533371689498	0.00132029048233998	0.000155154679284689	0.000427570334557365	4.90235622297606e-07	0.000138527009982106	0.000190441432601668	0.000322070250738148	0.000120452948104306	0.0140370268735151	0.030596673820124	0.0102218743924799	0.00640368726939044	0.0140121086246804	0.00511317979618072	1.90153467460014e-05	2.88968774683291e-06	0.00128865444630717	1.18071673767075e-05	0.00128100690776472	7.45107844445797e-06	1.19988634727484e-05	0.00382452934212577	0.00128271407622041	5.65945569327833e-06	1.03146296187726e-05	4.34849611177462e-06	0.00381689318969553	5.44118378861909e-06	0.00254459545979703	2.89899740784975e-06	8.38673942079399e-07	8.38673942079398e-07	4.79095959646723e-06	4.65568564899507e-06	0.00127378796328913	0.00254459545979702	1.35495944314512e-06	2.72059189430955e-06	0.00127229772989851	0.00127229772989851	3.30072620584996e-06	4.19336971039699e-07	1.49023339061727e-06	1.49023339061727e-06
"Homalanthus_populifolius"	0.00114510397610065	1.00474023327493	0.00116013230988626	0.000946942894565262	0.000457371531053758	0.000887747407012663	0.0004372216005663	5.6186191640857e-05	0.000217155269046318	5.24128741390882e-05	5.0277207028731e-07	0.0387561712779811	0.0335142144453555	4.77633466772945e-05	0.00650182055071721	0.00390111534577578	2.31925475355376e-05	2.81500204963437e-05	2.8005961394333e-05	7.40970600171056e-06	1.99249696788029e-05	0.00387878487515284	2.02487737515388e-05	0.0038754401871961	1.54268730641554e-05	1.24420709949669e-05	1.3310095738351e-05	0.00129619172628324	0.00258377729706401	0.00386438551259588	4.34849611177463e-06	1.49751068968824e-06	2.89899740784975e-06	0.00257625700839725	4.79863463250088e-06	4.79863463250088e-06	3.46369344740692e-06	3.45304564364723e-06	3.7697633236974e-06	2.89899740784975e-06	2.30961681601283e-06	7.48755344844117e-07	1.44949870392488e-06	1.44949870392488e-06	1.1434288276344e-06	2.39931731625044e-06	2.32026461977253e-06	2.32026461977253e-06
"Croton_fothergillifolius"	0.00117728437858764	0.00180980640342257	1.00329785053225	0.00110725258486777	0.00114021408621869	0.00106284059313926	0.000309109306978032	8.71770222530357e-05	5.55686590628622e-05	3.21341849308237e-05	2.17723492994761e-05	0.0463008972981284	8.4821295592835e-05	0.00206837318345023	0.00407305793818072	0.00206105910977009	0.00203245799357738	0.0120608401873119	2.74910794432522e-05	9.03489049342973e-06	0.00403388578625397	1.58200672180076e-05	0.010043086365144	1.94813267903894e-05	2.29143163647382e-05	0.00402321325357705	0.00402396376721306	0.00201606073825064	1.1063224237671e-05	6.96079385931757e-06	4.47070017185181e-06	9.18119569452106e-07	2.98046678123454e-06	4.64052923954505e-06	5.74508428723922e-06	5.74508428723922e-06	0.00200944623628005	5.55115127619982e-06	0.00200808593445512	2.98046678123454e-06	2.70061606065309e-06	4.59059784726053e-07	1.49023339061727e-06	1.49023339061727e-06	2.85053521554672e-06	2.87254214361961e-06	0.0020065957010645	0.0020065957010645
"Toddalia_asiatica"	0.00107041796008464	0.00180150111649001	0.00135030803032655	1.00253519017771	0.000997406281013472	0.000620319436779516	0.00124138051768551	0.000212149907930677	0.000233151682444697	3.85600621665395e-05	6.24928381194489e-07	0.024623514957266	0.00741057793385464	5.93681962134765e-05	0.0171960889735405	0.00983100773857156	2.61874331047515e-05	3.74120710239085e-05	0.0122624954631144	2.52478627523576e-05	0.0122377821275757	2.31630516353124e-05	1.98876568013796e-05	1.77729415802823e-05	1.58632421992161e-05	0.00245716740707451	0.00490380320416841	0.00489966879287776	1.92604358581544e-05	6.92885044803849e-06	4.06487832943535e-06	1.10171606190113e-06	2.70991888629023e-06	4.61923363202566e-06	3.35307803664603e-06	3.35307803664603e-06	5.19413176318677e-06	0.00244770129662377	4.05557550379821e-06	2.70991888629023e-06	0.00244520778092124	5.50858030950564e-07	1.35495944314512e-06	1.35495944314512e-06	2.49351570253368e-06	1.67653901832301e-06	2.70061606065309e-06	2.70061606065309e-06
"Aphloia_theiformis"	0.00260757370262146	0.000891874485554829	0.00142526760777336	0.00102234143803881	1.00239726654082	0.000916743225567797	0.000434531271936368	6.38126075758712e-07	3.52033910823572e-05	0.000157436889705041	0.000212133421839256	0.017695455462177	7.35176848904449e-05	0.0201526750747293	0.00257753719740688	0.0175862604599327	0.00756163621938472	0.0100582049034914	2.90104478844912e-05	2.94792523230315e-06	0.00503345570785369	1.11542200084658e-05	2.4986455463863e-05	1.47894616297303e-05	0.00753036792102325	0.00252408993110322	0.00252143043196717	8.99375796976365e-06	1.13589531924167e-05	3.43028648290318e-06	9.90217861754986e-06	4.49819684871545e-06	6.60145241169991e-06	2.28685765526879e-06	4.95536878685296e-06	4.95536878685296e-06	0.00250884370156759	0.00250848668205457	6.15126142139668e-06	6.60145241169991e-06	2.49351570253368e-06	2.24909842435773e-06	3.30072620584996e-06	3.30072620584996e-06	0.00250599316635204	2.47768439342648e-06	2.85053521554672e-06	2.85053521554672e-06
"Erythroxylum_macrocarpum"	0.000331276207121363	0.00187146750667534	0.0014362710718098	0.000687380997512436	0.000991073757370591	1.00372143109497	0.000781419186820484	8.22510509104054e-07	0.000219053973304407	6.04411623048175e-05	3.72632615581867e-07	0.0300151287707416	7.20245739589172e-05	3.54000984802774e-05	0.00278259916705289	0.00547041601198081	1.66451923569019e-05	0.00274418869352331	0.00545474178923547	5.27526208619822e-06	1.95024851367469e-05	0.00544353845573238	0.0081530639214321	0.0108608451808954	0.0135712361760852	1.11573186121078e-05	1.45999143110864e-05	8.64138770669816e-06	0.00272623689625748	7.19795194875131e-06	1.2580109131191e-06	1.72689035156622e-06	8.38673942079399e-07	4.79863463250088e-06	0.00542552124916198	0.00542552124916198	5.35022653704609e-06	4.1542234117495e-06	3.29187911465931e-06	8.38673942079398e-07	1.67653901832302e-06	8.63445175783108e-07	4.19336971039699e-07	4.19336971039699e-07	2.47768439342648e-06	0.00271276062458099	2.87254214361961e-06	2.87254214361961e-06
"Psiadia_terebinthina"	0.00112593521433439	0.00113677616147238	0.000515182178296719	0.0016965533741702	0.00057937502924849	0.00096375033041193	1.00281170800994	0.000577955071117576	0.00047483769254124	0.000183220188211401	3.57168512652542e-05	0.0034902966840762	6.59839228263712e-05	0.00339310087019915	0.0268250912473016	0.0100751635284576	2.62881185300529e-05	0.00336298729821535	0.026767544683472	0.00673164779242234	2.70725136027124e-05	0.0033700937840879	1.43912480996966e-05	0.00335749683186307	1.73689658330384e-05	1.19228046908335e-05	0.0033559159642192	2.23227412320694e-05	0.0100362540526527	4.372216005663e-06	4.27570334557365e-06	5.23486252032574e-06	2.8504688970491e-06	2.914810670442e-06	5.20946124546989e-06	5.20946124546989e-06	2.47880192971467e-06	5.58637263207294e-06	2.45559880511799e-06	2.8504688970491e-06	4.13793505895172e-06	2.61743126016287e-06	1.42523444852455e-06	1.42523444852455e-06	1.44843757312123e-06	2.60473062273495e-06	1.03036435659344e-06	1.03036435659344e-06
"Antirhea_borbonica"	2.58190761076739e-06	0.000292168196532456	0.000290590074176786	0.000579876415010518	1.70166953535657e-06	2.02885925579e-06	0.00115591014223515	1.00777508767156	7.59682713263327e-07	2.5757210948707e-07	4.79102744581541e-08	4.26908393973356e-05	1.40178886553306e-05	4.55147607352464e-06	4.38431964944386e-05	1.89821030943044e-05	6.37252485298772e-07	7.37568774624746e-06	3.79069008640813e-05	0.0806297130813394	8.24580047955515e-06	5.01621254880307e-06	2.92561918943192e-06	4.99869125384375e-06	4.01795384853094e-08	2.59075190252934e-06	7.85158195455372e-06	0.0201592861736295	1.23174136491877e-05	1.12372383281714e-06	9.80471244595212e-09	7.359203128202e-09	6.53647496396809e-09	7.49149221878093e-07	1.09668067880541e-08	1.09668067880541e-08	5.85434322191963e-07	1.41858689337624e-06	5.84448385835555e-07	6.53647496396808e-09	1.41433271953785e-06	3.679601564101e-09	3.26823748198404e-09	3.26823748198404e-09	4.25417383839142e-09	5.48340339402703e-09	5.81180148353571e-07	5.81180148353571e-07
"Doratoxylon_apetalum"	0.00136795422357329	0.0021172638732016	0.000347304119142888	0.00119490237252907	0.000176016955411786	0.00101312462653288	0.00178064134702965	1.42440508736874e-06	1.00210099685693	8.36447795126913e-07	5.44873777638764e-07	0.000165688864884357	9.83661144042691e-05	5.17630088756826e-05	0.0627311891838711	5.55284618504682e-05	2.10860977848459e-05	2.15278153060084e-05	6.75320987395277e-05	1.19848947205205e-05	1.85728690312004e-05	0.0375983425252135	1.34191528151205e-05	2.50314924112228e-05	1.50110004971138e-05	9.93841776998869e-06	1.53251097077603e-05	9.26632926422955e-06	2.59854191169756e-05	8.14332258923693e-06	5.19476287432896e-06	2.38985084321975e-08	3.46317524955264e-06	5.42888172615796e-06	5.47634933261017e-06	5.47634933261017e-06	1.13465062681524e-06	3.35443841908818e-06	2.4261958630621e-06	3.46317524955264e-06	2.91439603055871e-06	1.19492542160988e-08	1.73158762477632e-06	1.73158762477632e-06	4.40042388529465e-07	2.73817466630508e-06	6.94608238285777e-07	6.94608238285777e-07
"Dodonaea_viscosa"	0.00214926759650454	0.000584029168978411	0.000229529892363026	0.000225851792689731	0.000899639369743091	0.00031947471503975	0.00078522937804886	5.5194023461515e-07	9.559403372879e-07	1.00490557025982	9.10047248716331e-07	6.63886328678095e-05	5.10467238962037e-05	8.64544886280514e-05	5.43943776173273e-05	0.0143996284513718	0.0287487205876044	2.61139964189714e-05	2.5420630587622e-05	5.27901773909495e-06	1.08911984672299e-05	6.62643540890973e-06	7.60622634528913e-06	8.31747799782764e-06	1.10645211519887e-05	1.1879851707689e-05	9.60695721018337e-06	2.3205699961636e-06	0.0143660071105006	2.24626603453235e-06	8.16177568292864e-06	0.0287115877217092	5.44118378861909e-06	1.49751068968823e-06	1.72689035156622e-06	1.72689035156621e-06	2.70815820908378e-06	2.79995645530829e-06	3.1796516790356e-06	5.44118378861909e-06	5.50858030950564e-07	0.0143557938608546	2.72059189430955e-06	2.72059189430954e-06	2.24909842435773e-06	8.63445175783107e-07	4.59059784726053e-07	4.59059784726053e-07
