"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Microtus_oeconomus"	"Megabothris_advenarius"	"Amalaraeus_penicilliger"	"Stenoponia_montana"	"Catallagia_dacenkoi"	"Hystrichopsylla_microti"	"Amphipsylla_marikovskii"	"Rhadinopsylla_integella"
"Clethrionomys_rutilus"	1.00898097912438	0.0010885712773702	3.14596992572746e-05	0.0514217107662872	0.0247894204567165	0.0163492288284043	0.00236762092061907	0.00373696658934957	0.000943790977718238	0.00140136247100609
"Clethrionomys_rufocanus"	0.00691562929152832	1.00298784462693	0.000197536182550522	0.0357517558118644	0.029669331541088	0.000112058807964579	0.0295156508901652	2.56134418204753e-05	0.00592608547651565	9.60504068267823e-06
"Microtus_oeconomus"	0.00339764751978566	0.00335811510335887	1.00334524747787	0.000291550055445323	0.000182136294307039	5.50544737002305e-05	0.000106633016089579	1.25838797029098e-05	0.100357424335967	4.71895488859119e-06
"Megabothris_advenarius"	0.091041717422279	0.00996360407871631	4.77950910566104e-06	1.00498804037216	0.0025269411710917	0.00147521301378693	0.000503791895041049	0.000337191546008441	0.000143385273169831	0.000126446829753165
"Amalaraeus_penicilliger"	0.0849922987087422	0.0160120201967777	5.78210458117582e-06	0.00489344163290773	1.00255640095177	0.00137719002537314	0.000667683202689623	0.00031478629151386	0.000173463137435275	0.000118044859317697
"Stenoponia_montana"	0.100898097912438	0.00010885712773702	3.14596992572746e-06	0.00514217107662872	0.00247894204567165	1.00163492288284	0.000236762092061907	0.000373696658934957	9.43790977718237e-05	0.000140136247100609
"Catallagia_dacenkoi"	0.0340937412569146	0.0669021420177077	1.42177354786106e-05	0.00409750741300053	0.00280426945129642	0.000552444881477784	1.0020466307567	0.00012627311576635	0.000426532064358318	4.73524184123815e-05
"Hystrichopsylla_microti"	0.100898097912438	0.00010885712773702	3.14596992572746e-06	0.00514217107662872	0.00247894204567165	0.00163492288284043	0.000236762092061907	1.00037369665893	9.43790977718238e-05	0.000140136247100609
"Amphipsylla_marikovskii"	0.0339764751978566	0.0335811510335887	0.0334524747786558	0.00291550055445323	0.00182136294307039	0.000550544737002305	0.00106633016089579	0.000125838797029098	1.00357424335967	4.71895488859119e-05
"Rhadinopsylla_integella"	0.100898097912438	0.00010885712773702	3.14596992572746e-06	0.00514217107662872	0.00247894204567165	0.00163492288284043	0.000236762092061907	0.000373696658934957	9.43790977718238e-05	1.0001401362471
