"Sideroxylon_puberulum"	"Psiadia_terebinthina"	"Psidium_cattleianum"	"Helichrysum_proteoides"	"Stillingia_lineata"	"Grangeria_borbonica"	"Antidesma_madagascariense"	"Labourdonnaisia_callophylloides"	"Olea_lancea"	"Euodia_obtusifolia"	"Warneckea_trinervis"	"Homalanthus_populifolius"	"Phyllanthus_phillyreifolius"	"Wikstroemia_indica"	"Badula_platiphylla"	"Eugenia_orbiculata"	"Euodia_chapelieri"	"Gaertnera_sp1_M_PL_078"	"Apis_mellifera"	"Chaetocnema_sp1_M_PL_078"	"Villa_unifasciata"	"Pachycerina_crinicornis"	"Musca_domestica"	"Chrysomya_megacephala"	"Technomyrmex_albipes"	"Cerambycidae_sp1_M_PL_078"	"Stomorhina_lunata"	"Dysauxes_florida"	"Lygaeidae_sp1_M_PL_078"	"Pelecophora_intemipta"	"Scolia_carniflex"
"Warneckea_trinervis"	0.0054969865579575	0.00183983630273288	0.000920097293292811	2.58611118237848e-06	9.42629834048851e-07	0.000688595451140483	1.7706266568446e-06	0.000459155532367921	1.1002748029111e-06	4.24384553512687e-07	1.00068703146385	2.82923035675125e-07	2.82923035675125e-07	2.82923035675125e-07	1.41461517837562e-07	6.75890249398414e-07	1.41461517837562e-07	6.75890249398414e-07	0.100764614697606	3.53653794593906e-05	8.78657324217939e-05	7.77367920804245e-06	9.92328157951476e-06	2.20454153692162e-05	1.08815873752255e-05	2.1645132973328e-05	2.06596443600995e-05	2.87345686930942e-08	1.0822566486664e-05	7.65259220613202e-06	1.0822566486664e-05
"Homalanthus_populifolius"	3.99683347462052e-06	3.63217403020595e-06	2.59553111195628e-06	0.000811652582775251	0.0012158309224532	0.000807319653473511	0.000808790132306382	0.000808283177343765	0.0012083675380474	0.0012080292572073	4.24384553512687e-07	1.00080535283814	0.000805352838138199	0.000805352838138199	0.0004026764190691	3.38280840101005e-07	0.0004026764190691	3.38280840101005e-07	6.22430678485275e-05	0.100669104767275	4.39765092131306e-05	0.000117024978688552	3.85882239992728e-05	1.80527113955707e-05	2.69810368064688e-05	4.27314591788935e-08	1.15545036363539e-05	9.01836203083611e-06	2.13657295894468e-08	1.34713862890627e-05	2.13657295894468e-08
"Phyllanthus_phillyreifolius"	3.99683347462052e-06	3.63217403020595e-06	2.59553111195628e-06	0.000811652582775251	0.0012158309224532	0.000807319653473511	0.000808790132306382	0.000808283177343765	0.0012083675380474	0.0012080292572073	4.24384553512687e-07	0.000805352838138199	1.00080535283814	0.000805352838138199	0.0004026764190691	3.38280840101005e-07	0.0004026764190691	3.38280840101005e-07	6.22430678485275e-05	0.100669104767275	4.39765092131306e-05	0.000117024978688552	3.85882239992728e-05	1.80527113955707e-05	2.69810368064688e-05	4.27314591788935e-08	1.15545036363539e-05	9.01836203083611e-06	2.13657295894468e-08	1.34713862890627e-05	2.13657295894468e-08
"Wikstroemia_indica"	3.99683347462052e-06	3.63217403020595e-06	2.59553111195628e-06	0.000811652582775251	0.0012158309224532	0.000807319653473511	0.000808790132306382	0.000808283177343765	0.0012083675380474	0.0012080292572073	4.24384553512687e-07	0.000805352838138199	0.000805352838138199	1.00080535283814	0.0004026764190691	3.38280840101005e-07	0.0004026764190691	3.38280840101005e-07	6.22430678485275e-05	0.100669104767275	4.39765092131306e-05	0.000117024978688552	3.85882239992728e-05	1.80527113955707e-05	2.69810368064688e-05	4.27314591788935e-08	1.15545036363539e-05	9.01836203083611e-06	2.13657295894468e-08	1.34713862890627e-05	2.13657295894468e-08
"Badula_platiphylla"	3.99683347462052e-06	3.63217403020595e-06	2.59553111195628e-06	0.000811652582775251	0.0012158309224532	0.000807319653473511	0.000808790132306382	0.000808283177343765	0.0012083675380474	0.0012080292572073	4.24384553512687e-07	0.000805352838138199	0.000805352838138199	0.000805352838138199	1.00040267641907	3.38280840101005e-07	0.0004026764190691	3.38280840101005e-07	6.22430678485275e-05	0.100669104767275	4.39765092131306e-05	0.000117024978688552	3.85882239992728e-05	1.80527113955707e-05	2.69810368064688e-05	4.27314591788935e-08	1.15545036363539e-05	9.01836203083611e-06	2.13657295894468e-08	1.34713862890627e-05	2.13657295894468e-08
"Eugenia_orbiculata"	1.62241473485484e-05	0.00233228577840701	0.0046414682515275	8.34493508935729e-07	1.88915445761357e-06	3.3945312428287e-06	0.000776590106424011	2.1776903190824e-06	0.000774142290941955	1.01484252030301e-06	2.02767074819524e-06	6.76561680202009e-07	6.76561680202009e-07	6.76561680202009e-07	3.38280840101005e-07	1.00077312744842	3.38280840101005e-07	0.000773127448421652	0.000297391709735302	8.45702100252512e-05	0.100506568294815	1.31146790596584e-05	7.6309753766839e-08	8.34408895927653e-08	3.96056649890769e-05	2.74386562165531e-05	1.37678214117455e-05	9.27215009928588e-09	1.37193281082765e-05	3.62948386513734e-08	1.37193281082765e-05
"Euodia_chapelieri"	3.99683347462052e-06	3.63217403020595e-06	2.59553111195628e-06	0.000811652582775251	0.0012158309224532	0.000807319653473511	0.000808790132306382	0.000808283177343765	0.0012083675380474	0.0012080292572073	4.24384553512687e-07	0.000805352838138199	0.000805352838138199	0.000805352838138199	0.0004026764190691	3.38280840101005e-07	1.00040267641907	3.38280840101005e-07	6.22430678485275e-05	0.100669104767275	4.39765092131306e-05	0.000117024978688552	3.85882239992728e-05	1.80527113955707e-05	2.69810368064688e-05	4.27314591788935e-08	1.15545036363539e-05	9.01836203083611e-06	2.13657295894468e-08	1.34713862890627e-05	2.13657295894468e-08
"Gaertnera_sp1_M_PL_078"	1.62241473485484e-05	0.00233228577840701	0.0046414682515275	8.34493508935729e-07	1.88915445761357e-06	3.3945312428287e-06	0.000776590106424011	2.1776903190824e-06	0.000774142290941955	1.01484252030301e-06	2.02767074819524e-06	6.76561680202009e-07	6.76561680202009e-07	6.76561680202009e-07	3.38280840101005e-07	0.000773127448421652	3.38280840101005e-07	1.00077312744842	0.000297391709735302	8.45702100252512e-05	0.100506568294815	1.31146790596584e-05	7.6309753766839e-08	8.34408895927653e-08	3.96056649890769e-05	2.74386562165531e-05	1.37678214117455e-05	9.27215009928588e-09	1.37193281082765e-05	3.62948386513734e-08	1.37193281082765e-05
"Apis_mellifera"	0.054969865579575	0.0183983630273288	0.00920097293292811	2.58611118237848e-05	9.4262983404885e-06	0.00688595451140483	1.7706266568446e-05	0.00459155532367921	1.1002748029111e-05	4.24384553512687e-06	0.00687031463847315	2.82923035675125e-06	2.82923035675125e-06	2.82923035675125e-06	1.41461517837562e-06	6.75890249398414e-06	1.41461517837562e-06	6.75890249398414e-06	1.00764614697606	0.000353653794593906	0.000878657324217939	7.77367920804245e-05	9.92328157951476e-05	0.000220454153692162	0.000108815873752255	0.00021645132973328	0.000206596443600995	2.87345686930942e-07	0.00010822566486664	7.65259220613202e-05	0.00010822566486664
"Chaetocnema_sp1_M_PL_078"	3.99683347462052e-05	3.63217403020595e-05	2.59553111195628e-05	0.0081165258277525	0.012158309224532	0.00807319653473511	0.00808790132306382	0.00808283177343765	0.012083675380474	0.012080292572073	4.24384553512687e-06	0.00805352838138199	0.00805352838138199	0.00805352838138199	0.004026764190691	3.38280840101005e-06	0.004026764190691	3.38280840101005e-06	0.000622430678485275	1.00669104767275	0.000439765092131306	0.00117024978688552	0.000385882239992728	0.000180527113955707	0.000269810368064688	4.27314591788935e-07	0.000115545036363539	9.01836203083611e-05	2.13657295894468e-07	0.000134713862890627	2.13657295894468e-07
