"Apodemus_flavicollis"	"Clethrionomys_glareolus"	"Apodemus_sylvaticus"	"Microtus_agrestis"	"Neomys_fodiens"	"Sorex_araneus"	"Ctenophthalmus_agyrtes"	"Palaeopsylla_soricis"	"Nosopsyllus_fasciatus"	"Megabothris_turbidus"	"Peromyscopsylla_silvatica"	"Doratopsylla_dasycnema"	"Ctenophthalmus_uncinatus"	"Hystrichopsylla_talpae"	"Leptopsylla_segnis"	"Amalaraeus_penicilliger"	"Rhadinopsylla_integella"
"Apodemus_flavicollis"	1.00427339688849	0.00180185231115328	0.00205262732764041	0.00156827105381508	0.000248043717201961	0.000156818802708183	0.0772085446646766	0.00145336909172407	0.00902175214086094	0.00898584398653864	0.000991064703520867	0.00189653041055416	2.2367821793627e-05	1.11879902844946e-05	0.00141446957308238	2.48531353262522e-06	2.48531353262522e-06
"Clethrionomys_glareolus"	0.00264685891224586	1.00478978877775	0.00105080821000868	0.00127860664882889	0.000240791241626709	9.41563105473824e-05	0.0481977059419459	0.00280291453531785	5.60900050511171e-05	0.00904021831979463	0.021491994421131	1.2701955643777e-05	0.0124732525503445	0.00415966141049667	3.72797029893782e-06	0.00138591695003828	0.00138591695003828
"Apodemus_sylvaticus"	0.00397463291624916	0.00138515627682963	1.0032371903076	0.00122223096271855	0.000219169924147293	6.26297134626012e-05	0.0643214013525521	0.00185510626508542	0.0310446039906215	0.00187790283550306	4.07983634265001e-05	1.38746642956926e-05	1.71950434365058e-05	0.0018297992998866	5.5980745299284e-06	1.91056038183397e-06	1.91056038183397e-06
"Microtus_agrestis"	0.00407367968856844	0.00226095078146573	0.00163957812072001	1.00178703483119	0.000198029506565229	0.000141737172498351	0.0872665944575192	4.0166410747193e-05	8.70158570181918e-05	0.00494635565574082	0.00616062014924059	0.00245697011245194	2.80669752181952e-05	1.23367095346469e-05	5.73757702615273e-06	3.11855280202169e-06	3.11855280202169e-06
"Neomys_fodiens"	0.00107823085232689	0.00071254551093618	0.000492014115432698	0.000331396317109159	1.00445771277286	0.00302911053234108	0.0145258197972299	0.080152953832989	2.48257307098882e-05	1.85174992704898e-05	1.82668641993021e-05	0.00625354458005871	8.84539254955258e-06	3.84303530215274e-06	1.51863500327731e-06	9.82821394394731e-07	9.82821394394731e-07
"Sorex_araneus"	0.000927844582690082	0.00037924069526029	0.000191368568913504	0.000322845781801799	0.00412295600235314	1.00415675446999	0.000188081786625988	0.0672746382197732	1.41915764143998e-05	1.35994372374724e-05	1.09476919302138e-05	0.0334996642633132	4.70781552736912e-06	1.91721469502638e-06	1.30682335590152e-06	5.23090614152124e-07	5.23090614152125e-07
"Ctenophthalmus_agyrtes"	0.0432774210883582	0.0183912298989004	0.0186193530231072	0.0188312124882015	0.00187306623701122	1.7818274522462e-05	1.00702914250792	0.000295810577746818	0.00096154999858306	0.000676642554318246	0.00054865235416244	0.000139263633790775	0.000228304922882902	0.000109955010093889	6.09541142089552e-05	2.53672136536558e-05	2.53672136536558e-05
"Palaeopsylla_soricis"	0.0042995502296837	0.00564475843918179	0.00283419012721383	4.57450789065254e-05	0.0545485380252286	0.0336373191098866	0.00156122249366376	1.00661088679821	0.000125955035771752	9.43371942709014e-05	0.000124997112266719	0.00146340045739533	7.00728633829463e-05	2.85106940862194e-05	6.05570454885029e-06	7.78587370921626e-06	7.78587370921626e-06
"Nosopsyllus_fasciatus"	0.0362572303019506	0.000153453787404	0.0644321969616673	0.00013462830708475	2.29520906563117e-05	9.63956133808286e-06	0.00689413206531251	0.000171108727840871	1.00231496193652	0.000442603268210072	3.81459881573537e-05	6.88788988426087e-05	1.90494356777379e-06	0.000117784430210471	5.10665215520431e-05	2.1166039641931e-07	2.1166039641931e-07
"Megabothris_turbidus"	0.050368020240335	0.0344955699044795	0.00543603452382465	0.0106737148360723	2.38778280066842e-05	1.28836773828686e-05	0.00676642554318246	0.000178744157565918	0.000617315084608785	1.00082051342683	0.000849869037277408	0.000121196928953414	0.000428220867779746	0.000152623988394142	7.09408735779366e-05	4.75800964199717e-05	4.75800964199717e-05
"Peromyscopsylla_silvatica"	0.00555517846973538	0.0820089260806315	0.00011810052570829	0.0132939697957297	2.35546406780475e-05	1.03714976180973e-05	0.0054865235416244	0.00023683663376852	5.32036150615723e-05	0.000849869037277408	1.00183957120318	4.33465052850661e-05	0.00101804184100094	0.000339562008562208	7.82419502779631e-06	0.000113115760111216	0.000113115760111216
"Doratopsylla_dasycnema"	0.0192362370213351	8.77039794451267e-05	7.26768129774372e-05	0.00959388329624093	0.014591604020137	0.0574279958799655	0.00252000861145213	0.00501737299678398	0.000173837220888489	0.000219308728582368	7.84365333729768e-05	1.0020631269846	1.08873905518088e-06	4.95052678352604e-07	2.70932915793452e-05	1.20971006131209e-07	1.20971006131209e-07
"Ctenophthalmus_uncinatus"	0.000264685891224586	0.100478978877775	0.000105080821000868	0.000127860664882889	2.40791241626709e-05	9.41563105473824e-06	0.0048197705941946	0.000280291453531785	5.60900050511171e-06	0.000904021831979463	0.0021491994421131	1.2701955643777e-06	1.00124732525503	0.000415966141049667	3.72797029893783e-07	0.000138591695003828	0.000138591695003828
"Hystrichopsylla_talpae"	0.000297880241324668	0.0753938630652522	0.0251597403734407	0.000126451272730131	2.35385912256855e-05	8.62746612761871e-06	0.00522286297945975	0.000256596246775975	0.000780321850144372	0.000724963944872174	0.00161291954067049	1.29951328067559e-06	0.000935923817361752	1.00035771958828	4.19549635668547e-07	0.000103991535262417	0.000103991535262417
"Leptopsylla_segnis"	0.100427339688849	0.000180185231115328	0.000205262732764041	0.000156827105381508	2.48043717201961e-05	1.56818802708183e-05	0.00772085446646766	0.000145336909172407	0.000902175214086094	0.000898584398653864	9.91064703520867e-05	0.000189653041055416	2.2367821793627e-06	1.11879902844946e-06	1.00014144695731	2.48531353262522e-07	2.48531353262522e-07
