"Nephrosperma_vanhoutteanum"	"Deckenia_nobilis"	"Diospyros_seychellarum"	"Phoenicophorium_borsigianum"	"Premna_serratifolia"	"Canthium_bibracteatum"	"Psychotria_pervillei"	"Syzygium_wrightii"	"Dillenia_ferruginea"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Apis_mellifera"	"Lasioglossum_mahense"	"Megachile_seychellensis"	"Rhiparida_seychellensis"	"Unidentified_sp2_M_PL_089"	"Hemipyrellia_germana"	"Rhynchium_brunneum"	"Unidentified_sp4_M_PL_089"	"Nectarinia_dussumieri"	"Ceratina_tabescens"	"Lygistorrhina_sp1_M_PL_089"	"Unidentified_sp5_M_PL_089"	"Dichaetomyia_fasciculifera"	"Neophyllomyza_approximatonervis"	"Mabuya_sechellensis"	"Phelsuma_sp1_M_PL_089"	"Chalcidoma_disjunctum"	"Cratopus_aurostriatus"	"Eagris_sabadius"	"Ornidia_obesa"	"Polistes_olivaceus"	"Unidentified_sp1_M_PL_089"	"Unidentified_sp3_M_PL_089"	"Unidentified_sp6_M_PL_089"
"Nephrosperma_vanhoutteanum"	1.00515181279246	0.000842733195361285	0.000997096086093453	0.00128427551238002	0.000700918722283193	0.000415164022025114	0.000233672343548875	7.3856409316659e-05	0.00018632470465455	0.000190710407332799	2.44459055517069e-05	0.0330801993925698	0.0339260454543558	0.00302062514088533	0.00897105851024417	0.012937597590398	2.52184635783071e-05	2.49612132015488e-05	0.00200775470378363	5.86746403357221e-06	7.98392350048296e-06	0.00398079925858401	8.8708757406451e-06	9.32590988830871e-06	0.00199259000029914	1.13625245102552e-06	1.13625245102552e-06	1.22229527758535e-06	3.47101489832437e-06	5.68126225512762e-07	2.07027449616167e-06	2.21771893516127e-06	2.38388009165998e-06	0.000995199814646003	1.79747956576058e-06
"Deckenia_nobilis"	0.00223989612451289	1.0028966217877	0.00132640093076752	0.000935315233554265	0.000877378166139441	0.000533114885055181	0.000422245804101043	0.000230369302260369	0.00041107097660233	0.00018155948187085	4.70374084458174e-05	0.06365102110888	0.0133430545939393	5.21208422308513e-05	3.65637412616006e-05	2.88303461570966e-05	0.0105805172684635	3.16573184530272e-05	1.70748329183532e-05	1.35843755172582e-05	1.02522093279842e-05	8.8708757406451e-06	0.0105568065451337	7.32525154259787e-06	7.1772446395083e-06	3.54414311169798e-06	3.54414311169798e-06	2.35187042229087e-06	2.52787900960612e-06	1.77207155584899e-06	4.56745529558145e-06	0.00263920163628342	2.26949352338562e-06	2.21771893516128e-06	3.2480446469311e-06
"Diospyros_seychellarum"	0.00265017643935365	0.00132640093076752	1.00183087805127	0.00088061410184275	0.00114794674846928	0.000992812633379796	0.000524634363102553	0.000159567742849474	0.000301813761924505	0.000233312796465542	5.28525315853807e-05	0.0715200457413372	0.00808394084541662	0.0106057718285839	0.00530452309109447	3.41111818926707e-05	3.8857080732059e-05	0.00530508009730738	1.71480647027765e-05	1.29810745969462e-05	1.90925506419192e-05	1.04957482746679e-05	1.39621150607108e-05	7.67648618199631e-06	8.83520772630045e-06	2.45488835153037e-06	2.45488835153037e-06	2.64262657926904e-06	2.38003811308852e-06	1.22744417576519e-06	3.35348624360562e-06	3.49052876517769e-06	2.91640995581928e-06	2.62393706866698e-06	4.03564894694271e-06
"Phoenicophorium_borsigianum"	0.00350572504730761	0.000960594023650327	0.000904414482973636	1.00280001924582	0.000716723800643665	0.000300427634846177	0.00021789796482083	9.60090068577629e-05	0.000205512027856268	0.000369418983213351	2.42678830168096e-05	0.0328392992983467	0.0381076478265571	4.22615054149916e-05	0.0054588233218593	4.51231936782167e-05	0.00273356207963307	2.49179331192801e-05	0.0135582936412267	6.30639966979009e-06	5.77745451627263e-06	1.38840595932975e-05	1.01115160384245e-05	0.00542515838186219	9.18179167366018e-06	1.47706164396558e-06	1.47706164396558e-06	1.21339415084048e-06	0.00271027032228601	7.38530821982792e-07	2.28346697618076e-06	2.52787900960612e-06	4.61773729016688e-06	3.47101489832436e-06	1.67613819092946e-06
"Premna_serratifolia"	0.00221227471720633	0.00104188657229059	0.00136318676380727	0.000828711894494237	1.00317664969419	0.000623727123772336	0.000240167207979716	0.000149564229044436	0.000274131356978296	0.000167302742089534	2.34077991558746e-05	0.0316754338177295	0.0220813710462223	0.00631870273706394	3.44134339625962e-05	2.84748230927547e-05	0.00942762933231527	0.0282215179398271	1.55795513993272e-05	8.29685640105521e-06	1.19947523802372e-05	8.76148402853991e-06	1.0967227076743e-05	6.57080803014208e-06	0.00313930777230862	2.30098813914517e-06	2.30098813914517e-06	1.17038995779373e-06	2.23976187701145e-06	1.15049406957259e-06	3.04590396642552e-06	2.74180676918575e-06	2.09128427611918e-06	2.19037100713498e-06	1.84744006138243e-06
"Canthium_bibracteatum"	0.00161275254709756	0.000779167908926802	0.00145103384878585	0.000427531634204175	0.000767664152335183	1.00404160225891	0.000416649185924524	0.00011076269651331	0.000193995500402805	0.000273947402636715	2.59029652752834e-05	0.0350518926105135	0.0039775151007868	0.0386484763341024	2.64745699241772e-05	2.07582011012557e-05	0.00388341561188283	2.92275745411947e-05	8.97102391646582e-06	9.8180704454022e-06	0.0193084923511329	6.38713880038637e-06	8.2017674623874e-06	5.735324339468e-06	5.59251987624063e-06	1.70404148482015e-06	1.70404148482015e-06	1.29514826376417e-06	1.15549090325453e-06	8.52020742410074e-07	2.15550556003117e-06	2.05044186559685e-06	3.42434253295894e-06	1.59678470009659e-06	3.20499373788095e-06
"Psychotria_pervillei"	0.00181545436141818	0.00123425696583382	0.00153354659983823	0.000620171130643901	0.000591180819642378	0.000833298371849047	1.00178391555434	0.00118859219066143	0.00025746308934727	0.000191609120823733	5.15218966084302e-05	0.0697194304905278	0.000133854712172507	0.00776570508564572	3.0461591360337e-05	2.33672343548875e-05	3.82800495374188e-05	2.46982584463273e-05	1.19756500861685e-05	0.0154486323067026	1.60249686894048e-05	7.18991826304232e-06	1.29921785877244e-05	5.74739039215559e-06	5.44239919290359e-06	1.82860337024836e-05	1.82860337024836e-05	2.57609483042151e-06	1.67613819092946e-06	9.1430168512418e-06	2.86070099274744e-06	3.2480446469311e-06	2.39511401029667e-06	1.79747956576058e-06	0.0077060301196488
"Syzygium_wrightii"	0.000573807487767889	0.000673387191222616	0.000466428786790771	0.000273256404133633	0.000368158102263228	0.000221525393026619	0.00118859219066143	1.0060506671378	0.000215746520778751	5.2121863643048e-05	1.731902292367e-05	0.0234361018203103	5.24069393022279e-05	2.72298910896248e-05	1.14422695893192e-05	7.3856409316659e-06	0.0077557759728003	1.28093349776837e-05	4.82890656093948e-06	0.030973691176404	4.26010371205037e-06	2.27250490205105e-06	7.08828622339596e-06	2.12858493950368e-06	2.28674652059811e-06	0.0154777025713507	0.0154777025713507	8.65951146183502e-07	7.38530821982792e-07	0.00773885128567537	2.39718356420834e-06	1.77207155584899e-06	6.515232955381e-07	5.68126225512762e-07	9.1430168512418e-06
"Dillenia_ferruginea"	0.00209097724112329	0.00173563301232095	0.00127432477257013	0.00084488278118688	0.000974689269256165	0.000560431445608104	0.000371891129057167	0.000311633863347085	1.0017704212465	0.000124712880818094	4.14124592185595e-05	0.0560393398145547	0.000161850261090214	5.16912439990438e-05	0.0111606888351995	2.69135684501017e-05	0.022295808605771	3.41201081850409e-05	1.55578838732271e-05	1.53101362423283e-05	1.07775278001559e-05	8.28109798464668e-06	1.82698211823258e-05	6.12584496258769e-06	7.18645295874885e-06	4.79436712841669e-06	4.79436712841668e-06	2.07062296092798e-06	2.28346697618076e-06	2.39718356420834e-06	0.0111307824582945	4.56745529558145e-06	1.55891101022617e-06	2.07027449616167e-06	2.86070099274744e-06
"Erythroxylum_sechellarum"	0.00240771889257658	0.000862407538886537	0.00110823578321133	0.00170856279736175	0.000669210968358137	0.000890329058569325	0.000311364821338567	8.46980284199529e-05	0.000140301990920356	1.00189015582664	2.80243947263514e-05	0.0379226109436988	0.025231114170795	0.0125832653358234	3.80821263271383e-05	3.09904411915798e-05	2.71632520610163e-05	2.46543783967112e-05	2.78564466341544e-05	7.39632120274574e-06	1.71217126647947e-05	9.53552036663993e-06	9.0779740935425e-06	0.0125328624224134	6.85904445943914e-06	1.3030465910762e-06	1.3030465910762e-06	1.40121973631757e-06	4.61773729016688e-06	6.515232955381e-07	1.55891101022617e-06	2.26949352338562e-06	0.012523626947833	2.38388009165998e-06	2.39511401029667e-06
