"Allomerus_demararae"	"Pseudomyrmex_dendroicus"	"Pachychondyla_luteola"	"Crematogaster_victima"	"Pheidole_minutula"	"Azteca_sp8_M_PA_001"	"Myrmelachista_sp1_M_PA_001"	"Azteca_sp7_M_PA_001"	"Azteca_sp9_M_PA_001"	"Camponotus_balzani"	"Azteca_sp12_M_PA_001"	"Azteca_sp11_M_PA_001"	"Crematogaster_limata"	"Azteca_sp10_M_PA_001"	"Azteca_sp13_M_PA_001"	"Gnamptogenys_pleurodon"	"Cordia_nodosa"	"Triplaris_americana"	"Cecropia_sp1_M_PA_001"	"Clidemia_heterophylla"	"Pleurothyrium_sp1_M_PA_001"	"Triplaris_poeppigiana"	"Maieta_guianensis"	"Tococa_sp1_M_PA_001"
"Allomerus_demararae"	1.00821918240744	0	0	0	0	0	0	0.000940124489532531	1.9733931350389e-06	0	0	0	0.000469667566139258	3.9467862700778e-07	0.000234833783069629	0.000234833783069629	0.10097852671994	0	0	0	0	0	0	3.15742901606224e-05
"Pseudomyrmex_dendroicus"	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0
"Pachychondyla_luteola"	0	0	1.00799663299663	0	0	0	0	0	0	0.0021043771043771	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0
"Crematogaster_victima"	0	0	0	1.00508080991747	0.00502020018354342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0544286713145432	0	0	0.0465814296955578	0
"Pheidole_minutula"	0	0	0	0.00502020018354342	1.00508080991747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0621214452355734	0	0	0.0388886557745277	0
"Azteca_sp8_M_PA_001"	0	0	0	0	0	1.00865800865801	0	0	0	0	0	0.00144300144300144	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0
"Myrmelachista_sp1_M_PA_001"	0	0	0	0	0	0	1.00721500721501	0	0	0	0.00288600288600289	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0
"Azteca_sp7_M_PA_001"	0.0054840595222731	0	0	0	0	0	0	1.00146761247453	0.00210215703710019	0	0	0	0.000313374829844177	0.000420431407420037	0.000156687414922088	0.000156687414922088	0.067375588416498	0	0	0	0	0	0	0.033634512593603
"Azteca_sp9_M_PA_001"	1.38137519452723e-05	0	0	0	0	0	0	0.00252258844452022	1.00630252432503	0	0	0	7.89357254015559e-07	0.0012605048650061	3.94678627007779e-07	3.94678627007779e-07	0.000169711809613345	0	0	0	0	0	0	0.100840389200488
"Camponotus_balzani"	0	0	0.007996632996633	0	0	0	0	0	0	1.00210437710438	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0
"Azteca_sp12_M_PA_001"	0	0	0	0	0	0	0.00721500721500722	0	0	0	1.002886002886	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0
"Azteca_sp11_M_PA_001"	0	0	0	0	0	0.00865800865800866	0	0	0	0	0	1.001443001443	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0
"Crematogaster_limata"	0.00821918240743701	0	0	0	0	0	0	0.000940124489532531	1.9733931350389e-06	0	0	0	1.00046966756614	3.9467862700778e-07	0.000234833783069629	0.000234833783069629	0.10097852671994	0	0	0	0	0	0	3.15742901606224e-05
"Azteca_sp10_M_PA_001"	1.38137519452723e-05	0	0	0	0	0	0	0.00252258844452022	0.00630252432503048	0	0	0	7.89357254015559e-07	1.00126050486501	3.94678627007779e-07	3.94678627007779e-07	0.000169711809613345	0	0	0	0	0	0	0.100840389200488
"Azteca_sp13_M_PA_001"	0.00821918240743701	0	0	0	0	0	0	0.000940124489532531	1.9733931350389e-06	0	0	0	0.000469667566139258	3.9467862700778e-07	1.00023483378307	0.000234833783069629	0.10097852671994	0	0	0	0	0	0	3.15742901606224e-05
"Gnamptogenys_pleurodon"	0.00821918240743701	0	0	0	0	0	0	0.000940124489532531	1.9733931350389e-06	0	0	0	0.000469667566139258	3.9467862700778e-07	0.000234833783069629	1.00023483378307	0.10097852671994	0	0	0	0	0	0	3.15742901606224e-05
"Cordia_nodosa"	0.0821918240743701	0	0	0	0	0	0	0.00940124489532531	1.9733931350389e-05	0	0	0	0.00469667566139258	3.9467862700778e-06	0.00234833783069629	0.00234833783069629	1.0097852671994	0	0	0	0	0	0	0.000315742901606224
"Triplaris_americana"	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0
"Cecropia_sp1_M_PA_001"	0	0	0.07996632996633	0	0	0	0	0	0	0.021043771043771	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0
"Clidemia_heterophylla"	0	0	0	0.0471715151392708	0.0538385858708303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00585314840724	0	0	0.00424786169376751	0
"Pleurothyrium_sp1_M_PA_001"	0	0	0	0	0	0	0.0721500721500722	0	0	0	0.0288600288600289	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0
"Triplaris_poeppigiana"	0	0	0	0	0	0.0865800865800866	0	0	0	0	0	0.0144300144300144	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0
"Maieta_guianensis"	0	0	0	0.0550507805492956	0.0459593204608054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00579253867331933	0	0	1.00430847142769	0
"Tococa_sp1_M_PA_001"	0.000138137519452723	0	0	0	0	0	0	0.0252258844452022	0.0630252432503048	0	0	0	7.89357254015559e-06	0.012605048650061	3.94678627007779e-06	3.94678627007779e-06	0.00169711809613345	0	0	0	0	0	0	1.00840389200488
