"Rhombomys_opimus"	"Meriones_libycus"	"Spermophilus_fulvus"	"Meriones_meridianus"	"Spermophilopsis_leptodactylus"	"Dipus_sagitta"	"Blanfordimys_afghanus"	"Allactaga_elater"	"Microtus_socialis"	"Cricetulus_migratorius"	"Apodemus_uralensis"	"Allactaga_severtzovi"	"Pygeretmus_pumilio"	"Calomyscus_mystax"	"Microtus_transcaspicus"	"Eremodipus_lichtensteini"	"Nesokia_indica"	"Xenopsylla_gerbilli"	"Xenopsylla_hirtipes"	"Xenopsylla_conformis"	"Citellophilus_trispinus"	"Xenopsylla_nuttalli"	"Nosopsyllus_laeviceps"	"Paradoxopsyllus_teretifrons"	"Nosopsyllus_turkmenicus"	"Coptopsylla_olgae"	"Coptopsylla_lamellifer"	"Rostropsylla_daca"	"Nosopsyllus_tersus"	"Coptopsylla_bairamalensis"	"Rhadinopsylla_cedestis"	"Stenoponia_vlasovi"	"Echidnophaga_oschanini"	"Paradoxopsyllus_repandus"	"Neopsylla_setosa"	"Ctenophthalmus_dolichus"	"Mesopsylla_eucta"	"Nosopsyllus_consimilis"	"Amphipsylla_parthiana"	"Desertopsylla_rothschildi"	"Frontopsylla_macrophthalma"	"Leptopsylla_taschenbergi"	"Ophthalmopsylla_karakum"	"Amphipsylla_schelkovnikovi"	"Ophthalmopsylla_volgensis"	"Mesopsylla_lenis"	"Amphipsylla_rossica"	"Peromyscopsylla_tikhomirovae"	"Nosopsyllus_fidus"	"Xenopsylla_persica"	"Nosopsyllus_philippovi"	"Phaenopsylla_kopetdag"	"Paradoxopsyllus_microphthalmus"	"Amphipsylla_argoi"	"Phaenopsylla_tiflovi"	"Wagnerina_schelkovnikovi"
"Rhombomys_opimus"	1.00915555433316	0.00060982907071146	1.61583735482179e-05	0.000230224993206266	6.96167630900039e-05	7.90174287321326e-06	7.42522308136036e-06	3.42002263751837e-06	3.60003584192664e-09	4.14022042027867e-07	1.03791436285759e-09	8.88462634757881e-08	3.85181386913593e-08	3.5807345997113e-11	4.91086720705152e-11	6.11260461495802e-08	2.723433417545e-07	0.0396659522762321	0.036002608944599	0.00367848369038226	3.19830270440898e-05	0.00436860928842631	0.00189902248655811	0.00343481306103243	0.000908101412563346	0.00252959283920904	0.00169964520472405	9.62222566128675e-05	0.0018182481066808	0.00100881995919107	0.000796137593067165	0.00104809399801227	0.000783084366788152	0.000903820331571462	2.08292390588957e-07	0.000335892512108544	1.59655555316997e-07	4.69957107365739e-08	1.87206312380832e-07	1.8794099343091e-07	9.47773221935387e-08	2.52339757571957e-09	3.53524167241706e-08	1.25100656534146e-08	1.15062840290562e-08	1.44471002352927e-08	4.97859923801943e-10	1.66248392129453e-12	5.64659391324229e-09	6.63391580137554e-10	1.30916060720274e-09	5.11533514244472e-13	4.47591824963913e-13	3.83650135683354e-13	3.19708446402795e-13	3.27418035179246e-10
"Meriones_libycus"	0.00446124792909767	1.00455307171845	8.96811577916901e-05	0.000751566736038698	0.000120009610310522	5.20503755250299e-05	5.68300088904152e-05	1.30411368679329e-05	2.399733487397e-08	1.93937609480065e-06	6.14960706840213e-09	7.97315642552429e-07	1.82187251143207e-07	1.98139968513904e-10	2.30663987412377e-10	2.627202488311e-07	2.99253052266815e-07	0.00279299094460983	0.00365033345665625	0.0498371915236145	0.000129199363161885	0.00206175382694998	0.0157285479010923	0.000729399330311878	0.00759798346275299	0.000679767313097286	0.00466454775004615	3.90492321923441e-05	8.02124275978165e-05	0.00353184776367293	0.00524526794624516	0.00244034788888981	0.00151894141609443	3.41350371129256e-05	2.07450607701351e-05	0.000184186909553583	2.03040537902587e-05	2.94239452724376e-07	1.41696804960443e-06	1.18760232324467e-06	2.00130387152718e-05	1.19048309103186e-08	2.32873505976555e-07	5.65408233380603e-08	4.81954017755027e-08	5.50892878445708e-08	2.33713741569389e-09	9.19935568100269e-12	1.88027939120996e-08	3.12494200021247e-09	6.13241452901391e-09	2.83057097877006e-12	2.4767496064238e-12	2.12292823407754e-12	1.76910686173129e-12	1.53381127499817e-09
"Spermophilus_fulvus"	0.000269298500583893	0.000204309829757692	1.00952588550591	2.5985401854333e-05	5.43712843762171e-05	3.89563060730075e-06	2.51328580729005e-06	1.15169588231347e-05	6.75990913500248e-09	3.1110078116074e-06	3.72671733731585e-09	2.26765449777738e-08	8.13284112786015e-09	1.72895815446037e-10	3.67163672473989e-10	7.16580094269188e-08	9.20139459592282e-09	0.000132457659392915	0.000616144204689741	0.00233567889231863	0.0853125139466835	0.000284170500794874	0.000407369481502543	6.30696579809275e-05	0.000145423201275132	1.00266355071355e-06	1.79986721802836e-06	0.000134233483089611	0.000102670379560241	2.25859290530077e-05	4.18707055056071e-05	1.04107515275747e-05	5.04402916328849e-05	2.55828394298392e-07	0.0113177441706172	1.0054602440937e-05	4.57626583062735e-07	1.18805071256461e-07	6.26052184585804e-08	9.58663799823323e-06	9.76538319617947e-06	1.86934176291668e-08	1.74290607581775e-08	8.41991675392898e-08	1.49159431972913e-08	4.86507477167749e-08	3.72661986427625e-09	8.02730571713743e-12	8.87156849667778e-09	4.93513465761484e-09	9.83717885093247e-09	2.46994022065767e-12	2.16119769307546e-12	1.85245516549325e-12	1.54371263791104e-12	2.45991219778828e-09
"Meriones_meridianus"	0.00510595957789464	0.00227847473784498	3.45794474613511e-05	1.00243673506303	0.00017818791327976	3.34314331665189e-05	1.90858863770787e-05	1.0434056457171e-05	1.08023787163663e-07	1.39238329306371e-06	3.17872999905601e-09	5.17048722821429e-07	1.11454529921894e-06	1.13058314248688e-10	1.71025892878746e-10	3.47222186598648e-07	6.39299391898792e-07	0.00248759921989349	0.0103378284802262	0.00798530768108864	8.19198436579437e-05	0.00408542973705523	0.00317559100525262	0.00931585848213585	0.0427668927516614	0.00207548341279804	0.00297779186681935	0.00061157206674964	0.00203887924139452	0.00555250516642645	0.00322508625718928	0.00282769050664476	0.000826199703398216	8.3062350033306e-05	4.74856134914448e-07	0.00042692601424291	1.62189050486608e-05	1.40105327815727e-07	1.61555491984888e-05	4.78029066875626e-05	1.59689001154118e-05	8.46591561979924e-09	1.49572312836904e-07	4.1334127338984e-08	1.57740034250417e-05	4.40762753567131e-08	1.7419369705502e-09	5.24913601868907e-12	1.56888267434133e-05	2.46579039543898e-09	4.40279302154534e-09	1.61511877498125e-12	1.4132289281086e-12	1.21133908123594e-12	1.00944923436328e-12	1.10110203508008e-09
"Spermophilopsis_leptodactylus"	0.00248528162659859	0.000585638436292965	0.000116464906800328	0.000286823757664122	1.00658946514655	2.38071774295193e-05	5.04702646573517e-06	4.39678909528947e-06	6.1932170302003e-09	1.65499467587029e-06	2.66586511763198e-09	3.21834895198995e-07	3.57072570811999e-08	1.08113465229289e-10	1.95583482814285e-10	8.59102852165444e-08	1.97762422435775e-06	0.00151966225029268	0.00465151267184334	0.00290627518227162	0.000719782820717646	9.4256744145093e-05	0.000349392769577767	0.000924102858694644	0.00110398510074569	0.0022835549670969	0.00442351511004834	0.0670929520856624	0.000877117535369948	0.00152704772696743	0.00256615116274788	0.00114047104143188	0.000915600079285378	2.268723726793e-06	0.000133143000528034	0.00774756791127597	1.03594076644186e-05	1.02521580387379e-07	1.29321136202685e-07	1.06774079176161e-05	1.18712970100521e-07	9.98944351762719e-09	1.06513369394463e-07	4.35964369152134e-08	1.62172419402572e-08	1.85732258249555e-08	1.98432756453054e-09	5.01955374278843e-12	1.01478387009292e-05	2.63175059641795e-09	5.23318474583492e-09	1.54447807470413e-12	1.35141831536612e-12	1.1583585560281e-12	9.65298796690084e-13	1.30868230597741e-09
"Dipus_sagitta"	0.00338625034533912	0.00304910092805059	0.000100169993789904	0.000645990691657765	0.000285786885044199	1.00242628314025	4.92125825423106e-05	1.00689347929814e-05	1.90963444864669e-08	8.01406012653321e-07	4.31244855554669e-09	2.0324185203024e-07	1.22956322165337e-05	1.23704219751394e-10	9.61410593787987e-11	0.000134609072708518	2.13618111562463e-07	0.00408300670208813	0.00826174553613519	0.0452648140260753	0.000191028555543581	2.35181609402993e-05	5.62656935911925e-05	0.0010502242945088	0.00726610797576848	0.0014670670894613	0.00153820139640702	0.00220167152759322	0.000795759077479689	0.000624160854545132	0.000263915564313192	0.00104341133318148	0.000129229987161197	3.18593803984952e-06	1.23593029386403e-06	0.000307187779173894	8.37367613260032e-07	2.23509008895579e-07	1.22694777520271e-06	0.0217681705245989	3.03616644390455e-07	5.03584426859358e-09	0.00448485761501685	2.65992919039256e-08	0.000182648257041303	4.25339027353284e-08	9.72265940314219e-10	5.7434102027433e-12	1.61154707885198e-08	1.31378438398094e-09	2.53409015858757e-09	1.76720313930563e-12	1.54630274689243e-12	1.32540235447922e-12	1.10450196206602e-12	6.3396434043172e-10
"Blanfordimys_afghanus"	0.00324481790873507	0.00339476966177634	6.59001512848617e-05	0.000376069623065004	6.17809559045449e-05	5.01834842940701e-05	1.00240172654976	6.10185672054993e-06	0.000354272091902812	7.14341297825619e-05	6.83237779072191e-05	2.24756510518633e-07	1.40595520295257e-07	1.61537364896422e-06	4.02061064357182e-08	2.659678716714e-07	3.34301021775016e-06	0.011632850457576	0.00013205032004339	0.0513566188801995	6.17262191102942e-06	2.25396375541407e-05	0.000926099545819504	1.70245937241258e-05	0.00276421343180615	0.000567597457084718	0.000146473080594442	4.95415740111623e-06	6.94369639858915e-06	0.000449948242932482	0.00255553036055801	0.00143421452235074	8.00830226245776e-06	0.000126641010940339	1.18754376317883e-06	0.000125942974819999	3.3737295261617e-07	0.00392926404724823	0.0247852919851811	1.12890158982059e-06	2.1413796495151e-07	4.91457028168755e-06	2.24521030094389e-07	1.7547775754905e-06	3.12545691252311e-08	2.57758924447194e-08	3.36055463649965e-07	7.49994908447675e-08	1.48617238262774e-07	9.80038861260857e-07	2.25878671249208e-07	2.30767664137746e-08	2.01921706120528e-08	1.7307574810331e-08	1.44229790086091e-08	6.22388594157456e-08
"Allactaga_elater"	0.00186187135619609	0.00097048294337242	0.000376202963708079	0.000256123229163736	6.70493452280894e-05	1.27911045680424e-05	7.6015450082427e-06	1.00513112372203	1.29442693275837e-07	6.72119938098152e-05	7.73094380278689e-08	0.00117244222259668	0.000177778094806988	3.65966321538109e-09	7.93092364464242e-09	3.17928269678173e-08	8.14449729038393e-08	0.00803125178482077	7.30051744212382e-05	0.00592824469757694	0.00227080629120955	0.000937615083695613	0.0019500491007326	9.48764356863861e-06	0.00195014184509916	0.000778000677603309	0.00618480196022736	4.95044604547885e-06	4.04634669386325e-06	0.000778783904419925	0.000779619970378897	5.10418860067734e-06	0.000466390116159666	0.000542110554366455	0.00116257591211214	0.000233023180567491	0.0394127840361016	2.3823293652754e-06	1.93158634114854e-07	2.96348626513235e-07	0.0232369288986214	4.03652649843689e-07	5.72274327711691e-08	0.000696438191685451	0.00116967405305945	0.00424594560712073	8.05002852990547e-08	1.69912934999836e-10	0.000154535534428563	1.06580839614445e-07	2.125280436674e-07	5.22809030768727e-11	4.57457901922636e-11	3.92106773076545e-11	3.26755644230454e-11	5.31450811426192e-08
"Microtus_socialis"	8.92221050777464e-06	8.12981039606234e-06	1.00524103325754e-06	1.20714693627646e-05	4.29952182288905e-07	1.10438299932225e-07	0.00200919347226001	5.89281072185803e-07	1.00468824463545	0.00167300531784851	0.00152926784761142	1.17509810824196e-09	4.22070574478445e-10	3.61570393042433e-05	6.23832428007081e-05	5.75542880664797e-10	7.14979701667758e-05	3.29624703383181e-05	4.72087441435238e-07	0.00011038125264424	8.8781385410255e-08	1.42737715946585e-06	1.29446046726928e-05	1.48583890257932e-07	8.02952874452989e-06	1.61585562536592e-06	4.97056140345028e-06	2.25355217681276e-06	4.16395204757066e-08	9.7239218290252e-07	7.15217942255685e-06	3.80623163442359e-06	2.97542998427784e-08	2.57237701948791e-07	8.60863429942961e-06	2.60760663674302e-07	2.35154855126292e-08	0.0879418316707494	0.00953449169724797	3.02236657730612e-09	1.39808946192275e-08	0.000111071194556834	4.94101220978513e-10	4.09989566282958e-05	9.15515216118418e-10	2.48928256299686e-09	0.000710161488973698	1.67871968198273e-06	3.30661832331565e-06	0.00246167223988088	5.29013539240634e-06	5.16529132917762e-07	4.51962991303042e-07	3.87396849688322e-07	3.22830708073601e-07	1.45166613133103e-06
"Cricetulus_migratorius"	0.00115993757184149	0.000742719720163358	0.000522969020662698	0.000175891581210736	0.000129881103910691	5.23923140287981e-06	0.000457969005957768	0.000345889391068693	0.00189122340278527	1.00332120103047	0.00114609928486534	4.27961129890449e-07	7.55507062763613e-08	5.4442573417101e-05	0.000118386843594214	2.31937277646437e-08	2.86336340989437e-05	0.00402303845440739	4.66758779222923e-05	0.00443186801165849	4.51961661472482e-05	0.000800853665848893	0.006360946016205	6.25411742744435e-06	0.000809683330428164	4.76085727984774e-06	0.00278465615168701	0.000802465646479282	2.66696429800069e-06	5.40594027043876e-06	0.00119683148915193	4.65960166665595e-06	2.46591088908894e-06	1.31723937869665e-06	0.00516169840180092	1.73587257514679e-06	1.35842670837361e-05	0.0351050582439469	2.91791270913764e-05	1.30011428375553e-07	8.01860246255626e-06	0.00602508719394936	2.34403339669351e-08	0.0245875570639657	4.07156872022472e-07	1.46113030021337e-06	0.00120165592819888	2.52769090865112e-06	0.00198290541543311	0.00159090744717265	0.00317255715740859	7.77751048815729e-07	6.80532167713763e-07	5.83313286611797e-07	4.8609440550983e-07	0.000793333727114352
