"Chrysobalanus_icaco"	"Dillenia_ferruginea"	"Nepenthes_pervillei"	"Apis_mellifera"	"Hemipyrellia_sp1_M_PL_117"	"Lasioglossum_mahense"	"Eristalinus_vicarians"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Rhiparida_seychellensis"
"Chrysobalanus_icaco"	1.00752654240702	0.00205909659123498	0.00051537110275402	0.0974309069756476	2.5768555137701e-05	3.16784090959228e-05	0.00347422945657594	1.58392045479614e-05	1.58392045479614e-05	1.58392045479614e-05
"Dillenia_ferruginea"	0.00459336931890881	1.00517800794661	0.000329632835495622	0.0623170875504473	1.64816417747811e-05	0.0154642770453324	1.58392045479614e-05	0.0077321385226662	0.0077321385226662	0.0077321385226662
"Nepenthes_pervillei"	0.00373644049496665	0.00107130671536077	1.00529326289068	0.0506913494835611	0.0502646631445341	1.64816417747811e-05	1.28842775688505e-05	8.24082088739054e-06	8.24082088739054e-06	8.24082088739054e-06
"Apis_mellifera"	0.0743551658498363	0.0213190036356793	0.00533593152458538	1.00875785472287	0.000266796576229269	0.000327984671318144	0.000256397123620125	0.000163992335659072	0.000163992335659072	0.000163992335659072
"Hemipyrellia_sp1_M_PL_117"	0.000373644049496665	0.000107130671536077	0.100529326289068	0.00506913494835611	1.00502646631445	1.64816417747811e-06	1.28842775688505e-06	8.24082088739054e-07	8.24082088739054e-07	8.24082088739054e-07
"Lasioglossum_mahense"	0.000459336931890881	0.100517800794661	3.29632835495622e-05	0.00623170875504473	1.64816417747811e-06	1.00154642770453	1.58392045479614e-06	0.00077321385226662	0.00077321385226662	0.00077321385226662
"Eristalinus_vicarians"	0.100752654240702	0.000205909659123498	5.15371102754021e-05	0.00974309069756476	2.5768555137701e-06	3.16784090959228e-06	1.00034742294566	1.58392045479614e-06	1.58392045479614e-06	1.58392045479614e-06
"Hemipyrellia_germana"	0.000459336931890881	0.100517800794661	3.29632835495622e-05	0.00623170875504473	1.64816417747811e-06	0.00154642770453324	1.58392045479614e-06	1.00077321385227	0.00077321385226662	0.00077321385226662
"Ornidia_obesa"	0.000459336931890881	0.100517800794661	3.29632835495622e-05	0.00623170875504473	1.64816417747811e-06	0.00154642770453324	1.58392045479614e-06	0.00077321385226662	1.00077321385227	0.00077321385226662
"Rhiparida_seychellensis"	0.000459336931890881	0.100517800794661	3.29632835495622e-05	0.00623170875504473	1.64816417747811e-06	0.00154642770453324	1.58392045479614e-06	0.00077321385226662	0.00077321385226662	1.00077321385227
