"Spermophilus_undulatus"	"Marmota_sibirica"	"Lasiopodomys_brandtii"	"Alticola_semicanus"	"Allocricetulus_curtatus"	"Cricetulus_barabensis"	"Allactaga_sibirica"	"Meriones_meridianus"	"Ellobius_tancrei"	"Phodopus_sungorus"	"Microtus_gregalis"	"Eolagurus_przewalskii"	"Dipus_sagitta"	"Meriones_unguiculatus"	"Sciurus_vulgaris"	"Microtus_oeconomus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Citellophilus_tesquorum"	"Oropsylla_silantiewi"	"Amphipsylla_primaris"	"Frontopsylla_elatoides"	"Rhadinopsylla_li"	"Oropsylla_alaskensis"	"Neopsylla_mana"	"Frontopsylla_hetera"	"Paradoxopsyllus_dashidorzhii"	"Neopsylla_pleskei"	"Paradoxopsyllus_scorodumovi"	"Amphipsylla_vinogradovi"	"Amalaraeus_penicilliger"	"Paramonopsyllus_scalonae"	"Frontopsylla_elata"	"Ctenophyllus_hirticrus"	"Nosopsyllus_laeviceps"	"Rhadinopsylla_dahurica"	"Ophthalmopsylla_praefecta"	"Neopsylla_abagaitui"	"Frontopsylla_wagneri"	"Ophthalmopsylla_kiritschenkovi"	"Amphipsylla_dumalis"	"Neopsylla_bidentatiformis"	"Amphipsylla_longispina"	"Callopsylla_caspia"	"Pectinoctenus_pavlovskii"	"Neopsylla_galea"	"Amphalius_runatus"	"Paradoxopsyllus_kalabukhovi"	"Wagnerina_longicauda"	"Paradoxopsyllus_integer"	"Tarsopsylla_octodecimdentata"	"Rhadinopsylla_rothschildi"	"Amphipsylla_kuznetzovi"	"Ceratophyllus_indages"	"Megabothris_rectangulatus"	"Rhadinopsylla_altaica"	"Rhadinopsylla_pseudodahurica"	"Xenopsylla_conformis"
"Spermophilus_undulatus"	1.00974498118213	4.09092106725469e-05	0.000236804575465594	3.82650472112835e-05	3.99427875510555e-07	2.50750832512397e-05	7.19736578686545e-06	8.63220722583524e-08	1.80558852313251e-06	3.00290088996639e-06	2.05496749737093e-06	3.48229356596638e-07	2.56600158433014e-10	6.90688029766601e-08	0	1.08748789208401e-08	0	0	0.0656310649077382	3.68490335603645e-05	0.000143662767149757	0.0099809135137254	0.00975107740138207	0.00917651511105199	0.00166408054973471	0.00292446094874052	2.02527302482492e-07	3.563881991388e-05	3.37491543478282e-05	5.06786830447508e-05	1.643858780873e-06	4.77408906605806e-07	3.62036530345772e-07	0.000591082766766307	7.60286931833117e-09	3.32347382780577e-05	3.13297098957672e-07	0.000590974139531076	2.794271423136e-07	3.05946342747054e-09	1.69273924043673e-07	4.96303462308572e-05	2.00858143290186e-07	1.88387279384244e-07	1.46250982885745e-07	2.63167753757692e-07	0.000279085588381794	3.30155797588062e-09	7.95681511009677e-08	8.8306798954456e-08	0	1.12500540883099e-07	3.28465749798823e-05	0	0	3.62495964028005e-10	1.44669365638123e-08	3.02884464064394e-10
"Marmota_sibirica"	0.000126068414251922	1.00990934617034	4.50939125622707e-05	5.8223556342411e-06	9.2069764631805e-06	2.70057389744841e-06	6.2661030874551e-07	2.46359213385381e-07	3.44121058310737e-07	5.41446478207738e-07	2.96564761956682e-07	5.29827622384865e-07	4.41617400237155e-10	1.8425593194111e-07	0	2.07086724662082e-09	0	0	0.000716560253752416	0.0991694589334815	0.000103573797375696	1.24760664618044e-06	0.000102410759693396	1.14570384598967e-06	0.000153138553895538	0.000557363199741136	0.000102012162501713	0.000101748584616377	1.65475534769924e-07	1.60249223389472e-07	3.1303459396281e-07	7.26418661360894e-08	6.34016953726561e-08	9.25319950114698e-08	2.1156628037778e-08	7.44067380618403e-08	2.72759781453928e-08	7.37841475055956e-08	2.43272237512962e-08	5.26543823359685e-09	3.22613492166316e-08	4.73438740046229e-08	4.17253834824805e-08	2.84920693064848e-08	5.70560018934461e-08	3.75562056565872e-08	3.70437827706552e-08	9.28709161262831e-09	1.21069776893482e-08	1.50186729683593e-08	0	2.06599251910787e-08	6.21743903412844e-09	0	0	6.90289082206939e-11	2.20126867079059e-09	8.64418292580284e-10
"Lasiopodomys_brandtii"	0.00118904893362357	7.34754689586061e-05	1.00695700675666	0.00128954465451111	8.6952076505144e-05	9.41062503453038e-05	2.60996113573536e-05	2.8076113476105e-05	5.43470453760024e-06	4.16749283440048e-05	0.000131362446435284	0.000110943651483062	8.20068963776498e-08	2.09595758148632e-05	0	4.62429220611124e-05	0	0	0.000242956812178268	7.25368798146791e-06	0.0459314329035588	1.1814650187647e-05	1.1489967808301e-05	1.0806021035532e-05	0.0250746304631937	0.00880243808848598	1.44443677302431e-05	0.0115942327178703	0.000601927948170543	5.42789763797761e-06	0.00699013147978226	1.60888368993825e-05	1.22675601448399e-05	0.000249004023219848	2.40945497774732e-06	0.00091003901933451	1.13610072967304e-06	6.95915487082563e-07	1.01327902916785e-06	9.77774533733516e-07	5.09503550400022e-07	1.49351203032084e-06	2.84847709792855e-06	7.01417067241392e-06	9.351539193276e-07	0.000166082470886732	8.16167269891487e-07	1.05798488418064e-06	2.68147281656375e-06	1.36143617809978e-06	0	0.000329577241731569	9.76965160328041e-07	0	0	1.54143073537041e-06	4.87540512102499e-07	9.85126788635263e-08
"Alticola_semicanus"	0.000444930634020047	2.19686613344901e-05	0.00298618563662781	1.0057788432497	0.000527111672795849	1.2339787429897e-05	9.66930137313846e-06	4.72137194854171e-06	1.07391678291248e-06	6.92475606181851e-05	0.000150931904501086	8.43810403409933e-05	5.49682687121045e-08	9.4132593792123e-06	0	1.37135894311289e-07	0	0	0.000980063984364289	2.17171023393859e-06	0.0351405197969464	4.4207000127475e-06	4.29888142812304e-06	4.04350876958554e-06	0.000835687013316007	0.00173939280937383	0.00422911954579165	0.00193719712810329	0.0205365384252458	7.25835167794646e-07	2.07296141573103e-05	0.0125484694999017	0.00950689548023412	0.0013318899959189	6.53124132466471e-07	0.00418623546046238	4.2089900094838e-07	2.60404858148621e-07	3.75396406251258e-07	6.55390896182784e-07	1.00679698398045e-07	2.09934450386521e-07	0.000383631470939313	0.0043745686199382	2.48145812826754e-06	2.46753435956052e-06	0.000380379620472964	2.398997884219e-07	0.00209141158331695	7.65961471998387e-07	0	0.00038170930191995	1.09255196871443e-06	0	0	4.57119647704295e-09	0.000380256651512172	1.65662173633043e-08
"Allocricetulus_curtatus"	1.11676402830247e-05	8.35323864568558e-05	0.000484164971449097	0.00126746397685911	1.00774040603103	0.000205162946843299	6.18385131067279e-05	3.42364851281243e-06	5.38503611623975e-09	4.03289046100133e-05	1.46911421145552e-05	0.000172003479452224	1.09287883255774e-07	1.66895528580357e-05	0	2.22345173519924e-08	0	0	2.06148765171148e-06	8.202942147084e-06	0.00511716651610792	2.55889723921635e-07	1.16215504990741e-07	1.01490992004728e-07	1.41895406263804e-05	8.72199154333276e-06	0.0861238260199626	0.00138373064035111	0.00185840870371698	1.17075828840781e-05	3.36099434794645e-06	1.58133501838755e-05	0.000928107452591749	1.80228061027489e-06	8.88916442964987e-07	6.12343579166585e-06	2.69179409993992e-06	6.53609250835454e-09	2.40078933237885e-06	1.30304783881884e-06	5.04847135897477e-10	3.13014894825653e-06	0.000919083488853412	5.66811803695022e-06	0.00458182691304035	2.35068154279047e-06	4.82278917943354e-07	2.77788319063203e-07	2.63555836397925e-06	2.14524696798101e-06	0	9.15417490989997e-07	1.05299845640144e-07	0	0	7.41150578399747e-10	4.79192429814408e-07	1.20128017993419e-08
"Cricetulus_barabensis"	0.000871394559764831	3.0453929374616e-05	0.000651300320186425	3.68799296633646e-05	0.000255004792686586	1.0077293840517	8.22056681833293e-05	4.00999424805946e-07	4.92833897664726e-06	0.000284208554899961	1.13673464520671e-07	6.84880823520725e-05	4.30877389309707e-08	8.6174202647768e-05	0	2.99099462466292e-08	0	0	5.68010747518986e-05	3.01879943813636e-06	3.86231925628365e-05	8.80678703197716e-06	8.41807943448093e-06	7.91919295900733e-06	0.00457267856875337	0.00798229203094185	2.29623842897191e-05	9.81621311303244e-06	1.61708629871281e-06	0.0575032446409443	4.52122070791408e-06	4.60127666877517e-07	5.80404104622288e-07	7.18305231689163e-07	3.65019622055336e-06	3.70663891916769e-06	3.57836437974492e-06	5.10001693245552e-07	3.19151417652925e-06	5.1373842571542e-07	4.62031779060681e-07	0.0153721856466925	0.00115200111690653	1.61565450252506e-07	0.00512540025331276	0.00570133292131797	2.54777395554163e-07	9.19056501944402e-07	7.66879444795862e-08	0.00341744622634326	0	2.1866717542485e-06	2.91453807205355e-08	0	0	9.96998208220975e-10	1.3943262632652e-08	1.4070155256349e-09
"Allactaga_sibirica"	0.000520835258294228	1.47142844265416e-05	0.000376141457797155	6.01771814869441e-05	0.00016005262215859	0.000171181214922933	1.00844836976919	4.10471754304911e-07	2.20300175138738e-06	0.000255152535893988	6.63784129601984e-08	1.10240482759359e-07	2.517934918459e-10	9.15781589403101e-05	0	1.72737068217952e-08	0	0	3.3981631399754e-05	1.46182463142933e-06	2.18682902190842e-05	0.00237796792698446	5.03116293884184e-06	4.73332644100916e-06	0.00357027132599755	0.00356813997729787	1.39305959157388e-05	6.12955239108481e-06	1.7514477785895e-06	9.79337009867865e-06	2.61111271619014e-06	7.50792812502516e-07	7.14284817494564e-07	4.76575425895513e-07	3.87824638412438e-06	3.24446791755226e-06	0.0438971643311293	3.04829609796654e-07	0.0391515249439802	3.00215317200881e-09	2.06531414192566e-07	2.63664133918881e-06	0.00594401707359734	2.62351116790169e-07	0.0023744176184507	8.06722700364315e-06	1.6669861308587e-07	9.76222760464989e-07	1.25132135417086e-07	1.54507252141641e-06	0	1.9052456591916e-06	1.74091098431806e-08	0	0	5.75790227393174e-10	2.27512973485611e-08	1.44025176949091e-09
"Meriones_meridianus"	9.31521169230045e-06	8.62689455995124e-06	0.000603390158039098	4.38176449259398e-05	1.3214081979276e-05	1.24520874018689e-06	6.12107002033639e-07	1.00747224067092	3.33553511104806e-09	1.32962668080781e-06	9.3189425162231e-08	4.33881042428901e-05	0.000448513268168782	0.00145519288935016	0	2.77097471524792e-08	0	0	7.51445193984573e-07	8.47432811192744e-07	3.18259440516876e-05	9.35171288450668e-08	9.08211041197054e-08	8.46562077059983e-08	1.50806966940452e-05	5.40247240743955e-06	1.95508290795136e-06	0.00710032592093592	1.26369860170352e-06	7.1508610740659e-08	4.1886361681767e-06	5.46685172989041e-07	4.26168235881949e-07	2.11202699420013e-07	0.0548536212107771	7.38105767976783e-07	2.66446577355819e-08	5.4519203531591e-09	2.37641541966001e-08	0.00534765819739701	3.12706416660756e-10	1.94490362921677e-08	3.07196605553837e-05	1.91509957804737e-07	6.78358306315572e-08	1.4222711320364e-07	1.91407353078516e-08	0.0300627355241083	9.11141954981735e-08	1.56434342992355e-05	0	2.22761414268342e-07	9.68523215223187e-10	0	0	9.23658238415972e-10	1.65662173633043e-08	0.00353499031814358
"Ellobius_tancrei"	0.000347067968930878	2.14645510121322e-05	0.000208047283080009	1.7753186817522e-05	3.70221232991483e-08	2.72598749645802e-05	5.85172340212272e-06	5.94142191655436e-09	1.00946761968857	5.82550518528787e-06	3.05727033848337e-08	2.64387860652686e-08	1.92093397417988e-11	1.07705564875131e-08	0	9.55424534706076e-09	0	0	2.26243737602809e-05	2.11902641042284e-06	1.01860956592683e-05	3.44438695489795e-06	3.35377445267917e-06	3.15413745134711e-06	5.91035335055743e-06	0.00631233277588862	7.95379298774517e-08	2.44212035441059e-06	4.92683317214e-07	1.57243438190866e-06	1.44423034248987e-06	2.214953364757e-07	1.67833153805802e-07	2.77570993518621e-07	7.7662707914649e-10	3.32198522319177e-07	2.54722077504165e-07	2.03128708852408e-07	2.27184555611823e-07	2.29034435382986e-10	0.0946375893458035	4.3275599355898e-07	2.93163843958678e-07	7.75153334509581e-08	1.52546577043008e-07	3.48681087698515e-07	1.02633870184618e-07	2.90574581590355e-10	3.69158894126167e-08	9.27155729506949e-08	0	1.14821684442777e-07	1.1503304722327e-08	0	0	3.18474844902025e-10	6.71197989320303e-09	2.08470944440504e-11
"Phodopus_sungorus"	0.000636925633592526	3.72664541552636e-05	0.00176040645591055	0.00126317101955241	0.000305943414282859	0.00173465221438942	0.000747860881068585	2.6134041657257e-06	6.42814365273144e-06	1.00298375465803	2.02040852315834e-05	1.52202902239773e-05	1.06992156219548e-08	0.000586471903636156	0	8.08439069298051e-08	0	0	4.2906088512274e-05	3.68014103126586e-06	0.0070454882618446	8.05540969961221e-06	6.15450352274638e-06	5.78835033617659e-06	5.63168509089555e-05	0.0104114834827889	3.16267385164028e-05	3.24832890898025e-05	2.73716636737656e-05	9.9014043957124e-05	1.22204547980726e-05	1.57597896579318e-05	1.2217364965963e-05	2.47538669447621e-06	2.48356863445706e-05	0.0103825487597284	3.25539442347502e-05	3.72773903582034e-07	2.90345989120745e-05	1.27567570877153e-07	6.02638467443572e-07	2.64918609826512e-05	0.0380636731009118	5.7085202528644e-06	1.19705900413371e-05	0.027678605078172	6.53601504709651e-07	6.25133209234083e-06	2.6266316096553e-06	1.21663083478062e-05	0	0.00691818173845056	1.65024555821423e-07	0	0	2.69479689766017e-09	4.7756938357369e-07	9.16983917798491e-09
