"Nephrosperma_vanhoutteanum"	"Chrysobalanus_icaco"	"Mimusops_sechellarum"	"Memecylon_eleagni"	"Dillenia_suffruticosa"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp1_M_PL_125"	"Lygistorrhina_sp1_M_PL_125"	"Ornidia_obesa"	"Xylocopa_caffra"	"Nectarinia_dussumieri"	"Rhynchium_brunneum"	"Unidentified_sp2_M_PL_125"	"Unidentified_sp3_M_PL_125"	"Unidentified_sp4_M_PL_125"
"Nephrosperma_vanhoutteanum"	1.00780265551795	0.00191448160068619	0.000195267475251153	0.000188605507126848	0	0	0.0364637313778573	0.0510644420563499	0.0107618605021957	1.22042172031971e-05	1.19655100042887e-05	0	2.44084344063942e-06	5.98275500214434e-06	0.00134373687402393	0.00134373687402393	0
"Chrysobalanus_icaco"	0.00448706625160826	1.00502599298929	0.000148262456675486	0.00043968840343749	0	0	0.0850064246645813	0.000229197970789929	0.00632927449620021	9.26640354221785e-06	0.00628141245618306	0	1.85328070844357e-06	0.00314070622809153	5.98275500214434e-06	5.98275500214434e-06	0
"Mimusops_sechellarum"	0.00183063258047956	0.000593049826701943	1.00761154667424	6.57810195900633e-05	0	0	0.0127176637874122	0.0126878963841723	2.32333089420025e-05	0.0629757216671399	3.70656141688714e-06	0	0.012595144333428	1.85328070844357e-06	2.44084344063942e-06	2.44084344063942e-06	0
"Memecylon_eleagni"	0.0047151376781712	0.00469000963666656	0.000175416052240169	1.00052044673393	0	0	0.100619701893554	0.000241093009680343	7.96073621296588e-05	1.09635032650105e-05	2.9312560229166e-05	0	2.19270065300211e-06	1.4656280114583e-05	6.2868502375616e-06	6.2868502375616e-06	0
"Dillenia_suffruticosa"	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0
"Excoecaria_benthiamiana"	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0.101010101010101
"Apis_mellifera"	0.047151376781712	0.0469000963666656	0.00175416052240169	0.00520446733932177	0	0	1.00619701893554	0.00241093009680343	0.000796073621296588	0.000109635032650105	0.00029312560229166	0	2.19270065300211e-05	0.00014656280114583	6.2868502375616e-05	6.2868502375616e-05	0
"Lasioglossum_mahense"	0.0982008501083652	0.000188059873468659	0.0026026454121379	1.85456161292571e-05	0	0	0.00358548578498972	1.00500804280648	0.00104865110869841	0.000162665338258619	1.17537420917912e-06	0	3.25330676517238e-05	5.8768710458956e-07	0.000130934466811154	0.000130934466811154	0
"Unidentified_sp1_M_PL_125"	0.0807139537664679	0.0202536783878407	1.8586647153602e-05	2.38822086388976e-05	0	0	0.00461722700352021	0.00408973932392379	1.0009875343301	1.16166544710012e-06	0.000126585489924004	0	2.32333089420025e-07	6.32927449620021e-05	0.000107618605021957	0.000107618605021957	0
"Lygistorrhina_sp1_M_PL_125"	0.000183063258047956	5.93049826701942e-05	0.100761154667424	6.57810195900633e-06	0	0	0.00127176637874122	0.00126878963841723	2.32333089420025e-06	1.00629757216671	3.70656141688714e-07	0	0.0012595144333428	1.85328070844357e-07	2.44084344063942e-07	2.44084344063942e-07	0
"Ornidia_obesa"	0.000448706625160826	0.100502599298929	1.48262456675486e-05	4.3968840343749e-05	0	0	0.00850064246645813	2.29197970789929e-05	0.000632927449620021	9.26640354221785e-07	1.00062814124562	0	1.85328070844357e-07	0.000314070622809153	5.98275500214434e-07	5.98275500214434e-07	0
"Xylocopa_caffra"	0	0	0	0	0.101010101010101	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0
"Nectarinia_dussumieri"	0.000183063258047956	5.93049826701942e-05	0.100761154667424	6.57810195900633e-06	0	0	0.00127176637874122	0.00126878963841723	2.32333089420025e-06	0.00629757216671399	3.70656141688714e-07	0	1.00125951443334	1.85328070844357e-07	2.44084344063942e-07	2.44084344063942e-07	0
"Rhynchium_brunneum"	0.000448706625160826	0.100502599298929	1.48262456675486e-05	4.3968840343749e-05	0	0	0.00850064246645813	2.29197970789929e-05	0.000632927449620021	9.26640354221785e-07	0.000628141245618306	0	1.85328070844357e-07	1.00031407062281	5.98275500214434e-07	5.98275500214434e-07	0
"Unidentified_sp2_M_PL_125"	0.100780265551795	0.000191448160068619	1.95267475251153e-05	1.88605507126848e-05	0	0	0.00364637313778573	0.00510644420563499	0.00107618605021957	1.22042172031971e-06	1.19655100042887e-06	0	2.44084344063942e-07	5.98275500214434e-07	1.0001343736874	0.000134373687402393	0
"Unidentified_sp3_M_PL_125"	0.100780265551795	0.000191448160068619	1.95267475251153e-05	1.88605507126848e-05	0	0	0.00364637313778573	0.00510644420563499	0.00107618605021957	1.22042172031971e-06	1.19655100042887e-06	0	2.44084344063942e-07	5.98275500214434e-07	0.000134373687402393	1.0001343736874	0
"Unidentified_sp4_M_PL_125"	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	1.01010101010101
