"Phoenicophorium_borsigianum"	"Nephrosperma_vanhoutteanum"	"Dillenia_ferruginea"	"Psychotria_pervillei"	"Erythroxylum_sechellarum"	"Paragenipa_wrightii"	"Memecylon_eleagni"	"Craterispermum_microdon"	"Syzygium_wrightii"	"Mimusops_sechellarum"	"Roscheria_melanochaetes"	"Apis_mellifera"	"Lasioglossum_mahense"	"Scaptodrosophila_sp1_M_PL_104"	"Ornidia_obesa"	"Unidentified_sp3_M_PL_104"	"Simosyrphus_aegyptius"	"Nectarinia_dussumieri"	"Neophyllomyza_approximatonervis"	"Lygistorrhina_sp1_M_PL_104"	"Phelsuma_sp1_M_PL_104"	"Tricimba_seychellensis"	"Unidentified_sp1_M_PL_104"	"Unidentified_sp4_M_PL_104"	"Unidentified_sp5_M_PL_104"	"Cratopus_aurostriatus"	"Unidentified_sp2_M_PL_104"	"Mabuya_sechellensis"	"Rhynchium_brunneum"
"Phoenicophorium_borsigianum"	1.00608550920176	0.000964602540738816	0.000618041964353676	0.000572111706283749	0.00061748184682737	0.000519828663241952	0.000466419625542026	0.000256348411104312	2.84877595903097e-07	2.4936316773306e-07	1.31900391615288e-07	0.0190085907361301	0.0311427222707947	0.017865069789564	0.00566766318998846	0.015044269296475	0.0065818678172078	6.37935272187236e-06	0.00376674145671132	0.00188904486094824	2.86081244737042e-06	6.06275395479248e-06	3.95701174845864e-06	6.23794395890342e-06	7.12479054031581e-06	4.9682454837171e-06	4.15862930593561e-06	7.12193989757742e-09	2.37493018010527e-06
"Nephrosperma_vanhoutteanum"	0.00303566093703098	1.00209474782042	0.000933521819250202	0.00097104657428611	0.000938141874921191	0.000847812330486918	0.000714938368309223	0.000341871818250821	7.48134520122549e-05	0.000148279200814013	1.75905231927358e-07	0.0445179712807639	0.0355865987740174	5.39042596295221e-05	5.61492148342084e-05	4.53930607406502e-05	1.98594640740344e-05	1.94727190087033e-05	0.00590602325236408	0.00884768661336096	0.00295909310994403	8.85603522828027e-06	5.27715695782075e-06	1.0173747965843e-05	1.08247139413984e-05	0.00295055653434549	6.78249864389534e-06	1.87033630030637e-06	3.60823798046612e-06
"Dillenia_ferruginea"	0.00228036173054632	0.00109447385705196	1.00289165729075	0.000919692031969126	0.000676320442625908	0.00073700842584461	0.00108081251028414	0.000419710349549172	4.24060893550734e-07	3.33445570022508e-07	2.15955929791187e-07	0.0659938639538643	0.000229761962435784	4.04924045611029e-05	0.0311516164370216	3.40988669988235e-05	1.49182543119853e-05	1.02511182522241e-05	1.49627982617762e-05	1.39194806429585e-05	3.25187198304212e-06	9.86334908582734e-06	6.47867789373562e-06	8.84410111013531e-06	7.80369741491433e-06	0.00346146613486205	5.89606740675688e-06	1.06015223387684e-08	2.60123247163811e-06
"Psychotria_pervillei"	0.00226725750268004	0.00122279938984177	0.000987817367670543	1.00175446846085	0.000977681063950266	0.000919078005793104	0.000807107414706184	0.000603874954375421	0.000373419374870359	0.000187195851088015	3.10715181052442e-07	0.055969105918207	0.0299052906323958	4.0259712664412e-05	5.65110540185668e-05	3.39029159279259e-05	1.48325257184676e-05	0.011155516035567	1.5668666569286e-05	1.50272708719475e-05	2.54116765712789e-05	0.00371949211895367	9.32145543157325e-06	1.10289360695172e-05	1.12809353532723e-05	7.0027355787231e-06	7.35262404634483e-06	9.33548437175898e-06	3.7603117844241e-06
"Erythroxylum_sechellarum"	0.00254117529271264	0.00122680091335848	0.000754357416775051	0.00101528418179451	1.00255643754121	0.000897519393123525	0.000738382494976302	0.000370022112631766	4.6951702993011e-07	3.7084783474755e-07	1.90389561426172e-07	0.0427244004581628	0.0426271403612163	4.51236734220001e-05	4.82794445842359e-05	3.79988828816843e-05	1.66245112607369e-05	1.13167727992604e-05	1.67161966813533e-05	1.55745743016089e-05	3.64469909519754e-06	9.45295967106666e-06	5.71168684278517e-06	1.07702327174823e-05	0.0115679588947063	6.20947045210422e-06	7.1801551449882e-06	1.17379257482527e-08	0.00385598629823543
"Paragenipa_wrightii"	0.00222486667867555	0.00115302476946221	0.000854929773979747	0.000992604246256552	0.000933420168848466	1.00286293105457	0.000738125435441032	0.000340121675015065	4.55583524527296e-07	3.55710518280973e-07	1.75004720872171e-07	0.0484376076283794	0.0322997171545127	3.95069784063883e-05	4.93942532509468e-05	3.32690344474849e-05	1.45552025707747e-05	1.10635722630196e-05	1.50997572557666e-05	1.43323772717786e-05	3.42635294461292e-06	8.90895317725034e-06	5.25014162616514e-06	0.0120343551726548	1.07702327174823e-05	6.33928302532611e-06	0.00802290344843654	1.13895881131824e-08	3.5900775724941e-06
"Memecylon_eleagni"	0.00262667894384194	0.00127936339592177	0.00164966119990737	0.0011469421156351	0.0010104181510202	0.000971217678211885	1.00098864146044	0.000426941796612753	5.22487787132658e-07	4.03194860186452e-07	2.19676766973375e-07	0.0636001783924905	0.0265889176475636	4.66419625542026e-05	0.0106059321322278	3.92774421509075e-05	1.7183880941022e-05	1.2783365502864e-05	1.73450275725608e-05	1.61981808211143e-05	3.80277536944104e-06	1.08162690941154e-05	6.59030300920124e-06	1.16546121385426e-05	1.165867097331e-05	9.45132041364927e-06	7.76974142569508e-06	1.30621946783164e-08	3.88622365777001e-06
"Craterispermum_microdon"	0.00210994461447395	0.000894126293886762	0.000936276933609692	0.00125420182831818	0.000740044225263532	0.00065408014425974	0.00062399185658787	1.00237168813039	5.33839215030569e-07	3.6628536682693e-07	0.000515755949642596	0.0311542263374842	0.0310446587474164	3.74663062383226e-05	0.00775800811797061	3.15505736743769e-05	1.38033759825399e-05	1.39744773431811e-05	1.31472098532222e-05	1.18331713612391e-05	2.6675482221449e-06	0.0154257480862704	0.0154726784892779	7.84896173111688e-06	8.53897182996384e-06	5.85832436769225e-06	5.23264115407792e-06	1.33459803757642e-08	2.84632394332128e-06
"Syzygium_wrightii"	7.62047569040784e-06	0.000635914342104167	3.07444147824282e-06	0.00252058078037493	3.05186069454572e-06	2.8473970282956e-06	2.48181698888012e-06	1.73497744884935e-06	1.00482158962795	0.00210211348854729	8.92707717442423e-10	0.0001689071003016	9.77018633773993e-05	1.35316858053971e-07	1.77615710166777e-07	1.13951038361239e-07	4.98535792830419e-08	0.0503391563841309	3.76916036020306e-06	5.62525278071428e-06	0.0252625509762355	9.36217633251052e-06	2.67812315232727e-08	3.41687643395472e-08	3.52137772447583e-08	1.88093782264514e-06	2.27791762263648e-08	0.0251205397406987	1.17379257482528e-08
"Mimusops_sechellarum"	8.89395298247915e-06	0.00168049760922548	3.22330717688425e-06	0.00168476265979213	3.2140145678121e-06	2.96425431900811e-06	2.55356744784753e-06	1.58723658958336e-06	0.00280281798472972	1.00391049469749	8.16689781107982e-10	0.000168603327996888	0.000109851744303473	1.57930006230938e-07	1.88995474126692e-07	1.32993689457632e-07	5.8184739137714e-08	0.0336225436409283	9.91852847663197e-06	1.48445442925835e-05	0.0670023794028113	6.26428072738895e-06	2.45006934332395e-08	3.55710518280973e-08	3.7084783474755e-08	4.95375487946786e-06	2.37140345520649e-08	7.00704496182429e-05	1.2361594491585e-08
