"Nephrosperma_vanhoutteanum"	"Chrysobalanus_icaco"	"Memecylon_eleagni"	"Erythroxylum_sechellarum"	"Dillenia_ferruginea"	"Phoenicophorium_borsigianum"	"Northea_hornei"	"Roscheria_melanochaetes"	"Campnosperma_seychellarum"	"Psychotria_pervillei"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp2_M_PL_121"	"Rhiparida_seychellensis"	"Neophyllomyza_approximatonervis"	"Phelsuma_sp1_M_PL_121"	"Unidentified_sp4_M_PL_121"	"Unidentified_sp6_M_PL_121"	"Unidentified_sp1_M_PL_121"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Unidentified_sp3_M_PL_121"	"Cratopus_aurostriatus"	"Polistes_olivaceus"	"Simosyrphus_aegyptius"	"Unidentified_sp5_M_PL_121"	"Forcipomyia_litoraurea"	"Forcipomyia_sp1_M_PL_121"	"Lygistorrhina_sp1_M_PL_121"	"Nectarinia_dussumieri"	"Pachycerina_seychellensis"	"Unidentified_sp7_M_PL_121"	"Xylocopa_caffra"
"Nephrosperma_vanhoutteanum"	1.00652824174661	0.000625613389160499	0.000606836603427535	0.000509286878980834	0.000697866055083747	0.00040395762583243	0.000295962637924107	0.000249407288898501	9.4777098286327e-05	8.9060776801282e-05	0.0196933145858109	0.0150913945025925	0.045068428734923	0.00752151052000291	0.00451493838562283	0.00151373815561472	1.49235382992136e-05	1.34022862889693e-05	7.58216786290616e-06	0.00150951411921824	1.03405277400287e-05	7.48221866695504e-06	0.00150538832418333	0.00150540902477657	6.06836603427535e-06	0.00150538832418333	2.49407288898501e-06	2.49407288898502e-06	0.00150228095783077	2.6905694356737e-06	4.1050944416691e-06	3.10736635255715e-06	4.1050944416691e-06
"Chrysobalanus_icaco"	0.00209580485368767	1.00275667265087	0.00179151169948402	0.00115464205356965	0.000850302348115998	0.000170463478145736	0.00102388545187798	1.34978259553726e-06	3.23215172241887e-07	0.000256054567488878	0.0855666232506148	0.000136469438499717	9.38420083740748e-05	2.56503560691161e-05	1.07224540135162e-05	3.15905758446839e-05	5.25852792274725e-06	3.03853171992014e-05	2.58572137793509e-08	0.00502191320871849	0.00502009639929689	4.04934778661178e-08	4.43932447000047e-06	0.00501691143020016	1.79151169948402e-05	4.43932447000046e-06	1.34978259553726e-08	1.34978259553726e-08	3.1280669458025e-06	9.30804956252708e-06	5.0017785183294e-06	1.31125752419797e-06	5.0017785183294e-06
"Memecylon_eleagni"	0.00203290262148224	0.00179151169948402	1.00273686038624	0.00127610339248492	0.000879171873542099	0.000197596685198476	0.000844112380372802	0.000131323846286505	3.21579450440489e-07	0.000211105636469314	0.0705399002009399	0.0201620483013427	9.10254905141302e-05	2.55205451869572e-05	1.32490004786699e-05	2.69385098926016e-05	7.393136468972e-06	3.35816682232874e-05	2.57263560352391e-08	1.71633407706877e-05	1.56491322550768e-05	3.93971538859516e-06	4.55415751866441e-06	1.19917415145578e-05	0.0100273686038624	4.55415751866441e-06	1.31323846286505e-06	1.31323846286505e-06	3.03418301713768e-06	7.67374891248002e-06	5.17159925612999e-06	1.51997450152674e-06	5.17159925612999e-06
"Erythroxylum_sechellarum"	0.00179590636272189	0.00121541268796806	0.0013432667289315	1.00371171790768	0.000886893364824277	0.000259085527070322	0.000572640175697613	0.000172558421587661	3.00432642741836e-07	0.000143228491884643	0.0478484871666956	0.0265130853716469	8.04137177338158e-05	2.38423345279921e-05	1.34855057979834e-05	1.98593454716023e-05	9.69744658727113e-06	0.0264134662607284	2.40346114193469e-08	1.39745404907181e-05	1.32870488257729e-05	5.17675264762983e-06	4.6734228506425e-06	8.75752069763414e-06	1.3432667289315e-05	4.67342285064249e-06	1.72558421587661e-06	1.72558421587661e-06	2.68045725779386e-06	5.20581977906922e-06	5.21701979308398e-06	1.99296559284863e-06	5.21701979308398e-06
"Dillenia_ferruginea"	0.0027504132759183	0.00100035570366588	0.001034319851226	0.000991233760685957	1.00294697587975	0.000601400344270077	0.000286072068872121	0.000269645180198865	0.000148977837900542	7.16161985177055e-05	0.0238820840585252	0.041404910467366	0.000123152833250073	0.011822881215787	2.23343434233698e-05	1.63197678964406e-05	2.12010777795295e-05	2.60850989654199e-05	1.19182270320434e-05	0.00590879496637032	0.00590931602842303	8.08935540596595e-06	8.73125093605432e-06	9.1068729599985e-06	1.034319851226e-05	8.73125093605431e-06	2.69645180198865e-06	2.69645180198865e-06	4.1050944416691e-06	2.60065517156474e-06	0.00589968809341032	4.62615649438521e-06	0.00589968809341032
"Phoenicophorium_borsigianum"	0.00208193545621329	0.000262251504839594	0.000303994900305347	0.00037866346264124	0.000786446604045486	1.00478766703819	0.000311839249174082	0.00103257959992035	3.12441955527555e-07	0.000155319843729901	0.000153441974199573	0.0232875607778362	9.32209905767146e-05	2.47953935906667e-05	0.00775910959134981	0.00774309039930106	0.0309268693971741	9.96482796424314e-06	2.49953564422044e-08	9.04478037114033e-06	0.00773507331431231	3.09773879976106e-05	0.00773224326664629	4.41862387675512e-06	3.03994900305347e-06	0.00773224326664629	1.03257959992036e-05	1.03257959992036e-05	3.10736635255715e-06	2.83490226521892e-06	4.62615649438521e-06	0.00772913590029373	4.62615649438521e-06
"Northea_hornei"	0.00180268152190138	0.00186160991250542	0.001534749782496	0.000989105758023151	0.000442111379166005	0.00036853729447846	1.00251679066736	1.31006567079977e-06	2.35116681642273e-07	0.000583878602727517	0.0733071390174164	0.000110365283212029	8.07170830702109e-05	1.86588598551308e-05	1.0932811885656e-05	0.0182525661039256	1.13527097175837e-05	2.60290988953461e-05	1.88093345313819e-08	1.45992741697655e-05	1.47436069993107e-05	3.93019701239931e-08	5.52547170089262e-06	1.19986189982008e-05	1.534749782496e-05	5.52547170089262e-06	1.31006567079977e-08	1.31006567079977e-08	2.6905694356737e-06	0.00911378900606691	2.60065517156474e-06	2.83490226521892e-06	2.60065517156474e-06
"Roscheria_melanochaetes"	0.00167102883561996	2.69956519107452e-06	0.000262647692573011	0.000327861001016556	0.000458396806338071	0.00134235347989646	1.44107223787975e-06	1.00603386793571	2.25148324286645e-07	4.88564099768205e-07	7.74911904226499e-05	0.0202093515131465	7.48221866695505e-05	1.78677710153881e-05	0.0201384853733804	1.28623556715968e-05	0.0101016418633539	8.62792107938305e-06	1.80118659429316e-08	5.20402251692903e-06	1.30357456271476e-05	0.0301810160380714	1.28198688881886e-05	2.50757071494039e-06	2.62647692573011e-06	1.28198688881886e-05	0.0100603386793571	0.0100603386793571	2.49407288898502e-06	1.31006567079977e-08	2.69645180198865e-06	1.03257959992035e-05	2.69645180198865e-06
"Campnosperma_seychellarum"	0.00127001311703678	1.29286068896755e-06	1.28631780176195e-06	1.14164404241898e-06	0.000506524648861842	8.12349084371642e-07	5.17256699613001e-07	4.50296648573289e-07	1.00831882325212	1.4835802395811e-07	3.68617950708608e-05	3.98958390339538e-05	5.68662589717962e-05	0.0201818132883871	5.70188066926163e-06	1.91614073956805e-06	2.94983229279373e-08	3.00432642741836e-08	0.0806655058601698	4.88156302718221e-06	2.99226990056622e-06	1.35088994571987e-08	1.90179080483709e-06	1.90200626917138e-06	1.28631780176195e-08	1.90179080483709e-06	4.50296648573289e-09	4.50296648573289e-09	1.89554196572654e-06	4.70233363284546e-09	2.97955675801084e-06	6.2488391105511e-09	2.97955675801084e-06
"Psychotria_pervillei"	0.00198902401522863	0.00170703044992585	0.00140737090979543	0.000907113781936071	0.000405825124933664	0.000673052656162902	0.00214088821000089	1.62854699922735e-06	2.47263373263516e-07	1.00086882914265	0.067215013499482	0.000113980760744215	8.90607768012819e-05	1.96228213021926e-05	1.41159767444428e-05	0.0334093655656213	2.07255979673123e-05	2.38714153141071e-05	1.97810698610813e-08	1.38910514269288e-05	1.60996869912161e-05	4.88564099768205e-08	8.14602068437276e-06	1.1503844809672e-05	1.40737090979543e-05	8.14602068437275e-06	1.62854699922735e-08	1.62854699922735e-08	2.96869256004273e-06	1.94626200909172e-05	2.38720661725685e-06	5.17732812433002e-06	2.38720661725685e-06
