"Spermophilus_fulvus"	"Marmota_caudata"	"Meriones_tamariscinus"	"Cricetulus_migratorius"	"Microtus_gregalis"	"Apodemus_uralensis"	"Allactaga_elater"	"Allactaga_major"	"Marmota_baibacina"	"Alticola_argentatus"	"Microtus_socialis"	"Apodemus_agrarius"	"Microtus_kirgisorum"	"Clethrionomys_centralis"	"Ellobius_talpinus"	"Citellophilus_trispinus"	"Neopsylla_setosa"	"Oropsylla_ilovaiskii"	"Citellophilus_lebedewi"	"Nosopsyllus_aralis"	"Rhadinopsylla_li"	"Oropsylla_silantiewi"	"Neopsylla_teratura"	"Frontopsylla_elata"	"Amphipsylla_schelkovnikovi"	"Pectinoctenus_nemorosa"	"Rhadinopsylla_bivirgis"	"Mesopsylla_hebes"	"Callopsylla_caspia"	"Nosopsyllus_fidus"	"Amphipsylla_rossica"	"Rhadinopsylla_angusta"	"Amphipsylla_asiatica"	"Frontopsylla_macrophthalma"	"Amphipsylla_anceps"	"Ctenophthalmus_assimilis"	"Neopsylla_pleskei"	"Amalaraeus_penicilliger"	"Neopsylla_meridiana"	"Amphipsylla_primaris"	"Ctenophthalmus_golovi"	"Frontopsylla_protera"	"Amphipsylla_sibirica"	"Peromyscopsylla_bidentata"	"Amphipsylla_dumalis"	"Frontopsylla_ornata"	"Rhadinopsylla_cedestis"	"Frontopsylla_ambigua"	"Neopsylla_mana"
"Spermophilus_fulvus"	1.01001040123922	2.69145554906364e-10	6.55337366479833e-05	5.6422100149777e-06	1.26463645366375e-08	2.707084885877e-06	4.6431970495401e-06	1.6370170892549e-06	5.94826267190504e-14	2.65292125120101e-09	1.09591163549471e-07	8.9766069781776e-06	1.34345107437432e-06	7.46735031086748e-11	3.23725251058583e-10	0.0425232065344016	0.0309362361302713	0.0267948785319937	1.55764278015017e-11	0.000413600851824471	2.66096963994168e-09	4.33873277244838e-12	2.55200201347992e-07	3.45042139759502e-08	1.81491088815116e-07	1.71193618496176e-07	1.57100062476228e-07	5.20072384207651e-07	2.92566885922364e-08	0.000295066261950595	5.30800958015098e-08	1.34023971991538e-10	8.24762904563312e-11	1.15604430065996e-07	1.84284939232964e-08	1.7455120772182e-08	2.06881033882516e-08	8.9631711228202e-08	8.52120576304049e-09	7.14652962301258e-11	1.32700239503775e-08	6.12212596431003e-11	1.82950633261554e-09	2.48874967342206e-11	1.89692293421216e-09	2.67441187662319e-09	4.54111114041908e-05	3.98100718511324e-09	2.65400479007549e-09
"Marmota_caudata"	6.02405522340574e-10	1.00985690138692	3.82397050904829e-10	1.37855701438031e-08	1.63081381611859e-08	1.0185355246314e-05	3.48531484795987e-13	1.18814706503338e-12	0.000223183849815959	1.06987272909081e-05	5.50754972137073e-11	4.58767962079201e-10	4.21448242224814e-09	4.96372220673847e-09	9.64069067250962e-12	2.55144591866437e-11	1.84514530369609e-11	1.63370417108246e-11	0.0584440754363343	4.60551133393358e-11	0.0261327161599479	0.0162792925748112	1.04663148294263e-08	1.58741179815704e-08	4.43435839625665e-10	6.44087229371236e-07	2.75921153842113e-10	5.18875613112653e-12	3.52816176838257e-08	2.01689094493493e-08	1.99712847966942e-07	1.72830812034307e-10	1.06357422790343e-10	1.08804359898491e-13	4.91461339113863e-11	9.31641765200392e-11	5.05470905272779e-11	1.6491222244459e-07	2.05774297068169e-07	0.000152222380880538	4.99282119917354e-08	2.46893706713264e-07	1.99466813223101e-10	8.25957255701591e-08	5.07722458155983e-12	9.22835446361019e-08	7.673128243437e-12	1.49784635975206e-08	9.98564239834709e-09
"Meriones_tamariscinus"	0.0003879006189124	1.01127283753877e-09	1.00882987151829	0.000205222263496477	6.54479693875307e-05	1.00712108910193e-05	0.00013518657539054	0.000412109050476761	2.23496779381553e-13	2.20885623100107e-08	2.86695987199202e-05	2.13574904406757e-05	4.27846089547287e-06	1.92232212850284e-08	8.53020833093802e-07	0.000417722480864247	1.18812490713254e-05	0.00094713013927883	5.85260207883518e-11	0.0948809087898762	9.89990551491621e-09	1.6302118025478e-11	0.000944926719597364	0.000405099775868906	6.60131614247002e-06	6.90210305684724e-07	0.000541681743996114	0.00136908213472703	1.89106155339025e-06	0.000938908228908065	1.97474723353319e-07	6.93606197313505e-07	4.26834582962157e-07	0.00027045384639408	1.25413482226287e-06	0.000267967610636295	7.52481632820417e-07	4.27848744721115e-07	3.43827723869319e-07	5.94844209560331e-10	4.93686808383298e-08	5.0973605330794e-10	4.78595574183404e-07	1.32330529487102e-09	1.11058462820183e-07	1.00436481854353e-08	3.73341128029294e-07	1.48106042514989e-08	9.87373616766596e-09
"Cricetulus_migratorius"	4.19686388280758e-05	4.58140447779055e-08	0.000257895977793907	1.00888532908557	0.000432081551282054	7.07329464714198e-05	2.15776995055928e-05	7.53891882284572e-05	1.01251522618016e-11	4.76159547843922e-05	0.000184574665582774	3.06695749461049e-05	6.18088257876219e-06	1.45784450714773e-07	4.68023268163915e-05	1.86956323477209e-06	1.28548351507909e-06	1.39431765967378e-06	2.65142465765812e-09	0.000702227692809693	7.05315849847394e-08	7.38540517919644e-10	0.033305680548769	0.000696279542565518	0.0324524780855859	4.82505906899491e-06	0.0201782804353261	0.000342079563521903	0.00353885582465176	0.00134833260892658	1.38692051904745e-06	4.57912513586959e-06	2.81792316053513e-06	5.24858756860726e-07	0.00286284491857434	2.53409018663373e-06	0.0036992462066471	2.08391970929163e-06	0.00151447851199656	1.28197490621101e-06	3.46730129761862e-07	1.09882972579367e-06	3.08207580440816e-06	3.75023642307442e-07	0.00033863522603601	4.35622601216928e-07	5.1304031910674e-07	1.04019038928559e-07	6.93460259523724e-08
"Microtus_gregalis"	1.53371535127753e-07	8.8365292101643e-08	0.000134097198147278	0.000704480790133783	1.00882177528696	0.000296171059603152	3.30585310611981e-08	1.08004772990861e-07	1.9529208598041e-11	7.25257839317244e-05	1.52252977068222e-05	7.92314322234766e-08	5.49626022779174e-05	4.38516658714654e-08	1.26617949212858e-06	5.98115291105799e-08	4.69771204390853e-09	1.28625824458003e-07	5.11401941250231e-09	1.32530500972944e-05	2.92650468514651e-07	1.42448345068064e-09	0.00139516905703908	0.0548282289498892	2.26607987493034e-05	0.000841137520003596	1.41613810144621e-05	4.2063256575288e-07	0.0175482084827389	3.48326274466486e-06	5.80727567849317e-06	0.0106913177272259	0.00657927244752364	3.62688636603205e-08	0.000550607072814723	0.00575689896113177	2.58309623049054e-06	0.00219787077061767	0.000550724151759576	1.95263055437812e-06	1.45181891962329e-06	1.67367193688595e-06	2.55509028415228e-07	5.60521745580937e-07	2.98135904651023e-07	8.48254429553308e-07	1.32739689459597e-09	4.35545675886988e-07	2.90363783924659e-07
"Apodemus_uralensis"	5.92241168905346e-05	9.95568547115205e-05	3.72239853521007e-05	0.000208038077857117	0.000534269362421372	1.00905366202712	9.7142127432818e-09	3.09987487231135e-08	2.20026046062263e-08	4.98199678198022e-05	4.0462799344571e-06	4.51042429028044e-05	9.07663028832005e-06	2.58256446097224e-08	9.00014498919243e-07	2.50824810452742e-06	1.8140122740166e-06	1.60574759348987e-06	5.76171566384627e-06	3.70914268525338e-06	0.000991844591843796	1.60489586539533e-06	0.000997141334932374	0.00151309232520616	6.69189150440393e-06	0.0638082406444498	4.18068873236882e-06	1.21015673043998e-07	0.00347245881072566	0.00198292702667309	0.0197853659221004	5.66209378653084e-06	3.4843654070959e-06	1.00792291295431e-08	9.69722336396648e-07	3.05869346737658e-06	7.62806285476096e-07	2.53302486496821e-06	1.5604972049373e-06	1.35628528951527e-06	0.00494634148052511	1.14969156507236e-06	6.84710246920072e-08	3.84780060367369e-07	1.14346750898334e-07	0.000989651526626713	7.54391386503483e-07	0.00148390244415753	0.000989268296105022
"Allactaga_elater"	0.000199255658000937	6.68242096810767e-12	0.000980102671581416	0.000124486727916882	1.16976340678086e-07	1.90548019195143e-08	1.00667097340009	0.00212542949801612	1.47685126051511e-15	5.88874118752297e-09	5.81731426888336e-07	2.62941274759526e-08	5.18241055085278e-09	3.92580249102311e-10	6.61829023324599e-09	8.77896825217064e-06	6.10312535261665e-06	0.00194210172897555	3.8673589755247e-13	0.0021206463621427	1.88541035891522e-11	1.07723268414044e-13	5.04756676558873e-06	4.79337858696597e-07	4.00432308132636e-06	1.30029715102591e-09	1.53310133485062e-05	0.0756094760127038	4.37803302975547e-07	1.13633319572487e-06	3.736235670493e-10	1.23969491479493e-09	7.62889178335341e-10	0.0212952228730315	3.65703334904656e-07	2.6064171147439e-07	4.56451335695233e-07	6.9038644777155e-10	1.86906910996354e-07	1.58544037351055e-10	9.34058917623249e-11	1.35894027404376e-10	9.71122699143637e-09	6.88528240809307e-11	4.18264904839562e-08	6.39791874872570e-11	9.36746055320197e-09	2.80217675286975e-11	1.8681178352465e-11
"Allactaga_major"	0.000105884163323835	3.43357282271966e-11	0.00450333658057215	0.000655558158508323	5.76025455951257e-07	9.16484744857267e-08	0.00320354591005328	1.00162015185737	7.58838207814965e-15	3.10144531472568e-08	1.16527876088296e-05	1.16160663452188e-07	2.32473026807546e-08	7.823521748637e-09	3.46893581999057e-08	6.24968443788441e-06	3.24319182755282e-06	1.3150508091373e-05	1.98713291746163e-12	0.043978929119716	9.07399729446147e-11	5.53505516288563e-13	2.63994820279663e-05	2.26025776114269e-06	2.1087120765351e-05	6.26500420906408e-09	0.00582199383509972	0.0510532763546876	2.30478586885518e-06	5.096371018015e-06	1.79702891148484e-09	6.10461760383125e-09	3.75668775620385e-09	6.89618363149393e-05	2.11667867550503e-06	1.19780608867584e-06	2.40371324786385e-06	3.27919486381964e-09	9.84246726866794e-07	8.35009673667564e-10	4.49257227871209e-10	7.15718149552079e-10	1.94526067683772e-07	7.0798402143558e-10	2.20253854079436e-07	3.28424162091602e-10	6.68098812784051e-09	1.34777168361363e-10	8.98514455742419e-11
"Marmota_baibacina"	5.20531300092396e-12	0.00872605091241222	3.30424650301355e-12	1.19119438374136e-10	1.40916642432923e-10	8.80104184249052e-08	3.0116182567367e-15	1.02666345763201e-14	1.00137477837939	9.24464039511563e-08	4.75900686575683e-13	3.96415827686946e-12	3.64168310732901e-11	4.28909211112829e-11	8.33040379519123e-14	2.20467344986746e-13	1.59436766127337e-13	1.41166394497152e-13	0.000505008162132583	3.97956644376074e-13	0.000225809628451459	0.100277952378705	9.04381560808053e-11	1.37166326740534e-10	3.83167526770138e-12	5.5654795722137e-09	2.38420120012162e-12	4.48354119381845e-14	3.04864176061484e-10	1.74277098528658e-10	1.72569447891971e-09	1.49341006926196e-12	9.19021581084282e-13	9.40165267636153e-16	4.24665777963202e-13	8.05020341407106e-13	4.36771274038499e-13	1.42498649774458e-09	1.77807072488848e-09	1.31533511703284e-06	4.31423619729928e-10	2.13337855271899e-09	1.72356852256091e-12	7.13699639506341e-10	4.3871681355641e-14	7.9741090818565e-10	6.63025698173107e-14	1.29427085918978e-10	8.62847239459856e-11
"Alticola_argentatus"	4.55384136311928e-07	0.000820510085310415	6.40568306990311e-07	0.00109882972579367	0.00102651878795671	0.000390895132124601	2.35549647500919e-08	8.23075871984891e-08	1.81337176981114e-07	1.00590678496349	1.3397844503647e-06	3.45357271315843e-07	0.000387658124615527	0.00046669236346279	5.26243611635285e-08	1.94273258382182e-08	1.3948243655353e-08	1.27209853075658e-08	4.74858895911845e-05	8.11481007257098e-07	2.16160892990315e-05	1.32269470268578e-05	3.8109553219592e-05	5.70967183639568e-05	3.53456895130296e-05	2.55552046174987e-05	2.19774114853419e-05	3.73067780248713e-07	2.30397115263123e-05	1.51830119423584e-05	7.66461043381572e-06	1.08788675897587e-05	6.69468774754379e-06	6.68190118252026e-10	3.70101452316325e-06	5.85802169111859e-06	4.02904232791011e-06	0.0155035644369952	0.0193465673845322	0.0270822291958704	1.91615260845393e-06	0.0232132334991575	1.8690024279351e-05	0.00776574604152693	3.68907793322732e-07	0.00773812773024086	5.77636160847842e-09	5.74845782536179e-07	3.83230521690786e-07
