"Medusagyne_oppositifolia"	"Nephrosperma_vanhoutteanum"	"Deckenia_nobilis"	"Psychotria_pervillei"	"Phoenicophorium_borsigianum"	"Erythroxylum_sechellarum"	"Syzygium_wrightii"	"Diospyros_seychellarum"	"Memecylon_eleagni"	"Mimusops_sechellarum"	"Canthium_bibracteatum"	"Timonius_sechellensis"	"Apis_mellifera"	"Lasioglossum_mahense"	"Ornidia_obesa"	"Nectarinia_dussumieri"	"Phelsuma_sp1_M_PL_088"	"Neophyllomyza_approximatonervis"	"Hemipyrellia_germana"	"Megachile_seychellensis"	"Geron_seychellarum"	"Unidentified_sp2_M_PL_088"	"Mabuya_sechellensis"	"Musca_domestica"	"Parasarcophaga_hirticeps"	"Rhiparida_seychellensis"	"Rhynchium_brunneum"	"Cratopus_aurostriatus"	"Eristalinus_vicarians"	"Hemipyrellia_sp1_M_PL_088"	"Lampides_boeticus"	"Lygistorrhina_sp1_M_PL_088"	"Scaptodrosophila_sp1_M_PL_088"	"Unidentified_sp1_M_PL_088"
"Medusagyne_oppositifolia"	1.00458234045445	0.00115549257220179	0.00208438630603971	0.00114194953922967	0.000238036331980846	0.00037839948680654	5.77551818339754e-07	0.000282823631751711	0.000188648705477164	7.54257373545307e-07	4.74859460368773e-05	1.15317846395171e-07	0.0616372086724038	9.09150721536016e-05	0.0170505951580319	9.22542771161368e-06	2.34277826621717e-05	1.91607865537201e-05	0.00851761145603984	1.54741731370785e-05	6.42767050579898e-06	6.3026867574643e-06	9.6258636389959e-09	0.00340536386594728	0.00170478282855946	2.50564559979838e-06	0.00340536386594728	1.25282279989919e-06	0.00170268193297364	0.00170268193297364	2.22587933415612e-06	2.10089558582143e-06	0.00170268193297364	2.10089558582143e-06
"Nephrosperma_vanhoutteanum"	0.00123952839563464	1.00447098282167	0.00117914076593092	0.000478220558964984	0.000974936645352129	0.000872355965755052	4.94167102056439e-07	0.000337281992127244	0.000240974432350443	0.000100417097753814	0.000206578589666605	9.86686980439357e-08	0.0204125961410264	0.0366224083756259	0.00550848391696643	7.89349584351485e-06	0.00367834239871156	0.0091506157155164	0.00366312623364429	0.00731367556123354	0.00365775326139609	0.00547893263357277	8.23611836760732e-09	4.20179117164286e-06	0.00182841177344341	1.02624910037066e-05	4.20179117164286e-06	5.13124550185331e-06	2.10089558582143e-06	2.10089558582143e-06	5.13150568091207e-06	0.00182631087785759	2.10089558582143e-06	0.00182631087785759
"Deckenia_nobilis"	0.00245957584112686	0.00129705484252401	1.00288101614297	0.00127900610207244	0.000594285169466579	0.00063170011183895	1.19850962135419e-06	0.000369799825280729	0.000285778475206894	0.000219708470615806	8.16473078704274e-05	2.3930242106372e-07	0.0806036933001541	0.00813036718372908	0.00407051868410482	1.91441936850976e-05	0.0080472028338072	2.58846423594193e-05	2.55604261241208e-05	1.86781217594656e-05	8.43244607454104e-06	7.07484459558554e-06	1.99751603559032e-08	8.33754522415885e-06	6.52705414394127e-06	6.2556333628061e-06	8.33754522415885e-06	3.12781668140305e-06	4.16877261207943e-06	4.16877261207943e-06	3.71588301081735e-06	2.35828153186184e-06	4.16877261207943e-06	2.35828153186184e-06
"Psychotria_pervillei"	0.00269500091258202	0.00105208522972296	0.00255801220414488	1.00147090496643	0.000400061089952199	0.000494466540033368	0.000505092764068473	0.00036967444230676	0.000246589293418159	0.00010179406151802	0.000106478408276724	0.000100850188559005	0.0805893068986345	0.00010559014547045	0.00807341591682476	0.00806801508472041	3.4608675163878e-05	0.00402320848068882	2.66647552563133e-05	1.68933900011087e-05	6.73439117779851e-06	5.73864670757981e-06	8.41821273447455e-06	9.13559631383737e-06	6.48068039277862e-06	4.21116936791788e-06	9.13559631383736e-06	2.10558468395894e-06	4.56779815691869e-06	4.56779815691869e-06	2.90862670607864e-06	1.91288223585993e-06	4.56779815691869e-06	1.91288223585993e-06
"Phoenicophorium_borsigianum"	0.000739165451940522	0.00282218502601932	0.00156390834070152	0.000526396170989735	1.00274683778765	0.000797742253607866	9.94180450629199e-07	0.000123208612911176	0.00026262750382162	0.000289162688072896	0.000228583580147601	1.98504696642297e-07	0.0267287537717036	0.0371076626400757	3.83887672352758e-05	1.58803757313837e-05	0.0105953533904627	0.0105906111363138	1.65266050032026e-05	2.36051973301926e-05	1.49550924955176e-05	1.53937365055599e-05	1.65696741771533e-08	2.50564559979838e-06	6.3840683017525e-06	0.010555229871449	2.50564559979838e-06	0.00527761493572448	1.25282279989919e-06	1.25282279989919e-06	4.69260149181098e-06	5.13124550185331e-06	1.25282279989919e-06	5.13124550185331e-06
"Erythroxylum_sechellarum"	0.00131326880715211	0.00282232812450164	0.00185794150540868	0.000727156676519659	0.000891594283444086	1.00178356889326	3.69118138014854e-07	0.000218669848719234	0.000347233603691438	1.01659355190991e-06	0.000137788946030655	7.37005882236325e-08	0.0475537473741798	0.0414164209347392	5.09023298180894e-05	5.8960470578906e-06	3.45727420018301e-05	4.25443229619495e-05	2.13924080326047e-05	2.59927689416291e-05	0.00590310753426338	1.53945170427362e-05	6.15196896691423e-09	4.45175866831224e-06	7.35738501506819e-06	9.38520298362196e-06	4.45175866831223e-06	4.69260149181098e-06	2.22587933415612e-06	2.22587933415612e-06	0.00589284452290155	5.13150568091207e-06	2.22587933415612e-06	5.13150568091207e-06
"Syzygium_wrightii"	2.83962977350379e-06	2.26493255109201e-06	4.9937900889758e-06	0.00105227659180932	1.57411904682956e-06	5.2291736218771e-07	1.00693238538646	3.89804766327296e-07	2.60332442316717e-07	0.00105255708103839	1.12566840584917e-07	0.00105083294882997	8.49165698913464e-05	2.14267231488837e-07	8.49867139057685e-06	0.0840666359063974	6.32181809755601e-05	4.25001856535295e-06	3.23007774650971e-08	2.6217355893397e-08	1.13121028510644e-08	1.2354177551411e-08	0.0167822064231077	9.6258636389959e-09	8.93099100330161e-09	1.65696741771533e-08	9.6258636389959e-09	8.28483708857666e-09	4.81293181949796e-09	4.81293181949796e-09	3.07598448345712e-09	4.11805918380366e-09	4.81293181949795e-09	4.11805918380366e-09
"Diospyros_seychellarum"	0.00208582428416887	0.0023188136958748	0.00231124890800455	0.00115523263220863	0.000292620455664042	0.000464673428528373	5.84707149490943e-07	1.00118107737856	0.000231493025107037	9.36522374764556e-07	5.83883168454554e-05	1.16746527515025e-07	0.0755864929035621	0.000142387566086925	6.64878853634228e-05	9.339722201202e-06	3.00584477324828e-05	3.07275475877485e-05	2.61085267876631e-05	0.0250463910340703	1.11654229121715e-05	1.26480747047717e-05	9.74511915818238e-09	7.07059079379279e-06	7.75132029848694e-06	3.08021532277939e-06	7.07059079379278e-06	1.5401076613897e-06	3.5352953968964e-06	3.5352953968964e-06	2.73337310899043e-06	4.21602490159055e-06	3.5352953968964e-06	4.21602490159055e-06
"Memecylon_eleagni"	0.00185504560385878	0.00220893229654573	0.00238148729339079	0.00102745538924233	0.000831653762101797	0.000983828543792408	5.20664884633435e-07	0.000308657366809383	1.00036875823365	1.08314901725324e-06	0.000133483838290416	1.03959421965142e-07	0.0672171160356692	0.0335206019074053	6.12357648178846e-05	8.3167537572114e-06	3.59036184938969e-05	3.73947356565741e-05	2.37532065347784e-05	2.37813963269308e-05	1.38197078065387e-05	1.20487216175222e-05	8.67774807722391e-09	6.28829018257213e-06	7.16038563046011e-06	8.75425012738734e-06	6.28829018257212e-06	4.37712506369367e-06	3.14414509128607e-06	3.14414509128607e-06	5.78722672819064e-06	4.01624053917405e-06	3.14414509128607e-06	4.01624053917405e-06
"Mimusops_sechellarum"	8.90023700783463e-06	0.00110458807529195	0.00219708470615805	0.0005089703075901	0.00109881821467701	3.45641807649369e-06	0.00252613699449214	1.49843579962329e-06	1.29977882070389e-06	1.0021451636174	7.07962461915129e-07	0.000504385353233597	0.000268420785045322	9.84355408876835e-05	1.90359786252909e-05	0.0403508282586878	0.0601618696861264	2.36676972773881e-05	4.09210964750708e-06	8.07082871529569e-06	4.03701578119075e-06	6.02502586522883e-06	4.21022832415357e-05	3.01702949418123e-08	2.02342710254718e-06	1.15665075229159e-05	3.01702949418123e-08	5.78325376145793e-06	1.50851474709062e-08	1.50851474709062e-08	2.03318710381982e-08	2.00834195507628e-06	1.50851474709062e-08	2.00834195507628e-06
"Canthium_bibracteatum"	0.000933890272058587	0.00378727414388776	0.00136078846450712	0.000887320068972697	0.00144769600760148	0.000780804027507046	4.50267362339667e-07	0.000155702178254548	0.000266967676580832	1.17993743652522e-06	1.00047884715346	8.99033833471534e-08	0.0337661886966896	0.0335922861179367	4.90282220554297e-05	7.19227066777227e-06	3.99679152831956e-05	0.0334025128556788	2.16862303172532e-05	3.1436366411911e-05	1.83648708454622e-05	2.06578589666605e-05	7.50445603899444e-09	3.16572973579182e-06	8.46881785678274e-06	1.52389053431734e-05	3.16572973579182e-06	7.61945267158672e-06	1.58286486789591e-06	1.58286486789591e-06	4.59296486768851e-06	6.88595298888683e-06	1.58286486789591e-06	6.88595298888683e-06
"Timonius_sechellensis"	3.40187646865754e-06	2.71338919620823e-06	5.98256052659301e-06	0.00126062735698757	1.88579461810182e-06	6.26454999900876e-07	0.00630499769297981	4.669861100601e-07	3.11878265895427e-07	0.00126096338308399	1.3485507502073e-07	1.0012588978727	0.000101730050729833	2.56692143323627e-07	1.01814083259111e-05	0.100711829815864	7.5735380808721e-05	5.09152224129283e-06	3.86963314031863e-08	3.14083923602896e-08	1.35518992155752e-08	1.48003047065903e-08	0.000105083294882997	1.15317846395171e-08	1.06993272219553e-08	1.98504696642297e-08	1.15317846395171e-08	9.92523483211484e-09	5.76589231975855e-09	5.76589231975855e-09	3.68502941118163e-09	4.93343490219678e-09	5.76589231975855e-09	4.93343490219678e-09
"Apis_mellifera"	0.0277602695547467	0.00857017395233934	0.0307647684351733	0.0153796387211135	0.00387668947833869	0.00617109698748899	7.77861708928365e-06	0.0046159690322786	0.00307864653598485	1.02450681315008e-05	0.000773271496870754	1.55313054549363e-06	1.0065264422121	0.00108308749985524	0.00076335563018679	0.000124250443639491	0.000318704378153597	0.000206012201407529	0.000266420790567994	0.00017772776364216	6.74648394322387e-05	4.67464033763964e-05	1.29643618154727e-07	9.41026086601585e-05	6.2633438788878e-05	4.08072576667231e-05	9.41026086601584e-05	2.04036288333616e-05	4.70513043300793e-05	4.70513043300793e-05	3.63005705146411e-05	1.55821344587988e-05	4.70513043300793e-05	1.55821344587988e-05
"Lasioglossum_mahense"	0.000130829006269817	0.0491276209916932	0.00991508193137693	6.43842350429574e-05	0.0171962339063765	0.0171726623387943	6.27123604357572e-08	2.7782939724278e-05	0.00490545393766907	1.20043342545955e-05	0.00245797215497098	1.25215679670062e-08	0.00346059664587892	1.00345188222245	0.000310361684162957	1.0017254373605e-06	0.000439699798509713	0.000709817666882165	0.000179754614907365	0.000357986362523603	0.000279661555331685	0.000267968841772872	1.04520600726262e-09	4.43488156846837e-07	8.95446913360474e-05	0.000181012988488174	4.43488156846836e-07	9.05064942440871e-05	2.21744078423419e-07	2.21744078423419e-07	0.000101015660816437	8.9322947257624e-05	2.21744078423418e-07	8.9322947257624e-05
"Ornidia_obesa"	0.0591755949602282	0.0178215656137149	0.0119721137767789	0.0118726704659188	4.29050927923671e-05	5.09023298180894e-05	5.99906215805425e-06	3.12884166416107e-05	2.16126228769004e-05	5.59881724273262e-06	8.6520391862523e-06	1.19781274422483e-06	0.00588232867967467	0.000748519355922427	1.00124305454431	9.58250195379865e-05	0.000161370164945286	0.000210244948577546	0.000566293786024072	0.000130393596697603	6.51051186102997e-05	9.72085397111723e-05	9.99843693009041e-08	0.000200595237153316	0.000132700465147049	4.51632555709127e-07	0.000200595237153316	2.25816277854564e-07	0.000100297618576658	0.000100297618576658	2.99425469518173e-07	3.24028465703908e-05	0.000100297618576658	3.24028465703908e-05
"Nectarinia_dussumieri"	3.40187646865754e-05	2.71338919620823e-05	5.98256052659301e-05	0.0126062735698756	1.88579461810182e-05	6.26454999900876e-06	0.0630499769297981	4.669861100601e-06	3.11878265895427e-06	0.0126096338308399	1.3485507502073e-06	0.012588978726983	0.00101730050729833	2.56692143323627e-06	0.000101814083259111	1.00711829815864	0.00075735380808721	5.09152224129283e-05	3.86963314031863e-07	3.14083923602896e-07	1.35518992155752e-07	1.48003047065903e-07	0.00105083294882997	1.15317846395171e-07	1.06993272219553e-07	1.98504696642297e-07	1.15317846395171e-07	9.92523483211484e-08	5.76589231975855e-08	5.76589231975855e-08	3.68502941118163e-08	4.93343490219678e-08	5.76589231975855e-08	4.93343490219678e-08
