"Cnidoscolus_halteris"	"Tacinga_palmadora"	"Oxalis_psoraleoides"	"Melocactus_zehntneri"	"Melochia_tomentosa"	"Tabebuia_impetiginosa"	"Unidentified_sp1_M_PL_067"	"Cnidoscolus_obtusifolius"	"Cissus_simsiana"	"Bauhinia_cheilantha"	"Plumbago_scandens"	"Jatropha_mollissima"	"Encholirium_spectabile"	"Ipomoea_sp1_M_PL_067"	"Tacinga_inamoena"	"Ruellia_asperula"	"Allamanda_blanchetii"	"Cissus_verticillata"	"Pithecoseris_pacourinoides"	"Pilosocereus_sp1_M_PL_067"	"Ceiba_glaziovii"	"Conocliniopsis_prasiifolia"	"Dioclea_grandiflora"	"Hyptis_pectinata"	"Anadenanthera_macrocarpa"	"Caesalpinia_pyramidalis"	"Croton_blanchetianus"	"Pilosocereus_gounellei"	"Psidium_sp1_M_PL_067"	"Staelia_galioides"	"Walteria_rotundifolia"	"Chlorostilbon_lucidus"	"Eupetomena_macroura"	"Heliomaster_squamosus"	"Chrysolampis_mosquitus"	"Calliphlox_amethystina"
"Cnidoscolus_halteris"	1.00622650780048	0.00109058812726633	0.000640925929410498	0.000612139758231111	0.00040380607130268	0.000280029339812994	0.000217518084901322	0.000143644018331062	0.000138855884386693	8.61985391966935e-05	6.6150324368194e-05	5.74731244208188e-05	6.47145522825099e-05	1.58634110844154e-05	1.53333766668094e-05	1.23123444283767e-05	4.99188147346857e-06	3.42009567454908e-06	3.42009567454908e-06	4.67402620704581e-06	2.45955246292916e-06	2.05205740472945e-06	1.57178579891949e-06	1.36803826981963e-06	6.84019134909817e-07	6.84019134909817e-07	8.87766664009669e-07	6.84019134909817e-07	6.84019134909817e-07	6.84019134909817e-07	6.84019134909817e-07	0.0788332052983564	0.0155528222039449	0.00522006798437685	0.000577826782839279	0.000826178740583573
"Tacinga_palmadora"	0.00555944068173369	1.00131481375818	0.000792745047137289	0.000737202763846018	0.000492494916469977	0.000229230515199315	0.000269042609380638	0.000177669647704195	0.000171747326114055	8.14681873851649e-05	8.03955607836358e-05	6.78924879210325e-05	5.09501684919617e-05	1.7327224058368e-05	1.61172655795699e-05	1.52288269460739e-05	5.60087492676483e-06	4.23022970724274e-06	4.23022970724274e-06	8.47853840949352e-08	1.89524449759563e-06	2.53813782434564e-06	1.37064521952209e-06	1.6920918828971e-06	8.46045941448548e-07	8.46045941448548e-07	5.24599278073541e-07	8.46045941448548e-07	8.46045941448548e-07	8.46045941448548e-07	8.46045941448548e-07	0.0975067947519452	0.000282123365575897	0.00308464375507242	6.8479934580599e-05	6.80592029269347e-05
"Oxalis_psoraleoides"	0.00549882982554002	0.00133421444966436	1.00082009703012	0.000762426574271447	0.000508559311806076	0.000183031176036635	0.000278325352804273	0.000183799761285841	0.000177673102576313	8.0670109908137e-05	8.31543098731988e-05	7.00389483498545e-05	4.65695511838131e-05	1.57808875578005e-05	1.66430998422132e-05	1.57542652530721e-05	5.25807732720614e-06	4.37618479252001e-06	4.37618479252001e-06	2.7195261274394e-08	8.88548110868251e-07	2.62571087551201e-06	8.81892534686127e-07	1.75047391700801e-06	8.75236958504003e-07	8.75236958504003e-07	6.6555761821239e-09	8.75236958504003e-07	8.75236958504003e-07	8.75236958504003e-07	8.75236958504003e-07	0.100871059467586	9.04922318905461e-05	3.91347879508886e-05	4.8153917887181e-06	4.59913088454965e-06
"Melocactus_zehntneri"	0.00556044239143491	0.00131363701535047	0.000807224519878357	1.00075212576459	0.000500815611450777	0.000183984969623656	0.000273956667365333	0.000180914780335598	0.000174884287657744	8.10715909559111e-05	8.19681274615767e-05	6.90589232983491e-05	4.77448314159286e-05	1.55338020872395e-05	1.66199337927383e-05	1.55069811716227e-05	5.17569895277843e-06	4.30749476989518e-06	4.30749476989518e-06	5.02907334273339e-07	8.74909411787457e-07	2.58449686193711e-06	8.68204182883246e-07	1.72299790795807e-06	8.61498953979036e-07	8.61498953979036e-07	6.70522890421035e-09	8.61498953979036e-07	8.61498953979036e-07	8.61498953979036e-07	8.61498953979036e-07	0.0992877544460839	0.00167342415479454	3.94267459567568e-05	4.84725345712564e-06	4.64840980871179e-06
"Melochia_tomentosa"	0.00552074320952763	0.00132085796475026	0.000810408291092336	0.00075377859886724	1.00050635999311	0.000201291135342097	0.000275037178833898	0.000181628325645027	0.000175574048123526	8.21153189129027e-05	8.21975874942816e-05	7.1101383273062e-05	4.67502740749954e-05	1.57108561309898e-05	1.64978241061839e-05	1.55681421981452e-05	5.22505921592623e-06	4.32448394392922e-06	4.32448394392922e-06	1.29570238505727e-07	9.3625375520817e-07	2.59469036635753e-06	9.00575271997007e-07	1.72979357757169e-06	8.64896788785844e-07	8.64896788785844e-07	3.56784832111632e-08	8.64896788785844e-07	8.64896788785844e-07	8.64896788785844e-07	8.64896788785844e-07	0.0996793549075685	0.000431144968627805	0.000209789481281639	0.000685195377857336	4.61627476572226e-06
"Tabebuia_impetiginosa"	0.0063412841204413	0.00101830006329386	0.000483099188581202	0.000458666755258972	0.00033340616220043	1.00070611659289	0.000163954687266619	0.000108271963289277	0.000104662897846301	9.88840840648871e-05	4.96655951544769e-05	5.58448446403199e-05	8.95191429797536e-05	2.79083162508989e-05	1.11668773448284e-05	9.28045399622374e-06	7.75045022907669e-06	2.57790388783993e-06	2.57790388783993e-06	2.74168514207345e-06	9.82951190490554e-06	1.54674233270396e-06	5.17254634123677e-06	1.03116155513597e-06	5.15580777567985e-07	5.15580777567985e-07	4.65696556366878e-06	5.15580777567985e-07	5.15580777567985e-07	5.15580777567985e-07	5.15580777567985e-07	0.0594206846147103	0.00912295731024939	0.0273829575143724	0.0050782308195174	5.270751251509e-06
"Unidentified_sp1_M_PL_067"	0.00549882982554002	0.00133421444966436	0.00082009703011825	0.000762426574271447	0.000508559311806076	0.000183031176036635	1.0002783253528	0.000183799761285841	0.000177673102576313	8.0670109908137e-05	8.31543098731988e-05	7.00389483498545e-05	4.65695511838131e-05	1.57808875578005e-05	1.66430998422132e-05	1.57542652530721e-05	5.25807732720614e-06	4.37618479252001e-06	4.37618479252001e-06	2.7195261274394e-08	8.88548110868251e-07	2.62571087551201e-06	8.81892534686127e-07	1.75047391700801e-06	8.75236958504003e-07	8.75236958504003e-07	6.6555761821239e-09	8.75236958504003e-07	8.75236958504003e-07	8.75236958504003e-07	8.75236958504003e-07	0.100871059467586	9.04922318905461e-05	3.91347879508886e-05	4.8153917887181e-06	4.59913088454965e-06
"Cnidoscolus_obtusifolius"	0.00549882982554002	0.00133421444966436	0.00082009703011825	0.000762426574271447	0.000508559311806076	0.000183031176036635	0.000278325352804273	1.00018379976129	0.000177673102576313	8.0670109908137e-05	8.31543098731988e-05	7.00389483498545e-05	4.65695511838131e-05	1.57808875578005e-05	1.66430998422132e-05	1.57542652530721e-05	5.25807732720614e-06	4.37618479252001e-06	4.37618479252001e-06	2.7195261274394e-08	8.88548110868251e-07	2.62571087551201e-06	8.81892534686127e-07	1.75047391700801e-06	8.75236958504003e-07	8.75236958504003e-07	6.6555761821239e-09	8.75236958504003e-07	8.75236958504003e-07	8.75236958504003e-07	8.75236958504003e-07	0.100871059467586	9.04922318905461e-05	3.91347879508886e-05	4.8153917887181e-06	4.59913088454965e-06
"Cissus_simsiana"	0.00549882982554002	0.00133421444966436	0.00082009703011825	0.000762426574271447	0.000508559311806076	0.000183031176036635	0.000278325352804273	0.000183799761285841	1.00017767310258	8.0670109908137e-05	8.31543098731988e-05	7.00389483498545e-05	4.65695511838131e-05	1.57808875578005e-05	1.66430998422132e-05	1.57542652530721e-05	5.25807732720614e-06	4.37618479252001e-06	4.37618479252001e-06	2.7195261274394e-08	8.88548110868251e-07	2.62571087551201e-06	8.81892534686127e-07	1.75047391700801e-06	8.75236958504003e-07	8.75236958504003e-07	6.6555761821239e-09	8.75236958504003e-07	8.75236958504003e-07	8.75236958504003e-07	8.75236958504003e-07	0.100871059467586	9.04922318905461e-05	3.91347879508886e-05	4.8153917887181e-06	4.59913088454965e-06
"Bauhinia_cheilantha"	0.00607850926844052	0.00112697659216145	0.000663051692841442	0.000629371561368257	0.000423542171234972	0.000307928507395043	0.000225027148691119	0.000148602834041305	0.000143649406239928	1.00008836487369	6.81553499021405e-05	6.23630271396803e-05	6.23196374036933e-05	1.63486510947578e-05	1.53055349420755e-05	1.2737385774969e-05	5.1486115882702e-06	3.53816271526917e-06	3.53816271526917e-06	3.72103324810523e-06	2.51326520294822e-06	2.1228976291615e-06	1.61044887300103e-06	1.41526508610767e-06	7.07632543053834e-07	7.07632543053834e-07	9.02816329947194e-07	7.07632543053834e-07	7.07632543053834e-07	7.07632543053834e-07	7.07632543053834e-07	0.0815546505869543	0.0123817381330702	0.0053085600200895	0.00176009036492178	5.06190506523415e-06
