"Nephrosperma_vanhoutteanum"	"Memecylon_eleagni"	"Dillenia_suffruticosa"	"Chrysobalanus_icaco"	"Nepenthes_pervillei"	"Roscheria_melanochaetes"	"Cinnamomum_verum"	"Mimusops_sechellarum"	"Canthium_bibracteatum"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp1_M_PL_126"	"Xylocopa_caffra"	"Lygistorrhina_sp1_M_PL_126"	"Unidentified_sp2_M_PL_126"	"Hemipyrellia_germana"	"Unidentified_sp3_M_PL_126"	"Unidentified_sp4_M_PL_126"	"Chalcidoma_disjunctum"	"Hemipyrellia_sp1_M_PL_126"	"Neavella_albipectus"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Polistes_olivaceus"	"Unidentified_sp5_M_PL_126"
"Nephrosperma_vanhoutteanum"	1.00623543389157	0.00149628251946175	0	0.00046807621613864	0.000351526803792413	0.000312375115931766	0.000409259129655136	0.000652878900573427	0.000175177523889886	0.0420426057335727	0.030982886136019	0.0217204830611221	0	0.00156670819655286	0.004644163541038	7.81170675094252e-06	6.94166924292813e-06	6.94166924292813e-06	6.2345104977573e-06	5.11573912068921e-06	3.47083462146407e-06	4.6807621613864e-06	3.90585337547126e-06	4.6807621613864e-06	3.47083462146407e-06
"Memecylon_eleagni"	0.00405243182354225	1.00306351568215	0	0.000981695837705808	0.000737256857380733	1.28800697566574e-06	0.000858338813793839	3.90834122029203e-05	0.000367399667261398	0.0881759201427356	0.00848411117509975	8.95594183746246e-05	0	7.35117941784073e-06	1.87035314932719e-05	1.63834857195718e-05	2.86223772370165e-08	2.86223772370165e-08	0.00417943131534228	1.0729235172423e-05	1.43111886185083e-08	9.81695837705808e-06	8.19174285978592e-06	9.81695837705808e-06	1.43111886185082e-08
"Dillenia_suffruticosa"	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0
"Chrysobalanus_icaco"	0.00304249540490116	0.00235607001049394	0	1.00290260646379	0.000674850439610888	9.44580689407701e-07	0.000785683198501232	2.05953395244729e-06	0.000336300469072759	0.0807121125774623	0.000113278581895451	6.56798439368154e-05	0	4.73960598859918e-06	1.40422864841592e-05	1.49966764357975e-05	2.09906819868378e-08	2.09906819868378e-08	9.81695837705808e-06	9.8210399812654e-06	1.04953409934189e-08	0.0100290260646379	7.49833821789876e-06	0.0100290260646379	1.04953409934189e-08
"Nepenthes_pervillei"	0.00253880469405632	0.00196601828634862	0	0.000749833821789876	1.00390760931332	7.88203618753249e-07	0.0006556118997527	1.71857431817926e-06	0.000280625307804861	0.0673500738731666	9.45251042906854e-05	5.48064249573092e-05	0	3.95495549884781e-06	1.17175601264138e-05	0.0223090579847405	1.75156359722944e-08	1.75156359722944e-08	8.19174285978592e-06	8.19514874690875e-06	8.75781798614721e-09	7.49833821789876e-06	0.0111545289923702	7.49833821789876e-06	8.75781798614721e-09
"Roscheria_melanochaetes"	0.00225604250395164	3.43468526844198e-06	0	1.04953409934189e-06	7.88203618753248e-07	1.0071954723674	9.1765271814799e-07	0.000642912365818881	3.92788136678702e-07	9.42691528028885e-05	7.86297771753595e-05	0.0336585119464225	0	2.18397593591464e-05	1.04125038643922e-05	1.75156359722944e-08	0.0223821216081644	0.0223821216081644	1.43111886185082e-08	1.14706589768499e-08	0.0111910608040822	1.04953409934189e-08	8.75781798614721e-09	1.04953409934189e-08	0.0111910608040822
"Cinnamomum_verum"	0.00332523042844798	0.00257501644138152	0	0.00098210399812654	0.000737563387221788	1.03235930791649e-06	1.00211026014154	2.25092368457396e-06	0.000367552421298857	0.0882125811117258	0.000123805408811267	7.17833838771265e-05	0	5.18005122596275e-06	1.53472173620676e-05	1.63902974938175e-05	2.29413179536997e-08	2.29413179536998e-08	1.0729235172423e-05	0.0125263782517693	1.14706589768499e-08	9.8210399812654e-06	8.19514874690875e-06	9.8210399812654e-06	1.14706589768499e-08
"Mimusops_sechellarum"	0.00606244693389611	0.000134000270410012	0	2.94219136063899e-06	2.20959555194476e-06	0.000826601613195704	2.57248421094167e-06	1.00306913589727	1.10111511671914e-06	0.000264267628012594	0.014517212581902	0.0574763655042079	0	0.0286684450099301	2.79805243102898e-05	4.91021233765504e-08	1.83689247376823e-05	1.83689247376823e-05	5.58334460041718e-07	3.21560526367709e-08	9.18446236884116e-06	2.94219136063899e-08	2.45510616882752e-08	2.94219136063899e-08	9.18446236884116e-06
"Canthium_bibracteatum"	0.0037955130176142	0.00293919733809119	0	0.00112100156357586	0.000841875923414583	1.17836441003611e-06	0.000980139790130286	2.569268605678e-06	1.00041953483517	0.100688360440384	0.000141315030914575	8.19356053111773e-05	0	5.91265847077748e-06	1.75177523889886e-05	1.87083538536574e-05	2.61858757785801e-08	2.61858757785801e-08	1.224665557538e-05	1.22517473766286e-05	1.30929378892901e-08	1.12100156357586e-05	9.3541769268287e-06	1.12100156357586e-05	1.30929378892901e-08
"Apis_mellifera"	0.037955130176142	0.0293919733809119	0	0.0112100156357586	0.00841875923414583	1.17836441003611e-05	0.00980139790130286	2.569268605678e-05	0.00419534835168267	1.00688360440384	0.00141315030914575	0.000819356053111773	0	5.91265847077748e-05	0.000175177523889886	0.000187083538536574	2.61858757785801e-07	2.61858757785801e-07	0.0001224665557538	0.000122517473766286	1.30929378892901e-07	0.000112100156357586	9.3541769268287e-05	0.000112100156357586	1.30929378892901e-07
"Lasioglossum_mahense"	0.0875603303844014	0.00885298557401713	0	4.92515573458481e-05	3.69880842876595e-05	3.07681736773146e-05	4.30627508908754e-05	0.0044182820901441	1.84323953366836e-05	0.00442377488080407	1.00283105720718	0.00213941367636261	0	0.000260944831738361	0.00040412460177416	8.21957428614656e-07	6.83737192829213e-07	6.83737192829213e-07	3.68874398917381e-05	5.38284386135943e-07	3.41868596414607e-07	4.92515573458481e-07	4.10978714307328e-07	4.92515573458481e-07	3.41868596414607e-07
"Unidentified_sp1_M_PL_126"	0.0672300666177589	0.000102353620999571	0	3.12761161603883e-05	2.34884678388468e-05	0.0144250765484668	2.73460510008101e-05	0.0191587885014027	1.17050864730253e-05	0.00280922075352608	0.00234316735982571	1.00302365600339	0	0.000650824828902562	0.000310292615158888	5.21965951974374e-07	0.000320557256632595	0.000320557256632595	4.26473420831546e-07	3.41825637510126e-07	0.000160278628316298	3.12761161603883e-07	2.60982975987187e-07	3.12761161603883e-07	0.000160278628316298
"Xylocopa_caffra"	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_126"	0.0339453442586453	5.88094353427259e-05	0	1.57986866286639e-05	1.18648664965434e-05	6.55192780774391e-05	1.38134699359007e-05	0.0668930383565036	5.91265847077748e-06	0.00141903803298659	0.00200057704332743	0.00455577380231793	0	1.00196345327388	0.000156670819655286	2.63663699923188e-07	1.45598395727643e-06	1.45598395727643e-06	2.45039313928025e-07	1.72668374198758e-07	7.27991978638213e-07	1.57986866286639e-07	1.31831849961594e-07	1.57986866286639e-07	7.27991978638213e-07
