"Nephrosperma_vanhoutteanum"	"Northea_hornei"	"Dillenia_ferruginea"	"Craterispermum_microdon"	"Erythroxylum_sechellarum"	"Syzygium_wrightii"	"Paragenipa_wrightii"	"Diospyros_seychellarum"	"Memecylon_eleagni"	"Soulamea_terminaloides"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Rhiparida_seychellensis"	"Unidentified_sp1_M_PL_107"	"Hemipyrellia_germana"	"Neophyllomyza_approximatonervis"	"Tricimba_seychellensis"	"Phelsuma_sp1_M_PL_107"	"Unidentified_sp3_M_PL_107"	"Lygistorrhina_sp1_M_PL_107"	"Hemipyrellia_sp1_M_PL_107"	"Mabuya_sechellensis"	"Scaptodrosophila_sp1_M_PL_107"	"Dichaetomyia_fasciculifera"	"Melanostoma_annulipes"	"Unidentified_sp2_M_PL_107"	"Unidentified_sp4_M_PL_107"
"Nephrosperma_vanhoutteanum"	1.00437936700742	0.000883219531346433	0.000894246486751211	0.000951798729889558	0.00053827527490385	7.92542109392867e-05	0.000854776625403969	0.000612467058813998	0.00056659434703918	0.000164081522704213	0.000176929305796856	0.0406937403332769	0.0420276469664951	1.37531837012898e-05	3.11590434312869e-05	2.89514433477762e-05	0.00141149544772329	0.00836982805839518	0.00558699492183512	6.67374916017861e-06	0.0027970522357034	1.14837573527625e-05	7.15397189400968e-06	5.35284564452384e-06	5.35284564452384e-06	2.67642282226192e-06	2.67642282226192e-06	3.57698594700484e-06	4.53237490423599e-06
"Northea_hornei"	0.00192702443202858	1.00364846404093	0.00102618969777496	0.00094786490121695	0.000191943159908787	0.00120201128519039	0.000318309005197066	0.00016758453855606	0.000316913645218861	0.00010240305678448	0.00025230233820156	0.0580295377863588	0.000186846233474259	0.0092108888719793	0.00305885489302941	1.04032130199811e-05	0.00610438650355328	1.60585369335715e-05	1.38011557907127e-05	0.00610275148530428	8.44831014618882e-06	3.14221009792612e-06	8.20951758219968e-06	0.00608271796388444	0.00608271796388444	0.00304135898194222	0.00304135898194222	4.10475879109984e-06	4.51364238674738e-06
"Dillenia_ferruginea"	0.00257542988184349	0.00135457040106295	1.00262916344709	0.000891199838622	0.00037965823654791	0.000208268611136689	0.000607774204427591	0.000551464620931141	0.000441142436596443	0.000269172849613098	0.000193165573138251	0.0444280818217978	0.0242950655377916	2.73558982887271e-05	0.00805162839898707	2.04488417811152e-05	0.0120444935127339	2.14619156820291e-05	2.3138054661101e-05	1.16806611011445e-05	1.59840827670913e-05	1.03399616424589e-05	0.00802103330757672	8.20951758219968e-06	8.20951758219968e-06	4.10475879109984e-06	4.10475879109984e-06	0.00401051665378836	4.24380875534286e-06
"Craterispermum_microdon"	0.00326330993104991	0.00148950198762664	0.00106095218883571	1.00181478850584	0.0004680960122976	3.53136595663581e-05	0.000754666797383614	0.000311346681473126	0.000589131832436947	1.24134107601167e-06	0.000312661163426553	0.0719120675881073	0.0241271543420402	1.60913581289236e-05	1.89134906396149e-05	2.52434836684244e-05	2.64872729413502e-05	2.7194249425416e-05	2.01002431976712e-05	9.6158457662674e-06	1.10354933891993e-05	5.83775027762112e-06	8.48761751068571e-06	9.02728477349477e-06	9.02728477349477e-06	4.51364238674738e-06	4.51364238674738e-06	4.24380875534286e-06	0.00477054661193256
"Erythroxylum_sechellarum"	0.0021531010996154	0.00035189579316611	0.000527303106316542	0.0005461120143472	1.00440073920093	5.47566665746331e-05	0.0011803927968044	0.000396844997137579	0.000415191373924177	8.78904718504677e-07	7.37941474720816e-05	0.0169726539185788	0.0392920905660624	7.15370080664773e-06	1.27783537183544e-05	0.0446469763404148	1.17549609496655e-05	1.79425091634617e-05	1.44595321021211e-05	3.04531288634152e-06	8.47869571430052e-06	7.4408436963296e-06	4.21842485053234e-06	2.1327017767643e-06	2.1327017767643e-06	1.06635088838215e-06	1.06635088838215e-06	2.10921242526617e-06	2.60053340165333e-06
"Syzygium_wrightii"	0.000317016843757147	0.00220368735618239	0.000289261959912068	4.11992694940845e-05	5.47566665746331e-05	1.00700648329148	8.57185609672783e-05	5.46479443837473e-05	4.71362567679564e-05	4.00620968640048e-07	7.01330518533556e-07	0.000161306019262718	0.00562825055707438	0.0727482795369159	1.00406223678902e-05	2.93785645475853e-06	0.00561174758836785	2.64180703130956e-06	2.11076675931093e-06	0.016796797069138	1.23016441554107e-06	1.02464895719526e-06	2.31409567929654e-06	1.33556809465599e-05	1.33556809465599e-05	6.67784047327996e-06	6.67784047327996e-06	1.15704783964827e-06	1.96186997590878e-07
"Paragenipa_wrightii"	0.00362023041347563	0.000617893951264892	0.000893785594746457	0.000932235455591523	0.00124982766720466	9.07608292594711e-05	1.00120891217713	0.000659301866469549	0.000697003285873334	1.47530465608296e-06	0.000129583555342114	0.0298042177286862	0.0650945674063091	1.21721665186224e-05	2.14731189465646e-05	0.00594501208559742	2.00025635885185e-05	3.01685867789636e-05	2.42625339445321e-05	5.25749231350568e-06	1.42063383515442e-05	1.2361909996304e-05	7.15028475797166e-06	3.74481182584783e-06	3.74481182584783e-06	1.87240591292392e-06	1.87240591292391e-06	3.57514237898583e-06	4.43921645519773e-06
"Diospyros_seychellarum"	0.00275610176466299	0.000345643110771874	0.000861663470204908	0.000408642519433478	0.000446450621779776	6.14789374317157e-05	0.000700508233123896	1.00320264767383	0.000398049477270265	0.000891489512180355	2.83347803196319e-05	0.00651699947351534	0.0441201052276049	7.58235557910559e-06	0.0188714797257428	2.39628865223136e-05	1.66042371443955e-05	2.29675147055249e-05	0.0063031580146754	3.11945568914601e-06	0.00629550217644023	0.0188100496438843	6.89330776163926e-06	2.09480673195075e-06	2.09480673195075e-06	1.04740336597538e-06	1.04740336597537e-06	3.44665388081963e-06	1.94591675920704e-06
"Memecylon_eleagni"	0.00370861754425645	0.000950740935656584	0.0010025964468101	0.00112470622556144	0.00067940406642138	7.71320565293832e-05	0.0010771868963497	0.000578981057847659	1.00070067878733	1.48116299559282e-06	0.000199484921253409	0.0458815318882841	0.0549109206843331	1.4213747942182e-05	2.18465693272132e-05	3.65321297933341e-05	2.33725927639472e-05	3.09051462021371e-05	2.42516856728844e-05	7.04760055219629e-06	1.39499702721721e-05	1.08558948346436e-05	8.02077157448078e-06	5.76206627670657e-06	5.76206627670657e-06	2.88103313835329e-06	2.88103313835329e-06	4.01038578724039e-06	5.35574393124497e-06
"Soulamea_terminaloides"	0.00236277392694067	0.000675860174777571	0.00134586424806549	5.213632519249e-06	3.16405698661684e-06	1.44223548710417e-06	5.01603583068206e-06	0.00285276643897713	3.2585585903042e-06	1.00284472930938	9.21483450526822e-07	0.000211941193621169	0.000256315687052723	6.24834485891524e-06	0.0602369881044141	1.70130848082407e-07	2.35361361216222e-05	1.96897827245056e-05	0.0200878508982476	4.12015952949762e-06	0.0200812876373395	5.34893707308213e-05	1.07669139845239e-05	4.09612227137922e-06	4.09612227137922e-06	2.04806113568961e-06	2.04806113568961e-06	5.38345699226196e-06	2.48268215202333e-08
