"Trema_micrantha"	"Cecropia_pachystachia"	"Urera_baccifera"	"Chamissoa_altissima"	"Cabralea_canjerana"	"Dendropanax_cuneatum"	"Pera_glabrata"	"Trichilia_clauseni"	"Citharexylum_mirianthum"	"Zanthoxylum_hyemale"	"Talauma_ovata"	"Gomidesia_affinis"	"Ocotea_macropoda"	"Ocotea_corimbosa"	"Miconia_discolor"	"Cestrum_sp1_M_SD_012"	"Momordica_charantia"	"Ocotea_sp1_M_SD_012"	"Miconia_elegans"	"Pereskia_aculeata"	"Persia_major"	"Protium_heptaphyllum"	"Rubus_sp1_M_SD_012"	"Copaifera_langsdorffii"	"Maytenus_aquifolium"	"Miconia_sp1_M_SD_012"	"Palicourea_sp1_M_SD_012"	"Paullinia_sp1_M_SD_012"	"Xylopia_brasiliensis"	"Chlorophora_tinctoria"	"Cordia_sp1_M_SD_012"	"Ficus_luschnatiana"	"Paullinia_rhomboidea"	"Piper_sp1_M_SD_012"	"Rhipsalis_sp1_M_SD_012"	"Tachyphonus_coronatus"	"Chiroxiphia_caudata"	"Trichothraupis_melanops"	"Vireo_olivaceus"	"Manacus_manacus"	"Saltator_similis"	"Dacnis_cayana"	"Elaenia_flavogaster"	"Pitangus_sulphuratus"	"Thraupis_sayaca"	"Myiodynastes_maculatus"	"Habia_rubica"	"Turdus_rufiventris"	"Ramphocelus_carbo"	"Tyrannus_melancholicus"	"Thlypopsis_sordida"	"Myiophobus_fasciatus"	"Tangara_cayana"	"Coereba_flaveola"	"Cyclarhis_gujanensis"	"Penelope_superciliaris"	"Ramphastos_toco"	"Turdus_amaurochalinus"	"Tyrannus_savanna"	"Conirostrum_speciosum"	"Cyanocorax_cristatellus"	"Pipraeidea_melanonota"	"Sirystes_sibilator"	"Tityra_cayana"
"Trema_micrantha"	1.0026739337569	0.000851777464012149	0.000794901680830195	0.00101649773021326	0.000411101183825674	0.000679141077691042	0.000594356863613381	0.000618665776197815	0.000239924414943929	0.000510549305152832	0.000238789752296755	0.000275658255375778	0.000152365017096118	6.02622691417314e-05	7.99583660182651e-05	0.000131848136570791	0.000107320420837744	2.88833946554171e-05	6.69955351667422e-05	9.34975634221468e-05	3.13247810661491e-05	4.79750196109591e-05	6.13740258877428e-05	3.63770713544296e-08	4.39155629653473e-05	4.39155629653473e-05	3.79494546863266e-05	2.83701962208639e-05	1.57379026244131e-05	3.50121887594362e-05	2.34245712014162e-05	1.5991673203653e-05	2.19577814826736e-05	4.41724681041688e-05	2.34245712014162e-05	0.0140547427208497	0.00703633620960733	0.0167855378795841	0.00982805995850476	0.00702649007445556	0.0167652088952941	0.00839918496670156	0.002814329017519	2.26536274015689e-05	0.00420146265113234	0.00140616495570407	0.0014159388970596	1.43357807136739e-05	0.00140896274837885	0.00140281905975624	0.00279664495424733	1.40206400688509e-05	0.00279498525428847	1.04370934087722e-05	1.14395827003879e-05	2.00874230472438e-06	7.23903719953149e-07	3.18538058625603e-06	0.00278520537154694	3.38832576737754e-06	1.81885356772148e-09	2.40879297221271e-06	2.70162210733355e-06	7.22084866385427e-07
"Cecropia_pachystachia"	0.0017035549280243	1.00241605640613	0.00133478388241388	0.000770467045215479	0.000225323963414066	0.000131726558556503	0.000800617204115156	0.000262371615463205	0.000343162521744154	0.000176696221338971	0.000367556642819362	0.000265495441829204	9.49075448532101e-05	5.25375596752245e-05	3.24407405434613e-05	0.000214381441025184	0.000137148000060069	6.62971041137122e-06	0.000129240339397562	8.11968933295773e-05	1.88898394895793e-05	1.94644443260768e-05	9.85876638023393e-05	8.34976122338945e-09	3.52078112133993e-05	3.52078112133993e-05	2.40920537153919e-05	2.23638367858817e-07	1.87828811359537e-05	0.000116264043180177	7.44956100869475e-05	6.48814810869225e-06	1.76039056066997e-05	1.49036305580252e-05	7.44956100869475e-05	0.0446973660521685	0.00285478516782459	0.00566337961204957	5.48887819302652e-05	0.00563324979414389	6.60718915206455e-05	0.00839552708347405	0.00281876078134186	0.00280138841734923	0.0139516851816213	1.28348015656595e-05	3.38243681108742e-05	0.00279811076420443	0.0055890910042268	9.62625182629941e-06	9.34928131589421e-06	5.83461175222273e-06	1.0907933527681e-05	0.00557838242681446	4.61718429360449e-06	1.75125198917415e-06	1.6616024834545e-07	3.35175729376779e-06	4.73209702228972e-06	2.56822348405159e-06	4.17488061169472e-10	4.04479964367842e-06	3.63916910961434e-06	1.65742760284281e-07
"Urera_baccifera"	0.00173433093999315	0.00145612787172423	1.00288979601054	0.00118509619391421	2.23525839100835e-06	0.000194029513568898	0.000562069164032826	0.000480556158898631	0.000107764110724615	2.49081650042057e-06	0.000175436496546787	0.00010107988908343	0.000133290177364033	5.66159953379742e-05	5.77470230563751e-07	0.000137768369067385	0.000311552600603035	1.57057746852929e-07	5.14330060142613e-07	6.13932470515654e-05	1.71568874709378e-07	3.46482138338251e-07	9.93643442308326e-05	1.97805726515023e-10	7.63937366611609e-05	7.63937366611609e-05	3.83123623766932e-05	9.08582755850298e-08	1.21684838799511e-07	2.83341967917113e-07	6.10519818541394e-05	1.1549404611275e-07	3.81968683305804e-05	5.62337897118252e-05	6.10519818541394e-05	0.0366311891124836	5.08173802896101e-05	0.0213688400904936	4.32567541477978e-05	0.0122229978657857	6.99890569071128e-05	4.1170079093012e-05	2.7385091064707e-05	1.07701204334468e-05	3.40010361500535e-05	4.507166364268e-06	0.0182506922022749	8.95855540639131e-06	0.00609911330173497	4.48956323188795e-06	1.13852763366285e-05	5.78868506266114e-06	1.2732879098954e-05	0.00305059379642478	6.56769039220306e-06	1.88719984459914e-06	3.93633395764897e-09	2.5774800741289e-06	4.81758594442542e-06	3.95032064638069e-06	9.89028632575117e-12	0.00303905998791074	2.55485983651284e-06	3.92644367132322e-09
"Chamissoa_altissima"	0.00243959455251183	0.000924560454258574	0.00130360581330563	1.00207975059317	6.00026469855558e-05	0.000311686240695504	0.000466002755024643	0.000373011194948827	0.000136291708081375	0.000206144694065107	0.000287470434900067	0.000392542285215703	0.000200894094584596	9.75415611253531e-05	7.68126243348285e-05	7.19059378254629e-05	8.38313817673543e-05	1.54877347308877e-05	5.88097073482122e-05	6.52295041389732e-05	2.62948498471252e-07	4.60875746008971e-05	6.45663910956586e-05	1.95059631371382e-08	4.22074702172757e-05	4.22074702172757e-05	3.64662599756035e-05	1.48690562202787e-07	1.81340030041821e-07	2.80846576142808e-05	2.81001311200551e-05	1.53625248669657e-05	2.11037351086378e-05	9.69353509966144e-05	2.81001311200551e-05	0.0168600786720331	0.0067595109414649	0.0368354333787135	6.00498029538916e-05	0.0067531952347641	0.00674772292710523	0.00338767848471895	0.00671635837835735	1.49597342418585e-05	0.00337015891371369	7.37903031506913e-06	0.00337114737493201	9.05898122338286e-06	2.27635871423976e-05	7.34476215864878e-06	1.30757836769536e-05	7.3129650192795e-06	0.00668852093800336	1.08844160601205e-05	6.29913214219853e-06	3.2513853708451e-06	3.8816866642905e-07	4.02884682462093e-06	6.77665153475507e-06	0.00334026583531058	9.75298156856909e-10	3.95032064638069e-06	2.1181943410211e-06	3.87193368272193e-07
"Cabralea_canjerana"	0.00123330355147702	0.000337985945121099	3.07348028763648e-06	7.50033087319448e-05	1.00267356372637	0.000374874500479312	0.000433491351489517	0.000630050023857344	0.000669348709440684	0.0010571942768207	0.00070298036217893	0.000111810862920236	0.000206736914436335	0.000430043027787272	4.82242516257284e-05	4.44769581245177e-07	4.68672032027353e-07	0.000162454899171211	1.9395621926602e-05	9.89129402658489e-06	0.00035454663654301	2.8934550975437e-05	9.85456010185656e-06	2.04603147570795e-07	2.28277284591397e-07	2.28277284591397e-07	9.75898896744137e-06	0.000245732117627961	0.000261014850381354	1.05921276310679e-07	9.55711344151822e-08	9.64485032514568e-06	1.14138642295699e-07	1.11636426928552e-07	9.55711344151822e-08	5.73426806491093e-05	0.0042437341430641	4.24218422328499e-05	0.033522617884437	3.65243655346236e-05	4.67704957774486e-05	0.0125933014920474	3.56989132028382e-05	0.0251224596329547	1.27105531572815e-05	0.0167420364612935	4.89439463376213e-06	2.79998253877723e-05	1.5595594582547e-05	0.00841786075454905	1.82362242966168e-05	8.21832357536512e-06	1.01446551204114e-05	1.89813251127755e-06	1.48103810980695e-05	1.4334767592909e-05	4.07160263665882e-06	6.6907040906887e-06	3.42584319854729e-06	2.50011029106483e-07	1.02301573785397e-08	9.31357662920145e-09	1.97041523404326e-06	4.06137247928028e-06
"Dendropanax_cuneatum"	0.00203742323307313	0.000197589837834755	0.000266790581157235	0.00038960780086938	0.000374874500479312	1.0027866303552	0.000835827990767936	0.000547210033540954	0.000625906891601147	0.000399538270012945	6.73472246102049e-05	0.000181762297714803	0.000208255806033225	4.27087820811752e-07	9.59972497972098e-05	0.000216459854773334	0.000108500942920119	1.94679682886665e-05	3.85458251767908e-05	0.000127424388595908	2.32820771189982e-07	5.75983498783259e-05	8.49009645117553e-05	2.45188517489503e-08	0.000131057100405573	0.000131057100405573	8.47280001622283e-05	2.66770839635562e-07	1.61502082567126e-07	1.46925257906954e-07	1.72964349527058e-07	1.91994499594419e-05	6.55285502027863e-05	1.73978718230984e-07	1.72964349527058e-07	0.000103778609716235	0.00844775798215446	6.61119129277739e-05	0.0167953755128542	0.0209691360648916	0.033496112028951	4.98121018170267e-05	1.86017678120148e-05	1.35275090916405e-05	1.76310309488344e-05	2.14997366113977e-05	1.41790269064464e-05	0.00420267055920163	1.20792613130127e-05	6.41868197605705e-06	1.54716891013131e-05	0.0167169097240598	1.06071194376111e-05	7.31767399717461e-06	9.8121801205544e-06	1.42362606937251e-08	4.87925149804111e-07	2.73487355418295e-06	5.65950898075869e-06	1.2986926695646e-06	1.22594258744751e-09	8.08456306537075e-07	3.79921813985426e-06	4.86699207216663e-07
"Pera_glabrata"	0.00194516791728016	0.00131010087946116	0.000843103746049239	0.000635458302306331	0.000472899656170382	0.000911812353565021	1.00137762728078	0.00050948021624687	0.000123043557844246	0.000612194341005796	0.000144930989632983	0.000203184646535977	0.000111871345348425	1.26037990005369e-05	5.25390328275672e-05	0.000112948819169848	8.34613604359445e-05	1.06678810908661e-05	5.92317080778181e-05	9.35061673474168e-05	3.05756206734567e-07	3.15234196965403e-05	9.25671221824399e-05	1.34356185023503e-08	5.73899805191854e-05	5.73899805191854e-05	3.92027968251061e-05	2.06703137258599e-07	2.19089451691623e-07	3.82160949467912e-05	5.33643253573338e-05	1.05078065655134e-05	2.86949902595927e-05	1.22102741888615e-05	5.33643253573338e-05	0.0320185952144003	0.00462343488882591	0.00463990419176737	0.0137536420348976	0.00918239688306966	0.00918655098161655	0.0137114780605283	2.68410999789996e-05	1.98634044973018e-05	0.00458593139361495	1.3204002043722e-05	2.45513286430888e-05	1.21257608816304e-05	1.9573773084919e-05	7.80000795386497e-06	1.59518448913296e-05	0.00456691336019933	1.32407760790963e-05	1.26569185349877e-05	1.05486006766625e-05	4.2012663335123e-07	2.6736880819677e-07	2.14883363352198e-06	5.4032442146671e-06	2.1181943410211e-06	6.71780925117512e-10	2.55485983651284e-06	0.00455171648763992	2.66697027271652e-07
"Trichilia_clauseni"	0.00202472435846558	0.000429335370757971	0.000720834238347947	0.000508651629475673	0.000687327298753467	0.000596956400226496	0.00050948021624687	1.00253290594161	9.39578610405062e-05	0.00133056534579498	2.10226068565585e-06	8.67940482604442e-05	6.6573424909633e-05	2.46327946047217e-05	5.23833945708246e-05	8.23919573481721e-05	9.85074054485403e-05	1.06652189498765e-05	2.11127775664674e-05	6.30747275519388e-05	3.3354456112611e-07	3.14300367424948e-05	3.36024607175289e-05	1.34322656799452e-08	3.11816671240367e-07	3.11816671240367e-07	1.06325872497851e-05	2.48621544946511e-07	2.33434900164898e-07	1.59419738137561e-07	2.29698734677438e-05	1.04766789141649e-05	1.55908335620183e-07	2.41839251500041e-05	2.29698734677438e-05	0.0137819240806463	0.00460973872223257	0.00918989155700155	0.0320287084356792	4.98906673984587e-05	0.00918473430270932	7.74242320271057e-05	1.37584401504775e-05	1.99987858805529e-05	1.91303685765074e-05	1.63363072383829e-05	0.00457704413907324	7.25926367363992e-06	1.25023878030618e-05	9.0098694865091e-06	0.0136843543521444	1.22650925018668e-05	1.68421001675068e-05	6.62934161472722e-06	0.0136787301178154	8.21093153490724e-07	2.67302087030909e-07	7.52843850503494e-07	5.62423432907105e-06	1.69550543158558e-06	6.71613283997258e-10	2.18434617681196e-06	2.3158191647585e-06	2.66630473746912e-07
"Citharexylum_mirianthum"	0.00082259799409347	0.000588278608704264	0.000169343602567252	0.00019470244011625	0.000764969953646496	0.000715322161829883	0.000128902774884448	9.84320448995779e-05	1.00423447598566	1.94486104494865e-06	0.000123648451416412	0.000409307625505951	0.000292714060137352	6.29047393954671e-07	0.000327542790920433	3.13740221425607e-05	6.89837717210904e-05	0.000240565062090218	0.000131160610764091	8.1191058648193e-05	5.55312718241156e-07	0.00019652567455226	8.07222953909297e-05	3.02978667619921e-07	3.02172304684626e-05	3.02172304684626e-05	8.06171734183178e-05	0.000174343327494734	3.65612700130593e-07	1.43494395918298e-07	1.05121972611868e-07	6.55085581840865e-05	1.51086152342313e-05	8.54251871575328e-08	1.05121972611868e-07	6.30731835671205e-05	0.0288237656009981	3.24615711198625e-05	5.04111720287145e-05	0.00483475687495402	0.00482898733236331	2.8057727631195e-05	2.62262398902333e-05	2.63869023030045e-05	1.72193275101957e-05	0.0191568990224286	7.04249261880584e-06	0.0382611660823743	0.00479077616977163	1.70730016299506e-05	3.63868994484687e-06	1.25079577345183e-05	3.59445105456702e-06	4.56572747838746e-06	1.35369551680945e-06	2.09682464651557e-08	6.02927548563643e-06	4.02518126732316e-06	2.28499442803742e-06	6.49008133720834e-07	1.51489333809961e-08	5.13162432021977e-07	5.8592170402022e-07	6.01412655225544e-06
"Zanthoxylum_hyemale"	0.00216232646888258	0.000374180233423703	4.83511438316935e-06	0.000363784754232541	0.00149250956727629	0.000564054028253569	0.000792251500125148	0.00172190809455821	2.40247540846598e-06	1.00224021524165	0.000248392701537158	0.000124823060302322	1.22788091506229e-06	9.54337725281446e-07	5.24033801714507e-07	7.41115645160653e-07	6.42657306784537e-07	3.60298709510938e-07	3.6835145828844e-07	5.34400275623568e-07	6.67334464472126e-07	3.14420281028704e-07	4.03942027989976e-07	4.537767122304e-10	2.56529823119172e-07	2.56529823119172e-07	2.33071671902488e-07	4.44136734784431e-07	4.77337424253285e-07	1.58737937602637e-07	1.70870356087488e-07	1.04806760342901e-07	1.28264911559586e-07	1.8647879124278e-07	1.70870356087488e-07	0.000102522213652493	4.61149745508766e-05	7.08619406722563e-05	0.0532055413532301	4.10447716990676e-05	8.02041793498853e-05	0.0295334004228029	2.37787323654707e-05	4.31010576051666e-05	1.90485525123165e-05	2.79553664022149e-05	1.21466796327605e-05	3.48113752771473e-06	8.24372956586387e-06	1.70997336196957e-05	0.00592501770523141	1.30020436532799e-05	0.0059039623720005	2.11195882747232e-06	0.00591901124281785	3.18112575093815e-08	9.03015657338497e-09	1.56609750588571e-06	6.00646241356272e-06	1.2126158474418e-06	2.268883561152e-11	1.46518617671798e-08	3.60114318238704e-06	9.00746773777345e-09
