"Nephrosperma_vanhoutteanum"	"Medusagyne_oppositifolia"	"Mimusops_sechellarum"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Apis_mellifera"	"Lygistorrhina_sp1_M_PL_085"	"Unidentified_sp2_M_PL_085"	"Unidentified_sp1_M_PL_085"	"Lasioglossum_mahense"	"Parasarcophaga_hirticeps"	"Eristalinus_vicarians"	"Rhiparida_seychellensis"	"Geron_seychellarum"	"Nectarinia_dussumieri"	"Phelsuma_sp1_M_PL_085"	"Chalcidoma_disjunctum"	"Hemipyrellia_germana"	"Simosyrphus_aegyptius"	"Unidentified_sp3_M_PL_085"	"Unidentified_sp4_M_PL_085"	"Unidentified_sp5_M_PL_085"
"Nephrosperma_vanhoutteanum"	1.00793337035351	0.000953403892954491	0.000558650262512749	0.000468605630039431	0.000186979961989586	0.0190401695293996	0.0251983342588379	0.0163789172682446	0.00758787603179652	0.00254050593600596	0.0075695361081035	0.00755950027765136	0.00629958356470947	0.00251983342588378	6.57235602956175e-06	0.00126320289095667	0.00125991671294189	0.00125991671294189	3.11633269982644e-06	0.00125991671294189	0.00125991671294189	3.28617801478088e-06
"Medusagyne_oppositifolia"	0.00401433218086102	1.00286314139041	0.00134856733247074	0.00125006865360517	0.000624900543665148	0.0636336223614219	0.000100358304521525	6.52328979389915e-05	0.0264291755401186	6.26818156558733e-05	0.0105865616112555	3.01074913564576e-05	2.50895761303814e-05	1.00358304521525e-05	1.58654980290676e-05	1.29506642406101e-05	5.01791522607627e-06	5.01791522607627e-06	1.04150090610858e-05	5.01791522607627e-06	5.01791522607627e-06	7.93274901453379e-06
"Mimusops_sechellarum"	0.0026289424118247	0.00150722231276142	1.00372570110971	0.00171416624216647	0.000524978024544118	0.0534585122393275	6.57235602956176e-05	4.27203141921514e-05	0.00596364964321849	0.0177589365287125	3.55825661177528e-05	1.97170680886853e-05	1.64308900739044e-05	6.57235602956175e-06	0.0118085376601143	0.00590755500807192	3.28617801478088e-06	3.28617801478088e-06	8.74963374240196e-06	3.28617801478088e-06	3.28617801478088e-06	0.00590426883005714
"Erythroxylum_sechellarum"	0.00288372695408881	0.00182702341680756	0.00224160200898693	1.0023879949372	0.000760662783926295	0.0774582912872146	7.20931738522202e-05	4.68605630039431e-05	8.28934099263763e-05	0.0231787976522937	4.08597775957456e-05	2.1627952155666e-05	1.8023293463055e-05	7.20931738522201e-06	2.63717883410227e-05	1.67905528631223e-05	3.60465869261101e-06	3.60465869261101e-06	1.26777130654382e-05	3.60465869261101e-06	3.60465869261101e-06	1.31858941705113e-05
"Memecylon_eleagni"	0.00249306615986115	0.0019788517216063	0.00148743773620833	0.00164810269850697	1.00249355178483	0.0839183782489687	6.23266539965288e-05	4.05123250977437e-05	7.95226752467896e-05	7.05147058231735e-05	3.95280143211302e-05	1.86979961989586e-05	1.55816634991322e-05	6.23266539965288e-06	1.74992674848039e-05	1.18659664422284e-05	3.11633269982644e-06	3.11633269982644e-06	0.0167082258630805	3.11633269982644e-06	3.11633269982644e-06	8.74963374240196e-06
"Apis_mellifera"	0.0298669325951366	0.0237066436248435	0.0178195040797758	0.0197442703281135	0.00987275038223162	1.00534217142264	0.000746673314878415	0.00048533765467097	0.000952681649456539	0.000844766175761618	0.00047354561156714	0.000224001994463524	0.000186668328719604	7.46673314878414e-05	0.000209641224467951	0.000142154277977896	3.73336657439207e-05	3.73336657439207e-05	0.00016454583970386	3.73336657439207e-05	3.73336657439207e-05	0.000104820612233975
"Lygistorrhina_sp1_M_PL_085"	0.100793337035351	9.53403892954491e-05	5.58650262512749e-05	4.68605630039431e-05	1.86979961989586e-05	0.00190401695293996	1.00251983342588	0.00163789172682446	0.000758787603179652	0.000254050593600596	0.00075695361081035	0.000755950027765136	0.000629958356470947	0.000251983342588378	6.57235602956175e-07	0.000126320289095667	0.000125991671294189	0.000125991671294189	3.11633269982644e-07	0.000125991671294189	0.000125991671294189	3.28617801478088e-07
"Unidentified_sp2_M_PL_085"	0.100793337035351	9.53403892954492e-05	5.58650262512749e-05	4.68605630039431e-05	1.86979961989586e-05	0.00190401695293996	0.00251983342588378	1.00163789172682	0.000758787603179652	0.000254050593600596	0.00075695361081035	0.000755950027765136	0.000629958356470947	0.000251983342588379	6.57235602956175e-07	0.000126320289095667	0.000125991671294189	0.000125991671294189	3.11633269982644e-07	0.000125991671294189	0.000125991671294189	3.28617801478088e-07
"Unidentified_sp1_M_PL_085"	0.0505858402119768	0.0418461946051877	0.0084485036612262	8.98011940869077e-05	3.97613376233948e-05	0.00404889701019029	0.00126464600529942	0.000822019903444623	1.00153030652945	0.000277628176858564	0.000819880060591802	0.000379393801589826	0.000316161501324855	0.000126464600529942	9.93941607203081e-05	0.000112929380625125	6.3232300264971e-05	6.3232300264971e-05	6.62688960389913e-07	6.3232300264971e-05	6.3232300264971e-05	4.96970803601541e-05
"Lasioglossum_mahense"	0.0254050593600596	0.000148869312182699	0.0377377401235141	0.0376655461849773	5.28860293673801e-05	0.00538538437048031	0.00063512648400149	0.000412832214600969	0.000416442265287845	1.00159867768019	0.000192104990591844	0.000190537945200447	0.000158781621000373	6.3512648400149e-05	0.000443973413217813	0.000253743030808981	3.17563242000745e-05	3.17563242000745e-05	8.81433822789669e-07	3.17563242000745e-05	3.17563242000745e-05	0.000221986706608906
"Parasarcophaga_hirticeps"	0.0756953610810351	0.0251430838267318	7.56129530002248e-05	6.63971385930867e-05	2.96460107408477e-05	0.00301885327374052	0.00189238402702588	0.00123004961756682	0.0012298200908877	0.000192104990591844	1.00083237924839	0.000567715208107763	0.00047309600675647	0.000189238402702588	8.89564152943821e-07	9.50639834277657e-05	9.46192013512939e-05	9.46192013512938e-05	4.94100179014128e-07	9.46192013512939e-05	9.46192013512939e-05	4.44782076471911e-07
"Eristalinus_vicarians"	0.100793337035351	9.53403892954491e-05	5.58650262512749e-05	4.68605630039431e-05	1.86979961989586e-05	0.00190401695293996	0.00251983342588379	0.00163789172682446	0.000758787603179652	0.000254050593600596	0.000756953610810351	1.00075595002777	0.000629958356470947	0.000251983342588379	6.57235602956175e-07	0.000126320289095667	0.000125991671294189	0.000125991671294189	3.11633269982644e-07	0.000125991671294189	0.000125991671294189	3.28617801478088e-07
"Rhiparida_seychellensis"	0.100793337035351	9.53403892954492e-05	5.58650262512749e-05	4.68605630039431e-05	1.86979961989586e-05	0.00190401695293996	0.00251983342588379	0.00163789172682446	0.000758787603179652	0.000254050593600596	0.000756953610810351	0.000755950027765135	1.00062995835647	0.000251983342588378	6.57235602956175e-07	0.000126320289095667	0.000125991671294189	0.000125991671294189	3.11633269982644e-07	0.000125991671294189	0.000125991671294189	3.28617801478088e-07
"Geron_seychellarum"	0.100793337035351	9.53403892954491e-05	5.58650262512749e-05	4.68605630039431e-05	1.86979961989586e-05	0.00190401695293996	0.00251983342588379	0.00163789172682446	0.000758787603179652	0.000254050593600596	0.000756953610810351	0.000755950027765135	0.000629958356470947	1.00025198334259	6.57235602956175e-07	0.000126320289095667	0.000125991671294189	0.000125991671294189	3.11633269982644e-07	0.000125991671294189	0.000125991671294189	3.28617801478088e-07
