"Stillingia_lineata"	"Gaertnera_sp1_M_PL_080"	"Aphloia_theiformis"	"Syzygium_coriaceum"	"Euodia_chapelieri"	"Warneckea_trinervis"	"Nacoleia_sp1_M_PL_080"	"Chaetocnema_sp1_M_PL_080"	"Chrysomya_megacephala"	"Apis_mellifera"	"Villa_unifasciata"	"Brachymyrmex_sp1_M_PL_080"	"Phorinia_sp1_M_PL_080"	"Stomorhina_lunata"	"Ahasverus_advena"	"Allograpta_nasuta"	"Syritta_nigrofemorata"	"Episyrphus_sp1_M_PL_080"	"Lecithoceridae_sp1_M_PL_080"	"Mauritiborium_undulatus"	"Melanostoma_bituberculatum"	"Mordellidae_sp1_M_PL_080"	"Musca_domestica"	"Pachycerina_crinicornis"	"Pelecophora_intemipta"	"Polistes_hebraeus"	"Sarcophaga_arno"	"Technomyrmex_albipes"
"Stillingia_lineata"	1.00839584544047	0.000673997845026383	0.000221621070054036	0.000416873484992474	0.00039225535721466	4.16903256009463e-07	4.16903256009463e-05	0.00882574553732987	0.0175412837443446	1.58587728241502e-05	0.0087787734322723	9.4980458594587e-06	0.0131529892883539	1.32799219895137e-05	0.00876865952556927	0.00438829445599067	0.00876865952556927	3.96469320603755e-06	3.96469320603755e-06	0.00438432976278464	3.16601528648623e-06	0.00438432976278464	0.00438432976278464	0.00438432976278464	0.00438432976278464	3.96469320603755e-06	0.00438432976278464	0.00438432976278464
"Gaertnera_sp1_M_PL_080"	0.000911879437388636	1.00753992037555	1.68682078750814e-06	0.000965540764345678	0.000266375870202267	0.00041560683273235	0.041560683273235	0.00599345707955101	0.005942564186798	0.0237068216558954	2.40458299243246e-05	7.22923194646344e-08	1.18940796181126e-05	1.6140540952071e-05	7.9293864120751e-06	0.00593067010717988	7.92938641207509e-06	0.00592670541397384	0.00592670541397385	3.96469320603755e-06	2.40974398215448e-08	3.96469320603755e-06	3.96469320603755e-06	3.96469320603755e-06	3.96469320603755e-06	0.00592670541397385	3.96469320603755e-06	3.96469320603755e-06
"Aphloia_theiformis"	0.000728183515891834	4.09656476966261e-06	1.00804251947946	0.00132351396889218	2.25327054951786e-06	4.43301445196764e-07	4.43301445196764e-05	5.06985873641517e-05	1.26881585857665e-05	9.63897592861791e-08	0.0144289980178563	0.0432018222634055	9.4980458594587e-06	0.0288232734084185	6.33203057297246e-06	3.19011272630778e-06	6.33203057297246e-06	2.40974398215448e-08	2.40974398215448e-08	3.16601528648623e-06	0.0144006074211352	3.16601528648623e-06	3.16601528648623e-06	3.16601528648623e-06	3.16601528648623e-06	2.40974398215448e-08	3.16601528648623e-06	3.16601528648623e-06
"Syzygium_coriaceum"	0.00159801502580448	0.00273569883231275	0.00154409963037421	1.00239460562442	0.00149299739507676	0.000335593593026235	0.0335593593026235	0.0335924413892271	4.38839117385929e-05	6.43693842897118e-05	0.0167425311093882	6.6175698444609e-05	2.08436742496237e-05	0.0167506938927033	1.38957828330825e-05	2.30402374889692e-05	1.38957828330825e-05	1.60923460724279e-05	1.6092346072428e-05	6.94789141654123e-06	2.2058566148203e-05	6.94789141654123e-06	6.94789141654123e-06	6.94789141654123e-06	6.94789141654123e-06	1.6092346072428e-05	6.94789141654123e-06	6.94789141654123e-06
"Euodia_chapelieri"	0.0022554683039843	0.00113209744835963	3.94322346165625e-06	0.00223949609261514	1.00446879116225	1.21387034073308e-06	0.000121387034073308	0.100547801150595	4.58849324765227e-05	2.66375870202267e-05	5.69940345013899e-05	1.68995291213839e-07	2.94191517910995e-05	3.74375984043948e-05	1.9612767860733e-05	1.64657806854232e-05	1.9612767860733e-05	6.65939675505667e-06	6.65939675505667e-06	9.80638393036652e-06	5.63317637379464e-08	9.80638393036651e-06	9.80638393036652e-06	9.80638393036652e-06	9.80638393036652e-06	6.65939675505667e-06	9.80638393036652e-06	9.80638393036652e-06
"Warneckea_trinervis"	9.58877488821764e-06	0.00706531615644995	3.10311011637735e-06	0.00201356155815741	4.85548136293232e-06	1.00100458502004	0.100458502003521	0.000109248330665977	4.17274445756388e-05	0.00016624273309294	3.3687070098345e-05	1.32990433559029e-07	1.25070976802839e-07	3.36480195916628e-05	8.33806512018925e-08	4.1602373598836e-05	8.33806512018925e-08	4.1560683273235e-05	4.1560683273235e-05	4.16903256009463e-08	4.43301445196765e-08	4.16903256009462e-08	4.16903256009463e-08	4.16903256009463e-08	4.16903256009463e-08	4.1560683273235e-05	4.16903256009463e-08	4.16903256009463e-08
"Nacoleia_sp1_M_PL_080"	9.58877488821764e-05	0.0706531615644995	3.10311011637735e-05	0.0201356155815741	4.85548136293231e-05	0.0100458502003521	1.00458502003521	0.00109248330665977	0.000417274445756388	0.0016624273309294	0.00033687070098345	1.32990433559029e-06	1.25070976802839e-06	0.000336480195916628	8.33806512018925e-07	0.00041602373598836	8.33806512018925e-07	0.00041560683273235	0.00041560683273235	4.16903256009463e-07	4.43301445196765e-07	4.16903256009462e-07	4.16903256009463e-07	4.16903256009463e-07	4.16903256009463e-07	0.00041560683273235	4.16903256009463e-07	4.16903256009463e-07
"Chaetocnema_sp1_M_PL_080"	0.022554683039843	0.0113209744835963	3.94322346165625e-05	0.0223949609261514	0.0446879116224864	1.21387034073308e-05	0.00121387034073308	1.00547801150595	0.000458849324765227	0.000266375870202267	0.000569940345013899	1.68995291213839e-06	0.000294191517910995	0.000374375984043948	0.00019612767860733	0.000164657806854232	0.00019612767860733	6.65939675505667e-05	6.65939675505667e-05	9.80638393036651e-05	5.63317637379464e-07	9.80638393036651e-05	9.80638393036652e-05	9.80638393036652e-05	9.80638393036652e-05	6.65939675505667e-05	9.80638393036652e-05	9.80638393036652e-05
"Chrysomya_megacephala"	0.0806899052239851	0.0202047182351132	1.77634220200731e-05	5.26606940863115e-05	3.67079459812182e-05	8.34548891512776e-06	0.000834548891512776	0.000825928784577409	1.00152215398328	0.000475405134943839	0.000702782791180271	7.61289515145989e-07	0.00105247702466068	1.38520457820252e-06	0.000701651349773783	0.000469676958622852	0.000701651349773783	0.00011885128373596	0.00011885128373596	0.000350825674886892	2.5376317171533e-07	0.000350825674886892	0.000350825674886892	0.000350825674886892	0.000350825674886892	0.00011885128373596	0.000350825674886892	0.000350825674886892
"Apis_mellifera"	9.11879437388636e-05	0.100753992037555	1.68682078750814e-07	9.65540764345678e-05	2.66375870202267e-05	4.1560683273235e-05	0.0041560683273235	0.0005993457079551	0.000594256418679799	1.00237068216559	2.40458299243246e-06	7.22923194646344e-09	1.18940796181126e-06	1.6140540952071e-06	7.92938641207509e-07	0.000593067010717988	7.92938641207509e-07	0.000592670541397384	0.000592670541397384	3.96469320603755e-07	2.40974398215448e-09	3.96469320603755e-07	3.96469320603755e-07	3.96469320603755e-07	3.96469320603755e-07	0.000592670541397385	3.96469320603755e-07	3.96469320603755e-07
"Villa_unifasciata"	0.0504779472355658	0.00010219477717838	0.0252507465312486	0.0251137966640823	5.69940345013899e-05	8.42176752458627e-06	0.000842176752458626	0.00128236577628127	0.000878478488975338	2.40458299243246e-06	1.00121822689979	0.00108217485133923	0.000658408007420423	0.00114001317862752	0.000438938671613615	0.000220070481554916	0.000438938671613615	6.01145748108115e-07	6.01145748108115e-07	0.000219469335806808	0.000360724950446409	0.000219469335806808	0.000219469335806808	0.000219469335806808	0.000219469335806808	6.01145748108115e-07	0.000219469335806808	0.000219469335806808
"Brachymyrmex_sp1_M_PL_080"	7.28183515891834e-05	4.09656476966261e-07	0.100804251947946	0.000132351396889218	2.25327054951786e-07	4.43301445196765e-08	4.43301445196764e-06	5.06985873641518e-06	1.26881585857665e-06	9.63897592861792e-09	0.00144289980178563	1.00432018222634	9.4980458594587e-07	0.00288232734084185	6.33203057297247e-07	3.19011272630778e-07	6.33203057297246e-07	2.40974398215448e-09	2.40974398215448e-09	3.16601528648623e-07	0.00144006074211352	3.16601528648623e-07	3.16601528648623e-07	3.16601528648623e-07	3.16601528648623e-07	2.40974398215448e-09	3.16601528648623e-07	3.16601528648623e-07
"Phorinia_sp1_M_PL_080"	0.100839584544047	6.73997845026383e-05	2.21621070054036e-05	4.16873484992474e-05	3.9225535721466e-05	4.16903256009463e-08	4.16903256009462e-06	0.000882574553732986	0.00175412837443446	1.58587728241502e-06	0.00087787734322723	9.4980458594587e-07	1.00131529892884	1.32799219895137e-06	0.000876865952556927	0.000438829445599067	0.000876865952556927	3.96469320603755e-07	3.96469320603755e-07	0.000438432976278464	3.16601528648623e-07	0.000438432976278464	0.000438432976278464	0.000438432976278464	0.000438432976278464	3.96469320603755e-07	0.000438432976278464	0.000438432976278464
