"Clethrionomys_centralis"	"Alticola_argentatus"	"Microtus_gregalis"	"Sicista_tianshanica"	"Sorex_minutus"	"Sorex_asper"	"Apodemus_uralensis"	"Amalaraeus_penicilliger"	"Amphipsylla_primaris"	"Paraneopsylla_ioffi"	"Corrodopsylla_birulai"	"Frontopsylla_ornata"	"Amphipsylla_kuznetzovi"	"Neopsylla_mana"	"Rhadinopsylla_dahurica"	"Frontopsylla_elata"	"Amphipsylla_sibirica"	"Stenoponia_suknevi"	"Rhadinopsylla_angusta"	"Pectinoctenus_nemorosa"	"Palaeopsylla_soricis"	"Callopsylla_caspia"	"Ctenophthalmus_assimilis"
"Clethrionomys_centralis"	1.00739549264383	0.00206504618270689	0.000319410009794656	0.000134065219341842	9.31729553574361e-05	6.8774948335773e-05	2.50481416396394e-05	0.072278525340076	0.0166144985123876	0.00216868981842856	0.0009889037157256	0.0013899619727151	0.000177741113405806	0.0036509536244608	0.0025154535292134	0.000165290247299345	0.00024481964582647	8.37184380285335e-05	0.000405976611429071	8.19385496028276e-05	8.12543831718248e-05	0.000161960690135665	4.14818194538514e-07
"Alticola_argentatus"	0.00413009236541378	1.00563899923206	0.000169182851153958	3.42181176013141e-05	6.21578378077189e-05	5.53952696793693e-05	1.09644272938457e-05	0.0185690058121696	0.0458229970114522	0.0307276053928576	0.000984096425647191	0.000171966736572289	0.000170449971476905	0.00131064810056013	0.00227400788855326	0.000325270145607047	1.81833502905139e-06	0.000324787182329508	0.00016376506233291	0.000162284407372823	5.14818164027025e-07	6.64001988008646e-07	2.19717988511633e-07
"Microtus_gregalis"	0.00258016917002956	0.00068332294427118	1.00583956711662	0.00058523221292725	0.00015009680218689	0.000262550377589053	7.14773827137654e-08	0.0139210057950655	0.00137990743390829	2.67264601351305e-05	0.00265431018260707	0.00592825796188696	0.0470289720386832	0.0124208424556716	0.00131425286003444	0.00653464220350234	6.27588095511303e-07	0.00653185288758333	0.00196103524732739	3.19055026092918e-07	6.48870280171875e-07	4.14818194538514e-07	0.00130628515209951
"Sicista_tianshanica"	0.00245260489501841	0.000312995134529668	0.00132537883515877	1.00403564366263	0.000851308007370321	0.00112301525776532	6.43085347046759e-08	0.0105435124743958	5.74335359707832e-05	1.66571699229846e-05	0.0119711505778292	0.0709069914442692	0.0030174266069306	2.95670100849928e-05	8.53755863510296e-06	0.00443867032322214	5.96287343081567e-07	8.90415232914261e-06	5.58820346115328e-06	2.49083208872259e-07	2.70100181482718e-06	3.94309468652477e-07	1.72127121449191e-06
"Sorex_minutus"	0.0017045170068331	0.000568561398770605	0.000339925110835016	0.000851308007370321	1.00385448448905	0.00278216560334879	4.84847984006723e-08	0.00753211293815995	0.00153051857218519	2.58111187906355e-05	0.0828884619777213	0.0060134549476506	2.36428886405758e-05	2.08529918306497e-05	5.96877198494466e-06	6.41993180927967e-06	4.14693515868739e-07	2.52714213653202e-06	6.31968790592325e-06	2.29639756967598e-07	0.00295265020872568	2.74038103992459e-07	4.41461182902618e-07
"Sorex_asper"	0.00150098308297722	0.000604488732290662	0.000709346634187968	0.00133973750049196	0.00331907475487224	1.00262733557956	4.38166330196919e-08	0.00192547324161282	5.79196791899756e-05	0.00178059751837784	0.0741707743205255	0.0159513455048979	0.001796438488505	0.0035329494090629	6.02220689315481e-06	1.09524385705557e-05	3.65259659770019e-07	4.92117414664042e-06	0.00176107764337488	2.18937903571356e-07	9.88264237725149e-06	2.41315608195695e-07	9.21229395049309e-07
"Apodemus_uralensis"	0.00194749301248197	0.00042624211104825	6.87969808619993e-07	2.73311272494873e-07	2.06060393202857e-07	1.56096755132653e-07	1.00772595153925	0.000147401000326049	5.13309078638037e-05	1.70908542818395e-05	2.32325055340315e-06	2.75688268855465e-06	4.14871973943404e-07	7.60204684795088e-06	5.81335829817556e-06	4.55830233113887e-07	0.0755799160180995	2.98073562840427e-07	8.52896151707524e-07	0.0251933738670371	1.57156945227755e-07	3.13101770495493e-07	8.93467283922068e-10
"Amalaraeus_penicilliger"	0.0865394470866741	0.0111163826902498	0.00206336370783453	0.000690047014686152	0.000492958305866098	0.000105632314506189	2.2698902841355e-06	1.00644624388904	0.00192831779968699	0.000520623506871589	0.000156059351550919	0.000185383955577209	0.000114384116643642	0.00035316994642832	0.000243353453176406	3.39302846658646e-05	2.10398833516978e-05	2.39294124076102e-05	4.07747952973396e-05	8.80049423999516e-06	8.40642456365696e-06	1.39130943869251e-05	2.67969312705784e-06
"Amphipsylla_primaris"	0.0421804819375717	0.0581671513084148	0.000433685193514033	7.97036825716991e-06	0.000212398495731822	6.7375953343441e-06	1.67611127718543e-06	0.00408882080382608	1.00333909309882	0.00186498047207698	0.000116006679348799	7.14466938276047e-05	3.64445134752562e-05	0.000232769487704428	0.000236598209573911	2.83359930601377e-05	1.02978502921486e-05	2.49101156886479e-05	2.71618635825112e-05	1.27842488072031e-05	4.01541544015468e-06	6.78142796423982e-06	5.63227524044199e-07
"Paraneopsylla_ioffi"	0.0124324890973508	0.0880763620016471	1.89671652571894e-05	5.21975831687998e-06	8.08827685605169e-06	0.000467714555518602	1.26015515442135e-06	0.00249275494764784	0.00421124622727059	1.00271724034905	0.000132193821107077	3.90617680848966e-05	1.7881659915976e-05	0.000160129439055977	0.000229248531240351	3.04653578496279e-05	3.09270032565334e-06	2.94429332744217e-05	2.00146688404533e-05	1.51910869255362e-05	1.0231852792672e-06	1.99879245938116e-06	2.4632682152194e-08
"Corrodopsylla_birulai"	0.00961090798720817	0.00478209356837932	0.00319346693844913	0.00635967374447179	0.0440344954256645	0.033029172939609	2.90406319175394e-07	0.00126676301766723	0.000444088069382119	0.000224109837345592	1.00615709707868	0.00126202366856864	0.000228269775375774	0.000196208500565168	3.88609261810691e-05	5.18769951893e-05	2.33952355767003e-06	2.30470299946021e-05	6.87986874004858e-05	1.54866651842688e-06	0.0001302858028681	1.54516205582125e-06	4.14735966032354e-06
"Frontopsylla_ornata"	0.019649007887018	0.00121549216077232	0.0103744514333022	0.0547917661160262	0.00464676064136637	0.010332121520218	5.01251397919028e-07	0.00218879465732637	0.000397828181540072	9.63227690275291e-05	0.0018356707906453	1.00414580359158	0.000667672491285569	0.000236890471534553	6.51737174885843e-05	0.000312644785648014	4.77610058000905e-06	6.9336903482647e-05	4.64294272621667e-05	1.78745027277456e-06	1.5246445304564e-05	3.15900448344341e-06	1.34733135497431e-05
