"Coffea_macrocarpa"	"Sideroxylon_puberulum"	"Phyllanthus_phillyreifolius"	"Badula_platiphylla"	"Coffea_mauritiana"	"Warneckea_trinervis"	"Antirhea_borbonica"	"Grangeria_borbonica"	"Helichrysum_proteoides"	"Mimusops_erythroxylon"	"Aphloia_theiformis"	"Agauria_salicifolia"	"Psiadia_terebinthina"	"Bertiera_zaluzania"	"Gaertnera_rotundifolia"	"Stillingia_lineata"	"Faujasiopsis_flexuosa"	"Olea_lancea"	"Cordemoya_integrifolia"	"Euodia_chapelieri"	"Monimiastrum_globosum"	"Ochna_mauritiana"	"Erythrospermum_monticolum"	"Flagellaria_indica"	"Ocotea_laevigata"	"Polyscias_mauritiana"	"Nacoleia_sp3_M_PL_065"	"Apis_mellifera"	"Technomyrmex_albipes"	"Brachymyrmex_sp2_M_PL_065"	"Pheidole_megacephala"	"Pachycerina_crinicornis"	"Stomorhina_lunata"	"Psilopa_iceryae"	"Allograpta_nasuta"	"Chaetocnema_sp2_M_PL_065"	"Nacoleia_sp4_M_PL_065"	"Melanostoma_bituberculatum"	"Mordellidae_sp1_M_PL_065"	"Paragus_borbonicus"	"Lygistorrhina_sp2_M_PL_065"	"Panara_naso"	"Zosterops_mauritianus"	"Ahasverus_advena"	"Chrysomya_megacephala"	"Drosophila_sp2_M_PL_065"	"Eilema_squalida"	"Gelechioidea_sp1_M_PL_065"	"Ischiodon_aegyptius"	"Polistes_hebraeus"	"Scopariinae_sp1_M_PL_065"	"Trichoplusia_indicator"	"Achaea_finita"	"Acopsis_viridicans"	"Aganais_borbonica"	"Agrostis_atritegulator"	"Campopleginae_sp1_M_PL_065"	"Cephonodes_trochilus"	"Cerambycidae_sp1_M_PL_065"	"Eristalinus_flaveolus"	"Foudia_madagascariense"	"Hippotion_eson"	"Limonia_sp1_M_PL_065"	"Lygaeidae_sp2_M_PL_065"	"Mordellidae_sp2_M_PL_065"	"Ornidia_obesa"	"Peribaea_sp1_M_PL_065"	"Phelsuma_cepediana"	"Pycnonotus_jocosus"	"Spodoptera_littoralis"	"Tarundia_servillei"
"Coffea_macrocarpa"	1.00401666584137	0.000277531011132243	8.00852751793645e-05	4.00672612906642e-07	0.000655533107187412	9.07568056652642e-05	0.00206519461311437	0.000561580849541681	0.000299442804311173	0.00059705952609248	5.10640818872774e-05	0.000788193806909868	9.38873735670158e-06	3.67506680268799e-05	0.000296814959006823	9.45800898173386e-06	3.08743679916444e-05	4.01143880197449e-05	9.3809692925789e-06	0.000143410152613005	7.60694090125802e-08	9.08922398344824e-09	3.15524530990597e-09	0	2.06105704215494e-05	2.06105704215494e-05	0.0835912105308197	0.00251890803677098	0.00248595686253341	1.94586376495087e-06	3.47036192443913e-06	0.00247326845058593	4.56416454075481e-06	0.00245867349817328	9.67295972019003e-06	2.59582559697456e-05	2.90600382783756e-05	2.9558566423281e-06	6.16419404471757e-09	4.48562710382036e-07	4.4916420646676e-06	9.46573592971788e-08	2.25025144161278e-06	6.5958879779294e-06	5.12819919511952e-07	6.5958879779294e-06	0.0048976422723969	0.0024559916438291	1.18679573470846e-07	1.50016762774186e-06	5.3483890432541e-06	1.50016762774186e-06	7.50083813870928e-07	1.49721402155587e-06	7.50083813870928e-07	7.50083813870928e-07	0	7.50083813870928e-07	4.59276558532677e-06	3.94594807240279e-07	7.50083813870928e-07	7.50083813870928e-07	2.52128118149005e-06	1.02914559972148e-06	1.54104851117939e-09	3.2979439889647e-06	1.18225112271673e-07	4.08340755854221e-07	7.50083813870928e-07	7.50083813870928e-07	1.49721402155587e-06
"Sideroxylon_puberulum"	0.000307534363687081	1.0057018378481	2.72940759489885e-06	0.000137801173866056	0.000807761995639047	0.00107425944435671	0.000136512789802485	0.00100372056925807	5.20414265245243e-07	3.93020887576237e-05	0.000173695032764883	5.25425377567771e-05	0.00027426899672329	0.000259389026786674	5.89024511533535e-05	7.63237904154178e-07	2.2879937749648e-05	3.38928517917776e-07	3.19715313175014e-07	8.40592723899283e-08	4.55689161714795e-05	9.25921016806504e-08	9.18835977363525e-08	0	4.63449335154071e-08	4.63449335154071e-08	0.00552551768248154	0.0490772904100551	8.47245579913788e-05	9.40012840074195e-06	1.18274329112283e-07	5.56139202184886e-06	0.00273413497028877	1.53705637942092e-06	0.00273513717392803	1.5168229410226e-06	1.07533090213696e-05	1.30076916600705e-05	2.12001805947779e-06	2.77131138863869e-06	7.80621397867863e-09	2.75650793209057e-06	0.00815433922579542	1.30894335896341e-06	4.68023371013544e-06	1.30894335896341e-06	1.50016762774185e-06	7.54286777490425e-07	1.41700788859598e-08	0.00543622615053029	9.55924351674353e-06	0.00543622615053029	0.00271811307526514	2.60207132622621e-09	0.00271811307526514	0.00271811307526514	0	0.00271811307526514	3.02323759674028e-07	4.67069323633351e-06	0.00271811307526514	0.00271811307526514	3.10677690630403e-06	7.62664591654932e-07	5.30004514869447e-07	6.54471679481705e-07	9.54047380192723e-09	2.88210029762972e-06	0.00271811307526514	0.00271811307526514	2.60207132622621e-09
"Phyllanthus_phillyreifolius"	0.000109449876078465	3.36626936704192e-06	1.00619516290945	7.22314221263543e-07	0.000650128812995017	0.00086645343416639	7.23490255862138e-07	2.10771372331137e-06	6.54408886210326e-07	0.000108529047199527	0.000971860805563813	6.51578166437467e-07	8.09482639727329e-07	0.000540828336713751	2.30292671697218e-07	0.000217223764632429	9.42767664748058e-08	0.000215974025163174	0.000215880455314794	1.58971955304693e-08	7.8532441291037e-10	1.36605534058179e-07	4.99167327765292e-10	0	2.50990667841571e-09	2.50990667841571e-09	2.92841294039437e-05	9.99928300016385e-05	0.0572083206584204	8.14378406509982e-06	0.0436017903927428	3.01188801409885e-07	4.71194647746222e-08	7.48558787040809e-06	8.7960261989683e-06	4.18073821192085e-06	7.51925661741876e-06	3.43212112075883e-08	1.11125264809776e-08	8.15398600011335e-06	9.81613329315489e-09	1.49750198329587e-08	2.72940759489885e-08	5.11761492660485e-09	6.48248590210705e-06	5.11761492660485e-09	5.33901834529096e-07	2.67745777041072e-07	2.72212733460827e-06	1.8196050632659e-08	2.00734640315369e-08	1.8196050632659e-08	9.0980253163295e-09	3.27204443105163e-09	9.09802531632951e-09	9.0980253163295e-09	0	9.09802531632951e-09	8.34838824611748e-07	3.76718884420169e-06	9.09802531632951e-09	9.0980253163295e-09	2.50049543459622e-06	3.14255888249352e-09	2.7781316202444e-09	2.55880746330242e-09	2.71529705790536e-06	6.0092037412639e-06	9.09802531632951e-09	9.09802531632951e-09	3.27204443105163e-09
"Badula_platiphylla"	6.31829889583551e-07	0.000196101670501695	8.3343948607332e-07	1.00823754325269	8.75747036440149e-07	1.07564059737183e-06	1.43812451569123e-07	0.000195365844751063	0.000344856139999233	3.37415007235983e-07	0.00034273178835614	5.53664341937171e-08	0.000195152038235394	3.99704299610428e-07	8.45198708215937e-08	2.45694167122822e-07	0.000195137976461453	2.86840627502078e-07	9.76268135255296e-08	1.0892420187023e-07	0.000388596605451876	6.56958981738876e-08	6.53780995740012e-08	0	1.08574838939996e-07	1.08574838939996e-07	5.82098018255973e-06	2.94866984825481e-05	2.58711055842654e-05	0.0581721309512071	3.61157110631772e-08	1.30289806727995e-05	0.0233157963271126	1.51371051181238e-05	4.44539760316749e-06	3.46153890027064e-06	1.1614767157215e-08	6.78487469349545e-06	0.0155113468192722	1.96073391362105e-06	5.17284209998849e-06	1.96134298722003e-06	1.59001354460834e-06	1.87821935159097e-09	7.74787533847801e-09	1.87821935159097e-09	3.08209702235878e-09	6.98725860469091e-09	6.35597199772966e-09	1.06000902973889e-06	1.86062709286726e-06	1.06000902973889e-06	5.30004514869447e-07	1.72428069999617e-06	5.30004514869447e-07	5.30004514869447e-07	0	5.30004514869447e-07	2.59550005566141e-09	4.67669824944273e-09	5.30004514869447e-07	5.30004514869447e-07	3.36825783246211e-09	6.50459921538175e-06	0.00387783670481806	9.39109675795485e-10	3.07117708903528e-09	4.44115888456031e-09	5.30004514869447e-07	5.30004514869447e-07	1.72428069999617e-06
"Coffea_mauritiana"	0.00103372528441092	0.00114950745533249	0.000750148630378865	8.75747036440149e-07	1.00204915539089	0.00111557333611511	0.000577269768866993	0.000737158634055717	9.55539906446086e-07	0.000209607157986307	0.000504267388027147	0.000799107266585156	0.000330902156746708	0.000383340456284675	0.000193898609966202	8.88333884845068e-05	1.52092583118617e-07	8.7938870519995e-05	8.78703513310459e-05	1.7720711562639e-07	1.66132837785069e-07	1.6688677726539e-07	1.1094869251941e-07	0	5.07000387628223e-08	5.07000387628223e-08	0.0233656811208069	0.0310153423821814	0.0232856431027272	4.25752980057872e-06	3.25064406497508e-05	6.08400465153868e-06	9.96797026710414e-06	5.48153511592165e-06	0.00772479999397731	8.07136916776859e-06	0.0115838994736689	1.34373439121904e-05	1.34730313298484e-08	6.64027363563609e-06	1.43330985966913e-08	3.32846077558229e-06	9.32033071891207e-06	4.30885799924892e-06	5.96073620873074e-06	4.30885799924892e-06	5.04256236298009e-06	2.53014153727137e-06	1.1187616949196e-06	6.21355381260805e-06	7.02055841957825e-06	6.21355381260805e-06	3.10677690630403e-06	4.77769953223043e-09	3.10677690630403e-06	3.10677690630402e-06	0	3.10677690630402e-06	1.61236275374082e-06	4.8503188526744e-06	3.10677690630402e-06	3.10677690630402e-06	0.00385403521304189	5.06975277062057e-09	3.36825783246211e-09	2.15442899962446e-06	1.11041735605633e-06	4.25933840316306e-06	3.10677690630402e-06	3.10677690630402e-06	4.77769953223043e-09
"Warneckea_trinervis"	0.000161783870968514	0.0017281564974434	0.00113015665326051	1.21594154485511e-06	0.00126108290169534	1.00235155092551	2.01461738889752e-06	0.0010153503339246	7.23615901944293e-07	6.70034623938747e-05	0.000780018733391824	1.49706256786592e-06	0.000311059500702571	0.000608016014337846	6.32009901761489e-05	0.000352392151063458	1.66559943450816e-07	0.000132443860879192	0.000132383447972123	6.3779941057549e-08	2.11183673140035e-07	3.25637008254308e-07	1.04577821319011e-07	0	4.38907508428912e-08	4.38907508428912e-08	8.15440371696616e-05	0.0525125460010721	0.0350816137126126	6.5739246648499e-06	4.8973454974622e-05	5.26689010114695e-06	1.26710203884021e-05	4.83303256554366e-06	0.00437934497559516	2.5842924049377e-06	1.45917855371468e-05	1.41667866111943e-05	1.87067929977709e-08	1.63253006719054e-05	1.08542385291644e-08	3.13733463957033e-06	1.40120797090005e-05	1.40446644835886e-06	0.00436245512330355	1.40446644835886e-06	7.89189614480557e-07	3.97783804293157e-07	4.42118373870594e-06	9.34138647266703e-06	9.67000318023431e-06	9.34138647266703e-06	4.67069323633351e-06	3.61807950972146e-09	4.67069323633351e-06	4.67069323633351e-06	0	4.67069323633351e-06	5.15411249183651e-07	0.00435805022141525	4.67069323633351e-06	4.67069323633351e-06	4.8503188526744e-06	5.55199811502719e-09	4.67669824944273e-09	7.02233224179431e-07	4.40490188829322e-06	6.75573349264273e-06	4.67069323633351e-06	4.67069323633351e-06	3.61807950972146e-09
"Antirhea_borbonica"	0.00403204662560424	0.000240522534413902	1.03355750837448e-06	1.78053511466533e-07	0.000714714951930563	2.20648571164967e-06	1.00248860150316	0.000594742233555256	2.15544847488973e-06	0.000713600438732897	8.07592645093434e-07	0.000949746111752767	7.96535381274058e-07	6.97379340761631e-07	0.000357646385401164	1.22798389567924e-07	1.53489423486219e-07	2.4483588662253e-07	1.21068089314297e-07	5.99821887787952e-07	5.8419989532732e-08	3.44586484338205e-10	2.66976024647408e-10	0	1.06609329946015e-07	1.06609329946015e-07	0.10072910846112	7.48475077929245e-05	3.20830436682888e-05	2.77794990527837e-08	4.47874920295609e-08	1.27931195935218e-05	3.50519937196392e-06	9.90142378465856e-06	1.01472410768068e-05	2.74677252052449e-05	3.41488776679805e-05	2.85600193551087e-06	2.73928479179282e-09	1.25702934215377e-08	3.23317271233459e-08	8.00928073942223e-09	1.95018271146407e-06	7.9476974533592e-06	1.11283960072063e-08	7.94769745335921e-06	1.96685201248987e-05	9.86425115683877e-06	1.55220919381596e-09	1.30012180764272e-06	5.66421174814529e-06	1.30012180764272e-06	6.50060903821358e-07	1.07772423744486e-08	6.50060903821358e-07	6.50060903821357e-07	0	6.50060903821358e-07	5.4892341440992e-06	9.59341613760725e-09	6.50060903821358e-07	6.50060903821357e-07	2.74890366127139e-06	5.11631411620729e-09	6.84821197948205e-10	3.9738487266796e-06	1.53497986959905e-09	7.74865934179589e-09	6.50060903821358e-07	6.50060903821358e-07	1.07772423744486e-08
"Grangeria_borbonica"	0.00109641975386709	0.00176846005059755	3.01101960473053e-06	0.000241881522072745	0.000912672594545173	0.00111205036572695	0.000594742233555256	1.00231293758683	0.000281497811171796	0.000170904757357094	0.000186602530130354	0.000227405109684122	0.000585369588827555	0.000278565056468944	8.58586912226606e-05	1.03949528185232e-06	4.02598528957309e-05	4.91077622848387e-07	3.52702570954121e-07	4.01962636699778e-05	7.99745566683686e-05	1.97248434735398e-07	1.96105629097402e-07	0	3.99620632847215e-05	3.99620632847215e-05	0.0240728999296175	0.0527010188293082	9.34661813028422e-05	1.69172133367831e-05	1.3047751620499e-07	0.00479544759416659	0.00479847340010212	1.10700041515413e-05	2.92965590026478e-05	9.38823801006771e-06	1.67327951662071e-05	0.00479047983807832	3.72125418573453e-06	5.89267696134502e-06	4.22246716757694e-06	5.88316887292206e-06	1.43388652751153e-05	1.90797091605912e-06	4.84799528114031e-06	1.90797091605912e-06	5.3483890432541e-06	4.68400770512595e-06	2.2856112759924e-08	9.55924351674353e-06	0.009545837500827	9.55924351674353e-06	4.77962175837176e-06	1.40748905585898e-06	4.77962175837176e-06	4.77962175837176e-06	0	4.77962175837176e-06	1.31465197966995e-06	4.83500159011716e-06	4.77962175837176e-06	4.77962175837176e-06	3.51027920978913e-06	1.34199509652436e-06	9.30313546433633e-07	9.53985458029562e-07	1.29936910231541e-08	3.09516729409937e-06	4.77962175837176e-06	4.77962175837176e-06	1.40748905585898e-06
"Helichrysum_proteoides"	0.000613857748837905	9.62766390703699e-07	9.81613329315489e-07	0.000448312981999003	1.24220187837991e-06	8.32158287235937e-07	2.26322089863422e-06	0.000295572701730385	1.00646762767659	0.000722148999682102	3.03349159292945e-05	8.64074328060354e-07	3.55401164451239e-07	3.80689341771927e-07	3.25504203441546e-07	1.16047930739837e-07	0.000316042317336608	0.000314917732335672	1.14983490771191e-07	0.000295002867160432	3.72188201169065e-07	1.92195106681324e-10	1.19184662202223e-10	0	0.000294190499291454	0.000294190499291454	9.16065601828135e-05	1.76334490704209e-05	3.04706250543656e-05	0.00505845513984898	4.25365776036712e-08	0.0353028599149745	2.23312920701439e-05	0.0251842199075921	2.6500286561006e-08	0.0100924512382922	3.78987620892464e-08	1.41815109079252e-06	6.89712279998466e-06	7.9058090472563e-09	0.0150970144151489	3.57553986606667e-09	7.80621397867863e-09	7.23342674314545e-09	5.06867864396943e-09	7.23342674314545e-09	2.99442804311173e-06	1.62473573795775e-05	1.46020888958203e-09	5.20414265245243e-09	2.81497811171796e-06	5.20414265245243e-09	2.60207132622621e-09	0.00503233813838296	2.60207132622621e-09	2.60207132622621e-09	0	2.60207132622621e-09	5.55499230524694e-06	3.61807950972146e-09	2.60207132622621e-09	2.60207132622621e-09	4.77769953223043e-09	1.05347439112202e-05	1.72428069999617e-06	3.61671337157273e-09	1.45059913424797e-09	4.22988157524364e-09	2.60207132622621e-09	2.60207132622621e-09	0.00503233813838296
"Mimusops_erythroxylon"	0.00188303388998398	0.000111859791079391	0.000250451647383524	6.74830014471966e-07	0.000419214315972614	0.00011854458731224	0.00115273917026083	0.00027607691573069	0.00111099846104939	1.00387492585759	0.000132226164626102	0.000439980559431131	4.79115421618252e-07	7.36788532036787e-05	0.000165681663009096	2.95202212554998e-05	4.32403355655057e-07	2.97543928808397e-05	2.93372184601799e-05	6.05297002171047e-07	2.75751809529655e-08	1.86883498519184e-08	1.91490692601286e-10	0	3.74145480399281e-07	3.74145480399281e-07	0.0466584902248433	4.82489155482825e-05	0.00777436289194768	6.69580951129938e-06	1.08529047199527e-05	4.48974576479137e-05	1.65451085717793e-06	3.33739536527779e-05	5.89295019153942e-06	0.0386216840560565	1.68365580638897e-05	1.3290254423185e-06	1.03820002226456e-08	1.11179945129743e-06	1.66649769157408e-05	5.74472077803857e-09	9.06971279022084e-07	3.68181473353547e-06	8.84414014877399e-07	3.68181473353547e-06	9.18553117065353e-06	4.62303043543532e-06	3.69937183186343e-07	6.04647519348057e-07	2.6293039593399e-06	6.04647519348057e-07	3.02323759674028e-07	5.55499230524694e-06	3.02323759674028e-07	3.02323759674028e-07	0	3.02323759674028e-07	0.00772211481428919	5.15411249183652e-07	3.02323759674028e-07	3.02323759674028e-07	1.61236275374082e-06	1.44134451885019e-08	2.59550005566141e-09	1.84090736676774e-06	3.69002765693747e-07	8.18653924485319e-07	3.02323759674028e-07	3.02323759674028e-07	5.55499230524694e-06
