"Dillenia_ferruginea"	"Gastonia_crassa"	"Erythroxylum_sechellarum"	"Nephrosperma_vanhoutteanum"	"Psychotria_pervillei"	"Roscheria_melanochaetes"	"Memecylon_eleagni"	"Aphloia_theiformis"	"Campnosperma_seychellarum"	"Cinnamomum_verum"	"Paragenipa_wrightii"	"Lasioglossum_mahense"	"Apis_mellifera"	"Nectarinia_dussumieri"	"Lygistorrhina_sp1_M_PL_102"	"Phelsuma_sp1_M_PL_102"	"Ornidia_obesa"	"Unidentified_sp1_M_PL_102"	"Mabuya_sechellensis"	"Neavella_albipectus"	"Cratopus_aurostriatus"	"Pachycerina_seychellensis"	"Parasarcophaga_hirticeps"	"Polistes_olivaceus"	"Unidentified_sp2_M_PL_102"	"Dichaetomyia_fasciculifera"	"Foudia_madagascariensis"	"Plagiostenopterina_cyanosoma"	"Scaptodrosophila_sp1_M_PL_102"	"Unidentified_sp3_M_PL_102"	"Unidentified_sp4_M_PL_102"	"Unidentified_sp5_M_PL_102"
"Dillenia_ferruginea"	1.00436287140436	0.000626945450035886	0.00130042136664311	0.00115075548860578	0.000613423423908768	1.78848266892327e-06	0.00120612152861808	0.000410490471247568	3.77274124163755e-07	0.000315391112571181	0.000112424098227827	0.0466824132989714	0.0393484343797394	5.09547004613053e-05	1.22289410187001e-05	4.08220461929602e-05	0.012314714137427	4.49710756003196e-05	9.21978602993951e-06	1.56050563997173e-05	0.0024557221478454	1.04033709331449e-05	2.51516082775837e-08	3.6879144119758e-06	2.10409725755679e-08	5.20168546657244e-06	1.8439572059879e-06	5.20168546657244e-06	3.40790791060426e-06	1.0520486287784e-08	1.0520486287784e-08	5.20168546657245e-06
"Gastonia_crassa"	0.000756022454455039	1.00617891742075	0.000224789143681052	0.00112230624967191	0.00163259953173234	1.58667618535504e-06	0.00010165659224315	6.73514552026778e-07	2.8924358975534e-07	7.35642458841847e-05	8.60502827000587e-06	0.0149406200512611	0.00301175989450205	0.0326344773049049	1.19164172791283e-05	0.0266577753140717	2.02054365608033e-05	3.44778358988366e-05	0.0147967487855992	2.69746972417263e-06	7.75083220426113e-06	1.79831314944842e-06	1.92829059836893e-08	0.00591869951423968	1.86667786512358e-08	8.99156574724209e-07	0.00295934975711984	8.99156574724209e-07	9.06999739851299e-06	9.3333893256179e-09	9.3333893256179e-09	8.9915657472421e-07
"Erythroxylum_sechellarum"	0.0021326910412947	0.000305713235406231	1.00483997440845	0.000814517294574104	0.000558057545254115	0.000338730175606931	0.000691347187756844	1.39393631762624e-06	0.000168801894165389	0.000168960735255468	8.08226469293728e-05	0.020271760315002	0.0282879264252805	3.7793599584672e-05	3.0491701150888e-05	2.52401416898675e-05	4.18180895287873e-05	0.0201211857845144	4.49578287362105e-06	0.0120580796929014	9.48861859590984e-06	0.00803871979526759	1.12534596110259e-05	1.79831314944842e-06	3.98506088949331e-06	0.00401935989763379	8.9915657472421e-07	0.0040193598976338	3.10031969585619e-06	1.99253044474666e-06	1.99253044474666e-06	0.0040193598976338
"Nephrosperma_vanhoutteanum"	0.00248320921225458	0.0020083374994129	0.00107173328233435	1.00220312116699	0.000699989561252564	0.00107765919190351	0.000228469370837393	1.28180129198541e-06	8.88788577018667e-05	0.000222806815362167	1.55233416680423e-05	0.0476751989496486	0.00543316958381479	9.99751030436337e-05	0.0106192374274878	0.0211521749521843	3.84540387595622e-05	0.0105943598380625	2.95343749913661e-05	1.28607993880122e-05	0.00528080987713472	8.57386625867478e-06	5.92525718012444e-06	1.18137499965465e-05	1.26783434341589e-05	4.28693312933739e-06	5.90687499827323e-06	4.28693312933739e-06	3.88883089584758e-06	6.33917171707945e-06	6.33917171707945e-06	4.28693312933739e-06
"Psychotria_pervillei"	0.00139724224334775	0.00308379911549442	0.000775079923964048	0.000738877870211039	1.00335731747205	0.000188416983868383	0.000156899167080819	0.000187093631136151	9.37670816999809e-05	0.000122217462813551	2.99149347462444e-07	0.0280412120972003	0.000104702271611855	0.050267635844986	1.99693489831787e-05	9.71853001700072e-05	0.00561280893408452	0.0111770361386377	4.53499869925649e-05	9.30095908756858e-06	7.29673880645184e-06	6.20063939171238e-06	6.25113877999872e-06	1.8139994797026e-05	2.21667039845156e-06	3.10031969585619e-06	9.06999739851298e-06	3.10031969585619e-06	0.00557420731928915	1.10833519922578e-06	1.10833519922578e-06	3.10031969585619e-06
"Roscheria_melanochaetes"	4.31339937799142e-06	3.17335237071008e-06	0.000498132611186664	0.0012044426262451	0.000199500335860641	1.00809059522404	6.47202921456321e-07	3.92209015554971e-08	9.97321428388811e-05	3.75328143340874e-07	5.86571198677514e-08	7.28343353988183e-05	2.0529991953713e-05	1.00776840756138e-05	0.0652420697991076	2.54406873722484e-05	1.17662704666491e-06	0.0118880714263946	4.66669466280895e-08	5.97759133423997e-06	6.34969220336723e-06	3.98506088949331e-06	6.64880952259207e-06	1.86667786512358e-08	0.011859889355577	1.99253044474665e-06	9.33338932561789e-09	1.99253044474666e-06	1.10833519922578e-06	0.00592994467778849	0.00592994467778849	1.99253044474666e-06
"Memecylon_eleagni"	0.00449554387939465	0.00031421128511519	0.00157124360853828	0.000394628913264588	0.000256744091586795	1.00022269679613e-06	1.00199742770744	0.000611183448533002	3.22601456106565e-07	0.000249778084177422	0.000208926258810831	0.00939591983431596	0.0731241905837909	2.30028638036547e-05	4.2187088528255e-06	1.66253346685266e-05	0.0183355034559901	3.84540935679026e-05	4.62075419287044e-06	1.88549233024594e-05	1.30417354495952e-05	1.25699488683063e-05	2.15067637404377e-08	1.84830167714818e-06	1.17673258446604e-08	6.28497443415312e-06	9.24150838574089e-07	6.28497443415312e-06	1.42635606437108e-06	5.88366292233019e-09	5.88366292233019e-09	6.28497443415313e-06
"Aphloia_theiformis"	0.00420752733028757	5.72487369222762e-06	8.71210198516402e-06	6.08855613693069e-06	0.000841921340112679	1.66688831610862e-07	0.00168075448346576	1.00334737618134	8.05172702617164e-08	1.83840233614072e-06	8.19625550257742e-07	0.000234318660753085	0.00028686894259021	4.22812835074413e-05	7.48758125270322e-08	2.79720903404566e-07	0.100421285440245	9.5976586151966e-06	8.41893190033473e-08	1.04545223821968e-07	1.02943068134888e-05	6.96968158813121e-08	5.36781801744776e-09	3.36757276013389e-08	1.96104507777485e-09	3.48484079406561e-08	1.68378638006695e-08	3.48484079406561e-08	4.67734077840377e-06	9.80522538887426e-10	9.80522538887426e-10	3.48484079406561e-08
"Campnosperma_seychellarum"	5.15607969690466e-06	3.27809401722719e-06	0.00140668245137824	0.000562899432111822	0.000562602490199886	0.000565148809420326	1.18287200572407e-06	1.07356360348955e-07	1.00699340105332	4.29539269626702e-07	1.21923225431499e-07	7.07516901648967e-05	4.26731289010247e-05	2.82361804929046e-05	4.24937095543808e-05	1.19372874371755e-05	3.22069081046866e-06	0.0336134055562878	4.82072649592234e-08	1.68801894165389e-05	2.97520439420102e-06	1.12534596110259e-05	0.067132893403555	1.92829059836894e-08	6.64880952259208e-06	5.62672980551297e-06	9.64145299184467e-09	5.62672980551297e-06	3.12556938999936e-06	3.32440476129604e-06	3.32440476129604e-06	5.62672980551297e-06
"Cinnamomum_verum"	0.00431034520513947	0.00083372812002076	0.0014080061271289	0.00141110983062705	0.000733304776881304	2.12685947893162e-06	0.000915852975317215	2.45120311485429e-06	4.29539269626702e-07	1.0003875412295	9.61142345348281e-05	0.067028208841335	0.0336399820871898	6.36387956682663e-05	1.49914080100361e-05	5.17768491468776e-05	7.35360934456287e-05	5.12010809395028e-05	1.22607076473641e-05	1.68960735255468e-05	1.79399309311116e-05	1.12640490170312e-05	2.86359513084468e-08	4.90428305894565e-06	2.5021876222725e-08	5.63202450851561e-06	2.45214152947282e-06	5.63202450851561e-06	4.07391542711836e-06	1.25109381113625e-08	1.25109381113625e-08	5.63202450851562e-06
