"Barnadesia_spinosa"	"Siphocampylus_paramicola"	"Brachyotum_lindenii"	"Disterigma_codonanthum"	"Puya_clava-herculis"	"Siphocampylus_giganteus"	"Macleania_rupestris"	"Guzmania_candelabrum"	"Desfontainea_spinosa"	"Guzmania_bakeri"	"Espeletia_sp1_M_PL_068"	"Gaultheria_erecta"	"Disterigma_sp1_M_PL_068"	"Tillandsia_orbicularis"	"Gaiadendron_punctatum"	"Racinaea_tetrantha"	"Brachyotum_ledifolium"	"Vaccinium_floribundum"	"Bomarea_sp1_M_PL_068"	"Brachyotum_sp1_M_PL_068"	"Fuchsia_corollata"	"Bomarea_linifolia"	"Centropogon_sp1_M_PL_068"	"Elleanthus_sp1_M_PL_068"	"Passiflora_mixta"	"Tillandsia_complanata"	"Tristerix_longebracteatus"	"Gaultheria_insipida"	"Bejaria_aestuans"	"Diplostephium_sp1_M_PL_068"	"Pernettya_prostrata"	"Eriocnemis_mosquera"	"Aglaeactis_cupripennis"	"Pterophanes_cyanopterus"	"Chalcostigma_herrani"	"Metallura_tyrianthina"	"Eriocnemis_derbyi"	"Lafresnaya_lafresnayi"	"Coeligena_lutetiae"	"Ensifera_ensifera"
"Barnadesia_spinosa"	1.00407018062276	0.00219454942572897	0.000216772206013167	0.000469277311105446	6.62019708250505e-05	0.0012910742429575	0.000153730824818704	0.000180766801429498	6.68338378219898e-05	6.82215829625593e-05	7.96545620629826e-07	0.000179535886245583	0.000133610562250339	1.73449031391653e-05	4.97841012893641e-07	0.000188059640608494	0.000170486535149766	5.6962989629258e-05	0.000173795883859725	1.10376656340143e-05	0.000128265500610727	7.93383098272812e-06	0.000189559855822877	6.35702160644037e-06	1.58872481238061e-06	2.92450074521282e-05	5.5511386797789e-07	2.45643634245543e-05	1.57680937628775e-06	1.57680937628775e-06	4.97841012893641e-08	0.00362666156546183	0.0590284812278175	8.74304342065177e-05	2.88747787478312e-05	0.0127475812480978	0.0127588263312944	0.0127226730583283	9.45321178591196e-06	1.19154360928545e-07
"Siphocampylus_paramicola"	0.00247955584465481	1.00268515539667	0.000306989375375102	0.000240249224768047	0.00154442610289567	0.000955085323276337	0.00024280483696079	0.000210349633529935	0.000111078487788872	0.000114452394249179	0.000108775298381139	4.23817248974136e-05	3.73175791758964e-05	3.81822423071433e-05	6.79845614882119e-05	8.57244949495772e-05	0.000161008919287101	2.93619362806084e-05	0.000135233472621547	2.42977905590912e-05	3.93678757445876e-05	2.41540208338863e-05	0.000157292100304838	2.06829078968733e-05	3.49734300958492e-06	1.30172965344001e-05	0.000199440820675496	9.40241387218222e-06	3.47111293701303e-06	3.47111293701303e-06	6.79845614882118e-06	0.00798355975512997	0.0340781776273823	0.0314119292563906	0.00394310456631629	0.00135405801614774	0.0130811871795639	0.0091529619846092	4.86032383528449e-06	2.62300725718869e-07
"Brachyotum_lindenii"	0.000369787880845991	0.000463493762821232	1.00167775590617	0.000883712024750998	0.000153236400253969	0.000314664419098773	0.000797367007468497	0.000691285075075282	0.000672418829748889	0.000701569072667458	0.000763006683452846	0.00019478816628888	0.000205279336350857	0.0003214998011457	0.000476879177158029	8.86002399061018e-05	0.000162589139767842	0.000194099612485286	9.884395281235e-05	0.000204590782547264	6.1103008301975e-06	0.000193824190963848	2.95578905456603e-05	0.000164596936314239	2.94481155159789e-05	8.7819474709546e-05	2.17865820133648e-07	4.78256284765217e-05	2.92272546496091e-05	2.92272546496091e-05	4.76879177158029e-05	0.0672226856941009	0.00595808535686399	3.43138666710495e-05	0.0276589922751657	7.16095955737719e-05	4.82836522729242e-05	1.00713742370628e-05	3.85058655200051e-06	2.20860866369842e-06
"Disterigma_codonanthum"	0.000927889228776678	0.000420436143344081	0.0010243025741432	1.00149219936814	0.000111209380182078	0.000181034987821231	0.000677417276182507	0.000630022344315221	0.000521761338902716	0.000543514413430657	0.000316877347984835	0.000560037464716131	0.000461185210580963	0.000241602772460201	0.000198048342490522	0.00040609184035769	0.000110125543404356	0.000252599472973478	9.88289745286334e-05	0.00015374721883831	0.000185182799634986	0.000129624276276416	5.49035740290557e-05	0.000107660387870943	2.21298623732724e-05	0.000127379263564949	1.73650026388772e-07	8.12924325975828e-05	2.19638884054728e-05	2.19638884054728e-05	1.98048342490522e-05	0.0505169433325875	9.54436229102196e-05	2.73498791562316e-05	0.0114868038644503	0.0319735511412359	0.0068800585137098	1.77502224964718e-05	1.05406938765995e-05	1.65973967799543e-06
"Puya_clava-herculis"	0.000159988096160539	0.00330335583119352	0.000217084900359789	0.000135922575778096	1.00402534325658	0.000489842995605325	0.000280666709678438	0.000135436022652113	0.000141118476002953	0.000147204530395268	7.12190202510498e-07	3.09231902837265e-05	4.30659663765144e-05	6.74063374669909e-05	4.45118876569061e-07	1.88268864140026e-05	0.000171820752131575	3.07521659316609e-05	2.40657771759265e-05	4.28949420244487e-05	2.93295557319543e-06	3.06837561908346e-05	6.72338715106371e-06	2.4555907330199e-05	6.17415502331036e-06	1.84177514523197e-05	0.000532266540629652	7.87167580700398e-08	6.12784886063553e-06	6.12784886063553e-06	4.45118876569061e-08	0.0140940523794617	0.00294840373712429	0.0838319801491703	2.58168948410055e-05	1.77865326148295e-05	5.71862508063797e-05	3.23222810397794e-05	2.08972341602111e-06	4.63061626748277e-07
"Siphocampylus_giganteus"	0.00320924168963721	0.00210118771120794	0.000458511010686784	0.000227586841832405	0.000503838509765477	1.00147350263407	0.00023723050127516	0.000226442727560762	0.000223131574517112	0.000171995363599542	8.00767826354751e-05	3.74874809071845e-05	4.48241218531762e-05	6.93712447128693e-05	5.00479891471719e-05	6.08780558641507e-05	0.00021936594071562	3.68086965985615e-05	0.000176215014855565	4.41453375445532e-05	0.000230743205364139	3.65371828751123e-05	4.82023821795406e-05	3.02307060830333e-05	6.35413278798895e-06	1.90551872379617e-05	5.5239767220675e-05	5.14055577644179e-06	6.30647679207903e-06	6.30647679207903e-06	5.00479891471719e-06	0.0145048966217818	0.0632285800985205	0.00870026333725632	0.00290278337053597	7.05935680967882e-05	0.00866876664765103	6.16064208170868e-05	0.00287213438548244	4.76559959099171e-07
"Macleania_rupestris"	0.000431438121265395	0.000603095885354219	0.00131179733486753	0.000961495488775172	0.000325935533820122	0.000267840888536471	1.0009179042176	0.000856737712148291	0.000803536051251341	0.000837363841113625	0.000180748704077526	0.000225478563832543	0.000269298038119516	0.000373164649778309	0.000112967940048454	0.000179974648667485	0.000175052522470063	0.000193648939208314	0.000148294497639262	0.000237468413495288	1.94613191979554e-05	0.000180917089358622	8.04384578310633e-05	0.000146993030287867	3.41804121619702e-05	0.000108138102137112	2.08320668891123e-05	1.76627189296911e-05	3.39240590707554e-05	3.39240590707554e-05	1.12967940048454e-05	0.0780253358627374	8.14631098228304e-05	0.00328105053503519	0.00655214052281032	0.00331028096091978	0.00973829783450802	1.41551929317305e-05	4.81346042359337e-06	2.56353091214776e-06
"Guzmania_candelabrum"	0.000561668275870226	0.000578461492207321	0.00125912638674426	0.000990035112495348	0.000174132029124145	0.000283053409450952	0.000948531038449894	1.0009074733467	0.000826147368585172	0.000860476076983148	0.000100893027269993	0.000227726849281772	0.000276201554177042	0.000378723447598973	6.30581420437456e-05	0.000206824683130009	0.000172455704413772	0.000192531125394986	0.000171792453082504	0.000241005830290256	2.15012690393221e-05	0.000178452835840272	0.000102934927497379	0.000144023431513092	3.46895761482916e-05	0.000110327357758895	2.53768075814317e-07	1.33449589817317e-05	3.44294043271794e-05	3.44294043271794e-05	6.30581420437456e-06	0.0791876299525126	8.91041424080116e-05	3.99684719407549e-05	0.00365737223853724	0.00366035528422572	0.0143515567149539	1.64776908514452e-05	5.0347964601715e-06	2.60171821112187e-06
"Desfontainea_spinosa"	0.000232581755620524	0.000342121742389725	0.00137173441268773	0.000918299956468781	0.000203210605444252	0.000312384204323957	0.000996384703551663	0.000925285052815393	1.00101661589703	0.00097659893503067	1.96035294442786e-06	0.000202743922585952	0.000282863986660501	0.000443181247661572	1.22522059026741e-06	0.000141023231412591	0.000201688929261412	0.000201904366255542	0.000140307779444696	0.000282024430330091	0.000241484284962578	0.000201568543723378	5.96896511421197e-05	0.000161279339390507	4.05936567585594e-05	0.000121035524264693	2.27004213152486e-07	2.90433325108725e-07	4.02892043328702e-05	4.02892043328702e-05	1.22522059026741e-07	0.0926651699656014	6.76368775708319e-05	3.57531635715166e-05	7.106279423551e-05	8.73138583626316e-05	0.00405637303754972	8.43847256794075e-06	0.00401530831638457	3.04452425689195e-06
"Guzmania_bakeri"	0.000237411108709706	0.000352513374287472	0.00143120090824161	0.000956585367637957	0.000211974523769186	0.000240793509039359	0.00103833116298089	0.000963733206221126	0.000976598935030669	1.00101854313219	2.03717851406289e-06	0.000211390014232781	0.000295027980603884	0.000462404438534924	1.27323657128931e-06	0.000146202353730093	0.000210409949660936	0.000210619403605667	0.000145543939301311	0.00029425736997677	7.96174412738693e-07	0.000210311159354822	6.14448509311675e-05	0.000168274392215283	4.23544253295099e-05	0.000126264423544038	2.31278662976927e-07	2.81445782551729e-07	4.20367671395385e-05	4.20367671395385e-05	1.27323657128931e-07	0.0966845644209386	6.11469280912586e-05	3.6426389418866e-05	7.38477211347798e-05	8.01435052198549e-05	0.00405750275371626	8.66421072657632e-06	4.62849895506679e-06	3.17658189971324e-06
