"Erythroxylum_sechellarum"	"Cinnamomum_verum"	"Memecylon_eleagni"	"Soulamea_terminaloides"	"Dillenia_ferruginea"	"Roscheria_melanochaetes"	"Lasioglossum_mahense"	"Unidentified_sp4_M_PL_092"	"Unidentified_sp1_M_PL_092"	"Apis_mellifera"	"Lygistorrhina_sp1_M_PL_092"	"Amblypsilopus_sp1_M_PL_092"	"Cratopus_aurostriatus"	"Eristalinus_vicarians"	"Unidentified_sp2_M_PL_092"	"Unidentified_sp3_M_PL_092"
"Erythroxylum_sechellarum"	1.00669983734232	0.00108247294337884	0.00108084844140372	0.000338386499946999	1.62778379729476e-06	0.000897837090160377	0.0537176792026257	0.0135309117922355	0.0269351127048113	4.0694594932369e-05	0.00672261179894705	1.12795499982333e-05	1.35106055175465e-05	1.35106055175465e-05	1.12795499982333e-05	1.35106055175465e-05
"Cinnamomum_verum"	0.00202963676883533	1.00806669853416	2.17912992218492e-06	6.82230846667338e-07	3.28182217196524e-09	1.81015542371044e-06	0.000108301772585939	0.100833731677	5.43046627113131e-05	8.2045554299131e-08	1.35536528204578e-05	2.27410282222446e-08	2.72391240273115e-08	2.72391240273115e-08	2.27410282222446e-08	2.72391240273115e-08
"Memecylon_eleagni"	0.00202659082763197	2.17912992218492e-06	1.00655385713444	6.81207000884697e-07	0.00151589436315427	1.80743886522361e-06	0.0252719312725013	2.72391240273115e-05	5.42231659567083e-05	0.0378973590788568	1.3533312417576e-05	2.27069000294899e-08	0.0125819232141804	0.0125819232141804	2.27069000294899e-08	0.0125819232141804
"Soulamea_terminaloides"	0.001691932499735	1.81928225777957e-06	1.81655200235919e-06	1.00840393006134	2.73577108789035e-09	1.50896989942921e-06	9.02818137859254e-05	2.27410282222446e-05	4.52690969828762e-05	6.83942771972587e-08	0.0336247438853764	0.0336134643353782	2.27069000294899e-08	2.27069000294899e-08	0.0336134643353782	2.27069000294899e-08
"Dillenia_ferruginea"	1.22083784797107e-05	1.3127288687861e-08	0.00606357745261708	4.10365663183552e-09	1.00402519615078	1.0888185935082e-08	0.000152240549834345	1.64091108598262e-07	3.2664557805246e-07	0.100629903769551	8.15259784191324e-08	1.36788554394517e-10	7.57947181577135e-05	7.57947181577135e-05	1.36788554394517e-10	7.57947181577135e-05
"Roscheria_melanochaetes"	0.00673377817620283	7.24062169484175e-06	7.22975546089444e-06	2.26345484914381e-06	1.0888185935082e-08	1.00335048720462	0.000359315579950673	9.05077711855219e-05	0.100514616138494	2.7220464837705e-07	4.49673030029903e-05	7.54484949714603e-08	9.03719432611805e-08	9.03719432611805e-08	7.54484949714603e-08	9.03719432611805e-08
"Lasioglossum_mahense"	0.0805765188039385	8.66414180687511e-05	0.020217545018001	2.70845441357776e-05	3.0448109966869e-05	7.18631159901347e-05	1.00480285296166	0.00108301772585939	0.00215589347970404	0.000761202749171725	0.000538079610164116	9.02818137859255e-07	0.000252719312725013	0.000252719312725013	9.02818137859255e-07	0.000252719312725013
"Unidentified_sp4_M_PL_092"	0.0202963676883533	0.0806669853416004	2.17912992218492e-05	6.82230846667338e-06	3.28182217196524e-08	1.81015542371044e-05	0.00108301772585939	1.00833731677	0.000543046627113131	8.2045554299131e-07	0.000135536528204578	2.27410282222446e-07	2.72391240273115e-07	2.72391240273115e-07	2.27410282222446e-07	2.72391240273115e-07
"Unidentified_sp1_M_PL_092"	0.0673377817620283	7.24062169484175e-05	7.22975546089444e-05	2.26345484914381e-05	1.0888185935082e-07	0.0335048720461646	0.00359315579950673	0.000905077711855219	1.00514616138494	2.7220464837705e-06	0.000449673030029903	7.54484949714602e-07	9.03719432611805e-07	9.03719432611805e-07	7.54484949714602e-07	9.03719432611805e-07
"Apis_mellifera"	0.000122083784797107	1.3127288687861e-07	0.0606357745261708	4.10365663183552e-08	0.0402519615078205	1.0888185935082e-07	0.00152240549834345	1.64091108598262e-06	3.2664557805246e-06	1.00629903769551	8.15259784191324e-07	1.36788554394517e-09	0.000757947181577135	0.000757947181577135	1.36788554394517e-09	0.000757947181577135
"Lygistorrhina_sp1_M_PL_092"	0.0504195884921029	5.42146112818311e-05	5.41332496703039e-05	0.0504371158280646	8.15259784191324e-08	4.49673030029903e-05	0.00269039805082058	0.000677682641022888	0.00134901909008971	2.03814946047831e-06	1.00201736778422	0.00168123719426882	6.76665620878799e-07	6.76665620878799e-07	0.00168123719426882	6.76665620878799e-07
"Amblypsilopus_sp1_M_PL_092"	0.0001691932499735	1.81928225777957e-07	1.81655200235919e-07	0.100840393006134	2.73577108789035e-10	1.50896989942921e-07	9.02818137859254e-06	2.27410282222446e-06	4.52690969828762e-06	6.83942771972587e-09	0.00336247438853764	1.00336134643354	2.27069000294899e-09	2.27069000294899e-09	0.00336134643353782	2.27069000294899e-09
"Cratopus_aurostriatus"	0.000202659082763197	2.17912992218492e-07	0.100655385713444	6.81207000884697e-08	0.000151589436315427	1.80743886522361e-07	0.00252719312725013	2.72391240273115e-06	5.42231659567083e-06	0.00378973590788568	1.3533312417576e-06	2.27069000294899e-09	1.00125819232142	0.00125819232141804	2.27069000294899e-09	0.00125819232141804
"Eristalinus_vicarians"	0.000202659082763197	2.17912992218492e-07	0.100655385713444	6.81207000884697e-08	0.000151589436315427	1.80743886522361e-07	0.00252719312725013	2.72391240273115e-06	5.42231659567083e-06	0.00378973590788568	1.3533312417576e-06	2.27069000294899e-09	0.00125819232141804	1.00125819232142	2.27069000294899e-09	0.00125819232141804
"Unidentified_sp2_M_PL_092"	0.0001691932499735	1.81928225777957e-07	1.81655200235919e-07	0.100840393006134	2.73577108789035e-10	1.50896989942921e-07	9.02818137859254e-06	2.27410282222446e-06	4.52690969828762e-06	6.83942771972587e-09	0.00336247438853764	0.00336134643353782	2.27069000294899e-09	2.27069000294899e-09	1.00336134643354	2.27069000294899e-09
"Unidentified_sp3_M_PL_092"	0.000202659082763197	2.17912992218492e-07	0.100655385713444	6.81207000884697e-08	0.000151589436315427	1.80743886522361e-07	0.00252719312725013	2.72391240273115e-06	5.42231659567083e-06	0.00378973590788568	1.3533312417576e-06	2.27069000294899e-09	0.00125819232141804	0.00125819232141804	2.27069000294899e-09	1.00125819232142
