"Potentilla_vahliana"	"Dryas_integrifolia"	"Astragalus_alpinus"	"Taraxacum_sp1_M_PL_024"	"Caltha_palustris"	"Cerastium_alpinum"	"Arnica_alpina"	"Papaver_radicatum"	"Geum_rossii"	"Oxytropis_arctica"	"Petasites_frigidus"	"Spilogona_sanctipauli"	"Bombus_polaris"	"Spilogona_almquistii"	"Colias_hecla"	"Eupogonomyia_probilofensis"	"Boloria_improba"	"Pogonomyiodes_segnis"	"Spilogona_latilamina"	"Boreellus_atriceps"	"Spilogona_dorsata"	"Spilogona_projecta"	"Spilogona_aesturium"	"Spilogona_melanosoma"	"Anarta_richardsoni"	"Colias_nastes"	"Protocalliphora_sp1_M_PL_024"	"Rhamphomyia_sp1_M_PL_024"	"Spilogona_hurdiana"
"Petasites_frigidus"	0	0	0.00947232817196696	0	0	0	0	0	0	0	1.00062868192904	0	0.100589108646902	0	0.000385909666265321	0	0	0	0	0	0	0	0	0	0	3.5082696933211e-05	0	0	0
"Spilogona_sanctipauli"	0.0446185323807437	0.0352228321613551	0	0.00237575848574522	0.00704571490714443	0.00703358465714695	0.00468979995909464	1.6369279759086e-05	7.50917911192864e-06	0	0	1.00446881909927	0	0.0011263768667893	0	0.00103427841721375	0.000828772521443649	0.000620207045301016	0.000507028777053906	0.000333914247304159	0.000303464580923626	0.000384939951466334	5.93939621436305e-05	0.000202058825512844	0	0	0.000101405755410781	2.96969810718153e-05	0.000100653070102063
"Bombus_polaris"	0	0	0.0947232817196696	0	0	0	0	0	0	0	0.00628681929043141	0	1.00589108646902	0	0.00385909666265321	0	0	0	0	0	0	0	0	0	0	0.00035082696933211	0	0	0
"Spilogona_almquistii"	0.0337373890449175	0.0202812400744393	0	0.0201468021127991	0.0067330057394056	2.65751180573584e-05	0.00670715409235896	0.00669403620852684	0.00668389861959647	0	0	0.00322894701812932	0	1.00258479293947	0	0.000823711453862518	0.000477205648810336	0.000709631225125796	0.000383379420964971	0.000481862678988971	0.000249537564663211	6.07137108235863e-05	0.000503670052819977	0.000172861680470217	0	0	7.66758841929942e-05	0.000251835026409988	9.61857962772228e-05
"Colias_hecla"	0	0	0.100975018313168	0	0	0	0	0	0	0	3.5082696933211e-05	0	0.00561323150931376	0	1.00411379704239	0	0	0	0	0	0	0	0	0	0	0.000373981549308029	0	0	0
"Eupogonomyia_probilofensis"	0.0705104444072122	0.0202922951115836	0	4.72649674695875e-05	5.81136205631868e-05	3.51008361405487e-05	0.0100438448792222	1.48000733710117e-05	8.23711453862517e-06	0	0	0.00444739719401911	0	0.00123556718079378	0	1.00149221963393	0.00047746576733138	0.000459407118267055	0.000801255050081957	0.000481343842142544	0.000321332214612257	6.10872543620444e-05	1.18162418673969e-06	0.000161081204595866	0	0	0.000160251010016391	5.90812093369844e-07	8.30194579474097e-07
"Boloria_improba"	0.000290341231148702	0.100537460501562	0	2.84198138246781e-05	3.72185016096413e-05	5.09280051171083e-05	3.26527057378627e-05	2.71151804909637e-05	5.9650706101292e-06	0	0	0.00445465230275961	0	0.00089476059151938	0	0.000596832209164225	1.00236558730592	0.00148050769165842	3.29933217214434e-06	2.33484697609508e-06	1.85142574899547e-06	0.000297735533444572	7.10495345616953e-07	1.1915593145666e-06	0	0	6.59866434428868e-07	3.55247672808477e-07	5.31692880137733e-07
"Pogonomyiodes_segnis"	0.0146100847762906	0.0719103735948374	0	4.19335779583136e-05	4.06983679504459e-05	4.07891462520339e-05	3.44207490570697e-05	0.0143216632088248	1.01375889303685e-05	0	0	0.00380984327827767	0	0.00152063833955528	0	0.000656295883238649	0.00169200879046676	1.00180679339261	0.000166023690639666	0.000100138384108278	6.69908815123011e-05	0.000213132664658427	1.04833944895784e-06	3.3786143384368e-05	0	0	3.32047381279331e-05	5.24169724478919e-07	5.81405256434941e-07
"Spilogona_latilamina"	0.100577149909184	0.000224354587705815	0	5.04922981310174e-05	6.49275470681345e-05	3.05471768571487e-05	4.39738405030948e-05	1.09880622320927e-05	7.66758841929942e-06	0	0	0.00436044748266359	0	0.00115013826289491	0	0.00160251010016391	5.27893147543095e-06	0.000232433166895532	1.00114292215806	0.000686384448561986	0.000458096399610253	1.88175350871481e-06	1.26230745327543e-06	0.00022951196799847	0	0	0.000228584431611783	6.31153726637717e-07	9.27536386687636e-07
"Boreellus_atriceps"	0.0755022893418185	0.000198461992968082	0	0.0251595680105602	5.72596476828587e-05	2.51495481257488e-05	4.07758753934958e-05	1.45500265774312e-05	1.20465669747243e-05	0	0	0.00358957815851971	0	0.00180698504620864	0	0.00120335960535636	4.66969395219016e-06	0.000175242172189487	0.000857980560702483	1.00082928293655	0.000344010219247891	1.58969366905372e-06	0.000628989200264006	0.000172414107107395	0	0	0.000171596112140497	0.000314494600132003	8.17994966897982e-07
"Spilogona_dorsata"	0.0671874719428371	0.00020982825155282	0	4.67114176214521e-05	0.033477491715201	3.04688511565354e-05	3.92599647040906e-05	1.05509482058504e-05	8.31791882210704e-06	0	0	0.00434965899323863	0	0.00124768782331606	0	0.00107110738204086	4.93713533065459e-06	0.000156312056862036	0.000763493999350422	0.000458680292330521	1.00078364748139	1.83589596259324e-06	1.1677854405363e-06	0.000630948681515814	0	0	0.000152698799870084	5.83892720268152e-07	0.000478249881645729
"Spilogona_projecta"	0.000275990514611506	0.0337433604570515	0	1.90270440018786e-05	4.06975536415022e-05	0.0668901507423138	2.97226956039433e-05	9.1282125160671e-06	2.02379036078621e-06	0	0	0.00551747263768412	0	0.000303568554117931	0	0.000203624181206815	0.00079396142251886	0.000497309550869662	3.13625584785803e-06	2.1195915587383e-06	1.83589596259324e-06	1.00277485120751	4.75676100046965e-07	1.20864479302164e-06	0	0	6.27251169571605e-07	2.37838050023483e-07	5.81393623450031e-07
"Spilogona_aesturium"	0.000277707639720595	0.000120784208754882	0	0.100486795147848	3.42559495270315e-05	8.95666193154928e-06	3.11819800646989e-05	2.52359196134467e-05	2.51835026409989e-05	0	0	0.00127697018608806	0	0.00377752539614983	0	5.90812093369844e-06	2.84198138246781e-06	3.66918807135244e-06	3.15576863318858e-06	0.00125797840052801	1.75167816080446e-06	7.13514150070448e-07	1.0025121698787	1.12052443416674e-06	0	0	6.31153726637717e-07	0.0012560849393481	4.89370707529021e-07
"Spilogona_melanosoma"	0.0504926329596635	0.000202565083476322	0	4.48209773666695e-05	0.0501837737992675	3.04296883062288e-05	3.69030268045886e-05	1.03323911927293e-05	8.64308402351085e-06	0	0	0.00434426474852615	0	0.00129646260352663	0	0.000805406022979328	4.7662372582664e-06	0.000118251501845288	0.000573779919996176	0.000344828214214789	0.00094642302227372	1.81296718953245e-06	1.12052443416674e-06	1.00083166703827	0	0	0.000114755983999235	5.60262217083369e-07	0.00071691105427525
"Anarta_richardsoni"	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0
"Colias_nastes"	0	0	0.100975018313168	0	0	0	0	0	0	0	3.5082696933211e-05	0	0.00561323150931376	0	0.00411379704238832	0	0	0	0	0	0	0	0	0	0	1.00037398154931	0	0	0
"Protocalliphora_sp1_M_PL_024"	0.100577149909184	0.000224354587705815	0	5.04922981310174e-05	6.49275470681345e-05	3.05471768571487e-05	4.39738405030948e-05	1.09880622320927e-05	7.66758841929942e-06	0	0	0.00436044748266359	0	0.00115013826289491	0	0.00160251010016391	5.27893147543095e-06	0.000232433166895532	0.00114292215805891	0.000686384448561986	0.000458096399610253	1.88175350871482e-06	1.26230745327543e-06	0.000229511967998471	0	0	1.00022858443161	6.31153726637717e-07	9.27536386687636e-07
"Rhamphomyia_sp1_M_PL_024"	0.000277707639720595	0.000120784208754882	0	0.100486795147848	3.42559495270315e-05	8.95666193154928e-06	3.11819800646989e-05	2.52359196134467e-05	2.51835026409989e-05	0	0	0.00127697018608806	0	0.00377752539614983	0	5.90812093369844e-06	2.84198138246781e-06	3.66918807135244e-06	3.15576863318858e-06	0.00125797840052801	1.75167816080446e-06	7.13514150070448e-07	0.0025121698786962	1.12052443416674e-06	0	0	6.31153726637717e-07	1.00125608493935	4.89370707529021e-07
"Spilogona_hurdiana"	0.00040811601014256	0.000180775579246829	0	3.91496566023217e-05	0.100302620051467	3.0312199755309e-05	2.98322131060823e-05	9.67672015336578e-06	9.61857962772228e-06	0	0	0.00432808201438872	0	0.00144278694415834	0	8.30194579474097e-06	4.25354304110186e-06	4.06983679504459e-06	4.63768193343818e-06	3.27197986759193e-06	0.00143474964493719	1.74418087035009e-06	9.78741415058042e-07	0.0014338221085505	0	0	9.27536386687636e-07	4.89370707529021e-07	1.00143289457216
