"Fuchsia_regia"	"Gaylussacia_brasiliensis"	"Aechmea_cylindrata"	"Nematanthus_australis"	"Vriesea_altodaserrae"	"Aegiphila_obducta"	"Nidularium_inocentii"	"Thalurania_glaucopis"	"Clytolaema_rubricauda"	"Stephanoxis_lalandi"	"Amazilia_versicolor"
"Fuchsia_regia"	1.0080312106574	8.27021823331845e-05	0.000527910954241948	0.00125910588290223	0.000106370799493646	8.35793823886416e-05	1.01302422469103e-05	0.049334279742453	0.0504262273744804	0.00124053273499777	9.06115816982448e-06
"Gaylussacia_brasiliensis"	0.000335790788509436	1.00672001186145	0.00259651405188245	0.000448443894949021	1.72111685813526e-07	4.95809967529211e-08	2.78115375956491e-08	0.000135442188090811	2.99138680409291e-05	0.100800177921735	4.45670322338033e-05
"Aechmea_cylindrata"	0.00265531330715726	0.00321657710904841	1.00324048156982	0.000938903054091428	3.67945572904083e-05	6.44029863064255e-06	6.50020497399599e-06	0.0316559982233605	0.00388564684048767	0.0482486566357261	0.0172197993105267
"Nematanthus_australis"	0.00647814782500844	0.000568257149324714	0.000960404650750011	1.00196805955855	9.55629431251327e-05	1.32292911105904e-05	1.73486831436145e-05	0.0844880869094025	0.00798167230338955	0.00852385723987071	1.64845574382464e-05
"Vriesea_altodaserrae"	0.00796599098430192	3.17450442722726e-06	0.000547830075212746	0.00139097172771026	1.00010716008773	7.43661970123593e-05	1.15165246117809e-05	0.0560854748593727	0.0448676055307901	4.76175664084089e-05	9.40305352977102e-06
"Aegiphila_obducta"	0.00938875062165741	1.37174091016415e-06	0.00014383333608435	0.000288839522581224	0.000111549295518539	1.00016656429826	1.0128600298287e-07	0.000493262834526578	0.10049379328078	2.05761136524623e-05	2.46878114174631e-06
"Nidularium_inocentii"	0.00682778327441752	4.61671524087775e-06	0.000871027466515463	0.0022726774918135	0.000103648721506028	6.07716017897222e-07	1.0000206487155	0.10055924447925	0.000366655330797991	6.92507286131663e-05	1.49504714401908e-05
"Thalurania_glaucopis"	0.0682778327441752	4.61671524087775e-05	0.00871027466515463	0.022726774918135	0.00103648721506028	6.07716017897222e-06	0.000206487154988192	1.0055924447925	0.00366655330797991	0.000692507286131663	0.000149504714401908
"Clytolaema_rubricauda"	0.0938875062165741	1.37174091016415e-05	0.0014383333608435	0.00288839522581224	0.00111549295518539	0.00166564298255437	1.0128600298287e-06	0.00493262834526578	1.0049379328078	0.000205761136524623	2.46878114174631e-05
"Stephanoxis_lalandi"	0.00335790788509436	0.0672001186144903	0.0259651405188245	0.00448443894949021	1.72111685813526e-06	4.95809967529211e-07	2.78115375956491e-07	0.00135442188090811	0.000299138680409291	1.00800177921735	0.000445670322338033
"Amazilia_versicolor"	0.000265531330715726	0.000321657710904841	0.100324048156982	9.38903054091428e-05	3.67945572904083e-06	6.44029863064256e-07	6.50020497399599e-07	0.00316559982233605	0.000388564684048767	0.00482486566357261	1.00172197993105
