"Psiadia_terebinthina"	"Gaertnera_sp1_M_PL_079"	"Stillingia_lineata"	"Syzygium_coriaceum"	"Antidesma_madagascariense"	"Psathura_terniflora"	"Tabernaemontana_persicarifolia"	"Labourdonnaisia_callophylloides"	"Euodia_obtusifolia"	"Tristhema_mauritiana"	"Olea_lancea"	"Psidium_cattleianum"	"Villa_unifasciata"	"Nacoleia_sp1_M_PL_079"	"Chaetocnema_sp1_M_PL_079"	"Technomyrmex_albipes"	"Ahasverus_advena"	"Apis_mellifera"	"Dysauxes_florida"	"Brachymyrmex_sp1_M_PL_079"	"Allograpta_nasuta"	"Polistes_hebraeus"	"Syritta_nigrofemorata"	"Chrysomya_megacephala"	"Miridae_sp1_M_PL_079"	"Orthellia_albigena"	"Pachycerina_crinicornis"	"Phalanta_phalantha"	"Phorinia_sp1_M_PL_079"	"Stomorhina_lunata"
"Psiadia_terebinthina"	1.00526770477105	0.000351904136869659	0.00082607559812909	0.000268222780354056	0.000266720130729654	0.000561596314339158	0.00079780779561496	0.000608282260974635	0.000796250920853528	0.00011907975236892	0.000118682819861023	0.000118682819861023	0.0106814537874921	8.30333206097032e-05	0.0371583763064979	3.29555887749667e-05	0.00532076453753986	0.0106449395670561	0.010595570587464	8.04668341062168e-06	0.00529638982734396	4.69205515826212e-06	0.0105817653133795	2.68222780354056e-06	0.00529088265668976	5.50717065419393e-06	5.50717065419393e-06	3.96932507896399e-06	2.68222780354056e-06	0.00529088265668976
"Gaertnera_sp1_M_PL_079"	0.000445745240034902	1.00508218346069	0.0022237817398868	5.28231059080993e-07	2.76485609048993e-07	0.000375876371974942	0.0011344637874807	0.00038535861752277	1.5708804167189e-06	0.000150743414142606	0.000150240936095464	0.000150240936095464	0.0135216842485917	0.0604209550434125	7.33077527802153e-05	4.41697097839892e-08	0.00677701997531331	0.00674377580664848	1.09612694513286e-05	1.58469317724298e-08	1.71712391783764e-05	0.0134010957794759	4.69205515826212e-06	5.28231059080994e-09	2.34602757913106e-06	1.48252115992453e-05	1.48252115992453e-05	5.02478047142019e-06	5.28231059080994e-09	2.34602757913106e-06
"Stillingia_lineata"	0.00104636242429685	0.0022237817398868	1.00508142558004	4.62440196782156e-07	5.13556700828599e-07	0.000562989513503604	0.000506889887971481	1.48503177630076e-06	1.3722114541138e-06	0.000225744225561863	0.00022499174480999	0.00022499174480999	0.0202492570328991	0.0269609427475929	6.40365345253107e-05	6.12939996070028e-08	0.0335230465682548	2.59880560852633e-05	2.04060591451284e-05	1.38732059034647e-08	0.00670605000785447	2.96504231984906e-05	1.10143413083879e-05	4.62440196782156e-09	5.50717065419393e-06	0.00670054283720028	0.00670054283720028	7.52480751872877e-06	4.62440196782156e-09	5.50717065419393e-06
"Syzygium_coriaceum"	0.000509623282672706	7.9234658862149e-07	6.93660295173234e-07	1.00690519783285	0.00224905110624737	1.22470641834523e-06	0.00021706976032515	3.0860562745241e-07	0.000216865019204786	6.13966981501626e-08	6.1192042489662e-08	6.1192042489662e-08	5.50728382406958e-06	1.09195264194461e-05	0.01012036756289	0.0404636288388345	2.71063212397048e-06	5.40059848041717e-06	4.28690524848431e-05	0.0302071559349854	2.68685220550838e-06	1.05646211816199e-08	5.36445560708112e-06	0.0100690519783285	2.68222780354056e-06	4.62440196782156e-09	4.62440196782156e-09	2.04655660500542e-09	0.0100690519783285	2.68222780354056e-06
"Antidesma_madagascariense"	0.00084461374731057	6.91214022622483e-07	1.2838917520715e-06	0.00374841851041229	1.00508066207728	0.000420405770765502	1.47758101590209e-06	5.11222937804939e-07	1.47477622204819e-06	4.91528717006843e-07	4.89890287950154e-07	4.89890287950154e-07	4.40901259155138e-05	1.49589005541027e-07	6.88228903622491e-05	0.0839066585801897	4.49273999738076e-06	8.94640141158643e-06	0.016767241801825	0.000112452555312369	4.45389479050804e-06	9.21618696829978e-09	8.89067102432179e-06	3.74841851041229e-05	4.4453355121609e-06	8.55927834714332e-09	8.55927834714332e-09	1.63842905668948e-08	3.74841851041229e-05	4.4453355121609e-06
"Psathura_terniflora"	0.00177838832874067	0.000939690929937356	0.00140747378375901	2.04117736390872e-06	0.000420405770765502	1.00274818992776	3.17471840783192e-06	1.43588984736902e-06	1.41085292126555e-06	0.00093501070874461	0.000931894006382129	0.000931894006382129	0.0838704605743916	9.40728259502066e-05	6.58398029923924e-05	3.51154613250148e-05	6.25403375638687e-05	2.51280723289579e-05	0.01673819647212	6.12353209172616e-08	1.87430971307127e-05	1.25292123991647e-05	1.87198771446386e-05	2.04117736390872e-08	9.3599385723193e-06	9.3831585583934e-06	9.3831585583934e-06	3.11670236248203e-05	2.04117736390872e-08	9.3599385723193e-06
"Tabernaemontana_persicarifolia"	0.00252639135278071	0.00283615946870176	0.0012672247199287	0.00036178293387525	1.47758101590209e-06	3.17471840783192e-06	1.00202119529342	2.61501856198335e-06	0.00107797613107011	1.00653115186337e-06	1.00317604802383e-06	1.00317604802383e-06	9.02858443221445e-05	0.0503050219919912	0.0503055527832718	1.45944491063352e-05	7.44453503825511e-05	4.57628248347087e-05	2.66711315108942e-05	1.08534880162575e-05	2.17449613931074e-05	3.78154595826901e-05	2.65935931871653e-05	3.6178293387525e-06	1.32967965935827e-05	8.44816479952468e-06	8.44816479952468e-06	3.35510383954457e-08	3.6178293387525e-06	1.32967965935827e-05
"Labourdonnaisia_callophylloides"	0.00288934073962952	0.00144509481571039	5.56886916112784e-06	7.71514068631024e-07	7.66834406707408e-07	2.15383477105353e-06	3.92252784297503e-06	1.00574942805049	2.29033437086749e-06	5.58768561609835e-07	5.56905999737802e-07	5.56905999737802e-07	5.01215399764022e-05	8.70503185124022e-05	0.000106882270640483	9.47634299708584e-08	2.50266509344727e-05	0.100614990883536	3.04627908683611e-05	2.31454220589307e-08	1.52441823187734e-05	1.92679308761385e-05	3.04141130487318e-05	7.71514068631024e-09	1.52070565243659e-05	3.7125794407519e-08	3.7125794407519e-08	1.86256187203278e-08	7.71514068631025e-09	1.52070565243659e-05
"Euodia_obtusifolia"	0.00504292249873901	7.8544020835945e-06	6.86105727056901e-06	0.000722883397349285	2.94955244409639e-06	2.8217058425311e-06	0.00215595226214022	3.05377916115666e-06	1.00215391879016	5.98882789360185e-07	5.96886513395651e-07	5.96886513395651e-07	5.37197862056085e-05	0.000108451838759242	0.100516210207629	2.91611319309795e-05	2.68227619513605e-05	5.34411353202415e-05	5.3179582361679e-05	2.16865019204786e-05	2.65874377435881e-05	1.04725361114593e-07	5.30833947235685e-05	7.22883397349286e-06	2.65416973617843e-05	4.57403818037934e-08	4.57403818037934e-08	1.99627596453395e-08	7.22883397349285e-06	2.65416973617843e-05
"Tristhema_mauritiana"	0.000754171765003158	0.000753717070713028	0.00112872112780932	2.04655660500542e-07	9.83057434013686e-07	0.00187002141748922	2.01306230372674e-06	7.45024748813113e-07	5.98882789360184e-07	1.00409459934423	0.000747617346414955	0.000747617346414955	0.067285561177346	7.54229074328832e-05	2.79478635034753e-05	9.01076792544955e-08	4.66181431440281e-05	1.30379331042295e-05	3.91220580733152e-05	6.13966981501626e-09	1.14941325976928e-05	1.00495609428404e-05	7.93865015792797e-06	2.04655660500542e-09	3.96932507896399e-06	7.52480751872877e-06	7.52480751872877e-06	0.033469819978141	2.04655660500542e-09	3.96932507896399e-06
