"Sideroxylon_cinereum"	"Molinaea_alternifolia"	"Psiadia_terebinthina"	"Toddalia_asiatica"	"Bertiera_zaluzania"	"Croton_fothergillifolius"	"Stillingia_lineata"	"Homalanthus_populifolius"	"Erythroxylum_macrocarpum"	"Dodonaea_viscosa"	"Aphloia_theiformis"	"Antirhea_borbonica"	"Chassalia_coriacea"	"Trochetia_blackburniana"	"Chaetocnema_sp1_M_PL_074"	"Apis_mellifera"	"Stomorhina_lunata"	"Fannia_pusio"	"Technomyrmex_albipes"	"Dysauxes_florida"	"Lygaeidae_sp1_M_PL_074"	"Pachycerina_crinicornis"	"Brachymyrmex_sp1_M_PL_074"	"Allograpta_nasuta"	"Lygistorrhina_sp1_M_PL_074"	"Leptotes_pirithous"	"Villa_unifasciata"	"Dioxyna_sororcula"	"Ophyra_capensis"	"Musca_domestica"	"Polistes_hebraeus"	"Stomoxys_niger"	"Syritta_nigrofemorata"	"Panara_naso"	"Chrysomya_megacephala"	"Nacoleia_sp1_M_PL_074"	"Ahasverus_advena"	"Eristalinus_flaveolus"	"Syritta_bulbus"	"Episyrphus_sp1_M_PL_074"	"Gelechioidea_sp2_M_PL_074"	"Mauritiborium_undulatus"	"Orthellia_albigena"	"Pelecophora_intemipta"	"Sarcophaga_arno"	"Stomoxys_calcitrans"	"Gelechioidea_sp1_M_PL_074"	"Palexorista_sp1_M_PL_074"	"Scatopsidae_sp1_M_PL_074"	"Scirtidae_sp1_M_PL_074"	"Unidentified_sp1_M_PL_074"
"Aphloia_theiformis"	0.00132783077417625	0.00102538344066822	0.00180060636252969	0.000679702131773379	0.000343676591543716	0.000312779459312925	0.00143847934695461	0.000433207337084062	0.000589543359961152	0.000302142273866097	1.00166731859529	0.000134609573178968	2.92776914721508e-05	1.64531631989587e-05	0.0252964867192266	0.0084677551842427	0.0167692849687718	5.37274609002449e-05	3.68524818567057e-05	0.0042143306593448	4.15524545199159e-05	3.20002278395628e-05	0.0209023895867327	1.44294575930177e-05	1.66252770428588e-05	7.97816215576145e-06	9.46891609335122e-06	1.02554410565893e-05	7.68813574007133e-06	0.00418001575186596	6.16879184369792e-06	0.00835679698024264	1.06057982164977e-05	3.07660174067784e-06	5.16630166664388e-06	8.22087105808023e-06	2.19494357412579e-06	0.00417692411322796	7.91475324188875e-06	4.58911613936864e-06	0.00834920634327122	3.84621166864194e-06	2.60358975328677e-06	2.54227299339228e-06	1.27919233106956e-06	2.28268695224072e-06	5.48735893531447e-07	1.03144604067634e-06	1.73395105870927e-06	5.48735893531447e-07	1.97868831047219e-06
"Antirhea_borbonica"	0.000806228496680677	0.000641189865470331	0.00138233330445469	0.000625600055515208	0.00058875424426641	0.000972896448366427	0.000672352023292792	0.000408278380945546	0.000526009771641891	0.000160990374857087	0.00017003314506817	1.00275025799753	0.000385644567784701	1.04414251360455e-05	0.000197170492620683	0.0053743801093685	0.00533928271011294	3.8398385199742e-05	5.95073808774069e-05	3.44274212351121e-05	3.18999993335697e-05	0.0158507064387383	2.255489363423e-05	0.0316808392070965	2.62667641961671e-05	1.674989420895e-05	0.0211196624414972	8.47526698927984e-06	4.76029406793523e-06	7.45874374460467e-06	6.3757067317275e-06	9.02021131421957e-06	0.00528656727313764	1.59807188792391e-05	3.1676048788817e-06	0.01056034996315	6.82734349730826e-06	0.0052804154425604	6.07619034925138e-06	2.33217003590756e-06	2.93599046288093e-06	2.84758097461943e-06	1.58084018956996e-06	1.58972693918264e-06	7.87982358257789e-07	3.25392343797969e-06	1.70683587432707e-06	9.72091383203682e-07	1.54708756365262e-06	1.70683587432707e-06	1.51904758731284e-06
"Chassalia_coriacea"	0.000749825120631297	0.00227079684463336	0.000992753604584839	9.96322983277092e-05	0.00032451552093592	9.38723968287163e-05	1.10566308942435e-05	8.52885190508346e-05	0.00017105681459247	9.93107649291005e-06	4.39165372082262e-05	0.000457952924244333	1.0047779902438	1.24215687897006e-05	8.86887303924698e-05	0.00639712783223205	0.00633923643323431	4.75451821806872e-05	2.14119868374793e-05	2.56800308756422e-05	2.29096985673424e-05	9.54294649028349e-06	6.55737210311114e-06	0.012581435051458	6.42902307057812e-06	0.0314116632827884	1.25201233976191e-05	2.73121248941282e-06	1.27303949773812e-05	7.19902899079567e-06	0.00628847548584197	4.83504318335633e-06	6.26411215071921e-06	0.0376802655721693	5.71371032703158e-06	8.58345295654807e-06	6.58753661955904e-07	3.58645417675887e-06	4.36375210806523e-06	5.44046934225078e-07	1.45690917041819e-06	1.25015844865222e-06	1.47024533457117e-06	5.63007482140503e-06	8.00620997932905e-07	6.67796693702123e-07	1.64688415488976e-07	2.03067902501987e-07	5.03108278213148e-07	1.64688415488976e-07	1.09093802701631e-06
"Trochetia_blackburniana"	0.0054541677328005	0.00142295244880979	3.70955984315767e-06	3.45762778343703e-06	0.00156265692401342	2.43524335060249e-06	1.27262565262126e-06	3.59800698083579e-06	4.99654004630809e-05	6.86408065875288e-07	9.87189791937523e-05	4.9596769396216e-05	4.96862751588024e-05	1.0013981060995	3.49575193424461e-05	0.0755264501506609	0.000126534329857785	9.61770482089331e-05	5.82311708707962e-05	1.52694786516112e-05	8.56052271497924e-08	8.43581593937842e-07	2.09863822110006e-06	9.81092496017664e-06	4.95824066275282e-07	8.61273509418228e-06	1.07367914593475e-06	3.03308311359518e-08	1.77504090909846e-05	6.57951427413777e-06	1.21485220244286e-05	4.55522673321974e-06	3.93486071749464e-06	1.86731175784318e-06	1.66112495652311e-05	4.09911608660084e-06	1.70894270217718e-08	4.38413728019495e-06	1.63057575523414e-08	3.56950471899721e-06	8.26734599336021e-07	1.07412103040034e-08	1.06944465349029e-05	3.52798127804081e-06	0.0250385174679991	1.51229416940975e-07	4.27235675544296e-09	8.56668328770426e-09	1.46957060185532e-07	4.27235675544296e-09	4.07643938808535e-09
"Chaetocnema_sp1_M_PL_074"	7.87872965019701e-05	0.0132198928310186	0.00955471025222006	0.0200490821950507	4.17957355414006e-05	0.00794387113389111	0.0168710086594572	0.0100179263227021	0.00896268274496115	0.011063952370773	0.00317861613225884	1.96138186376596e-05	7.42942244125401e-06	7.32094645915101e-07	1.0044094630724	0.000376445802667271	0.000557292647434926	0.000635060542865627	0.000660784697728626	0.000546563338774864	0.000220493313512771	0.000510422379069178	0.00040520840369396	0.000123706165288426	0.000249947699839723	7.62850386389633e-05	8.70743392926816e-05	0.000233212514273755	6.57076724869299e-05	0.000110236823275134	6.92301339385707e-05	0.000108252044654466	0.000113132201592261	1.07782849373932e-05	2.20570423907452e-05	3.17570010013901e-05	5.57464640974815e-05	3.97597910766815e-05	4.19987263833849e-05	6.87634280112404e-05	3.69881493646699e-05	7.27581078887823e-05	1.54484895101902e-07	3.2776593795914e-05	6.97973311818449e-08	4.02974476271973e-05	1.39366160243704e-05	2.38522055302432e-05	2.63608316028269e-05	1.39366160243704e-05	1.04996815958462e-05
"Apis_mellifera"	0.0558833518701486	0.0189135439202201	4.25049076944456e-05	4.42202853236092e-05	0.0207878303947695	3.15016508461625e-05	1.57331132089359e-05	4.04668648771623e-05	0.000663249232592649	8.34914191543768e-06	0.00131113628659242	0.000658794981148397	0.000660348679456211	0.00194906968130738	0.000463878376189992	1.00481699695294	0.00138869476225673	0.00105005253246605	0.000774542620625298	0.0001811376960812	9.80882485256437e-07	1.11599918465521e-05	2.78160488262386e-05	0.000130413369456539	6.54498572159471e-06	0.000114468773122219	1.42249332443522e-05	3.71955415297001e-07	0.000203361367944828	8.74550569121271e-05	0.000139757399587867	4.96384110880384e-05	5.23115372579883e-05	2.4809784169382e-05	0.000177362322393665	4.35998766632072e-05	2.21064216464298e-07	4.74062094856796e-05	1.86834759096464e-07	3.658258217411e-05	1.09728444113776e-05	1.30514207539004e-07	0.000109575199745389	4.68930840997193e-05	8.52518086144809e-05	2.00599909115328e-06	5.52660541160745e-08	9.63496782789578e-08	1.95073303703721e-06	5.52660541160745e-08	4.6708689774116e-08
"Stomorhina_lunata"	0.0372633466384632	0.0179814755137357	0.017937695685777	0.0028051428591039	0.00693940705861288	0.00278547139175604	0.00141483518538331	0.00141626779557156	0.00277351282878109	0.00139372508039785	0.00551318957877428	0.00138967632181022	0.00138942168399656	6.93338793741287e-06	0.00145812185835713	0.00294859846780539	1.00131386710502	0.000838945348539203	0.00041568959164669	0.00041127649525066	0.000413946823517931	9.80385241637002e-05	0.000237442386876752	0.000157288990225739	0.000132475351674833	0.000152295522516171	8.67122925447816e-05	6.99949274804428e-05	0.000162229726956039	9.49849745473528e-05	0.000120387850574706	0.000140963092367036	6.80140793395396e-05	7.18150666507249e-05	0.000127141961217627	9.81185608329614e-05	1.95471676614459e-05	6.27982283439141e-05	7.88470140034154e-05	3.1670379139644e-05	6.56549999906395e-05	2.79083175145478e-05	7.30653855656141e-05	4.45821706952125e-05	2.45284632203067e-05	1.3044182588247e-05	4.88679191536148e-06	3.37206617993229e-06	8.15739067288555e-06	4.88679191536148e-06	1.97117535008538e-05
"Fannia_pusio"	0.0371556730589324	0.0318043677210567	5.47538336279822e-05	5.70046827507671e-05	7.33512318396401e-05	2.80774507767682e-05	0.00179943694081798	0.0299244062117576	3.14459829623012e-05	2.60670624538176e-05	2.26220888001031e-05	1.27994617332473e-05	1.33460160507192e-05	6.74926654097776e-06	0.00212800988925149	0.00285540600933749	0.0010744387797081	1.00219772378165	8.33315804996952e-05	0.000208053685624538	1.26355000679959e-06	2.47794571135996e-05	3.13286151098959e-05	0.000124916072949586	9.50558555111006e-07	0.000158184840583693	7.17861627233547e-05	6.61473266710108e-07	0.000230561869434033	0.000150454826586373	0.000153863483382606	9.59948525874387e-05	3.34174120348081e-05	5.60644649844807e-07	0.000149708217377878	2.45999919532571e-05	1.9703474229311e-07	2.45388661098759e-05	2.4067619177135e-07	2.77668078807478e-05	2.48686454610364e-07	2.19217082389023e-07	7.28542608998674e-05	7.88538042670829e-05	2.44534852968136e-05	1.41746870756517e-07	4.92586855732776e-08	7.12485862184704e-05	9.2488185183239e-08	4.92586855732776e-08	6.01690479428376e-08
"Technomyrmex_albipes"	0.000147940858964183	0.00547800852856591	6.33498799747297e-05	0.0305148295921866	0.0394439674166794	0.0251553275921878	5.29742632033805e-05	2.96000244004747e-05	4.26383840370939e-05	3.52034650065855e-05	1.5793920795731e-05	2.01900042262631e-05	6.11771052499408e-06	4.15936934791402e-06	0.00225374780832442	0.00214382332494502	0.000541881074825149	8.48196444371897e-05	1.00266548860842	0.000458946858117462	1.46192030710915e-06	0.000310333687218994	1.57667924023255e-06	0.00017951061338922	0.000441906603498829	2.74244723606714e-05	0.000133031220486079	0.000121993496854141	2.74537587696619e-05	0.000120585156351257	5.69671081096105e-05	6.33038397107921e-07	0.000155776840519522	2.99029397406761e-07	9.44133303883668e-06	5.18065490306917e-07	0.000176528614682019	3.94171567199593e-07	2.78461010877933e-07	3.13989695233678e-07	2.01231259350575e-07	3.88133267084628e-05	2.90080115616045e-07	1.35818393270229e-05	2.00677605569865e-07	4.42575606823786e-05	4.41321536705049e-05	7.04762485725588e-08	1.25407011873806e-07	4.41321536705049e-05	6.96152527194832e-08
"Dysauxes_florida"	0.0061758759605487	0.0183180040554218	0.02745669490889	0.030439680278689	5.79784849628288e-05	0.00310839857444601	7.80089814969246e-05	4.82286345704525e-05	0.0121800551570492	4.80846032272609e-05	0.00306496775225076	1.9821848589913e-05	1.24509240609175e-05	1.850845897165e-06	0.00316344235472724	0.0008507982694723	0.000909793459190854	0.000359365456987838	0.000778818910744783	1.00091728705325	0.000633616036359001	0.000340085966961359	0.000216039136694287	0.000138631077399142	0.000252520959861469	0.000121394361545244	7.72365090701149e-05	0.000143501325008735	0.000102942638667728	9.96711198423591e-05	0.000107237484912966	0.000156033016514481	5.67084285742771e-05	3.06391018598559e-05	4.64237735962008e-05	9.47617478961556e-05	2.18133233294457e-05	5.27352363606385e-05	0.000120688768830286	4.34398900395165e-06	5.57135901429945e-05	6.8863715077429e-05	1.21095607069582e-05	4.54165389803847e-05	4.08279138308187e-06	4.12770224707415e-05	5.45333083236143e-06	1.14830082310601e-07	3.582369163838e-05	5.45333083236143e-06	3.01721922075715e-05
