"Arvicola_terrestris"	"Lagurus_lagurus"	"Clethrionomys_glareolus"	"Cricetus_cricetus"	"Microtus_oeconomus"	"Microtus_gregalis"	"Spermophilus_pygmaeus"	"Marmota_bobak"	"Allocricetulus_eversmanni"	"Neomys_fodiens"	"Sorex_araneus"	"Cricetulus_migratorius"	"Microtus_arvalis"	"Allactaga_major"	"Apodemus_uralensis"	"Spermophilus_major"	"Sicista_subtilis"	"Ellobius_talpinus"	"Megabothris_walkeri"	"Ctenophthalmus_breviatus"	"Citellophilus_tesquorum"	"Ctenophthalmus_assimilis"	"Neopsylla_pleskei"	"Amalaraeus_penicilliger"	"Neopsylla_setosa"	"Oropsylla_silantiewi"	"Frontopsylla_elata"	"Stenoponia_ivanovi"	"Amphipsylla_sibirica"	"Amphipsylla_rossica"	"Mesopsylla_hebes"	"Palaeopsylla_soricis"	"Hystrichopsylla_talpae"	"Peromyscopsylla_bidentata"	"Amphipsylla_kuznetzovi"	"Amphipsylla_prima"	"Pectinoctenus_pavlovskii"	"Oropsylla_ilovaiskii"	"Corrodopsylla_birulai"	"Amphipsylla_dumalis"	"Frontopsylla_elatoides"	"Leptopsylla_segnis"
"Arvicola_terrestris"	1.00634616351576	0.00082230059295707	0.000418170147289925	0.000685724666532228	0.000551222506894632	0.00040015081924373	0.00014610936130362	3.77517135971232e-06	0.000107085468398204	0.000232200636803208	8.02757743342769e-05	5.59739549755665e-05	0.00011413955113735	9.41142755983029e-06	4.47535133700086e-05	6.01202138869864e-05	2.34327792076016e-05	0	0.0620195367287592	0.0149015023742818	0.00363799658123537	0.0113603184760758	0.00556077187649706	0.000299803882703621	5.98510599274304e-06	2.72163516630423e-07	0.000834165119513413	1.25277842476053e-05	4.44395234713291e-06	0.000833155334844515	1.14357558696413e-06	5.89732618602735e-06	0.000691944570918722	2.89517402383689e-06	3.89871251423626e-06	1.95822254894883e-06	0.000828268447338071	1.02893916411e-06	1.00344717917846e-06	0	4.11575665643999e-07	1.17163896038008e-06
"Lagurus_lagurus"	0.00187917596321537	1.00381647333325	5.76173069048217e-05	0.00155938138179483	0.000235896190111573	0.000677053660581768	0.000707628574289629	3.36421411832146e-05	0.000406887702618199	4.70501313725411e-05	5.07338473308621e-05	0.000135199352845618	0.000192757954526668	5.28815843068615e-05	9.29624156074888e-05	0.000155611693742859	5.68673234564264e-08	0	0.000150510744992124	0.0502648092203536	0.0334196199859205	0.00131318706561241	0.013909813482985	4.99538025294364e-06	1.27457584459237e-05	2.42536366669687e-06	5.90762715478512e-06	5.36127704799029e-06	9.03118681574381e-07	4.74500903502071e-06	6.10633204033232e-06	2.3797885881138e-06	1.52598066162161e-06	6.8972124859356e-07	5.16548770280229e-06	0.00189004938262335	1.54664688330483e-06	4.98329981894105e-06	6.34173091635776e-07	0	1.99331992757642e-06	2.84336617282132e-09
"Clethrionomys_glareolus"	0.00125451044186977	7.56375345787577e-05	1.00727735017343	0.000103757912108894	0.000301736082146013	0.000307621210505135	2.80047129484139e-05	9.19862733405163e-05	7.48718441880524e-06	0.000173963839328841	0.000165687465314816	0.000148447494280272	1.57338012699631e-06	4.61719239293087e-08	0.000161733860938221	8.03499415211441e-07	6.62864332907776e-07	0	0.00175440302990701	5.57996543214346e-05	1.77517098454696e-05	0.0191072982762823	0.00126233180715584	0.0547194772657665	0.00374352716197022	6.6315685431535e-06	0.00332246492441651	6.8576382305912e-06	0.00829089717215666	3.23906604004034e-06	8.2477664986591e-08	8.04636931382977e-06	0.00414603471295094	0.00456024031966246	1.38384618349375e-06	2.21151470668192e-07	1.03251888219735e-06	1.97216288369112e-07	2.07109331643519e-06	0	7.88865153476448e-08	3.31432166453888e-08
"Cricetus_cricetus"	0.00276184133647511	0.00274830199332901	0.00013929929636719	1.0017516405351	0.000467730822829941	0.000611416359788808	0.000496008945096316	1.08761537914427e-05	0.000377596832871605	9.72028531381328e-05	7.27290512411155e-05	0.000116906429781962	0.000208156492596804	3.09200110187158e-05	7.66734289123829e-05	0.000129871067855942	3.83849081338334e-06	0	0.0101593336357817	0.0523114328646037	0.0106500791844652	0.00394038851381924	0.0211054604857371	9.63106573023782e-06	1.03775696432951e-05	7.84094808220288e-07	7.34483151651683e-06	1.06302459734078e-05	1.99691594426925e-06	7.27600294223997e-06	3.80209804194608e-06	3.81361320584757e-06	2.46751516781773e-06	1.48099262439076e-06	0.00276897056459083	6.56642834619457e-06	2.2731204415433e-06	3.4930207401149e-06	9.09113140513944e-07	0	1.39720829604596e-06	1.91924540669167e-07
"Microtus_oeconomus"	0.0036531018866017	0.00068409895132356	0.000666562436013464	0.000769629808474722	1.00317640392356	0.000344566889634851	0.000130965693129993	2.03918581595087e-07	0.000101590526521755	0.000168958356627492	7.51248570473659e-05	4.02802633171734e-05	0.000176251879688674	6.48803326534178e-06	5.0246703358028e-05	4.57613460648376e-05	1.07746278026265e-05	0	0.0285172074052115	0.0165886340355245	5.63578353585155e-05	0.0110201747010712	0.0055267423561426	3.82383796578541e-05	6.01259398997935e-06	1.47011070452272e-08	0.00183218743193804	0.0227994637255354	0.0018294432086273	0.00730019084408066	8.73542254963182e-07	4.86563799650985e-06	5.24861214175754e-06	0.00182697445886429	0.00365004024528034	1.65562393695427e-06	3.00666821942527e-06	9.22293613591497e-07	9.39060713092074e-07	0	3.68917445436599e-07	5.38731390131323e-07
"Microtus_gregalis"	0.00307063102345978	0.0022734749234272	0.000786862675292082	0.00116490906443973	0.000398972187998249	1.00084368810044	0.000385592642622462	1.7212677156306e-05	0.000265735872204347	0.000281486767311863	0.000148243416589696	8.73996101524238e-05	0.000127995916056736	2.93196314218698e-05	0.000121338299258424	9.52753897633584e-05	2.87190341618569e-06	0	0.00760106677161866	0.0318943722354258	0.0169730384967992	0.0285223876562343	0.0127273715721534	4.58603051263216e-05	1.16274832386142e-05	1.24091393452439e-06	0.00317019845654087	9.06754972723293e-06	7.20163998881306e-06	6.4134682144474e-06	3.36659223534798e-06	8.89974267921488e-06	5.34417494870526e-06	4.28733378402756e-06	4.668788797351e-06	5.36230484071313e-06	2.52726833206566e-06	2.71544114522861e-06	1.85304270737119e-06	0	1.08617645809144e-06	1.43595170809284e-07
"Spermophilus_pygmaeus"	0.00150019330127238	0.00317934528448439	9.58471161473885e-05	0.00126447350792159	0.000202904594990129	0.000515933817593435	1.00176195406707	0.000127146651942163	0.000324478991948162	2.31096136908539e-05	3.3940803059377e-05	0.000277898359564155	0.000223039990290219	0.000293700952100779	0.000120610062197783	0.000156386592514145	4.63942220659855e-08	0	0.000122791587542044	0.0581749006553477	0.0227247599173277	4.80261818839375e-05	9.62483815392916e-05	7.17032749990726e-06	0.00425294029076395	9.16638653536525e-06	5.22561384297641e-06	4.61146806795749e-06	1.15778259891305e-06	4.42608901168008e-06	0.00284470806672948	1.47900718206951e-06	1.42337174084822e-06	8.02793279848646e-07	4.2308556309881e-06	0.00282784461912659	1.234726996932e-06	0.00705466164835966	4.24260038242212e-07	0	0.00282186465934386	2.31971110329928e-09
"Marmota_bobak"	6.40023237495415e-05	0.000249577745056871	0.000519829405156872	4.57810194477007e-05	5.21652185475805e-07	3.80280076709086e-05	0.000209939820648688	1.00784352189637	1.66502112222024e-05	2.05567572883964e-07	1.73808881589966e-07	0.000923908542372456	2.3208101830601e-07	4.77352327621774e-06	0.000176732669730813	7.12736549893341e-06	4.46115144000725e-09	0	1.18073295162672e-05	5.80660085152799e-05	0.00471371399063385	1.50939362386878e-05	1.24356775880303e-05	3.02199882722885e-05	0.0234932544699637	0.0726584864622964	3.85098005265337e-06	1.18557314880865e-08	4.2793797766826e-06	5.82558823489461e-08	9.62653809069891e-07	8.75262047876268e-09	2.18311300047378e-06	2.354085683509e-06	1.28363821589753e-07	1.06080500228747e-06	5.26768096704045e-08	1.47844944118794e-06	2.17261101987457e-09	0	5.91379776475177e-07	2.23057572000363e-10
"Allocricetulus_eversmanni"	0.00205435017006028	0.00341571518776857	4.78785740465704e-05	0.00179855333552001	0.000294077839931396	0.000664339680510868	0.000606263379692619	1.88410284882816e-05	1.00044578935157	5.34158675692534e-05	6.42255500039297e-05	0.000136472598787005	0.000223604436341525	4.11861123452625e-05	8.56732250827851e-05	0.000150561080640705	6.26826531827393e-08	0	0.000165902178178756	0.0583100955548135	0.0185995076159969	6.21399990295395e-05	0.0238025686368089	4.51775356876846e-06	1.18835934441492e-05	1.35830670496914e-06	6.1231187125815e-06	6.6835872711681e-06	9.28749319525303e-07	5.54960523771262e-06	4.91114846166864e-06	2.92958932961824e-06	1.60605048994493e-06	7.51421267500968e-07	6.03775334327644e-06	8.13232684106716e-06	1.6908231852348e-06	4.26946042037055e-06	8.02819375049122e-07	0	1.70778416814822e-06	3.13413265913697e-09
"Neomys_fodiens"	0.00457498011431185	0.000405648429941638	0.00114251926910563	0.00047550584913519	0.000502308627811462	0.000722736294449378	4.43454749202872e-05	2.38902854973255e-07	5.48595396657197e-05	1.00084074803263	0.00111974200199458	2.60873806140873e-05	4.40808758747421e-05	2.21380055259889e-06	0.000110497428747606	2.31362685302002e-05	1.1361809872681e-05	0	0.0300713021900249	0.00557858883046244	5.0917969066202e-05	0.0406989186047575	0.00547238219908766	7.15440504099984e-05	7.6574347535744e-06	1.72232290794672e-08	0.00542889853568265	1.14161051775332e-05	1.03167391887346e-05	7.75765304932948e-06	2.9710131818573e-07	0.0135633661047324	7.83957183055257e-06	6.08518634019523e-06	3.14012889783954e-06	8.87891934099877e-07	3.76541573194391e-06	3.12292076903431e-07	1.39967750249323e-05	0	1.24916830761372e-07	5.68090493634051e-07
