"Memecylon_eleagni"	"Mimusops_sechellarum"	"Roscheria_melanochaetes"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Unidentified_sp1_M_PL_124"	"Unidentified_sp2_M_PL_124"	"Unidentified_sp4_M_PL_124"	"Cratopus_aurostriatus"	"Lasioglossum_mahense"	"Lygistorrhina_sp1_M_PL_124"	"Simosyrphus_aegyptius"	"Unidentified_sp3_M_PL_124"
"Memecylon_eleagni"	1.00961908975127	0.000481111758550078	8.08591190840467e-07	0	0.090877745871578	1.2068223523294e-05	4.04295595420233e-08	0	1.20277939637519e-05	0.00504809544875635	1.20277939637519e-05	0.00504809544875635	0
"Mimusops_sechellarum"	0.00240555879275039	1.00600468712821	0.00169076418004742	0	0.0253666174695528	0.0252346553872077	8.45382090023708e-05	0	0.0251501171782053	1.20277939637519e-05	0.0251501171782053	1.20277939637519e-05	0
"Roscheria_melanochaetes"	4.04295595420233e-06	0.00169076418004742	1.00840620296501	0	4.26329705370636e-05	0.0504625792527516	0.0504203101482504	0	4.22691045011854e-05	2.02147797710117e-08	4.22691045011854e-05	2.02147797710117e-08	0
"Excoecaria_benthiamiana"	0	0	0	1.01010101010101	0	0	0	0.0673400673400674	0	0	0	0	0.0336700336700337
"Apis_mellifera"	0.0956607851279768	0.00534034051990586	8.97536221832918e-06	0	1.00874297917452	0.000133957281108563	4.48768110916459e-07	0	0.000133508512997647	0.000478303925639884	0.000133508512997647	0.000478303925639884	0
"Unidentified_sp1_M_PL_124"	8.04548234886264e-05	0.0336462071829436	0.0672834390036688	0	0.000848396113687566	1.00420532712976	0.00336417195018344	0	0.000841155179573589	4.02274117443132e-07	0.000841155179573589	4.02274117443132e-07	0
"Unidentified_sp2_M_PL_124"	4.04295595420233e-07	0.000169076418004742	0.100840620296501	0	4.26329705370636e-06	0.00504625792527516	1.00504203101483	0	4.22691045011854e-06	2.02147797710117e-09	4.22691045011854e-06	2.02147797710117e-09	0
"Unidentified_sp4_M_PL_124"	0	0	0	0.101010101010101	0	0	0	1.00673400673401	0	0	0	0	0.00336700336700337
"Cratopus_aurostriatus"	0.000240555879275039	0.100600468712821	0.000169076418004742	0	0.00253666174695528	0.00252346553872077	8.45382090023708e-06	0	1.00251501171782	1.20277939637519e-06	0.00251501171782053	1.20277939637519e-06	0
"Lasioglossum_mahense"	0.100961908975127	4.81111758550078e-05	8.08591190840467e-08	0	0.0090877745871578	1.2068223523294e-06	4.04295595420233e-09	0	1.20277939637519e-06	1.00050480954488	1.20277939637519e-06	0.000504809544875635	0
"Lygistorrhina_sp1_M_PL_124"	0.000240555879275039	0.100600468712821	0.000169076418004742	0	0.00253666174695528	0.00252346553872077	8.45382090023708e-06	0	0.00251501171782053	1.20277939637519e-06	1.00251501171782	1.20277939637519e-06	0
"Simosyrphus_aegyptius"	0.100961908975127	4.81111758550078e-05	8.08591190840467e-08	0	0.0090877745871578	1.2068223523294e-06	4.04295595420233e-09	0	1.20277939637519e-06	0.000504809544875635	1.20277939637519e-06	1.00050480954488	0
"Unidentified_sp3_M_PL_124"	0	0	0	0.101010101010101	0	0	0	0.00673400673400673	0	0	0	0	1.003367003367
