"Sideroxylon_cinereum"	"Croton_fothergillifolius"	"Dodonaea_viscosa"	"Trochetia_blackburniana"	"Psiadia_terebinthina"	"Erythroxylum_macrocarpum"	"Claoxylon_linostachys"	"Apis_mellifera"	"Chaetocnema_sp1_M_PL_072"	"Fannia_pusio"	"Stomoxys_calcitrans"	"Stomorhina_lunata"	"Stomoxys_niger"	"Musca_domestica"	"Ophyra_capensis"	"Dysauxes_florida"	"Melanostoma_annulipes"	"Nacoleia_sp2_M_PL_072"	"Pachycerina_crinicornis"	"Nacoleia_sp1_M_PL_072"	"Orchisia_costata"	"Ceratitis_roas"	"Chrysomya_megacephala"	"Diptera_sp1_M_PL_072"	"Diptera_sp2_M_PL_072"	"Eristalinus_flaveolus"	"Graphomya_maculata"	"Henotesia_narcissus"	"Homoneura_sp1_M_PL_072"	"Homoneura_sp2_M_PL_072"	"Limnophora_quaterna"	"Lygistorrhina_sp1_M_PL_072"	"Orthellia_albigena"	"Paragus_borbonicus"	"Phorinia_sp1_M_PL_072"	"Sapromyza_sp1_M_PL_072"	"Technomyrmex_albipes"	"Unidentified_sp1_M_PL_072"
"Sideroxylon_cinereum"	1.00758015637822	0.000231286025996057	0.000341129254609784	0.00127933861074487	0.000492763568818806	0.000176336262618401	0	0.0533057754477029	0.00141869071935831	0.0153958599174758	0.00281737967432559	0.00280466708014539	0.00560662687304945	7.46504627551805e-06	0.00140697415225657	0.00140837622147353	5.6806401152767e-06	0.00280331343652473	0.00140617074769682	1.28492236664476e-06	6.75386383817558e-06	4.47966880744369e-06	0.00139941688385864	0	2.27419503073189e-06	0.00139941688385864	2.27419503073189e-06	0.00139941688385864	2.27419503073189e-06	0.00139941688385864	0.00139941688385864	2.27419503073189e-06	0.00139941688385864	0.00139941688385864	0.00139941688385864	0.00139941688385864	2.27419503073189e-06	4.47966880744369e-06
"Croton_fothergillifolius"	0.000462572051992113	1.00904910172161	0.000399858054491362	5.87334201273065e-07	7.18400603321563e-07	0.000188172538114067	0	2.44722583863777e-05	0.0840880676046507	9.73279337982192e-06	1.2005783154178e-05	0.00561244470599102	2.58290656244082e-06	0.00281091133253874	8.70699853106812e-06	6.55523012473682e-07	0.00280829052968074	1.29145328122041e-06	3.31471246117378e-06	0.00560582834289782	2.6722512778514e-06	6.53091457565058e-09	6.4246118332238e-07	0	2.66572036327575e-06	6.4246118332238e-07	2.66572036327575e-06	6.4246118332238e-07	2.66572036327575e-06	6.4246118332238e-07	6.4246118332238e-07	2.66572036327574e-06	6.4246118332238e-07	6.4246118332238e-07	6.4246118332238e-07	6.4246118332238e-07	2.66572036327575e-06	6.53091457565057e-09
"Dodonaea_viscosa"	0.00163742042212696	0.000959659330779269	1.00626345475658	2.07905560147102e-06	0.000900131029343826	0.000338265506578176	0	8.66273167279589e-05	8.22458059290043e-05	0.00673343917704858	0.0134474252009573	0.0134267258942091	2.54627988382698e-05	0.0201279348154949	1.67712881697966e-05	1.86402137460742e-05	1.23304491226522e-05	1.27313994191349e-05	0.00671888023609894	5.33144072655149e-06	0.00671660604106821	8.18300935767114e-06	2.27419503073189e-06	0	0.00670842303171054	2.27419503073189e-06	0.00670842303171054	2.27419503073189e-06	0.00670842303171053	2.27419503073189e-06	2.27419503073189e-06	0.00670842303171053	2.27419503073189e-06	2.27419503073189e-06	2.27419503073189e-06	2.27419503073189e-06	0.00670842303171054	8.18300935767114e-06
"Trochetia_blackburniana"	0.00767603166446922	1.7620026038192e-06	2.59881950183877e-06	1.00241552022197	3.75401275363164e-06	1.34337970719712e-06	0	0.1006466759156	1.08079886398589e-05	0.000117290031448292	2.14635981604596e-05	2.13667500091269e-05	4.2712875135501e-05	5.68708417140509e-08	1.07187285055633e-05	1.07294098668793e-05	4.32767290257648e-08	2.13564375677506e-05	1.07126079415556e-05	9.78890335455109e-09	5.14528520149704e-08	3.41273886693785e-08	1.06611550895406e-05	0	1.73254633455918e-08	1.06611550895406e-05	1.73254633455918e-08	1.06611550895406e-05	1.73254633455918e-08	1.06611550895406e-05	1.06611550895406e-05	1.73254633455918e-08	1.06611550895406e-05	1.06611550895406e-05	1.06611550895406e-05	1.06611550895406e-05	1.73254633455918e-08	3.41273886693785e-08
"Psiadia_terebinthina"	0.00322536154135946	2.35112924723421e-06	0.00122745140365067	4.09528664032543e-06	1.00518119407233	0.000460556667785349	0	0.000170636943346893	4.67559624471321e-06	5.74593662395517e-05	0.0183145058286729	2.5338418159381e-05	0.0182939403856357	2.45555589875891e-05	2.42178117125301e-05	0.0182805013792134	1.31652928512999e-05	0.00914697019281787	0.00915067353336809	1.30618291513011e-08	0.00914619386456065	0.00913801085520297	4.47966880744369e-06	0	8.18300935767115e-06	4.47966880744369e-06	8.18300935767115e-06	4.47966880744369e-06	8.18300935767114e-06	4.47966880744369e-06	4.47966880744369e-06	8.18300935767114e-06	4.47966880744369e-06	4.47966880744369e-06	4.47966880744369e-06	4.47966880744369e-06	8.18300935767114e-06	0.00913801085520297
"Erythroxylum_macrocarpum"	0.00181374441550356	0.00096774448172949	0.000724854656953235	2.30293664090935e-06	0.000723731906519834	1.00586863170366	0	9.5955693371223e-05	8.31644629434346e-05	3.2542348505437e-05	0.0287669654325898	2.00792659231613e-05	2.32351198006329e-05	1.71852722549799e-05	0.0431111747339087	1.56778514027014e-05	0.0287417919420777	1.16175599003165e-05	1.39308348140275e-05	5.37635823183049e-06	1.14117453480504e-05	6.57938096836212e-06	2.51908946597716e-06	0	4.83236437968823e-06	2.51908946597716e-06	4.83236437968823e-06	2.51908946597716e-06	4.83236437968823e-06	2.51908946597716e-06	2.51908946597716e-06	4.83236437968823e-06	2.51908946597716e-06	2.51908946597716e-06	2.51908946597716e-06	2.51908946597716e-06	4.83236437968823e-06	6.57938096836213e-06
"Claoxylon_linostachys"	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0767603166446922	1.7620026038192e-05	2.59881950183877e-05	0.024155202219744	3.75401275363164e-05	1.34337970719712e-05	0	1.006466759156	0.000108079886398589	0.00117290031448292	0.000214635981604596	0.000213667500091269	0.00042712875135501	5.68708417140509e-07	0.000107187285055633	0.000107294098668793	4.32767290257648e-07	0.000213564375677506	0.000107126079415556	9.78890335455109e-08	5.14528520149704e-07	3.41273886693785e-07	0.000106611550895406	0	1.73254633455918e-07	0.000106611550895406	1.73254633455918e-07	0.000106611550895406	1.73254633455918e-07	0.000106611550895406	0.000106611550895406	1.73254633455918e-07	0.000106611550895406	0.000106611550895406	0.000106611550895406	0.000106611550895406	1.73254633455918e-07	3.41273886693785e-07
"Chaetocnema_sp1_M_PL_072"	0.00329502360625157	0.0976506591537879	3.97963577075827e-05	4.18373753800987e-06	1.65908253844662e-06	1.87790722775498e-05	0	0.000174322397417078	1.00814213135116	5.06059474802272e-05	1.02501715127449e-05	0.000552187123418955	1.83358518384602e-05	0.000272047758136896	5.38123905867296e-06	4.60658681241207e-06	0.00027178837590496	9.16792591923014e-06	4.85681329526462e-06	0.000542503661965488	2.80391619915218e-07	1.50825685313329e-08	4.5764216753494e-06	0	2.65309051383885e-07	4.5764216753494e-06	2.65309051383885e-07	4.5764216753494e-06	2.65309051383885e-07	4.5764216753494e-06	4.5764216753494e-06	2.65309051383885e-07	4.5764216753494e-06	4.5764216753494e-06	4.5764216753494e-06	4.5764216753494e-06	2.65309051383885e-07	1.50825685313329e-08
"Fannia_pusio"	0.0923751595048548	2.91983801394658e-05	0.00841679897131074	0.000117290031448292	5.26710857195891e-05	1.89830366281716e-05	0	0.00488708464367883	0.000130732030990587	1.00146739915224	0.000370321680154489	0.000368983864798403	0.000514152986686518	0.000168417086037713	0.000129112391358267	0.000129256488749624	6.23479086589133e-07	0.00025707649334326	0.0001848896538397	1.62213222997032e-07	5.65908211940678e-05	4.78828051996264e-07	0.000128298832645632	0	5.61119931420716e-05	0.000128298832645632	5.61119931420716e-05	0.000128298832645632	5.61119931420715e-05	0.000128298832645632	0.000128298832645632	5.61119931420715e-05	0.000128298832645632	0.000128298832645632	0.000128298832645632	0.000128298832645632	5.61119931420715e-05	4.78828051996264e-07
