"Marmota_caudata"	"Cricetulus_migratorius"	"Microtus_juldaschi"	"Alticola_argentatus"	"Oropsylla_silantiewi"	"Citellophilus_lebedewi"	"Amphipsylla_anceps"	"Callopsylla_caspia"	"Rhadinopsylla_li"	"Neopsylla_meridiana"	"Amalaraeus_penicilliger"	"Amphipsylla_primaris"	"Amphipsylla_montana"	"Leptopsylla_nana"	"Neopsylla_pleskei"	"Amphipsylla_phaiomydis"	"Paraneopsylla_ioffi"	"Rhadinopsylla_dahurica"	"Pectinoctenus_pamirensis"	"Neopsylla_teratura"	"Frontopsylla_elata"	"Frontopsylla_protera"	"Paradoxopsyllus_naryni"
"Marmota_caudata"	1.01009788423166	1.27192054486751e-06	1.16325524968842e-06	6.90693555569627e-07	0.0772022905529999	0.0236923298670683	5.33039041716945e-06	6.21247781002465e-06	0.000101991525613116	3.22832825266217e-08	4.74136876264066e-08	2.7853966697329e-08	2.41401017700122e-08	1.99659732379091e-08	7.15905063035857e-09	1.27917634543873e-08	1.76321598595419e-06	4.12491304651005e-09	1.87353271748079e-09	1.04085150971155e-09	2.1948212258272e-09	1.51375121679822e-09	6.24510905826929e-10
"Cricetulus_migratorius"	0.000239166859901519	1.00769363758437	0.00126966655798919	0.000898539098746378	2.42686355819184e-05	5.60977329674136e-06	0.032012575238909	0.0145632020372785	0.000666009252499351	0.0173285365251056	0.00136960867316329	0.00991228771697133	0.0115569892431281	0.00282452599476637	0.00412567575852545	1.49172385623996e-05	0.00280542602500211	0.000663294631653288	0.00148432778040251	0.000824626544668063	2.39559727922489e-06	0.000331048416506838	0.000494775926800838
"Microtus_juldaschi"	0.000630407526588219	0.00365927484401602	1.00508866345583	0.000722664274576449	0.00478916662324938	1.47865105983979e-05	0.00960224883594005	0.0086178395544131	0.000954746651909197	0.00907075452558945	0.0384081272308889	0.0133106898916239	0.000998982668448061	0.00239499035297037	1.70177592439568e-05	0.00711624870362336	1.15459033465195e-05	0.00284698615422969	5.39009387825601e-06	2.99449659903111e-06	0.00189639370463364	0.000949394650956433	1.79669795941867e-06
"Alticola_argentatus"	0.000748620590560325	0.00517931499371733	0.0014453285491529	1.00272774596758	6.40350325980085e-05	1.75592546561229e-05	0.00585390612322182	0.0436014722141468	0.00568064724641704	0.000101959647722002	0.00195394302921304	6.9949948691437e-05	0.0123583054368301	0.0198831803314818	0.00285910067487868	0.0066320133829167	0.00190635097924619	7.48126607777755e-06	7.62910555539377e-06	4.23839197521876e-06	2.72703499840169e-06	3.05887428928835e-06	2.54303518513126e-06
"Oropsylla_silantiewi"	0.100998293820774	1.68844995394634e-07	1.1561054009051e-05	7.72903229909578e-08	1.00771940450167	0.00236896337530003	6.42317214881938e-07	7.19306640234346e-07	1.02088627118029e-05	1.06514811466323e-07	4.42086420825373e-07	1.54351218485212e-07	1.37889492957347e-08	2.92676416867238e-08	9.09601333783474e-10	8.23103182347352e-08	1.76432992081721e-07	3.28305009984217e-08	2.48707849190132e-10	1.38171027327851e-10	2.18133094510396e-08	1.0961923136451e-08	8.29026163967105e-11
"Citellophilus_lebedewi"	0.101009788423166	1.27192054486751e-07	1.16325524968842e-07	6.90693555569628e-08	0.00772022905529999	1.00236923298671	5.33039041716945e-07	6.21247781002465e-07	1.01991525613116e-05	3.22832825266217e-09	4.74136876264066e-09	2.7853966697329e-09	2.41401017700122e-09	1.99659732379091e-09	7.15905063035857e-10	1.27917634543873e-09	1.76321598595419e-07	4.12491304651005e-10	1.87353271748079e-10	1.04085150971155e-10	2.1948212258272e-10	1.51375121679822e-10	6.24510905826929e-11
"Amphipsylla_anceps"	0.00270977236738318	0.0865472719954577	0.00900741926203226	0.00274563738522794	0.000249597080213039	6.35590092751692e-05	1.00284851327086	0.00144215225419117	8.09719294934686e-05	0.00156803678228686	0.000462650694632239	0.000968857292805692	0.00103371041769796	0.000316441173375581	0.000361892079355041	8.18633076998467e-05	0.000245987722163156	8.21521212262285e-05	0.00012748370670362	7.08242815020112e-05	1.69951306830797e-05	3.68272779423443e-05	4.24945689012067e-05
"Callopsylla_caspia"	0.00448900362008636	0.0559629965080327	0.0114904527392175	0.0290676481427645	0.000397297034289437	0.000105291730833047	0.00204985163174342	1.00216502773614	0.000212464130797977	0.00106470136191704	0.000567140606688039	0.00070131549041527	0.0010084773336492	0.000758675816920053	0.000311248092814091	0.000273256540135361	0.000210559625168333	6.91571355192407e-05	8.24332190789352e-05	4.57962328216307e-05	2.16800995079575e-05	2.9158542882631e-05	2.74777396929784e-05
"Rhadinopsylla_li"	0.0915453623257099	0.00317915354122737	0.00158129914222461	0.00470428600093911	0.00700431665791594	0.00214724033767363	0.000142966063011905	0.000263920287475613	1.00003944408653	6.88055921083645e-05	7.34561307167764e-05	5.21042667214208e-05	9.56082462360894e-05	0.000105773033380307	2.63220101966679e-05	4.22544769559041e-05	1.78808084660541e-05	6.55665384488483e-06	4.68287755663606e-06	2.60159864257559e-06	2.98358328721624e-06	2.53243110063836e-06	1.56095918554535e-06
"Neopsylla_meridiana"	2.99115026571256e-05	0.085384966264835	0.015508064188911	8.71590536978405e-05	7.54373972401932e-05	7.01588627038227e-07	0.00285787349029702	0.00136522190761943	7.10251273376666e-05	1.00160632312187	0.000704486554894382	0.00104330106308294	0.000993923017120128	0.000275871004965246	0.000349612332315167	0.000110302447917658	0.00023773314902323	9.97892526241606e-05	0.000125771636069315	6.98731311496196e-05	2.92604984696434e-05	4.25795016946695e-05	4.19238786897717e-05
"Amalaraeus_penicilliger"	5.98610832021742e-05	0.00919594394838211	0.0894782744280048	0.00227602155051189	0.000426642544651705	1.40407038918286e-06	0.00114900062622952	0.000990937983114266	0.000103322909140081	0.000959959701174763	1.00343508028697	0.00127209239874141	0.000217681451607668	0.000281710755177686	4.40681823260675e-05	0.000648131329305302	2.98805805819531e-05	0.000259260657228556	1.35455802840326e-05	7.52532238001809e-06	0.000168826932883028	8.74235953935212e-05	4.51519342801086e-06
