"Ficus_gul"	"Homalanthus_sp1_M_SD_002"	"Gastonia_sp1_M_SD_002"	"Ficus_odoardi"	"Chisocheton_sp1_M_SD_002"	"Ficus_275"	"Schefflera_sp1_M_SD_002"	"Dysoxylum_sp1_M_SD_002"	"Cissus_hypoglauca"	"Endospermum_sp1_M_SD_002"	"Elmerrillia_sp1_M_SD_002"	"Ficus_371"	"Sloanea_sogerensis"	"Ficus_181"	"Pandanus_sp1_M_SD_002"	"Syzygium_sp1_M_SD_002"	"Ficus_217"	"Myristica_sp1_M_SD_002"	"Ficus_246"	"Aglaia_sp1_M_SD_002"	"Ficus_202"	"Zingiberaceae_sp1_M_SD_002"	"Cissus_aristata"	"Ficus_drupacea"	"Sloanea_aberrans"	"Uvaria_sp1_M_SD_002"	"Aporusa_sp1_M_SD_002"	"Canthium_sp1_M_SD_002"	"Glochidion_sp1_M_SD_002"	"Piper_sp1_M_SD_002"	"Sterculia_sp1_M_SD_002"	"Manucodia_keraudrenii"	"Diphyllodes_magnificus"	"Paradisaea_raggiana"	"Parotia_lawesii"	"Lophorina_superba"	"Manucodia_chalybatus"	"Paradisaea_rudolphi"	"Ptiloris_magnificus"	"Epimachus_albertisii"
"Ficus_gul"	1.00367000734957	0.00088262319810069	0.000665107793500047	0.00152367117157735	0.000323530046956803	0.000984911708359403	0.000190095534871005	0.000175299346649725	0.00029253419514492	8.56008826355288e-05	0.000203367972425758	0.000173963527690333	5.85931673554517e-05	0.000135559623246101	2.4777529373223e-05	0.000157237979752716	0.000163470127972921	7.53665278227452e-05	9.25306350351394e-05	2.81417070197364e-05	5.49105450745724e-05	2.0641544225936e-05	1.85838499694789e-05	3.63266951050936e-05	2.58678971094685e-06	3.63266951050936e-05	6.67874003738879e-07	1.29339485547342e-06	1.29339485547342e-06	1.81633475525468e-05	3.82594548864475e-06	0.0632084494828627	0.00337576057278564	0.0183989262251927	0.00493546968035173	0.000434118102430271	0.0102013685172632	0.000435650658560698	1.62096143711926e-05	4.14815628280969e-06
"Homalanthus_sp1_M_SD_002"	0.000904597219630167	1.00345314409994	0.00149639561859543	0.00048910321310589	0.000889288273237365	0.000376780738580397	0.000366256348268155	0.000438387587085304	0.000220265238784513	0.000383729628080745	0.0002603202689829	0.000219678541652219	0.00010999087263299	2.71192810715612e-05	0.000149655207531111	2.13103734155124e-05	4.73337457797137e-06	4.19253354518564e-05	3.54571235009565e-05	4.47176121753749e-05	1.77518237672068e-05	5.01999931139807e-05	1.66999627498799e-05	1.05186101732697e-06	3.33068774328455e-05	1.05186101732697e-06	1.09633697360742e-05	1.66534387164227e-05	1.66534387164227e-05	5.25930508663485e-07	3.29558793161935e-06	0.00183023817014893	0.0434654750498634	0.0313426650111083	0.00425130843178896	0.00712619032844825	2.74491797396963e-05	0.00960255723917652	0.0033568225503466	7.3950494803777e-06
"Gastonia_sp1_M_SD_002"	0.00125405820606497	0.0027529110235229	1.0016589386147	0.00061874947844382	0.000746426043754757	0.000373190355399329	0.000707264778615185	0.000360495944439372	0.000212456030885457	0.000307020919110325	0.000278043047416762	0.000128984472722366	0.000110443019101363	5.68735136114889e-05	0.000105973284206651	5.15888689491342e-05	3.40975934086701e-05	7.59563432988021e-05	4.93534859893091e-05	3.76007956832987e-05	2.47045566183259e-05	3.83132678047731e-05	1.71273136386215e-05	7.57724297970446e-06	3.41433727825574e-05	7.57724297970446e-06	8.98429112008158e-08	1.70716863912787e-05	1.70716863912787e-05	3.78862148985223e-06	1.31194477038252e-05	0.0131844027846858	0.0445571014812375	0.018524219971135	0.0169240875379345	5.83978922805303e-05	3.28200759322155e-05	0.00234513263167756	0.00537764010144026	6.29853377775725e-06
"Ficus_odoardi"	0.00339051152594239	0.0010619267960227	0.00073023587095622	1.00156389766553	0.000429842554848269	0.000933299765489149	0.000211240823878725	0.000188756338944531	0.000253436787477086	0.000108495454853129	0.000205342162869773	0.000162580429908371	5.93978628681596e-05	0.000109089221622439	3.30665173350065e-05	0.000127160038430255	0.000129251438613664	6.66766569737457e-05	9.22292168044695e-05	2.83061915654369e-05	6.06871223170205e-05	3.48410371435396e-05	3.19645804028731e-05	2.87225419141475e-05	5.63910514660288e-06	2.87225419141475e-05	1.43776475468115e-06	2.81955257330144e-06	2.81955257330144e-06	1.43612709570737e-05	4.25171037777905e-06	0.0499772229306166	0.00735903221631675	0.0182012240986611	0.00548470638733498	0.000934547090542747	0.0171955664194473	3.2435375398114e-05	0.00182080125599931	4.56523578416986e-06
"Chisocheton_sp1_M_SD_002"	0.000878152984597036	0.00235514806428797	0.00107452540364696	0.000524313446023713	1.0023257755952	0.000326757667544038	0.000525181281274697	0.000186119158728566	0.000276780858330258	0.000469518948792159	0.000263817643542687	0.00033533355400606	0.000128510271727388	3.89451757113794e-05	0.000124591929787436	3.30862799106202e-05	2.03597947307728e-05	4.45716816803495e-05	2.21003334989644e-05	2.77406805381853e-05	1.20049090724707e-05	1.89359424055626e-05	7.48051024341006e-06	4.52439882906063e-06	1.11420511948662e-05	4.52439882906063e-06	3.90501996458718e-05	5.57102559743309e-06	5.57102559743309e-06	2.26219941453031e-06	8.61268662247389e-06	0.00787245396256549	0.0145403768093004	0.0144735153962216	0.0111103657429913	0.0253826297698167	0.00112659594112641	0.00335411174189006	0.0176396126117274	0.00551043903446168
"Ficus_275"	0.00333250947896949	0.00124389257531337	0.000669697761059069	0.00141912704067528	0.00040732805132202	1.00094913088789	0.000154798631939466	0.000183951015675794	0.000292293713561722	0.000128531019152292	0.000204544707764594	0.000227035495307441	6.11796294470781e-05	0.00012298497562705	4.7492092863695e-05	0.000135983920602928	0.000142804757239066	6.15714582554714e-05	8.75386383601679e-05	2.48997537006607e-05	5.31200561034099e-05	3.37451441133011e-05	2.13856656058397e-05	3.17343904975702e-05	5.36838351837572e-06	3.17343904975702e-05	4.27122611573434e-06	2.68419175918786e-06	2.68419175918786e-06	1.58671952487851e-05	1.11966106864052e-06	0.0552178394657721	0.00700574049148031	0.0179936034248953	0.00144436277854627	0.00277629697522732	0.0110338695695246	0.00551491344651594	1.86587492876456e-05	4.81610885152927e-06
"Schefflera_sp1_M_SD_002"	0.000782559951885636	0.00147112966554375	0.00154419476664315	0.000390795524175641	0.000796524943266623	0.00018833833552635	1.00316744960463	7.8231995297507e-05	0.000221462926593579	0.00014307514133535	0.000138909592195934	0.000450576211670887	0.000127650155128037	0.000151669923350722	3.64163427255197e-05	6.13980802994131e-05	4.07691378854494e-07	0.000184474523718794	2.91668196465182e-06	6.11543007545623e-05	1.47590838400455e-06	3.21355527189312e-05	1.38531029981466e-06	9.05980841898875e-08	2.70035099291477e-06	9.05980841898875e-08	7.33927643324393e-08	1.35017549645738e-06	1.35017549645738e-06	4.52990420949438e-08	6.09763815666992e-05	0.000157640666490404	0.00352395804575377	0.000134625518816413	0.078659532221042	4.77052968160855e-05	2.07295339807931e-05	0.0167580381459157	0.00170052776973736	7.34381154851853e-06
"Dysoxylum_sp1_M_SD_002"	0.00139673995556394	0.00340810995121155	0.00152338608779219	0.000675869471704611	0.00054634978852579	0.000433174972397838	0.000151416765091949	1.00059539556327	0.000199560073286895	0.000280633818295732	0.000241219160555251	9.00466968774509e-05	9.13324435475401e-05	1.21230311527884e-05	0.000123527570881788	3.47198176089318e-05	8.87855784135222e-06	4.98655515578627e-05	3.3901107026781e-05	7.53531905104466e-05	1.69799361628746e-05	3.00424594118405e-05	1.50069233092407e-05	1.97301285363383e-06	2.98963160205453e-05	1.97301285363383e-06	8.69892110239134e-08	1.49481580102726e-05	1.49481580102726e-05	9.86506426816914e-07	2.56505403637141e-06	0.00343304236532286	0.0390146924068116	0.0550763565987169	0.00330891970691912	5.65429871655437e-05	3.467152639118e-05	4.98055126264816e-05	3.11949535365531e-05	4.87495261077821e-06
"Cissus_hypoglauca"	0.00240853154002651	0.00176946408490225	0.000927724668199828	0.000937716113665218	0.000839568603601783	0.000711248036333523	0.000442925853187157	0.000206212075729791	1.00034093685792	0.000175084945752117	0.000240201517126843	0.00030464769363328	7.41703526373339e-05	0.000115957585733742	6.88150230597695e-05	0.000113052945432401	0.000112927709488759	6.59951499970583e-05	6.0647845017432e-05	2.75217673776481e-05	3.03694877999353e-05	2.80861644264945e-05	5.27444124687766e-06	2.50950465530576e-05	1.03666213288781e-05	2.50950465530576e-05	5.21052453245922e-06	5.18331066443907e-06	5.18331066443907e-06	1.25475232765288e-05	5.24825514143129e-06	0.0436653810023203	0.013528440834186	0.0168536242587374	0.00677024913244637	0.00338684094609849	5.37670436387637e-05	0.0100481951336513	0.00336249027073076	0.00334111238829166
"Endospermum_sp1_M_SD_002"	0.000704780600365853	0.00308262801224865	0.00134065801344842	0.000401433182956579	0.00142420747800288	0.000312758813270576	0.000286150282670699	0.000289988278905589	0.000175084945752117	1.0007263995276	0.00035635684124291	0.000227902547438836	0.000187164831785642	2.43152871921761e-05	0.00019515345404881	2.39615737107411e-05	1.76519708644365e-05	4.39224846351294e-05	4.64427062219579e-05	1.43233164237578e-05	2.32419670285318e-05	3.8693879954299e-05	1.93193068364348e-05	3.922660192097e-06	3.85561580026583e-05	3.922660192097e-06	4.6307090722112e-05	1.92780790013292e-05	1.92780790013292e-05	1.9613300960485e-06	5.24474120165078e-06	0.00682542873424877	0.0503157861934691	0.00686945525139434	0.0067657161501295	0.0300996089693728	2.43244227123144e-05	5.50016464249921e-05	4.42214587862884e-05	1.05581835628621e-05
"Elmerrillia_sp1_M_SD_002"	0.00179399604247008	0.00224061374374568	0.00130084425755699	0.000814035002805172	0.000857407341513731	0.000533277273814835	0.00029766341184843	0.000267064070614742	0.000257358768350189	0.000381810901331689	1.00035524567067	0.000177648153453767	0.000119275768741341	6.93198604399178e-05	0.000111307851395939	7.51485025243567e-05	7.45929342568322e-05	6.14483338329009e-05	7.23175172749482e-05	1.53084830951049e-05	3.92234924486136e-05	3.92457027189919e-05	2.26472848359842e-05	1.65762076126294e-05	3.30356344274103e-05	1.65762076126294e-05	1.10866768184227e-05	1.65178172137052e-05	1.65178172137052e-05	8.2881038063147e-06	5.61126656320625e-06	0.0288426012459751	0.0431115029277705	0.00733756050913663	0.00723853386653606	0.00720633993197473	0.00361638589714466	4.59423815024012e-05	3.22847900554494e-05	0.0035789494600055
"Ficus_371"	0.00165265351305816	0.00203625109762249	0.000649883304870383	0.000694093373839582	0.00117366743902121	0.000637445813747816	0.00103979125770205	0.000107363369353884	0.000351516569576862	0.000262964477814042	0.000191313396027134	1.00058529034925	9.05174329991741e-05	0.00011838248397623	0.000105609820312162	7.08511355795759e-05	6.03551260261538e-05	6.14803031102832e-05	3.35653439166993e-05	2.7521575886512e-05	2.0078128703678e-05	5.40956235229353e-05	6.66587847564386e-06	1.34122502280342e-05	1.49929969974228e-07	1.34122502280342e-05	2.37803870529247e-05	7.4964984987114e-08	7.4964984987114e-08	6.7061251140171e-06	1.20424140579028e-05	0.0233373153967795	0.000195658610816368	0.0117125657836476	0.0155347141346946	0.0154572515844011	0.00388863895948748	0.0269922246355134	3.50232356595853e-05	0.0038567086691014
