"Saurauia_ferox"	"Fissistigma_sp."	"Goniothalamus_sp."	"Popowia_pisocarpa"	"Poikilospermum_sp."	"Combretaceae"	"Costus_sp."	"Tetracera_indica"	"Dryobalanops_lanceolata"	"Diospyros_sp."	"Glochidion_sp."	"Mallotus_floribundus"	"Mallotus_miquelianus"	"Mallotus_sp."	"Mallotus_wrayi"	"Bauhinia_sp."	"Spatholobus_sp."	"Fordia_sp."	"Ryparosa_hullettii"	"Lauraceae"	"Leea_indica"	"Magnolia_candollii"	"Aglaia_sp."	"Chisocheton_sp."	"Ardisia_sp."	"Chionanthus_pluriflorus"	"Passifloraceae"	"Uncaria_sp."	"Urophyllum_sp."	"Rubiaceae"	"Paranephelium_xestophyllum"	"Selaginella_sp."	"Pterospermum_sp."	"Brownlowia_peltata"	"Callicarpa_longifolia"	"Tetrastigma_sp."	"Globba_pendula"	"Zingiber_flagelliforme"	"Haaniella_echinata"	"Necrosciinae"	"Centrophasma_longipennis"	"Asceles_margaritatus"	"Lonchodes_hosei_herberti"	"Lonchodes_imitator"	"Dinophasma_ruficornis"	"Unidentified_juveniles"	"Acacus_sarawacus"	"Marmessoidea_rubescens"	"Lonchodes_thami"	"Lonchodes_malleti"
"Glochidion_sp."	0.000531418893539893	0.000265228888407599	6.67523472325384e-07	0.000531348683971006	0	0.000795686665222797	0.000265228888407599	1.00086372984e-06	0.000265228888407599	4.27121010050287e-07	1.00053045777682	0.000535813545392633	2.44484791881335e-06	4.07474653135558e-07	0.000266617126142345	0.000265228888407599	0.0010609155536304	0.000265228888407599	0.000265228888407599	0	0.000798689256412317	4.36773696472158e-07	0.000267246628158929	0.000265228888407599	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	0.000532225113294907	2.23383683482509e-07	2.23383683482509e-07	0.000265228888407599	0.000530457776815198	0.000795890402549365	0	0.000530457776815198	0.000265228888407599	0	0.100786977594888	2.88335017408706e-05	1.33504694465077e-05	8.55696771584671e-05	2.01045315134258e-05	0	4.00345491935998e-05	1.74709478588863e-05	4.45411046931549e-06	0	1.33056278323727e-05	0
"Mallotus_floribundus"	4.18011957152108e-05	2.0608213284332e-05	5.20812867237867e-08	4.14567042321342e-05	0	6.18246398529962e-05	2.0608213284332e-05	7.77668425823851e-08	2.0608213284332e-05	0.000203446852193931	4.12164265686641e-05	1.0049006711331	0.00243910386980622	0.000406517311634369	0.00022463983462481	2.0608213284332e-05	8.24328531373282e-05	2.0608213284332e-05	2.0608213284332e-05	0	6.20579403807433e-05	0.000193882139278072	0.00063202232041646	2.0608213284332e-05	1.8819637674631e-07	1.8819637674631e-07	1.8819637674631e-07	1.8819637674631e-07	0.000235687785310011	1.8819637674631e-07	1.8819637674631e-07	2.0608213284332e-05	4.12164265686641e-05	0.000265083295670181	0	4.12164265686641e-05	2.0608213284332e-05	0	0.00783112104804618	1.75430743964016e-05	1.04162573447573e-06	0.0853686354432176	1.69376739071679e-05	0	3.1106737032954e-06	0.00775528557112289	1.05337053402743e-05	0	5.89219463275028e-06	0
"Mallotus_miquelianus"	1.01081474222808e-06	2.03737326567779e-07	7.6662843432434e-10	6.10236233722175e-07	0	6.11211979703337e-07	2.03737326567779e-07	7.6882010025577e-10	2.03737326567779e-07	0.000240305545082405	4.07474653135558e-07	0.0052847250512468	1.00288124260156	0.000480207100260506	0.000241112622498066	2.03737326567779e-07	8.14949306271116e-07	2.03737326567779e-07	2.03737326567779e-07	0	6.13518440004104e-07	1.01973686405131e-06	0.000722321597134977	2.03737326567779e-07	2.01994952152293e-07	2.01994952152293e-07	2.01994952152293e-07	2.01994952152293e-07	1.43078848840788e-06	2.01994952152293e-07	2.01994952152293e-07	2.03737326567779e-07	4.07474653135558e-07	0.000240714762109956	0	4.07474653135558e-07	2.03737326567779e-07	0	7.7420184095756e-05	1.81002026727755e-05	1.53325686864868e-08	0.100843491054706	1.81795456937063e-05	0	3.07528040102308e-08	4.07894745620523e-05	1.2038693285583e-05	0	3.57697122101971e-08	0
"Mallotus_sp."	1.01081474222808e-06	2.03737326567779e-07	7.6662843432434e-10	6.10236233722175e-07	0	6.11211979703337e-07	2.03737326567779e-07	7.6882010025577e-10	2.03737326567779e-07	0.000240305545082405	4.07474653135558e-07	0.0052847250512468	0.00288124260156303	1.00048020710026	0.000241112622498066	2.03737326567779e-07	8.14949306271116e-07	2.03737326567779e-07	2.03737326567779e-07	0	6.13518440004104e-07	1.01973686405131e-06	0.000722321597134977	2.03737326567779e-07	2.01994952152293e-07	2.01994952152293e-07	2.01994952152293e-07	2.01994952152293e-07	1.43078848840788e-06	2.01994952152293e-07	2.01994952152293e-07	2.03737326567779e-07	4.07474653135558e-07	0.000240714762109956	0	4.07474653135558e-07	2.03737326567779e-07	0	7.7420184095756e-05	1.81002026727755e-05	1.53325686864868e-08	0.100843491054706	1.81795456937063e-05	0	3.07528040102308e-08	4.07894745620523e-05	1.2038693285583e-05	0	3.57697122101971e-08	0
"Mallotus_wrayi"	0.000969357996357283	6.66542815355862e-05	5.2025733140792e-07	0.000414124835800704	0	0.000199962844606759	6.66542815355862e-05	2.51525590700325e-07	6.66542815355862e-05	0.00034057417102264	0.000133308563071172	0.00146015892506126	0.000723337867494196	0.000120556311249033	1.00124327788584	6.66542815355862e-05	0.000266617126142345	6.66542815355862e-05	6.66542815355862e-05	0	0.00020071742137886	3.6546912536544e-07	0.00108534709351778	6.66542815355862e-05	0.000280296015398124	0.000280296015398124	0.000280296015398124	0.000280296015398124	0.000134009054833622	0.000280296015398124	0.000280296015398124	6.66542815355862e-05	0.000133308563071172	0.000260241000231275	0	0.000133308563071172	6.66542815355862e-05	0	0.0253286269835228	0.0250814829985833	1.04051466281584e-05	0.0253168253622969	0.0252266413858311	0	1.0061023628013e-05	1.46187650146176e-05	1.80891182252963e-05	0	3.35022637084055e-06	0
"Bauhinia_sp."	0.000531418893539893	0.000265228888407599	6.67523472325384e-07	0.000531348683971006	0	0.000795686665222797	0.000265228888407599	1.00086372984e-06	0.000265228888407599	4.27121010050287e-07	0.000530457776815198	0.000535813545392633	2.44484791881335e-06	4.07474653135558e-07	0.000266617126142345	1.00026522888841	0.0010609155536304	0.000265228888407599	0.000265228888407599	0	0.000798689256412317	4.36773696472158e-07	0.000267246628158929	0.000265228888407599	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	0.000532225113294907	2.23383683482509e-07	2.23383683482509e-07	0.000265228888407599	0.000530457776815198	0.000795890402549365	0	0.000530457776815198	0.000265228888407599	0	0.100786977594888	2.88335017408706e-05	1.33504694465077e-05	8.55696771584671e-05	2.01045315134258e-05	0	4.00345491935998e-05	1.74709478588863e-05	4.45411046931549e-06	0	1.33056278323727e-05	0
"Spatholobus_sp."	0.000531418893539893	0.000265228888407599	6.67523472325384e-07	0.000531348683971006	0	0.000795686665222797	0.000265228888407599	1.00086372984e-06	0.000265228888407599	4.27121010050287e-07	0.000530457776815198	0.000535813545392633	2.44484791881335e-06	4.07474653135558e-07	0.000266617126142345	0.000265228888407599	1.00106091555363	0.000265228888407599	0.000265228888407599	0	0.000798689256412317	4.36773696472158e-07	0.000267246628158929	0.000265228888407599	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	0.000532225113294907	2.23383683482509e-07	2.23383683482509e-07	0.000265228888407599	0.000530457776815198	0.000795890402549365	0	0.000530457776815198	0.000265228888407599	0	0.100786977594888	2.88335017408706e-05	1.33504694465077e-05	8.55696771584671e-05	2.01045315134258e-05	0	4.00345491935998e-05	1.74709478588863e-05	4.45411046931549e-06	0	1.33056278323727e-05	0
"Fordia_sp."	0.000531418893539893	0.000265228888407599	6.67523472325384e-07	0.000531348683971006	0	0.000795686665222797	0.000265228888407599	1.00086372984e-06	0.000265228888407599	4.27121010050287e-07	0.000530457776815198	0.000535813545392633	2.44484791881335e-06	4.07474653135558e-07	0.000266617126142345	0.000265228888407599	0.0010609155536304	1.00026522888841	0.000265228888407599	0	0.000798689256412317	4.36773696472158e-07	0.000267246628158929	0.000265228888407599	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	0.000532225113294907	2.23383683482509e-07	2.23383683482509e-07	0.000265228888407599	0.000530457776815198	0.000795890402549365	0	0.000530457776815198	0.000265228888407599	0	0.100786977594888	2.88335017408706e-05	1.33504694465077e-05	8.55696771584671e-05	2.01045315134258e-05	0	4.00345491935998e-05	1.74709478588863e-05	4.45411046931549e-06	0	1.33056278323727e-05	0
"Ryparosa_hullettii"	0.000531418893539893	0.000265228888407599	6.67523472325384e-07	0.000531348683971006	0	0.000795686665222797	0.000265228888407599	1.00086372984e-06	0.000265228888407599	4.27121010050287e-07	0.000530457776815198	0.000535813545392633	2.44484791881335e-06	4.07474653135558e-07	0.000266617126142345	0.000265228888407599	0.0010609155536304	0.000265228888407599	1.00026522888841	0	0.000798689256412317	4.36773696472158e-07	0.000267246628158929	0.000265228888407599	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	0.000532225113294907	2.23383683482509e-07	2.23383683482509e-07	0.000265228888407599	0.000530457776815198	0.000795890402549365	0	0.000530457776815198	0.000265228888407599	0	0.100786977594888	2.88335017408706e-05	1.33504694465077e-05	8.55696771584671e-05	2.01045315134258e-05	0	4.00345491935998e-05	1.74709478588863e-05	4.45411046931549e-06	0	1.33056278323727e-05	0
"Lauraceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0
"Leea_indica"	0.000266712123927569	0.000133114876068719	3.35021214412363e-07	0.000266676886672241	0	0.000399344628206158	0.000133114876068719	0.00125836395550718	0.000133114876068719	2.14366393723352e-07	0.000266229752137439	0.000268917741649888	1.22703688000821e-06	2.04506146668035e-07	0.000133811614252573	0.000133114876068719	0.000532459504274878	0.000133114876068719	0.000133114876068719	0	1.00417443649473	2.19210949550177e-07	0.000134127553000519	0.000133114876068719	1.12113320389335e-07	1.12113320389335e-07	1.12113320389335e-07	1.12113320389335e-07	0.000267116754974425	1.12113320389335e-07	1.12113320389335e-07	0.000133114876068719	0.000266229752137439	0.000399446881279492	0	0.000266229752137439	0.000133114876068719	0	0.0505836529061134	1.44711537039086e-05	6.70042428824725e-06	4.29462908002873e-05	1.00901988350401e-05	0	0.0503345582202871	8.76843798200709e-06	2.23545921667532e-06	0	6.67791887436063e-06	0
"Magnolia_candollii"	8.77688593338301e-07	4.36773696472158e-07	1.100342306275e-09	8.75872475794899e-07	0	1.31032108941647e-06	4.36773696472158e-07	1.64820262819682e-09	4.36773696472158e-07	1.02096160459562e-06	8.73547392944316e-07	0.00504093562122988	1.22368423686157e-05	2.03947372810261e-06	1.46187650146176e-06	4.36773696472158e-07	1.74709478588863e-06	4.36773696472158e-07	4.36773696472158e-07	0	1.31526569730106e-06	1.00250881393141	3.5059687703039e-06	4.36773696472158e-07	1.22474054430869e-09	1.22474054430869e-09	1.22474054430869e-09	1.22474054430869e-09	0.00251597742236275	1.22474054430869e-09	1.22474054430869e-09	4.36773696472158e-07	8.73547392944316e-07	2.33005795346778e-06	0	8.73547392944316e-07	4.36773696472158e-07	0	0.00016597400465942	1.24236011819552e-07	2.20068461255e-08	0.000428289482901549	1.10226648987782e-07	0	6.59281051278729e-08	0.100352557256556	5.84328128383984e-08	0	6.28994355590688e-05	0
"Aglaia_sp."	0.000647424041283518	4.45411046931549e-05	1.12423986103104e-07	8.94894929380709e-05	0	0.000133623314079465	4.45411046931549e-05	1.68079640351528e-07	4.45411046931549e-05	0.000120681792421488	8.90822093863098e-05	0.00273876338847133	0.00144464319426995	0.000240773865711659	0.00072356472901185	4.45411046931549e-05	0.00017816441877262	4.45411046931549e-05	4.45411046931549e-05	0	0.000134127553000519	5.84328128383984e-07	1.00263510223889	4.45411046931549e-05	2.94859565657969e-07	2.94859565657969e-07	2.94859565657969e-07	2.94859565657969e-07	8.9891265678891e-05	2.94859565657969e-07	2.94859565657969e-07	4.45411046931549e-05	8.90822093863098e-05	0.000254010246935294	0	8.90822093863098e-05	4.45411046931549e-05	0	0.0169256197833989	0.0167502549569162	2.24847972206208e-06	0.0505625117994484	2.65373609092172e-05	0	6.72318561406112e-06	2.33731251353594e-05	0.0167105850373148	0	2.24728164197228e-06	0
"Chisocheton_sp."	0.000531418893539893	0.000265228888407599	6.67523472325384e-07	0.000531348683971006	0	0.000795686665222797	0.000265228888407599	1.00086372984e-06	0.000265228888407599	4.27121010050287e-07	0.000530457776815198	0.000535813545392633	2.44484791881335e-06	4.07474653135558e-07	0.000266617126142345	0.000265228888407599	0.0010609155536304	0.000265228888407599	0.000265228888407599	0	0.000798689256412317	4.36773696472158e-07	0.000267246628158929	1.00026522888841	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	2.23383683482509e-07	0.000532225113294907	2.23383683482509e-07	2.23383683482509e-07	0.000265228888407599	0.000530457776815198	0.000795890402549365	0	0.000530457776815198	0.000265228888407599	0	0.100786977594888	2.88335017408706e-05	1.33504694465077e-05	8.55696771584671e-05	2.01045315134258e-05	0	4.00345491935998e-05	1.74709478588863e-05	4.45411046931549e-06	0	1.33056278323727e-05	0
"Ardisia_sp."	1.38360762531686e-06	2.23383683482509e-07	1.40914290574273e-06	0.00112167775297122	0	6.70151050447526e-07	2.23383683482509e-07	8.4295729616041e-10	2.23383683482509e-07	0.00112002383765066	4.46767366965017e-07	4.89310579540407e-06	2.42393942582751e-06	4.03989904304585e-07	0.00112118406159249	2.23383683482509e-07	8.93534733930035e-07	2.23383683482509e-07	2.23383683482509e-07	0	6.72679922336007e-07	1.22474054430869e-09	1.76915739394781e-06	2.23383683482509e-07	1.0011198218427	0.00111982184269851	0.00111982184269851	0.00111982184269851	4.49114894746192e-07	0.00111982184269851	0.00111982184269851	2.23383683482509e-07	4.46767366965017e-07	8.72146002599819e-07	0	4.46767366965017e-07	2.23383683482509e-07	0	8.48857997233533e-05	2.81052077505554e-05	2.81828581148547e-05	8.48378799039628e-05	0.100783965842866	0	3.37182918464164e-08	4.89896217723477e-08	2.94859565657969e-08	0	1.12278723686548e-08	0
"Chionanthus_pluriflorus"	1.38360762531686e-06	2.23383683482509e-07	1.40914290574273e-06	0.00112167775297122	0	6.70151050447526e-07	2.23383683482509e-07	8.4295729616041e-10	2.23383683482509e-07	0.00112002383765066	4.46767366965017e-07	4.89310579540407e-06	2.42393942582751e-06	4.03989904304585e-07	0.00112118406159249	2.23383683482509e-07	8.93534733930035e-07	2.23383683482509e-07	2.23383683482509e-07	0	6.72679922336007e-07	1.22474054430869e-09	1.76915739394781e-06	2.23383683482509e-07	0.00111982184269851	1.0011198218427	0.00111982184269851	0.00111982184269851	4.49114894746192e-07	0.00111982184269851	0.00111982184269851	2.23383683482509e-07	4.46767366965017e-07	8.72146002599819e-07	0	4.46767366965017e-07	2.23383683482509e-07	0	8.48857997233533e-05	2.81052077505554e-05	2.81828581148547e-05	8.48378799039628e-05	0.100783965842866	0	3.37182918464164e-08	4.89896217723477e-08	2.94859565657969e-08	0	1.12278723686548e-08	0
"Passifloraceae"	1.38360762531686e-06	2.23383683482509e-07	1.40914290574273e-06	0.00112167775297122	0	6.70151050447526e-07	2.23383683482509e-07	8.4295729616041e-10	2.23383683482509e-07	0.00112002383765066	4.46767366965017e-07	4.89310579540407e-06	2.42393942582751e-06	4.03989904304585e-07	0.00112118406159249	2.23383683482509e-07	8.93534733930035e-07	2.23383683482509e-07	2.23383683482509e-07	0	6.72679922336007e-07	1.22474054430869e-09	1.76915739394781e-06	2.23383683482509e-07	0.00111982184269851	0.00111982184269851	1.0011198218427	0.00111982184269851	4.49114894746192e-07	0.00111982184269851	0.00111982184269851	2.23383683482509e-07	4.46767366965017e-07	8.72146002599819e-07	0	4.46767366965017e-07	2.23383683482509e-07	0	8.48857997233533e-05	2.81052077505554e-05	2.81828581148547e-05	8.48378799039628e-05	0.100783965842866	0	3.37182918464164e-08	4.89896217723477e-08	2.94859565657969e-08	0	1.12278723686548e-08	0
"Uncaria_sp."	1.38360762531686e-06	2.23383683482509e-07	1.40914290574273e-06	0.00112167775297122	0	6.70151050447526e-07	2.23383683482509e-07	8.4295729616041e-10	2.23383683482509e-07	0.00112002383765066	4.46767366965017e-07	4.89310579540407e-06	2.42393942582751e-06	4.03989904304585e-07	0.00112118406159249	2.23383683482509e-07	8.93534733930035e-07	2.23383683482509e-07	2.23383683482509e-07	0	6.72679922336007e-07	1.22474054430869e-09	1.76915739394781e-06	2.23383683482509e-07	0.00111982184269851	0.00111982184269851	0.00111982184269851	1.0011198218427	4.49114894746192e-07	0.00111982184269851	0.00111982184269851	2.23383683482509e-07	4.46767366965017e-07	8.72146002599819e-07	0	4.46767366965017e-07	2.23383683482509e-07	0	8.48857997233533e-05	2.81052077505554e-05	2.81828581148547e-05	8.48378799039628e-05	0.100783965842866	0	3.37182918464164e-08	4.89896217723477e-08	2.94859565657969e-08	0	1.12278723686548e-08	0
"Urophyllum_sp."	0.00026659535731156	0.000133056278323727	3.34874006756151e-07	0.000266559709377896	0	0.000399168834971181	0.000133056278323727	5.02099163485761e-07	0.000133056278323727	4.69975845788519e-07	0.000266112556647454	0.00153197060451507	4.29236546522365e-06	7.15394244203942e-07	0.000134009054833622	0.000133056278323727	0.000532225113294907	0.000133056278323727	0.000133056278323727	0	0.000400675132461638	0.000628994355590688	0.000134836898518337	0.000133056278323727	1.12278723686548e-07	1.12278723686548e-07	1.12278723686548e-07	1.12278723686548e-07	1.00340361595212	1.12278723686548e-07	1.12278723686548e-07	0.000133056278323727	0.000266112556647454	0.000399526532093282	0	0.000266112556647454	0.000133056278323727	0	0.0505613857630162	1.44840199231982e-05	6.69748013512303e-06	0.000150232791282828	1.01050851317893e-05	0	2.00839665394305e-05	0.0251597742236275	2.24728164197228e-06	0	0.025085090398803	0
