"Nephrosperma_vanhoutteanum"	"Canthium_bibracteatum"	"Deckenia_nobilis"	"Paragenipa_wrightii"	"Phoenicophorium_borsigianum"	"Medusagyne_oppositifolia"	"Psychotria_pervillei"	"Alstonia_macrophylla"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_germana"	"Megachile_seychellensis"	"Ornidia_obesa"	"Neophyllomyza_approximatonervis"	"Phelsuma_sp1_M_PL_090"	"Melanostoma_annulipes"	"Polistes_olivaceus"	"Ceratina_tabescens"	"Rhiparida_seychellensis"	"Unidentified_sp2_M_PL_090"	"Euodynerus_cylindricus"	"Nectarinia_dussumieri"	"Unidentified_sp5_M_PL_090"	"Rhynchium_brunneum"	"Unidentified_sp1_M_PL_090"	"Eagris_sabadius"	"Pachycerina_seychellensis"	"Scaptodrosophila_sp1_M_PL_090"	"Tricimba_seychellensis"	"Unidentified_sp3_M_PL_090"	"Unidentified_sp4_M_PL_090"
"Nephrosperma_vanhoutteanum"	1.00357446588018	0.00133677924991089	0.00135770577331976	0.00135080869406367	0.00126105615180885	0.000630475162552907	0.000422699523158787	0.000167019666011426	0	0.0351100337400115	0.0297082486090087	0.00517991192350062	0.00388867750196427	0.00260328138309587	2.2827911494655e-05	0.00130152845401749	0.00515016345685315	0.00129463985245965	0.00514653572246248	0.00514653572246248	0.00386200337572204	3.34039332022852e-06	0	4.19278071825659e-06	2.22692888015235e-06	0.00128913542819722	1.11346444007617e-06	2.50149758159939e-06	1.96585183810425e-06	0.00128663393061562	2.10158387517636e-06	2.50149758159939e-06
"Canthium_bibracteatum"	0.00153336443372131	1.00300249939438	0.00121947233915724	0.00136314989806492	0.00121364317720579	0.000859314956767849	0.000630997553607463	0.000278568348107581	0	0.0652664297548198	0.00605377990045228	0.00445786683145214	0.0162391173074998	3.44786488578013e-05	0.00444310969145524	1.59329082037072e-05	1.19788117826846e-05	0.00148368493058881	7.863407352417e-06	7.863407352417e-06	8.76193870353892e-06	5.57136696215162e-06	0	0.0014787179202214	3.71424464143441e-06	4.49020350118744e-06	1.8571223207172e-06	2.52435166308319e-06	0.00147500367557997	1.96585183810425e-06	2.86438318922616e-06	2.52435166308319e-06
"Deckenia_nobilis"	0.00196113056146188	0.0015356318344943	1.00234125622032	0.00125089338452106	0.00159220595490599	0.00080628603456619	0.000466242853493912	0.000147363257245182	0	0.0505271331416897	0.0168655908159742	0.0167286433988604	4.02162265713223e-05	0.00930763343208549	2.56203663344377e-05	0.00557951714279586	0.00186722701303645	1.11333775343704e-05	1.00570798023686e-05	1.00570798023686e-05	1.02304299669971e-05	2.94726514490365e-06	0	4.2231255394862e-06	1.96484342993577e-06	4.83073918118672e-06	9.82421714967883e-07	2.31646923059456e-06	2.25828210955044e-06	2.51426995059216e-06	2.68762011522063e-06	2.31646923059456e-06
"Paragenipa_wrightii"	0.00195116811364753	0.00171655913089657	0.00125089338452106	1.0021559833542	0.00151249627195815	0.000773404561746796	0.00057545530759874	0.000165049976444613	0	0.0560925609412389	0.0298372845438008	4.42445617446833e-05	0.00189705413347969	3.73849382883273e-05	0.00373309713528698	0.00187111261224595	1.34227927332895e-05	0.0018648792427167	1.00059903263976e-05	1.00059903263976e-05	1.00825079506208e-05	3.30099952889226e-06	0	4.72501801567802e-06	2.20066635259484e-06	0.00185834591120048	1.10033317629742e-06	0.00185584441361888	2.52435166308319e-06	2.50149758159939e-06	2.57801520582265e-06	0.00185584441361888
"Phoenicophorium_borsigianum"	0.00189158422771328	0.00158707184711527	0.0016534446454793	0.001570669205495	1.00191147449306	0.000727869515939899	0.00046890251921417	0.000289993646992456	0	0.0428282058096706	0.029050331447134	0.00389776530138294	0.0019650779352453	0.00966070982084927	0.0077236970051287	0.00386802522937424	1.46956574456062e-05	0.00193635381039155	9.70043193699116e-06	9.70043193699116e-06	9.70155567254304e-06	5.79987293984912e-06	0	6.20051114683362e-06	3.86658195989941e-06	5.33375466109038e-06	1.9332909799497e-06	2.90864667684259e-06	2.33392918693422e-06	2.42510798424779e-06	2.42623171979966e-06	2.90864667684259e-06
"Medusagyne_oppositifolia"	0.00163923542263756	0.00194778056867379	0.00145131486221914	0.00139212821114423	0.00126164049429583	1.00160442788163	0.000670637271866528	0.000133845388542536	0	0.083907824231839	0.00351089469784099	4.60405295449689e-05	4.63468834845683e-05	0.00670802758205994	2.52387120390896e-05	1.75949228662602e-05	1.19862582062096e-05	1.08625165803084e-05	8.40633550070543e-06	8.40633550070543e-06	0.00334498617789763	2.67690777085072e-06	0	4.64898836979331e-06	1.78460518056715e-06	4.67959908099901e-06	8.92302590283573e-07	2.57801520582265e-06	2.86438318922616e-06	2.10158387517636e-06	0.0033386814262721	2.57801520582265e-06
"Psychotria_pervillei"	0.00173529277928344	0.00225830703396355	0.0013251112678248	0.00163550455843852	0.00128331215784931	0.00105890095557873	1.0007199554939	8.46258541705507e-05	0	0.0795111815835865	0.0159763873231152	4.58830603859531e-05	0.0053156493946309	3.66820694853004e-05	2.70205202637295e-05	1.75509917350926e-05	1.19170194460268e-05	1.1606566590501e-05	8.89893732965868e-06	8.89893732965868e-06	1.02038728491731e-05	1.69251708341102e-06	0	4.44938447810276e-06	1.12834472227401e-06	5.2534464776712e-06	5.64172361137005e-07	3.02871214525653e-06	3.32103975582875e-06	2.22473433241467e-06	3.52966985192909e-06	3.02871214525653e-06
"Alstonia_macrophylla"	0.000868502263259414	0.0012628431780877	0.000530507726082657	0.000594179915200606	0.00100531130957385	0.000267690777085072	0.000107192748616031	1.00546478218311	0	0.0136508119510944	9.10694820330306e-05	2.27336021170667e-05	2.73665353655019e-05	0.00672168864542268	0.0134217022930093	9.02764472117665e-06	0.00670853482736264	0.0067091027588044	4.45385776030469e-06	4.45385776030469e-06	4.23269591051209e-06	0.0201092956436621	0	0.0134080542180954	0.0134061970957747	2.21379761637359e-06	0.00670309854788737	1.10033317629742e-06	1.85712232071721e-06	1.11346444007617e-06	8.92302590283573e-07	1.10033317629742e-06
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0142634512068797	0.0231151938714987	0.0142107561961002	0.0157760327647234	0.0115993057401191	0.0131105975362248	0.00786829401087575	0.00106646968367925	0	1.00579509829402	0.00176337818984491	0.000456583351103674	0.00052171498794664	0.00037419959513104	0.000263853572024901	0.000171062711315448	0.000106571916694182	0.000110910438644185	7.3145903625024e-05	7.3145903625024e-05	9.85614195061842e-05	2.13293936735851e-05	0	4.82125279463587e-05	1.421959578239e-05	4.75013513964846e-05	7.10979789119502e-06	2.92148754902286e-05	3.39929321639687e-05	1.8286475906256e-05	4.37019917874161e-05	2.92148754902286e-05
