"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Cecropia_schreberiana"	"Ficus_sp1_M_SD_004"	"Guarea_guidonia"	"Cordia_sulcata"	"Alchornea_latifolia"	"Miconia_serrulata"	"Clusia_rosea"	"Anthurium_scandens"	"Miconia_affinis"	"Inga_vera"	"Musa_acuminata"	"Inga_laurina"	"Dendropemon_bicolor"	"Myrcine_coriacea"	"Syzigium_jambos"	"Andira_inermis"	"Coffea_arabica"	"Miconia_racemosa"	"Palicourea_guianensis"	"Tilandsia_sp1_M_SD_004"	"Buchenavia_capitata"	"Casearia_arborea"	"Citrus_sinensis"	"Dendropanax_arboreus"	"Henriettea_fascicularis"	"Momordica_charantia"	"Palicourea_crocea"	"Philodendron_angustatum"	"Piper_sp1_M_SD_004"	"Solanum_rugosum"	"Unidentified_sp1_M_SD_004"	"Zanthoxylum_martinicensis"	"Spindalis_portoricensis"	"Euphonia_musica"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"	"Vireo_altiloquous"	"Melanerpes_portoricensis"	"Columba_squamosa"	"Margarops_fuscatus"	"Tyrannus_dominicensis"	"Zenaida_asiatica"	"Coereba_flaveola"	"Dendroica_tigrina"	"Vireo_flavirostris"	"Dendroica_caerulescens"	"Icterus_dominicensis"	"Myarchus_antillarum"	"Tiaris_bicolor"	"Todus_mexicanus"	"Tyrannus_caudifasciatus"	"Vireo_latimeri"
"Phoradendron_sp1_M_SD_004"	1.00536046674875	0.000570761526821824	0.000421794878929006	0.000266738370276843	0.000435616854359204	0.000199782743552314	0.000283215358011849	0.000288945070721501	3.64143464943127e-05	0.0014656261655576	7.02604147064006e-05	4.53530355099223e-05	9.52802711787602e-05	3.13446945321438e-05	3.40031244307001e-05	3.14888354125712e-05	5.94606403782769e-05	1.27437031762092e-05	2.36559547802144e-05	2.86845328164721e-05	4.14132907902605e-05	1.59557748426838e-05	2.08516521841153e-05	1.24536895982391e-05	1.24536895982391e-05	7.1350979840112e-06	9.11556917233495e-05	9.11556917233495e-05	1.80473495880163e-05	5.31859161422792e-06	0	6.63697674513233e-08	5.31859161422792e-06	1.80473495880163e-05	0.0127004744115399	0.0692783257097457	0.0038293859622441	0.0113698302404503	0.00128997919420555	2.90760511451797e-06	3.65872773603733e-06	3.31848837256616e-06	3.12928411379827e-06	5.24472885207128e-06	0.00125896612854288	3.03244488682023e-06	0.00125784694357899	7.66899779870921e-07	2.02301924968404e-07	2.02301924968404e-07	0	1.04894577041426e-06	7.31745547207467e-07	1.04894577041426e-06
"Schefflera_morototoni"	0.000585396437765973	1.00361116046436	0.00145866637750461	0.00144673782899858	0.000217409581568944	0.00113912100271654	0.000177711551869456	0.000334912962527717	0.000204507775738773	6.88324999583896e-05	0.000162611420443213	6.669615054702e-05	7.09949748123515e-05	0.00017122978641219	2.39461899509005e-05	2.51696625525079e-05	1.36406339012237e-05	5.76793221452462e-05	1.91183931601806e-05	1.66714479569658e-05	1.15186699321274e-05	2.18242259818042e-05	1.06201785646385e-05	4.79576349480967e-05	4.79576349480967e-05	4.0682892954162e-05	1.75935043776423e-06	1.75935043776423e-06	2.12196396909633e-06	7.27474199393473e-06	0	2.59222859857914e-05	7.27474199393473e-06	2.12196396909633e-06	0.0724155494584083	0.00133710633270081	0.00523781423563301	0.00133683730053069	0.00390917871394938	1.13648249880956e-05	0.00643340487477155	0.00129611429928957	0.0051478600541269	3.29095466424918e-06	0.00129271696187426	0.00129463733701343	1.30387602502048e-06	2.65212068637201e-06	1.13615430965985e-06	1.13615430965985e-06	0	6.58190932849837e-07	0.00128668097495431	6.58190932849837e-07
"Cecropia_schreberiana"	0.000613519823896736	0.00206865413537017	1.00221343007676	0.00113067521174861	0.000635262859611672	0.000837186379587116	0.00038363446720683	0.000363739716272724	0.000466169146805282	3.09815860963519e-05	0.000229334009162211	0.000138833752737984	0.000145909875287325	0.000135626889721269	6.35414734073796e-05	6.42196942464868e-05	6.7819502978693e-05	6.19571845457585e-05	4.95473004301633e-05	4.81908587519489e-05	5.03298735376056e-05	4.60518439662922e-05	3.35184649356254e-05	4.52501282121134e-05	4.52501282121134e-05	2.98995135566827e-05	6.7629533729322e-08	6.7629533729322e-08	1.74896294410874e-05	1.53506146554307e-05	0	3.66604567051371e-05	1.53506146554307e-05	1.74896294410874e-05	0.0532211341308952	5.13984456342847e-05	0.0110524425519101	0.0110184665478851	0.00737326432748745	0.00547438819528969	1.32606034318601e-05	0.00183302283525686	1.31983113388507e-05	7.10434198531166e-06	0.00364783149347264	0.00546927083019597	2.43864414727006e-06	0.0018222062365032	2.58982859336268e-06	2.58982859336268e-06	0	1.42086839706233e-06	2.65212068637201e-06	1.42086839706233e-06
"Ficus_sp1_M_SD_004"	0.000533476740553685	0.00282113876654723	0.00155467841615434	1.00174769786894	0.000199955166986566	0.0013468937302963	0.000162588537310067	0.000457663903104222	7.60189317492215e-05	4.91456319171283e-05	0.000242520080471912	0.000118161130035763	9.06747717225985e-05	0.00019796549841815	4.23141433948625e-05	3.37901240631916e-05	1.43334085246465e-05	5.92075642622255e-05	1.11899770240281e-05	2.82380156873699e-05	1.42476482522619e-05	4.22283831224779e-05	5.63786864820636e-06	6.21794752180747e-05	6.21794752180747e-05	4.81033475105821e-05	6.51427754091389e-08	6.51427754091389e-08	8.57602723846392e-08	1.40761277074926e-05	0	5.03274343703821e-05	1.40761277074926e-05	8.57602723846392e-08	0.0856239585688361	4.95085093109455e-05	0.0101348119493947	5.40289716023227e-05	0.00255396985287799	9.74704628393494e-06	1.80842228624822e-05	0.00251637171851911	1.48897056885926e-05	3.01089883907531e-06	9.93706655693161e-06	1.2096908660611e-05	1.19304373355149e-06	2.82668802937153e-06	4.22327398606786e-07	4.22327398606786e-07	0	6.02179767815062e-07	3.61684457249645e-06	6.02179767815062e-07
"Guarea_guidonia"	0.000917088114440429	0.000446261772694147	0.000919459402069525	0.000210479123143753	1.00262047344099	2.40244426489507e-06	0.00124578026223707	0.00022286804091314	0.000906959711217523	1.47541951757018e-06	0.000265892475569786	0.000228690950877054	0.000341510473178691	8.09144710767977e-05	0.000127014829621773	0.000189071133609538	0.000232924802741506	0.000161228331087371	0.000232612476831826	0.000108499868856296	0.000161454855416163	5.554488229643e-05	0.000152041212078584	1.86007623463658e-05	1.86007623463658e-05	8.58015808891096e-08	8.68511210425668e-08	8.68511210425668e-08	7.14699473253431e-05	1.85149607654767e-05	0	5.29307615783758e-05	1.85149607654767e-05	7.14699473253431e-05	0.000152726813982615	6.60068519923508e-05	0.0133307717511432	0.0450260668149661	0.037062781786491	2.01312282891561e-05	2.86065238906505e-06	0.00264653807891879	7.32718697357161e-06	2.3070004856242e-05	5.06197935566182e-06	5.58736358001042e-06	0.00263962129025093	1.67174436739914e-06	5.03866506231957e-06	5.03866506231957e-06	0	4.6140009712484e-06	5.72130477813009e-07	4.6140009712484e-06
"Cordia_sulcata"	0.000570807838720896	0.00317326565042464	0.00164447324561755	0.00192413390042328	3.26046007378617e-06	1.00158388585985	0.000171312263001842	0.000341091293390753	1.88899387892012e-06	5.76655271282252e-05	0.000114515567219029	1.12254482868917e-06	5.72114711912467e-05	0.000226358680917574	4.5163764314298e-07	4.11750952986649e-07	3.2164046823294e-07	5.67458968725066e-05	2.42705205180818e-07	3.2247858549348e-07	2.5747999803846e-07	3.874771729485e-07	1.53432837687649e-07	5.66965111951698e-05	5.66965111951698e-05	5.65673521375203e-05	6.86359369190585e-08	6.86359369190585e-08	6.416047019448e-08	1.291590576495e-07	0	2.38019149503639e-07	1.291590576495e-07	6.416047019448e-08	0.100689886804786	5.21633120584844e-05	9.299452150764e-05	4.04210962225224e-05	4.10652890468577e-05	9.00133729832015e-06	2.0341446477081e-05	1.1900957475182e-05	1.62836515921032e-05	3.17244931484892e-06	1.07617018051539e-05	1.3038143362421e-05	7.22089956490031e-07	2.98995135566827e-06	1.04944104384451e-08	1.04944104384451e-08	0	6.34489862969784e-07	4.0682892954162e-06	6.34489862969784e-07
"Alchornea_latifolia"	0.000839156616331404	0.000513388927622873	0.000781477618384282	0.000240871907126025	0.00175332036907439	0.00017765716163154	1.00385575365454	3.97462149698479e-05	0.000270364510419246	7.5970742381666e-06	3.8449104400224e-05	2.5505923600728e-05	0.000338340059475546	4.98719839591179e-05	8.3283846694075e-05	0.000107649544364351	0.000248838005921824	5.53296775103508e-05	0.000131888550264577	8.31571549240248e-05	0.000165934234537899	3.80075310150553e-07	0.000107396160824251	6.47159039974803e-06	6.47159039974803e-06	6.34489862969785e-06	7.82609755292969e-08	7.82609755292969e-08	8.29037713839244e-05	1.26691770050184e-07	0	1.46197195771055e-07	1.26691770050184e-07	8.29037713839244e-05	0.0112939195608622	5.94783414022657e-05	9.12180744361327e-05	0.0522293759718724	0.0112664991425502	8.7686803648411e-06	3.29095466424918e-06	7.30985978855274e-06	4.13478878928405e-06	0.018589921363973	4.54887349738876e-06	4.92079612403683e-06	5.66294674166265e-06	1.42086839706233e-06	1.5020250578847e-06	1.5020250578847e-06	0	0.0037179842727946	6.58190932849836e-07	0.0037179842727946
"Miconia_serrulata"	0.001155780282886	0.0013061605538581	0.00100028421974999	0.000915327806208444	0.000423449277734965	0.000477527810747055	5.36573902092946e-05	1.00113457297408	8.57812056932855e-05	0.000230039686713138	0.000872254764837319	0.000670541894529555	0.000269024116832253	6.83451893329507e-05	0.000251546596630454	0.000167871656800909	8.42248260166058e-05	1.73084259791378e-05	3.94846487020587e-07	0.000167744726146109	8.40838408391854e-05	0.000251405611453033	2.67915832220543e-07	0.000100856435153882	0.000100856435153882	1.70545646695377e-05	1.3311570127725e-05	1.3311570127725e-05	1.409851774205e-07	8.38018704843443e-05	0	1.38194851985752e-07	8.38018704843443e-05	1.409851774205e-07	0.0303571251117771	0.010116793297071	0.0603373467487279	8.88206617749147e-05	5.83881012080201e-05	6.88578250564561e-06	8.37282406319292e-06	6.90974259928759e-06	7.17482150440593e-06	9.93655374246196e-07	6.75668732897333e-06	7.13066055672944e-06	2.5590655581732e-06	1.81869858136362e-06	4.76562253851586e-07	4.76562253851586e-07	0	1.98731074849239e-07	1.67456481263859e-06	1.98731074849239e-07
"Clusia_rosea"	0.000161841539974723	0.000886200361534683	0.00142440572634947	0.000168930959442714	0.00191469272368144	2.93843492276463e-06	0.00040554676562887	9.53124507703173e-05	1.00354112518912	3.84007575404721e-07	0.000212712591984754	0.000196728053240963	2.47075377562246e-05	0.000134049227518412	2.389713026486e-05	0.000149639256098223	8.59278865449123e-06	0.000267363846306133	0.000267494056664075	1.60098049973489e-05	8.35763419216451e-06	2.36619758025333e-05	0.000133864605563201	7.99226937189554e-06	7.99226937189554e-06	1.04944104384451e-07	1.74414669387669e-08	1.74414669387669e-08	2.35154462326713e-07	7.88732526751109e-06	0	1.84107722724427e-07	7.88732526751109e-06	2.35154462326713e-07	0.000186800505804323	1.32555148734628e-05	0.00567887419260798	0.000148147311265829	0.0614695475064022	0.0167334549055988	5.68077154829925e-06	9.20538613622133e-06	0.00557977309051154	7.51012528942351e-06	6.51811342135361e-06	8.90564008974788e-06	5.24096698728798e-06	2.58982859336268e-06	0.0055752284732729	0.0055752284732729	0	1.5020250578847e-06	1.13615430965985e-06	1.5020250578847e-06
"Anthurium_scandens"	0.00689706430850637	0.000315819705691435	0.000100234543252903	0.000115636780981478	3.29799656868628e-06	9.49785152700179e-05	1.20659414370881e-05	0.000270634925544869	4.06596256310881e-07	1.00199935114646	7.46592490787137e-06	5.50494499191762e-07	4.09808461782663e-06	1.35938508373382e-05	3.24155786541039e-07	2.84021926323205e-07	4.47464373481254e-07	3.44307285717187e-06	1.78262692837639e-07	2.58530413273306e-07	3.20184706743414e-07	1.96876119803199e-07	1.5277117978774e-07	3.4577152043398e-06	3.4577152043398e-06	3.39208983107207e-06	0.000124747441039612	0.000124747441039612	1.2727966673784e-07	6.56253732677328e-08	0	1.77337189071602e-08	6.56253732677328e-08	1.2727966673784e-07	0.00603791989930828	0.0948080551901049	4.72502687527676e-05	8.01861900448395e-05	1.17260960029536e-05	5.5351047656041e-07	2.02448529289381e-06	8.8668594535801e-07	1.62184710240566e-06	2.23443359946076e-07	9.3907166924041e-06	9.51630930867324e-07	8.63000932397161e-06	1.82244624096187e-07	2.25886809061601e-09	2.25886809061601e-09	0	4.46886719892153e-08	4.04897058578762e-07	4.46886719892153e-08
