"Arvicola_terrestris"	"Sorex_araneus"	"Clethrionomys_rutilus"	"Microtus_gregalis"	"Lagurus_lagurus"	"Apodemus_agrarius"	"Neomys_fodiens"	"Sicista_betulina"	"Microtus_agrestis"	"Talpa_europaea"	"Myospalax_aspalax"	"Spermophilus_erythrogenys"	"Microtus_oeconomus"	"Phodopus_campbelli"	"Tamias_sibiricus"	"Clethrionomys_glareolus"	"Cricetus_cricetus"	"Microtus_arvalis"	"Myopus_schisticolor"	"Cricetulus_barabensis"	"Clethrionomys_rufocanus"	"Micromys_minutus"	"Sicista_subtilis"	"Pteromys_volans"	"Sciurus_vulgaris"	"Ctenophthalmus_assimilis"	"Megabothris_walkeri"	"Palaeopsylla_soricis"	"Amalaraeus_penicilliger"	"Corrodopsylla_birulai"	"Megabothris_rectangulatus"	"Megabothris_turbidus"	"Hystrichopsylla_talpae"	"Ctenophthalmus_arvalis"	"Amphipsylla_sibirica"	"Ctenophthalmus_dilatatus"	"Ceratophyllus_indages"	"Pectinoctenus_pavlovskii"	"Frontopsylla_elata"	"Citellophilus_tesquorum"	"Leptopsylla_sicistae"	"Peromyscopsylla_silvatica"	"Megabothris_calcarifer"	"Neopsylla_pleskei"	"Amphipsylla_kuznetzovi"	"Peromyscopsylla_bidentata"	"Neopsylla_acanthina"	"Neopsylla_mana"	"Ctenophthalmus_pisticus"	"Tarsopsylla_octodecimdentata"	"Amphipsylla_vinogradovi"	"Oropsylla_ilovaiskii"	"Ctenophthalmus_uncinatus"	"Amphipsylla_prima"	"Catallagia_dacenkoi"	"Rhadinopsylla_integella"
"Myospalax_aspalax"	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098989898989899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00202020202020202
"Spermophilus_erythrogenys"	6.26343199483373e-05	5.94661167404628e-05	0.00035114102112267	1.00684773088746e-06	0.00119606630425487	3.69050947962938e-07	1.93516797713395e-07	1.44535024942649e-07	2.17896672467081e-07	2.81890237629618e-07	0	1.00633361929033	1.2611398399046e-07	0.000111653210885953	0.00198344239903109	7.80041468889152e-08	1.24636577961615e-07	1.21274002358115e-07	6.57579642074542e-08	1.73273895738778e-07	4.43194516487335e-08	2.00614043868999e-08	2.02598620214519e-08	0	0	3.12524590617011e-05	4.02314350907325e-06	7.81993233160943e-06	7.83015764316187e-06	2.20774375658525e-06	5.48088483119952e-06	1.14775995727714e-06	2.62940792776244e-06	0.00692769304532123	7.25695833343168e-07	0	0.0789974671982878	2.94427627300624e-05	1.7273215837433e-06	0.0103151005623146	6.60332574622839e-09	4.33341933419089e-06	1.75486602108712e-07	4.650917041381e-06	3.8088756901521e-07	3.79464418212397e-08	4.95941522651763e-05	1.43042965354136e-08	4.19574353641192e-05	0	3.10050419049361e-09	0.00457424372404694	5.57172477777966e-10	8.09228939900998e-09	1.46308758801112e-07	0
"Microtus_oeconomus"	0.00357745562923445	0.000696724119141424	0.00172283728556458	0.00115738885527515	5.36939450445319e-05	0.000419416391257747	0.00026589255084262	0.000240942214071211	0.000652259548106668	0.000212234880870114	0	1.9470229107299e-07	1.00035605222019	2.94735695948803e-05	9.50999336549612e-06	8.70232695253272e-05	4.78388346676777e-05	8.35507122080722e-05	0.000309171403019541	5.78363885697023e-05	6.11453188893495e-05	1.69793429649703e-05	4.33889263126898e-05	0	0	0.0248390346625139	0.0265287916092648	8.09490689915908e-05	0.00535737415710474	0.00706482797616193	0.00533146505650753	3.56614527389084e-05	0.00881734026090159	6.6766470766813e-06	2.59957154823181e-05	0	1.53096250383402e-06	6.04837815505731e-06	0.00352816656180846	3.31514256245385e-06	1.00714161230099e-05	0.00879111781395075	0.0105562304328034	8.65411732135943e-06	5.91031392697309e-06	4.0527756820696e-06	6.99953403805937e-07	2.69454467648583e-06	2.01172936577802e-07	0	1.488285271345e-06	8.85010413968139e-10	6.21594782323765e-07	4.62203569668534e-07	7.17848868985243e-07	0
"Phodopus_campbelli"	0.00114478959657453	0.000161942162500218	0.000299602807599104	0.00102456464731967	0.0032735644141187	0.00012457474137543	1.46151991602851e-05	8.30909044036858e-05	0.000130394051226425	8.57325787866614e-05	0	0.000185386463357809	3.16979899416637e-05	1.00250449309465	3.3151435176588e-06	1.0428908800262e-05	0.000378452034853176	0.000313461679154291	3.16880866273701e-07	0.000273994565413287	1.73973182704424e-07	2.32934244029144e-05	3.3124839805636e-05	0	0	0.00771341077136409	7.02563092667493e-05	2.55015918069939e-05	3.51736036565983e-05	1.25146037773154e-05	1.41969099996175e-05	1.31160074001642e-05	2.89878266180898e-05	0.000183213964062256	1.1864846204082e-05	0	1.48762424373787e-05	0.0492514448220686	0.00758108392532458	0.0114099471983359	5.72043592027653e-06	7.17169620021434e-06	5.44953215895209e-06	0.0246098399450193	3.56357135216437e-06	1.51469857379727e-06	2.30784220573838e-07	3.57794827053065e-06	7.01280359504747e-08	0	6.1837499428166e-06	8.42665742535493e-07	7.44922057161571e-08	1.47905632632368e-07	1.24834503166293e-07	0
"Tamias_sibiricus"	0.000629863886652417	4.52548488513972e-05	0.000225925169683661	0.00015113699273521	1.00129970454915e-05	6.12684609458143e-05	1.41608443456385e-05	8.30963363352049e-06	2.29941341543524e-05	5.44427736207366e-05	0	0.00335659482912954	1.04244158044861e-05	3.37889627761378e-06	1.00547518918707	1.03774606390677e-05	3.76966817758463e-06	1.40027295959572e-05	9.39622414996998e-08	3.90999579683285e-08	5.38128000270664e-08	2.22762570588257e-06	1.48867194516092e-06	0	0	0.00777342424704025	3.37603334220948e-05	7.42135022648759e-06	1.22439518489618e-05	3.97603146694904e-06	5.50835723223038e-06	5.35382146744705e-06	3.79911770466961e-06	2.40100396529895e-05	4.37793412874042e-06	0	0.0466698759455825	7.73729089469566e-07	2.13067932178257e-06	3.4796132472329e-05	4.35142929040635e-07	2.20071214708168e-06	1.01135219494802e-06	1.04525222365625e-06	8.04315825509624e-07	5.97361900620658e-07	0.0251369611074398	2.71935286049651e-07	0.0212696674635726	0	1.47808732146584e-07	1.52572492233161e-05	7.41247188504833e-08	8.13777631333873e-08	9.4135487368192e-08	0
"Clethrionomys_glareolus"	0.00415228240314895	0.000876435382500999	0.00128916698458081	0.000945577418373461	2.6306106355184e-05	0.000493951684388572	0.000302633846075464	0.000161235499075347	0.000247571254077383	0.000291632665105772	0	1.63437260148203e-07	0.000118103008641515	1.31602896765211e-05	1.28482846007504e-05	1.0008666507978	9.09094042577798e-05	6.06900488627359e-05	8.05286925619828e-05	8.31191928667643e-06	3.7344597981357e-05	1.90075668604787e-05	6.49880953604834e-06	0	0	0.0336218776052415	0.0169069389775281	8.83017672292493e-05	0.0215294929615936	0.00957752205386346	0.00480808541568957	0.00718605233114239	3.03164035863069e-05	5.50623807546487e-06	3.00169666327984e-05	0	1.41154208315576e-06	4.02906199137715e-06	1.45376309735411e-05	2.24609107513389e-06	6.77739364733657e-06	1.31064554913958e-05	1.16585329366795e-05	7.41919192201524e-06	4.94365042631934e-06	4.75874401797751e-06	8.57677709740847e-07	3.12431800110845e-06	2.71790635785105e-07	0	7.2633650683592e-07	7.42896637037288e-10	0.00714904750569858	5.36470594722086e-07	5.37152910242002e-07	0
"Cricetus_cricetus"	0.00340776116439648	0.00113574559544931	0.00125759130918348	0.000984724220456494	0.000133584662917651	0.000420485945845436	0.000314935454698509	0.000348493268419801	0.000233882881569239	0.000191503607836888	0	2.88632075279531e-07	7.17582520015166e-05	0.000527840995979429	5.15849329564212e-06	0.000100478815232283	1.00060553814205	0.000239459560010307	5.25913950282234e-05	2.9692712762201e-05	1.23585808188847e-05	1.0085976166737e-05	1.7050434819546e-05	0	0	0.0134156491509247	0.00545534779372285	0.0106346614701014	0.0290398285626519	4.97580977064326e-05	3.89032227141502e-05	3.50692778363569e-05	0.0053018227074716	1.10601933746436e-05	0.0105570163554828	0	1.04671025282226e-06	3.13922856969637e-05	2.1040038432991e-05	1.00441552099115e-05	1.55034885082562e-05	1.25681301767481e-05	1.01021084200092e-05	0.0184530062363291	4.8822287088329e-06	4.04188671451623e-06	5.69241552597316e-07	0.00790216207093303	1.0912197356166e-07	0	2.83318181865798e-06	1.31196397854332e-09	7.17705823087735e-07	4.40279220206264e-07	5.2399637882645e-07	0
"Microtus_arvalis"	0.00203369482800884	0.000449349499579823	0.000881418243228503	0.00170080965014226	0.00012704446284697	0.00054885880248201	0.000135255218725137	0.00106001076950376	0.000292553471055524	0.000385398885268028	0	2.80845058092476e-07	0.000125326068312108	0.000437196552504669	1.91616299734151e-05	6.70784750588134e-05	0.000239459560010307	1.00104342401287	7.26493642472348e-07	0.000424157165146698	2.19365044028616e-05	3.64417571694272e-05	7.14272060207784e-05	0	0	0.0503088915080564	0.00012896580395911	6.55542241095908e-05	6.7639188400104e-05	3.51028820486267e-05	3.85237091443453e-05	3.54343420031874e-05	0.0106032549791495	9.124153386985e-06	1.78468074348199e-05	0	1.45729012955908e-06	3.42316481825853e-05	0.00793550978137365	8.28832381591432e-06	0.00794438107078534	1.03171128037931e-05	1.13053428295808e-05	0.0131935131338405	6.34154675521077e-06	4.70771804418e-06	7.41792019103961e-07	5.6888798520006e-06	4.05342172514549e-07	0	0.0105417640124002	1.27656844587489e-09	4.7913196470581e-07	2.62751269768584e-07	3.67257601345209e-07	0
"Myopus_schisticolor"	0.000869925390050597	0.000581811761456039	0.00260318377675976	0.00137792584696374	7.42736592523962e-07	0.000306212529446851	2.45644608496082e-06	0.000146048532250448	0.00174757554408425	0.000145814570360988	0	1.75354571219878e-07	0.000534023332488297	5.08929876136549e-07	1.48061713878315e-07	0.000102491063260705	6.05597882143178e-05	8.3656843678634e-07	1.00130309059435	4.12671012431804e-07	0.000316554394784798	2.17289550442361e-07	2.94918703984652e-07	0	0	0.000255236198608396	0.000106190147161822	7.31821478723293e-05	0.0182954184567069	4.13118883374791e-05	0.04561488736524	1.97139493993065e-05	6.16696388677942e-05	2.11922098638214e-06	9.5019515715871e-06	0	1.64757287055457e-06	6.10476220154923e-07	1.89267249689127e-05	2.91957344944661e-06	5.71162527869196e-06	2.85742855936507e-05	0.0364507448728458	9.04619847015081e-06	6.95475187239317e-06	2.32931446084647e-06	1.16095004093805e-07	1.34234289297842e-06	3.13207471665666e-09	0	1.31498889391384e-08	7.97066232817627e-10	7.32079023290753e-07	1.12393461246847e-07	1.08465990698323e-06	0
"Cricetulus_barabensis"	0.000467759483599142	0.00161023064084545	0.00120859244173646	0.000845521143943683	0.00103624887779227	0.000449994427371925	0.000505867911025926	0.00075604874876471	0.000338777851160529	8.26633909709453e-05	0	8.02531727632234e-07	0.000173509165709107	0.000764300629837063	1.07010411281741e-07	1.83737163179163e-05	5.93854255244019e-05	0.000848314330293395	7.16744390013132e-07	1.0006779446695	7.56616691904495e-05	3.56411542736789e-05	0.000144548136619827	0	0	0.000213540623864366	4.93671730153085e-05	0.0106698275817281	5.13734721051682e-05	0.010596035994076	4.21773712852932e-05	2.18678014446894e-05	0.0369252380393409	5.91433426699235e-05	6.87723249478261e-06	0	8.23235001333792e-07	0.0211254252392321	0.0105674235767825	2.89807781509355e-05	3.62303726456746e-05	1.38698542734026e-05	1.07930187558125e-05	3.61148737661814e-05	3.84979845387143e-06	4.04511154108989e-06	6.31093020907181e-08	3.95056987938529e-06	2.26368177711375e-09	0	0.0105423816736821	3.64787148923743e-09	1.31240830842259e-07	6.04340418086746e-08	5.03580184056859e-07	0
