"Dillenia_ferruginea"	"Erythroxylum_sechellarum"	"Campnosperma_seychellarum"	"Craterispermum_microdon"	"Soulamea_terminaloides"	"Excoecaria_benthiamiana"	"Memecylon_eleagni"	"Colea_seychellarum"	"Cinnamomum_verum"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp1_M_PL_100"	"Lygistorrhina_sp1_M_PL_100"	"Scaptodrosophila_sp1_M_PL_100"	"Eristalinus_vicarians"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Phelsuma_sp1_M_PL_100"	"Rhiparida_seychellensis"	"Cratopus_aurostriatus"	"Unidentified_sp2_M_PL_100"	"Unidentified_sp3_M_PL_100"
"Dillenia_ferruginea"	1.00534430791676	0.00301067187178596	0	0.00102260673921721	0	0	0.00054256767993412	0	0.000180855893311373	0.0379797375953884	0.0440913939059152	0	0	5.11303369608603e-05	0	0	0	0.0125668038489595	0	0.00628340192447976	1.88166991986622e-05	1.88166991986622e-05
"Erythroxylum_sechellarum"	0.00301067187178596	1.00532841993449	0	0.000440749801118318	0	0	0.000990876370214998	0	0.000330292123404999	0.0693613459150499	0.0190036622582182	0	0	2.20374900559159e-05	0	0	0	3.76333983973245e-05	0	1.88166991986622e-05	0.00628330262459054	0.00628330262459054
"Campnosperma_seychellarum"	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0.0757575757575758	0	0	0	0	0	0	0.0252525252525253	0	0	0
"Craterispermum_microdon"	0.00272695130457921	0.00117533280298218	0	1.00619523239032	0	0	2.62020234914235e-06	0	8.73400783047451e-07	0.000183414164439965	0.0504511032291471	0	0	0.0503097616195158	0	0	0	3.40868913072402e-05	0	1.70434456536201e-05	7.34583001863864e-06	7.34583001863864e-06
"Soulamea_terminaloides"	0	0	0	0	1.00807269481968	0.00202831528132733	0	0	0	0	0	0	0.0338052546887888	0	0.0336024231606561	0	0.0336024231606561	0	0	0	0	0
"Excoecaria_benthiamiana"	0	0	0	0	0.00405663056265466	1.00604437953836	0	0	0	0	0	0	0.100739658972591	0	0.000135221018755155	0	0.000135221018755155	0	0	0	0	0
"Memecylon_eleagni"	0.00289369429298197	0.00528467397447999	0	5.2404046982847e-06	0	0	1.00143805107164	0	0.000479350357212463	0.100663575014617	0.000225948782574375	0	0	2.62020234914235e-07	0	0	0	3.61711786622747e-05	0	1.80855893311373e-05	3.30292123405e-05	3.30292123405e-05
"Colea_seychellarum"	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0
"Cinnamomum_verum"	0.00289369429298197	0.00528467397447999	0	5.2404046982847e-06	0	0	0.00143805107163739	0	1.00047935035721	0.100663575014617	0.000225948782574375	0	0	2.62020234914235e-07	0	0	0	3.61711786622747e-05	0	1.80855893311373e-05	3.30292123405e-05	3.30292123405e-05
"Lasioglossum_mahense"	0.0289369429298197	0.0528467397447999	0	5.2404046982847e-05	0	0	0.0143805107163739	0	0.00479350357212463	1.00663575014617	0.00225948782574375	0	0	2.62020234914235e-06	0	0	0	0.000361711786622747	0	0.000180855893311373	0.000330292123405	0.000330292123404999
"Apis_mellifera"	0.0542663309611264	0.0233891227793454	0	0.0232851245672987	0	0	5.21420267479328e-05	0	1.73806755826443e-05	0.0036499418723553	1.00397695426003	0	0	0.00116425622836493	0	0	0	0.00067832913701408	0	0.00033916456850704	0.000146182017370909	0.000146182017370909
