"Canthium_bibracteatum"	"Nephrosperma_vanhoutteanum"	"Psidium_cattleianum"	"Premna_serratifolia"	"Paragenipa_wrightii"	"Paraserianthes_falcataria"	"Ochna_kirkii"	"Memecylon_eleagni"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Xylocopa_caffra"	"Unidentified_sp2_M_PL_111"	"Megachile_seychellensis"	"Physiphoa_azurea"	"Lygistorrhina_sp1_M_PL_111"	"Neophyllomyza_approximatonervis"	"Unidentified_sp1_M_PL_111"	"Phelsuma_sp1_M_PL_111"	"Hemipyrellia_sp1_M_PL_111"	"Parasarcophaga_hirticeps"	"Leptotes_pirithous"	"Nectarinia_dussumieri"	"Polistes_olivaceus"	"Unidentified_sp3_M_PL_111"	"Unidentified_sp4_M_PL_111"
"Canthium_bibracteatum"	1.00458336521145	0.00167802908176392	0.00179476107069174	0.000665157505904144	0.000451761299819468	0.000694194587543078	3.16648036466433e-07	0.00023342469579801	0.0616195151812813	0.0202683810620132	0.0106954786198099	0.00124601084914168	3.48312840113076e-06	2.02172178525774e-05	1.62306697027546e-05	0.00709117669561026	8.14378256172367e-06	8.08688714103095e-06	8.08688714103095e-06	6.06516535577322e-06	4.1572344119009e-06	4.1572344119009e-06	2.02172178525774e-06	2.82350812387168e-06	2.02172178525774e-06	2.02172178525774e-06	2.02172178525774e-06
"Nephrosperma_vanhoutteanum"	0.00171846351746908	1.00565702345198	0.0004773244571533	0.00107972844207232	0.00056100275457697	0.000359401736116554	8.42139126946541e-08	0.000247981527731241	0.019552005263118	0.0377359672516995	4.79172960519039e-05	0.00123017945947038	9.26353039641196e-07	0.0121163496801443	0.00848481892748249	1.21303307115464e-05	0.00363827905542477	0.00484653987205772	0.00484653987205772	0.0036349049040433	6.74830276295201e-06	6.74830276295201e-06	0.00121163496801443	3.50626721610606e-06	0.00121163496801443	0.00121163496801443	0.00121163496801443
"Psidium_cattleianum"	0.0029337440578615	0.000761883268148536	1.0051931001351	0.000488111463723151	0.00011066039373525	0.00036291488504667	0.000177345289367519	7.32506080274535e-05	0.036952462690143	0.000143063789597024	0.0271015810714815	0.0347995151691532	0.00195079818304271	9.17931648371729e-06	7.95086986273695e-06	2.07087815849047e-05	4.27914326925004e-06	3.67172659348692e-06	3.67172659348692e-06	2.75379494511519e-06	3.05069664826969e-06	3.05069664826969e-06	9.1793164837173e-07	6.91627460845312e-07	9.1793164837173e-07	9.17931648371731e-07	9.17931648371731e-07
"Premna_serratifolia"	0.00176682462505788	0.00280054564662508	0.00079318112855012	1.00319448844746	0.000882261132618175	0.000296014216046331	1.3994021322338e-07	0.000367554964441196	0.000239243974195536	0.0660754545496992	0.015714976313383	3.29090384218537e-05	1.53934234545718e-06	3.374151381476e-05	0.00315860183606864	1.24717032357027e-05	0.00314510523054274	1.3496605525904e-05	1.3496605525904e-05	1.0122454144428e-05	0.00626996555279662	0.00626996555279661	3.374151381476e-06	5.51413207886359e-06	3.374151381476e-06	3.374151381476e-06	3.374151381476e-06
"Paragenipa_wrightii"	0.00239998190529092	0.00291020178936803	0.000359646279639562	0.00176452226523635	1.00168803357284	0.000522063856168026	6.34520606280102e-08	0.000456496980403876	0.0190480472954551	0.0754466162507724	6.26650179609974e-05	1.87790696351934e-05	6.97972666908113e-07	3.50626721610606e-05	3.0058002591606e-05	1.69410487432301e-05	1.60329337271818e-05	1.40250688644242e-05	1.40250688644242e-05	1.05188016483182e-05	1.10282641577272e-05	1.10282641577272e-05	3.50626721610606e-06	0.00626055020983027	3.50626721610606e-06	3.50626721610606e-06	3.50626721610606e-06
"Paraserianthes_falcataria"	0.00421475285294011	0.00213073886411957	0.00134796957303049	0.000676603922391615	0.000596644407049172	1.00083278089016	2.37821025587595e-07	0.000301281770294549	0.0718560218335519	0.0288697697705887	9.14902197055196e-05	5.41861732464264e-05	2.61603128146355e-06	2.56715525797538e-05	2.00844740633015e-05	2.9751196608989e-05	9.81585303139995e-06	1.02686210319015e-05	1.02686210319015e-05	7.70146577392615e-06	4.22877451494759e-06	4.22877451494759e-06	2.56715525797538e-06	3.72902754405733e-06	2.56715525797538e-06	2.56715525797538e-06	2.56715525797538e-06
"Ochna_kirkii"	2.69150830996468e-06	6.98975475365629e-07	0.0009221955047111	4.47808682314817e-07	1.01523297004816e-07	3.32949435822633e-07	1.00917447462871	6.72023926857371e-08	3.39013419175624e-05	1.31251183116535e-07	2.48638358453959e-05	3.19261607056451e-05	0.100919220915764	8.42139126946541e-09	7.29437602085959e-09	1.8998882187986e-08	3.92581951307343e-09	3.36855650778616e-09	3.36855650778616e-09	2.52641738083963e-09	2.79880426446761e-09	2.79880426446761e-09	8.42139126946541e-10	6.34520606280103e-10	8.42139126946541e-10	8.42139126946541e-10	8.42139126946541e-10
"Memecylon_eleagni"	0.00283444273469012	0.00294035240024186	0.000544147373918226	0.00168025126601689	0.00104342166949457	0.000602563540589098	9.60034181224816e-08	1.00045573511264	0.028897018986388	0.0718333723978676	7.0915794239606e-05	2.57131024003345e-05	1.0560375993473e-06	3.54259325330345e-05	3.00489379794269e-05	2.00078310684009e-05	1.58785649662131e-05	1.41703730132138e-05	1.41703730132138e-05	1.06277797599104e-05	1.05015704126056e-05	1.05015704126056e-05	3.54259325330345e-06	6.52138543434109e-06	3.54259325330345e-06	3.54259325330345e-06	3.54259325330345e-06
"Apis_mellifera"	0.0513495959844011	0.015909965067047	0.0188385103910533	7.50569330809524e-05	0.00298792898752238	0.00986259123205614	3.32366097231004e-06	0.0019831287539678	1.00495357064994	0.00227368019069427	0.00105206503349462	0.000731682204771543	3.65602706954105e-05	0.000191686326109	0.000134414981192178	0.000362467736360478	5.77404507485781e-05	7.66745304436001e-05	7.66745304436001e-05	5.75058978327002e-05	4.69105831755953e-07	4.69105831755953e-07	1.91686326109e-05	1.86745561720149e-05	1.91686326109e-05	1.91686326109e-05	1.91686326109e-05
"Lasioglossum_mahense"	0.0191423598919013	0.0348009475765673	8.26590784338358e-05	0.0234934949510041	0.0134127317779151	0.00449085307542491	1.45834647907261e-08	0.0055870400753897	0.00257683754945351	1.00475774149387	0.000571995105956636	6.73105516960656e-05	1.60418112697988e-07	0.000419288525018882	0.000366919139235105	0.000135122540413421	0.000199203729227553	0.000167715410007553	0.000167715410007553	0.000125786557505665	0.000146834343443776	0.000146834343443776	4.19288525018883e-05	8.38295736119693e-05	4.19288525018883e-05	4.19288525018883e-05	4.19288525018883e-05
