"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Allomerus_septemarticulatus"	"Pheidole_sp2"
"Cordia_nodosa"	1.01010101010101	0	0	0	0	0.0808080808080808	0	0	0	0	0.0202020202020202
"Hirtella_myrmecophila"	0	1.009202942966	0	0	0.000898067135008678	0	0.080826042150781	0	0	0.02018405885932	0
"Maieta_guianensis"	0	0	1.01010101010101	0	0	0	0	0.101010101010101	0	0	0
"Myrcia_madida"	0	0	0	1.01010101010101	0	0	0	0	0.101010101010101	0	0
"Hirtella_physophora"	0	0.00898067135008677	0	0	1.00112033875092	0	0.100830487583099	0	0	0.000179613427001736	0
"Azteca_r.am.1"	0.101010101010101	0	0	0	0	1.00808080808081	0	0	0	0	0.00202020202020202
"Allomerus_octoarticulatus"	0	0.0898067135008677	0	0	0.0112033875092333	0	1.00830487583099	0	0	0.00179613427001736	0
"Pheidole_minutula"	0	0	0.101010101010101	0	0	0	0	1.01010101010101	0	0	0
"Myrcidris_sp."	0	0	0	0.101010101010101	0	0	0	0	1.01010101010101	0	0
"Allomerus_septemarticulatus"	0	0.1009202942966	0	0	8.98067135008678e-05	0	0.0080826042150781	0	0	1.00201840588593	0
"Pheidole_sp2"	0.101010101010101	0	0	0	0	0.00808080808080808	0	0	0	0	1.0020202020202
