"Centaurea_nigra"	"Leucanthemum_vulgare"	"Cirsium_palustre"	"Ranunculus_acris"	"Cirsium_arvense"	"Filipendula_ulmaria"	"Galium_verum"	"Hypochoeris_radicata"	"Primula_veris"	"Lotus_corniculatus"	"Lathyrus_pratensis"	"Orchis_morio"	"Taraxacum_officinale"	"Trifolium_repens"	"Cerastium_fontanum"	"Trifolium_dubium"	"Bombus_lapidarius"	"Maniola_jurtina"	"Bombus_pascuorum"	"Calocoris_bipunctatus"	"Empis_livida"	"Psithyrus_vest"	"Episyrphus_balteatus"	"Bombus_pratorum"	"Apis_mellifera"	"Bombus_terrestris.lucorum"	"Eristalis_tenax"	"Helophilus_sp1_M_PL_007"	"Syrphus_sp1_M_PL_007"	"Scathophaga_stercoraria"	"Sphaerophoria_sp1_M_PL_007"	"Anthophora_plumipes"	"Cheilosia_bergenstammi"	"Lucillia_sp1_M_PL_007"	"Melanostoma_sp1_M_PL_007"	"Platycheirus_sp1_M_PL_007"	"Eriothrix_rufomaculatus"	"Eristalis_nemorum"	"Meliscaeva_sp1_M_PL_007"	"Andrena_chrysosceles"	"Pollenia_sp1_M_PL_007"	"Andrena_pubescens"	"Bombus_hortorum"	"Cephus_pygmaeus"	"Eristalis_intricarius"	"Lasioglossum_calceatum"	"Lasioglossum_villosulum"	"Lycaena_phlaeas"	"Panameria_tenebrata"	"Sarcophagus_sp1_M_PL_007"	"Tropidia_scitta"	"Volucella_bombylans"
"Centaurea_nigra"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0646005509641873	0.0151515151515152	0.00482093663911846	0.00495867768595041	0.00151515151515152	0.00165289256198347	0.00110192837465565	0.00110192837465565	0.00192837465564738	0.00110192837465565	0.000413223140495868	0.000275482093663912	0.000964187327823692	0	0	0	0	0	0	0.000275482093663912	0	0	0	0	0	0	0.000137741046831956	0	0	0	0	0	0	0	0	0
"Leucanthemum_vulgare"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0246575342465753	0.0212328767123288	0	0	0.0136986301369863	0.00205479452054795	0	0.00342465753424658	0	0.00342465753424658	0.00616438356164384	0.00684931506849315	0.00136986301369863	0.00342465753424658	0.00136986301369863	0	0	0.00273972602739726	0.00136986301369863	0.000684931506849315	0	0.00205479452054795	0.000684931506849315	0.00136986301369863	0.00136986301369863	0	0	0	0	0	0	0	0	0.000684931506849315	0.000684931506849315	0.000684931506849315
"Cirsium_palustre"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0347826086956522	0	0.0130434782608696	0	0	0.0347826086956522	0	0.0173913043478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ranunculus_acris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117647058823529	0.00588235294117647	0.00588235294117647	0	0	0	0	0	0	0	0	0.00588235294117647	0	0.0117647058823529	0	0	0.0235294117647059	0	0.00588235294117647	0	0	0	0.0117647058823529	0	0	0.00588235294117647	0	0.00588235294117647	0	0.00588235294117647	0	0	0	0	0	0
"Cirsium_arvense"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153846153846154	0.0461538461538462	0	0.00769230769230769	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0230769230769231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Filipendula_ulmaria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0	0	0	0	0	0.0333333333333333	0	0	0	0.00833333333333333	0	0.0166666666666667	0	0.00833333333333333	0	0	0	0.00833333333333333	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Galium_verum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hypochoeris_radicata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0.025	0	0	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0	0	0	0	0
"Primula_veris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0	0	0.0125	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0
"Lotus_corniculatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
