"Nephrosperma_vanhoutteanum"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Dillenia_ferruginea"	"Soulamea_terminaloides"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp1_M_PL_093"	"Lygistorrhina_sp1_M_PL_093"	"Cratopus_aurostriatus"	"Ornidia_obesa"	"Pachycerina_seychellensis"	"Plagiostenopterina_cyanosoma"	"Unidentified_sp2_M_PL_093"	"Unidentified_sp4_M_PL_093"	"Unidentified_sp5_M_PL_093"	"Hemipyrellia_sp1_M_PL_093"	"Phelsuma_sp1_M_PL_093"	"Unidentified_sp3_M_PL_093"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0.00645161290322581	0.0451612903225806	0.0258064516129032	0.00967741935483871	0	0	0	0	0.00645161290322581	0	0	0	0.0032258064516129	0.0032258064516129
"Erythroxylum_sechellarum"	0	0	0	0	0	0.0740740740740741	0	0	0.0037037037037037	0	0	0.00740740740740741	0.00740740740740741	0	0	0.00740740740740741	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0.0625	0.0375	0	0	0	0	0	0	0	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0.0142857142857143	0	0	0.0285714285714286	0.0285714285714286	0	0	0	0.0285714285714286	0	0	0	0
"Soulamea_terminaloides"	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0.05	0	0
"Lasioglossum_mahense"	0.00740740740740741	0.0740740740740741	0.0185185185185185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0777777777777778	0	0.0166666666666667	0.00555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_093"	0.0888888888888889	0	0	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_093"	0.075	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cratopus_aurostriatus"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pachycerina_seychellensis"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Plagiostenopterina_cyanosoma"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_093"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_093"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp5_M_PL_093"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_093"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_093"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_093"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
