"Rhombomys_opimus"	"Meriones_libycus"	"Spermophilus_fulvus"	"Meriones_meridianus"	"Spermophilopsis_leptodactylus"	"Dipus_sagitta"	"Blanfordimys_afghanus"	"Allactaga_elater"	"Microtus_socialis"	"Cricetulus_migratorius"	"Apodemus_uralensis"	"Allactaga_severtzovi"	"Pygeretmus_pumilio"	"Calomyscus_mystax"	"Microtus_transcaspicus"	"Eremodipus_lichtensteini"	"Nesokia_indica"	"Xenopsylla_gerbilli"	"Xenopsylla_hirtipes"	"Xenopsylla_conformis"	"Citellophilus_trispinus"	"Xenopsylla_nuttalli"	"Nosopsyllus_laeviceps"	"Paradoxopsyllus_teretifrons"	"Nosopsyllus_turkmenicus"	"Coptopsylla_olgae"	"Coptopsylla_lamellifer"	"Rostropsylla_daca"	"Nosopsyllus_tersus"	"Coptopsylla_bairamalensis"	"Rhadinopsylla_cedestis"	"Stenoponia_vlasovi"	"Echidnophaga_oschanini"	"Paradoxopsyllus_repandus"	"Neopsylla_setosa"	"Ctenophthalmus_dolichus"	"Mesopsylla_eucta"	"Nosopsyllus_consimilis"	"Amphipsylla_parthiana"	"Desertopsylla_rothschildi"	"Frontopsylla_macrophthalma"	"Leptopsylla_taschenbergi"	"Ophthalmopsylla_karakum"	"Amphipsylla_schelkovnikovi"	"Ophthalmopsylla_volgensis"	"Mesopsylla_lenis"	"Amphipsylla_rossica"	"Peromyscopsylla_tikhomirovae"	"Nosopsyllus_fidus"	"Xenopsylla_persica"	"Nosopsyllus_philippovi"	"Phaenopsylla_kopetdag"	"Paradoxopsyllus_microphthalmus"	"Amphipsylla_argoi"	"Phaenopsylla_tiflovi"	"Wagnerina_schelkovnikovi"
"Rhombomys_opimus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393037373750199	0.0356711854889795	0.00361237731249286	3.01913198544609e-05	0.00432681116175917	0.00187157966910878	0.00340103807351163	0.000885423941152321	0.00250559738605246	0.00168041500367516	9.05739595633827e-05	0.001801180283093	0.000996172474263311	0.000784833235282084	0.00103638054042463	0.00077481648897523	0.000895581768393074	0	0.00033210451839907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_libycus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00260292493626859	0.00346678226047827	0.0495835526519491	0.000120754249620708	0.00203011631627293	0.0156464480705122	0.000703883745652331	0.00752701489302412	0.000663632329112095	0.00463304125254152	2.9930540504278e-05	7.01819570445139e-05	0.00350703367701851	0.00521513866096954	0.00242230960563933	0.00150787998885345	2.9930540504278e-05	1.96096644683201e-05	0.000180615330629264	1.96096644683201e-05	0	0	0	1.96096644683201e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Spermophilus_fulvus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000119915353867858	0.00059957676933929	0.0023019045379732	0.0845074065365624	0.000279802492358335	0.000399717846226193	6.11333176581237e-05	0.000141076886903362	0	0	0.000129320479661415	0.000101105102280743	2.11615330355043e-05	3.99717846226193e-05	9.40512579355749e-06	4.93769104161768e-05	0	0.0112109099459205	9.40512579355749e-06	0	0	0	9.40512579355749e-06	9.40512579355749e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_meridianus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022747183979975	0.010122027534418	0.00783166458072591	7.82227784730914e-05	0.00404881101376721	0.00312265331664581	0.00927409261576971	0.0426408010012516	0.00205569461827284	0.00295056320400501	0.000597622027534418	0.0020244055068836	0.00552565707133917	0.0032008760951189	0.00280976220275344	0.000816645807259074	7.82227784730914e-05	0	0.000422403003754693	1.56445556946183e-05	0	1.56445556946183e-05	4.69336670838548e-05	1.56445556946183e-05	0	0	0	1.56445556946183e-05	0	0	0	1.56445556946183e-05	0	0	0	0	0	0	0
"Spermophilopsis_leptodactylus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00141022412490557	0.00452782674389323	0.00284563082347016	0.000705112062452783	8.05842357088894e-05	0.000332409972299169	0.000906572651725006	0.0010778141526064	0.00226139511458071	0.00438680433140267	0.0666532359607152	0.000866280533870562	0.00151095441954168	0.00254343993956182	0.00112817929992445	0.000906572651725006	0	0.000130949383026945	0.00769579451019894	1.00730294636112e-05	0	0	1.00730294636112e-05	0	0	0	0	0	0	0	0	1.00730294636112e-05	0	0	0	0	0	0	0
"Dipus_sagitta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00392986698911729	0.00810157194679565	0.0449818621523579	0.000181378476420798	0	0	0.00102781136638452	0.00719467956469166	0.00145102781136638	0.00151148730350665	0.00217654171704958	0.000785973397823458	0.00060459492140266	0.000241837968561064	0.00102781136638452	0.000120918984280532	0	0	0.00030229746070133	0	0	0	0.0217049576783555	0	0	0.00447400241837969	0	0.000181378476420798	0	0	0	0	0	0	0	0	0	0	0
"Blanfordimys_afghanus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114673242909988	0	0.0510480887792848	0	0	0.000863131935881628	0	0.00271270036991369	0.000554870530209618	0.000123304562268804	0	0	0.000431565967940814	0.00252774352651048	0.00141800246609125	0	0.000123304562268804	0	0.000123304562268804	0	0.00388409371146732	0.0247225647348952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allactaga_elater"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00791090629800307	0	0.00583717357910906	0.0022273425499232	0.000921658986175115	0.00192012288786482	0	0.00192012288786482	0.000768049155145929	0.00614439324116743	0	0	0.000768049155145929	0.000768049155145929	0	0.000460829493087558	0.000537634408602151	0.00115207373271889	0.000230414746543779	0.0390937019969278	0	0	0	0.0231182795698925	0	0	0.000691244239631337	0.00115207373271889	0.00422427035330261	0	0	0.000153609831029186	0	0	0	0	0	0	0
"Microtus_socialis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0874125874125874	0.00944055944055944	0	0	0	0	0	0	0	0.000699300699300699	0	0	0.00244755244755245	0	0	0	0	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00395256916996047	0	0.00434782608695652	0	0.000790513833992095	0.00632411067193676	0	0.000790513833992095	0	0.00276679841897233	0.000790513833992095	0	0	0.00118577075098814	0	0	0	0.00513833992094862	0	0	0.0347826086956522	0	0	0	0.00592885375494071	0	0.0245059288537549	0	0	0.00118577075098814	0	0.00197628458498024	0.00158102766798419	0.00316205533596838	0	0	0	0	0.000790513833992095
