"Nephrosperma_vanhoutteanum"	"Chrysobalanus_icaco"	"Mimusops_sechellarum"	"Memecylon_eleagni"	"Dillenia_suffruticosa"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp1_M_PL_125"	"Lygistorrhina_sp1_M_PL_125"	"Ornidia_obesa"	"Xylocopa_caffra"	"Nectarinia_dussumieri"	"Rhynchium_brunneum"	"Unidentified_sp2_M_PL_125"	"Unidentified_sp3_M_PL_125"	"Unidentified_sp4_M_PL_125"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0.036	0.0506666666666667	0.0106666666666667	0	0	0	0	0	0.00133333333333333	0.00133333333333333	0
"Chrysobalanus_icaco"	0	0	0	0	0	0	0.084375	0	0.00625	0	0.00625	0	0	0.003125	0	0	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0.0125	0.0125	0	0.0625	0	0	0.0125	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
"Dillenia_suffruticosa"	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0
"Excoecaria_benthiamiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
"Apis_mellifera"	0.046551724137931	0.046551724137931	0.00172413793103448	0.00517241379310345	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.0974358974358974	0	0.00256410256410256	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_125"	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_125"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhynchium_brunneum"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_125"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_125"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_125"	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
