"Clethrionomys_rutilus"	"Sorex_araneus"	"Neomys_fodiens"	"Microtus_arvalis"	"Microtus_oeconomus"	"Sorex_minutus"	"Microtus_gregalis"	"Microtus_agrestis"	"Sorex_caecutiens"	"Apodemus_uralensis"	"Sicista_betulina"	"Apodemus_agrarius"	"Clethrionomys_glareolus"	"Sorex_tundrensis"	"Micromys_minutus"	"Spermophilus_major"	"Ctenophthalmus_assimilis"	"Corrodopsylla_birulai"	"Palaeopsylla_soricis"	"Amalaraeus_penicilliger"	"Megabothris_walkeri"	"Hystrichopsylla_talpae"	"Neopsylla_pleskei"	"Frontopsylla_elata"	"Megabothris_turbidus"	"Peromyscopsylla_bidentata"	"Amphipsylla_kuznetzovi"	"Rhadinopsylla_integella"	"Ctenophthalmus_breviatus"	"Peromyscopsylla_silvatica"	"Amphipsylla_sibirica"	"Megabothris_rectangulatus"	"Oropsylla_ilovaiskii"
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0321113374066531	0.00475220638153428	0.00699253224711473	0.0376782077393075	0.003326544467074	0.003326544467074	0.00346232179226069	0.00386965376782077	0.00169721656483367	0.00224032586558045	0	0	0	0.000543109300746775	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0203158650394831	0.0340990667623833	0.0348169418521177	0.00208183776022972	0.00344580043072505	0.0012921751615219	0.000646087580760948	0.00136396267049533	0.000646087580760948	0.000646087580760948	0	0.000646087580760948	0	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0460966542750929	0.00991325898389096	0	0.000743494423791822	0.00991325898389096	0	0	0	0	0	0	0	0	0	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0583682008368201	0.00313807531380753	0.00481171548117155	0.0127615062761506	0.00878661087866109	0.000836820083682008	0.00397489539748954	0	0.00564853556485356	0.000836820083682008	0.000836820083682008	0	0	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0394736842105263	0.00300751879699248	0.00526315789473684	0.0135338345864662	0.0270676691729323	0.00714285714285714	0.00225563909774436	0.00112781954887218	0	0	0	0	0	0	0.00112781954887218	0	0
"Sorex_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0122065727699531	0.0122065727699531	0.0699530516431925	0.00140845070422535	0.0028169014084507	0	0	0.00140845070422535	0	0	0	0	0	0	0	0	0
"Microtus_gregalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048469387755102	0	0.00306122448979592	0.0173469387755102	0.00408163265306122	0.00306122448979592	0.00408163265306122	0	0.00306122448979592	0.00408163265306122	0.0086734693877551	0	0.00408163265306122	0	0	0	0
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0432432432432432	0	0.0027027027027027	0.00945945945945946	0.0317567567567568	0	0.00675675675675676	0.00608108108108108	0	0	0	0	0	0	0	0	0
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0176991150442478	0.0398230088495575	0.031858407079646	0.00884955752212389	0	0	0	0.00176991150442478	0	0	0	0	0	0	0	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0584905660377358	0.00283018867924528	0	0.00377358490566038	0.00188679245283019	0	0.0216981132075472	0.00566037735849057	0	0	0	0	0	0	0.00283018867924528	0.00283018867924528	0
"Sicista_betulina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0352941176470588	0	0	0	0.0117647058823529	0	0	0.0117647058823529	0.0294117647058824	0.0117647058823529	0	0	0	0	0	0	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0.0142857142857143	0.0142857142857143	0	0	0.0214285714285714	0	0	0	0	0	0	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0181818181818182	0.0181818181818182	0	0.0272727272727273	0.0181818181818182	0	0	0.0181818181818182	0	0	0	0	0	0	0	0	0
"Sorex_tundrensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0.02	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0
"Micromys_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222222222222	0	0.0222222222222222	0.0333333333333333	0	0	0	0	0.0222222222222222	0	0	0	0	0	0	0
"Spermophilus_major"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
"Ctenophthalmus_assimilis"	0.0279385705847608	0.0167158889545186	0.015888954518606	0.0164796219728293	0.00620200826934436	0.00153573538098051	0.00561134081512109	0.00378027170702894	0.00118133490844654	0.00366213821618429	0.000354400472533963	0.000413467217956291	0.000118133490844654	0.000118133490844654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.00686274509803922	0.0465686274509804	0.0364705882352941	0.00147058823529412	0.000784313725490196	0.00254901960784314	0	0	0.00441176470588235	0.000294117647058824	0	0	0.000196078431372549	0.000196078431372549	0.000196078431372549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.0114190687361419	0.0537694013303769	0.00886917960088692	0.00254988913525499	0.00155210643015521	0.0165188470066519	0.000665188470066519	0.000443458980044346	0.00399113082039911	0	0	0	0	0.000221729490022173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.0737051792828685	0.00385126162018592	0	0.00810092961487384	0.0047808764940239	0.000398406374501992	0.00451527224435591	0.00185922974767596	0.00132802124833997	0.000531208499335989	0	0	0.000398406374501992	0.000265604249667995	0.000265604249667995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_walkeri"	0.0168384879725086	0.0164948453608247	0.00206185567010309	0.0144329896907216	0.0247422680412371	0.00206185567010309	0.00274914089347079	0.0161512027491409	0	0.000687285223367698	0.000687285223367698	0.000687285223367698	0.000687285223367698	0.000687285223367698	0.00103092783505155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0.0275280898876405	0.0101123595505618	0.0449438202247191	0.00224719101123596	0.0106741573033708	0	0.00337078651685393	0	0	0	0	0.00112359550561798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0.0404761904761905	0.00714285714285714	0	0.0150793650793651	0.00476190476190476	0	0.00634920634920635	0.00793650793650794	0	0.0182539682539683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0.0553398058252427	0.0184466019417476	0	0	0.0029126213592233	0.0029126213592233	0	0.0087378640776699	0.00194174757281553	0.0058252427184466	0.00194174757281553	0	0.00194174757281553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.0333333333333333	0.012	0	0.036	0	0	0.008	0	0	0	0.00666666666666667	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0.0568965517241379	0.0155172413793103	0	0.00689655172413793	0	0	0.0137931034482759	0	0	0	0.00344827586206897	0	0	0	0.00344827586206897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_kuznetzovi"	0	0	0	0.019047619047619	0	0	0.080952380952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_breviatus"	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_silvatica"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0	0	0	0	0.05	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_rectangulatus"	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_ilovaiskii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
