"Spermophilus_xanthoprymnus"	"Meriones_vinogradovi"	"Cricetulus_migratorius"	"Meriones_persicus"	"Microtus_arvalis"	"Mesocricetus_brandti"	"Meriones_tristrami"	"Arvicola_terrestris"	"Microtus_socialis"	"Apodemus_flavicollis"	"Crocidura_suaveolens"	"Dryomys_nitedula"	"Chionomys_nivalis"	"Allactaga_elater"	"Sciurus_anomalus"	"Neomys_schelkovnikovi"	"Neopsylla_setosa"	"Xenopsylla_cheopis"	"Citellophilus_transcaucasicus"	"Amphipsylla_schelkovnikovi"	"Nosopsyllus_iranus"	"Oropsylla_ilovaiskii"	"Nosopsyllus_consimilis"	"Ctenophthalmus_teres"	"Megabothris_walkeri"	"Ctenophthalmus_acuminatus"	"Wagnerina_schelkovnikovi"	"Amphipsylla_rossica"	"Ctenophthalmus_secundus"	"Neopsylla_pleskei"	"Nosopsyllus_mokrzeckyi"	"Stenoponia_ivanovi"	"Leptopsylla_segnis"	"Nosopsyllus_fasciatus"	"Callopsylla_saxatilis"	"Ctenophthalmus_bogatschevi"	"Frontopsylla_elata"	"Callopsylla_caspia"	"Stenoponia_tripectinata"	"Ceratophyllus_sciurorum"	"Xenopsylla_conformis"	"Ctenophthalmus_proximus"	"Mesopsylla_tuschkan"	"Rhadinopsylla_cedestis"	"Megabothris_turbidus"	"Ctenophthalmus_golovi"	"Myoxopsylla_jordani"	"Rhadinopsylla_integella"	"Ophthalmopsylla_volgensis"	"Hystrichopsylla_talpae"	"Paradoxopsyllus_hesperius"	"Mesopsylla_apscheronica"	"Rhadinopsylla_ucrainica"
"Spermophilus_xanthoprymnus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0512824048538334	0	0.0365968008825152	0	0.000137892995035852	0.00980419194704909	0.00143408714837286	0.000675675675675676	0	0	0	0	0	6.89464975179261e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_vinogradovi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0804366812227074	0	0	0.0177874818049491	0	0.000611353711790393	0	0	0	0	0	0	0.000465793304221252	0	0	0	0	0	0	0	0	0.000611353711790393	0	0	0	0	5.82241630276565e-05	0	0	0	0	2.91120815138282e-05	0	0	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142806140664049	0.000107104605498036	3.57015351660121e-05	0.0804355587290254	0.000392716886826134	3.57015351660121e-05	0.00549803641556587	0	0	0.000142806140664049	0.00614066404855409	0.000571224562656194	0.00049982149232417	0.00128525526597644	0.00214209210996073	0	0.00149946447697251	0.00103534451981435	0	0	0	0	0	0	0	3.57015351660121e-05	0	0	0	0	0	0	0	0	0	0	0
"Meriones_persicus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0515810276679842	0	0.000197628458498024	0.0387351778656126	0	0.00237154150197628	0	0	0	0	0	0.000592885375494071	0.000592885375494071	0.00177865612648221	0	0	0	0	0	0	0	0.000592885375494071	0	0.00237154150197628	0	0	0.000395256916996047	0	0	0	0	0.000790513833992095	0	0	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00086767895878525	0.00542299349240781	0	0	0.00780911062906725	0.0327548806941432	0.00303687635574837	0.000433839479392625	0	0.0182212581344902	0	0.000216919739696312	0	0.0136659436008677	0	0.00108459869848156	0.00195227765726681	0.00455531453362256	0.00455531453362256	0.00325379609544469	0	0	0	0	0	0	0	0.00151843817787419	0	0	0	0.000650759219088937	0	0	0
"Mesocricetus_brandti"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00248618784530387	0	0	0	0.000552486187845304	0	0.0226519337016575	0.0157458563535912	0	0.043646408839779	0	0.00138121546961326	0	0.00773480662983425	0	0	0	0.00138121546961326	0	0	0.000276243093922652	0	0	0	0	0	0	0	0.00138121546961326	0	0	0.00165745856353591	0	0	0	0.000552486187845304	0.000552486187845304
"Meriones_tristrami"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0474402730375427	0	0	0.0430034129692833	0	0.00238907849829352	0	0	0	0	0	0.00102389078498294	0.00409556313993174	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00204778156996587	0	0	0	0	0	0	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00110294117647059	0	0	0	0.00147058823529412	0.0169117647058824	0.0698529411764706	0	0	0.00183823529411765	0	0	0.000735294117647059	0	0.000735294117647059	0	0.00477941176470588	0.000367647058823529	0	0.00183823529411765	0	0	0	0.000367647058823529	0	0	0	0	0	0	0	0	0	0	0
"Microtus_socialis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000490196078431373	0	0	0.000490196078431373	0	0	0.0235294117647059	0	0	0	0	0.0112745098039216	0.0602941176470588	0	0.00392156862745098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apodemus_flavicollis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00487804878048781	0	0	0	0	0.0353658536585366	0.00426829268292683	0	0.0121951219512195	0	0.00975609756097561	0.0024390243902439	0.000609756097560976	0.000609756097560976	0	0.00609756097560976	0	0	0.00914634146341463	0.000609756097560976	0.00304878048780488	0	0	0	0.00548780487804878	0.00304878048780488	0	0.00182926829268293	0	0.000609756097560976	0	0	0	0	0	0
